{'match': 0.51611328125, 'score': 0.51611328125, 'examples_seen': 32227, 'step': 2550, 'algorithm': 'kmp_matcher'},
{'match': 0.51416015625, 'score': 0.51416015625, 'examples_seen': 32855, 'step': 2600, 'algorithm': 'kmp_matcher'},
{'match': 0.52197265625, 'score': 0.52197265625, 'examples_seen': 33486, 'step': 2650, 'algorithm': 'kmp_matcher'},
{'match': 0.456787109375, 'score': 0.456787109375, 'examples_seen': 34110, 'step': 2700, 'algorithm': 'kmp_matcher'},
{'match': 0.498779296875, 'score': 0.498779296875, 'examples_seen': 34751, 'step': 2750, 'algorithm': 'kmp_matcher'},
{'match': 0.50927734375, 'score': 0.50927734375, 'examples_seen': 35376, 'step': 2800, 'algorithm': 'kmp_matcher'},
{'match': 0.521484375, 'score': 0.521484375, 'examples_seen': 36011, 'step': 2850, 'algorithm': 'kmp_matcher'},
{'match': 0.54931640625, 'score': 0.54931640625, 'examples_seen': 36639, 'step': 2900, 'algorithm': 'kmp_matcher'},
{'match': 0.508056640625, 'score': 0.508056640625, 'examples_seen': 37260, 'step': 2950, 'algorithm': 'kmp_matcher'},
{'match': 0.5146484375, 'score': 0.5146484375, 'examples_seen': 37896, 'step': 3000, 'algorithm': 'kmp_matcher'},
{'match': 0.535400390625, 'score': 0.535400390625, 'examples_seen': 38537, 'step': 3050, 'algorithm': 'kmp_matcher'},
{'match': 0.516357421875, 'score': 0.516357421875, 'examples_seen': 39162, 'step': 3100, 'algorithm': 'kmp_matcher'},
{'match': 0.535888671875, 'score': 0.535888671875, 'examples_seen': 39795, 'step': 3150, 'algorithm': 'kmp_matcher'},
{'match': 0.4951171875, 'score': 0.4951171875, 'examples_seen': 40433, 'step': 3200, 'algorithm': 'kmp_matcher'},
{'match': 0.52783203125, 'score': 0.52783203125, 'examples_seen': 41061, 'step': 3250, 'algorithm': 'kmp_matcher'},
{'match': 0.562255859375, 'score': 0.562255859375, 'examples_seen': 41689, 'step': 3300, 'algorithm': 'kmp_matcher'},
{'match': 0.591796875, 'score': 0.591796875, 'examples_seen': 42326, 'step': 3350, 'algorithm': 'kmp_matcher'},
{'match': 0.521484375, 'score': 0.521484375, 'examples_seen': 42950, 'step': 3400, 'algorithm': 'kmp_matcher'},
{'match': 0.557861328125, 'score': 0.557861328125, 'examples_seen': 43577, 'step': 3450, 'algorithm': 'kmp_matcher'},
{'match': 0.66845703125, 'score': 0.66845703125, 'examples_seen': 44204, 'step': 3500, 'algorithm': 'kmp_matcher'},
{'match': 0.58642578125, 'score': 0.58642578125, 'examples_seen': 44837, 'step': 3550, 'algorithm': 'kmp_matcher'},
{'match': 0.625, 'score': 0.625, 'examples_seen': 45460, 'step': 3600, 'algorithm': 'kmp_matcher'},
{'match': 0.639404296875, 'score': 0.639404296875, 'examples_seen': 46085, 'step': 3650, 'algorithm': 'kmp_matcher'},
{'match': 0.6142578125, 'score': 0.6142578125, 'examples_seen': 46718, 'step': 3700, 'algorithm': 'kmp_matcher'},
{'match': 0.658447265625, 'score': 0.658447265625, 'examples_seen': 47352, 'step': 3750, 'algorithm': 'kmp_matcher'},
{'match': 0.62158203125, 'score': 0.62158203125, 'examples_seen': 47984, 'step': 3800, 'algorithm': 'kmp_matcher'},
{'match': 0.71923828125, 'score': 0.71923828125, 'examples_seen': 48616, 'step': 3850, 'algorithm': 'kmp_matcher'},
{'match': 0.685546875, 'score': 0.685546875, 'examples_seen': 49248, 'step': 3900, 'algorithm': 'kmp_matcher'},
{'match': 0.74169921875, 'score': 0.74169921875, 'examples_seen': 49884, 'step': 3950, 'algorithm': 'kmp_matcher'},
{'match': 0.701171875, 'score': 0.701171875, 'examples_seen': 50503, 'step': 4000, 'algorithm': 'kmp_matcher'},
{'match': 0.672607421875, 'score': 0.672607421875, 'examples_seen': 51132, 'step': 4050, 'algorithm': 'kmp_matcher'},
{'match': 0.7294921875, 'score': 0.7294921875, 'examples_seen': 51763, 'step': 4100, 'algorithm': 'kmp_matcher'},
{'match': 0.73681640625, 'score': 0.73681640625, 'examples_seen': 52410, 'step': 4150, 'algorithm': 'kmp_matcher'},
{'match': 0.75537109375, 'score': 0.75537109375, 'examples_seen': 53039, 'step': 4200, 'algorithm': 'kmp_matcher'},
{'match': 0.63232421875, 'score': 0.63232421875, 'examples_seen': 53671, 'step': 4250, 'algorithm': 'kmp_matcher'},
