{'pi': 0.8044969512195121, 'score': 0.8044969512195121, 'examples_seen': 82023, 'step': 2450, 'algorithm': 'mst_prim'},
{'pi': 0.8483231707317073, 'score': 0.8483231707317073, 'examples_seen': 83650, 'step': 2500, 'algorithm': 'mst_prim'},
{'pi': 0.7591463414634146, 'score': 0.7591463414634146, 'examples_seen': 85410, 'step': 2550, 'algorithm': 'mst_prim'},
{'pi': 0.7930640243902439, 'score': 0.7930640243902439, 'examples_seen': 86957, 'step': 2600, 'algorithm': 'mst_prim'},
{'pi': 0.8113567073170732, 'score': 0.8113567073170732, 'examples_seen': 88779, 'step': 2650, 'algorithm': 'mst_prim'},
{'pi': 0.833079268292683, 'score': 0.833079268292683, 'examples_seen': 90291, 'step': 2700, 'algorithm': 'mst_prim'},
{'pi': 0.8460365853658537, 'score': 0.8460365853658537, 'examples_seen': 92153, 'step': 2750, 'algorithm': 'mst_prim'},
{'pi': 0.7915396341463414, 'score': 0.7915396341463414, 'examples_seen': 93814, 'step': 2800, 'algorithm': 'mst_prim'},
{'pi': 0.7980182926829268, 'score': 0.7980182926829268, 'examples_seen': 95447, 'step': 2850, 'algorithm': 'mst_prim'},
{'pi': 0.8540396341463414, 'score': 0.8540396341463414, 'examples_seen': 97210, 'step': 2900, 'algorithm': 'mst_prim'},
{'pi': 0.7945884146341463, 'score': 0.7945884146341463, 'examples_seen': 98747, 'step': 2950, 'algorithm': 'mst_prim'},
{'pi': 0.8346036585365854, 'score': 0.8346036585365854, 'examples_seen': 100483, 'step': 3000, 'algorithm': 'mst_prim'},
{'pi': 0.8548018292682927, 'score': 0.8548018292682927, 'examples_seen': 102002, 'step': 3050, 'algorithm': 'mst_prim'},
{'pi': 0.8601371951219512, 'score': 0.8601371951219512, 'examples_seen': 103793, 'step': 3100, 'algorithm': 'mst_prim'},
{'pi': 0.6985518292682927, 'score': 0.6985518292682927, 'examples_seen': 105427, 'step': 3150, 'algorithm': 'mst_prim'},
{'pi': 0.8254573170731707, 'score': 0.8254573170731707, 'examples_seen': 107083, 'step': 3200, 'algorithm': 'mst_prim'},
{'pi': 0.8414634146341463, 'score': 0.8414634146341463, 'examples_seen': 108858, 'step': 3250, 'algorithm': 'mst_prim'},
{'pi': 0.866234756097561, 'score': 0.866234756097561, 'examples_seen': 110393, 'step': 3300, 'algorithm': 'mst_prim'},
{'pi': 0.8791920731707317, 'score': 0.8791920731707317, 'examples_seen': 112173, 'step': 3350, 'algorithm': 'mst_prim'},
{'pi': 0.8357469512195121, 'score': 0.8357469512195121, 'examples_seen': 113661, 'step': 3400, 'algorithm': 'mst_prim'},
{'pi': 0.879954268292683, 'score': 0.879954268292683, 'examples_seen': 115453, 'step': 3450, 'algorithm': 'mst_prim'},
{'pi': 0.7519054878048781, 'score': 0.7519054878048781, 'examples_seen': 117088, 'step': 3500, 'algorithm': 'mst_prim'},
{'pi': 0.8128810975609756, 'score': 0.8128810975609756, 'examples_seen': 118757, 'step': 3550, 'algorithm': 'mst_prim'},
{'pi': 0.859375, 'score': 0.859375, 'examples_seen': 120508, 'step': 3600, 'algorithm': 'mst_prim'},
{'pi': 0.8475609756097561, 'score': 0.8475609756097561, 'examples_seen': 122063, 'step': 3650, 'algorithm': 'mst_prim'},
{'pi': 0.8631859756097561, 'score': 0.8631859756097561, 'examples_seen': 123855, 'step': 3700, 'algorithm': 'mst_prim'},
{'pi': 0.8650914634146342, 'score': 0.8650914634146342, 'examples_seen': 125390, 'step': 3750, 'algorithm': 'mst_prim'},
{'pi': 0.7816310975609756, 'score': 0.7816310975609756, 'examples_seen': 127219, 'step': 3800, 'algorithm': 'mst_prim'},
{'pi': 0.8521341463414634, 'score': 0.8521341463414634, 'examples_seen': 128897, 'step': 3850, 'algorithm': 'mst_prim'},
{'pi': 0.8471798780487805, 'score': 0.8471798780487805, 'examples_seen': 130531, 'step': 3900, 'algorithm': 'mst_prim'},
{'pi': 0.8528963414634146, 'score': 0.8528963414634146, 'examples_seen': 132275, 'step': 3950, 'algorithm': 'mst_prim'},
{'pi': 0.8578506097560976, 'score': 0.8578506097560976, 'examples_seen': 133831, 'step': 4000, 'algorithm': 'mst_prim'},
{'pi': 0.8418445121951219, 'score': 0.8418445121951219, 'examples_seen': 135626, 'step': 4050, 'algorithm': 'mst_prim'},
{'pi': 0.8304115853658537, 'score': 0.8304115853658537, 'examples_seen': 137095, 'step': 4100, 'algorithm': 'mst_prim'},
{'pi': 0.8342225609756098, 'score': 0.8342225609756098, 'examples_seen': 138884, 'step': 4150, 'algorithm': 'mst_prim'},
{'pi': 0.8376524390243902, 'score': 0.8376524390243902, 'examples_seen': 140554, 'step': 4200, 'algorithm': 'mst_prim'},
{'pi': 0.8140243902439024, 'score': 0.8140243902439024, 'examples_seen': 142173, 'step': 4250, 'algorithm': 'mst_prim'},
{'pi': 0.7751524390243902, 'score': 0.7751524390243902, 'examples_seen': 143922, 'step': 4300, 'algorithm': 'mst_prim'},
{'pi': 0.8780487804878049, 'score': 0.8780487804878049, 'examples_seen': 145458, 'step': 4350, 'algorithm': 'mst_prim'},
{'pi': 0.866234756097561, 'score': 0.866234756097561, 'examples_seen': 147268, 'step': 4400, 'algorithm': 'mst_prim'},
{'pi': 0.8814786585365854, 'score': 0.8814786585365854, 'examples_seen': 148782, 'step': 4450, 'algorithm': 'mst_prim'},
{'pi': 0.8422256097560976, 'score': 0.8422256097560976, 'examples_seen': 150603, 'step': 4500, 'algorithm': 'mst_prim'},
{'pi': 0.8647103658536586, 'score': 0.8647103658536586, 'examples_seen': 152270, 'step': 4550, 'algorithm': 'mst_prim'},
{'pi': 0.8936737804878049, 'score': 0.8936737804878049, 'examples_seen': 153869, 'step': 4600, 'algorithm': 'mst_prim'},
{'pi': 0.8391768292682927, 'score': 0.8391768292682927, 'examples_seen': 155644, 'step': 4650, 'algorithm': 'mst_prim'},
{'pi': 0.8803353658536586, 'score': 0.8803353658536586, 'examples_seen': 157203, 'step': 4700, 'algorithm': 'mst_prim'},
{'pi': 0.7694359756097561, 'score': 0.7694359756097561, 'examples_seen': 159000, 'step': 4750, 'algorithm': 'mst_prim'},
{'pi': 0.8395579268292683, 'score': 0.8395579268292683, 'examples_seen': 160468, 'step': 4800, 'algorithm': 'mst_prim'},
{'pi': 0.760670731707317, 'score': 0.760670731707317, 'examples_seen': 162288, 'step': 4850, 'algorithm': 'mst_prim'},
{'pi': 0.8300304878048781, 'score': 0.8300304878048781, 'examples_seen': 163949, 'step': 4900, 'algorithm': 'mst_prim'},
{'pi': 0.8201219512195121, 'score': 0.8201219512195121, 'examples_seen': 165581, 'step': 4950, 'algorithm': 'mst_prim'},
{'pi': 0.8769054878048781, 'score': 0.8769054878048781, 'examples_seen': 167342, 'step': 5000, 'algorithm': 'mst_prim'},
{'pi': 0.8685213414634146, 'score': 0.8685213414634146, 'examples_seen': 168901, 'step': 5050, 'algorithm': 'mst_prim'},
{'pi': 0.8887195121951219, 'score': 0.8887195121951219, 'examples_seen': 170694, 'step': 5100, 'algorithm': 'mst_prim'},
{'pi': 0.8830030487804879, 'score': 0.8830030487804879, 'examples_seen': 172193, 'step': 5150, 'algorithm': 'mst_prim'},
{'pi': 0.8685213414634146, 'score': 0.8685213414634146, 'examples_seen': 174024, 'step': 5200, 'algorithm': 'mst_prim'},
{'pi': 0.8551829268292683, 'score': 0.8551829268292683, 'examples_seen': 175693, 'step': 5250, 'algorithm': 'mst_prim'},
{'pi': 0.9134908536585366, 'score': 0.9134908536585366, 'examples_seen': 177339, 'step': 5300, 'algorithm': 'mst_prim'},
{'pi': 0.8868140243902439, 'score': 0.8868140243902439, 'examples_seen': 179102, 'step': 5350, 'algorithm': 'mst_prim'},
{'pi': 0.9092987804878049, 'score': 0.9092987804878049, 'examples_seen': 180668, 'step': 5400, 'algorithm': 'mst_prim'},
{'pi': 0.866234756097561, 'score': 0.866234756097561, 'examples_seen': 182483, 'step': 5450, 'algorithm': 'mst_prim'},
{'pi': 0.8788109756097561, 'score': 0.8788109756097561, 'examples_seen': 183976, 'step': 5500, 'algorithm': 'mst_prim'},
{'pi': 0.8727134146341463, 'score': 0.8727134146341463, 'examples_seen': 185811, 'step': 5550, 'algorithm': 'mst_prim'},
{'pi': 0.8631859756097561, 'score': 0.8631859756097561, 'examples_seen': 187481, 'step': 5600, 'algorithm': 'mst_prim'},
{'pi': 0.9051067073170732, 'score': 0.9051067073170732, 'examples_seen': 189098, 'step': 5650, 'algorithm': 'mst_prim'},
{'pi': 0.8746189024390244, 'score': 0.8746189024390244, 'examples_seen': 190860, 'step': 5700, 'algorithm': 'mst_prim'},
{'pi': 0.8536585365853658, 'score': 0.8536585365853658, 'examples_seen': 192406, 'step': 5750, 'algorithm': 'mst_prim'},
{'pi': 0.8666158536585366, 'score': 0.8666158536585366, 'examples_seen': 194229, 'step': 5800, 'algorithm': 'mst_prim'},
{'pi': 0.8944359756097561, 'score': 0.8944359756097561, 'examples_seen': 195720, 'step': 5850, 'algorithm': 'mst_prim'},
{'pi': 0.8243140243902439, 'score': 0.8243140243902439, 'examples_seen': 197557, 'step': 5900, 'algorithm': 'mst_prim'},
{'pi': 0.8929115853658537, 'score': 0.8929115853658537, 'examples_seen': 199242, 'step': 5950, 'algorithm': 'mst_prim'},
{'pi': 0.8780487804878049, 'score': 0.8780487804878049, 'examples_seen': 200877, 'step': 6000, 'algorithm': 'mst_prim'},
{'pi': 0.9123475609756098, 'score': 0.9123475609756098, 'examples_seen': 202652, 'step': 6050, 'algorithm': 'mst_prim'},
{'pi': 0.9024390243902439, 'score': 0.9024390243902439, 'examples_seen': 204177, 'step': 6100, 'algorithm': 'mst_prim'},
