{'pred': 0.508765243902439, 'score': 0.508765243902439, 'examples_seen': 44743, 'step': 2450, 'algorithm': 'quicksort'},
{'pred': 0.37728658536585363, 'score': 0.37728658536585363, 'examples_seen': 45573, 'step': 2500, 'algorithm': 'quicksort'},
{'pred': 0.3155487804878049, 'score': 0.3155487804878049, 'examples_seen': 46559, 'step': 2550, 'algorithm': 'quicksort'},
{'pred': 0.5857469512195121, 'score': 0.5857469512195121, 'examples_seen': 47363, 'step': 2600, 'algorithm': 'quicksort'},
{'pred': 0.6547256097560976, 'score': 0.6547256097560976, 'examples_seen': 48378, 'step': 2650, 'algorithm': 'quicksort'},
{'pred': 0.5807926829268293, 'score': 0.5807926829268293, 'examples_seen': 49171, 'step': 2700, 'algorithm': 'quicksort'},
{'pred': 0.6276676829268293, 'score': 0.6276676829268293, 'examples_seen': 50183, 'step': 2750, 'algorithm': 'quicksort'},
{'pred': 0.5967987804878049, 'score': 0.5967987804878049, 'examples_seen': 51142, 'step': 2800, 'algorithm': 'quicksort'},
{'pred': 0.546875, 'score': 0.546875, 'examples_seen': 51971, 'step': 2850, 'algorithm': 'quicksort'},
{'pred': 0.5529725609756098, 'score': 0.5529725609756098, 'examples_seen': 52970, 'step': 2900, 'algorithm': 'quicksort'},
{'pred': 0.5415396341463414, 'score': 0.5415396341463414, 'examples_seen': 53762, 'step': 2950, 'algorithm': 'quicksort'},
{'pred': 0.44435975609756095, 'score': 0.44435975609756095, 'examples_seen': 54773, 'step': 3000, 'algorithm': 'quicksort'},
{'pred': 0.4996189024390244, 'score': 0.4996189024390244, 'examples_seen': 55560, 'step': 3050, 'algorithm': 'quicksort'},
{'pred': 0.4371189024390244, 'score': 0.4371189024390244, 'examples_seen': 56570, 'step': 3100, 'algorithm': 'quicksort'},
{'pred': 0.5358231707317073, 'score': 0.5358231707317073, 'examples_seen': 57535, 'step': 3150, 'algorithm': 'quicksort'},
{'pred': 0.604420731707317, 'score': 0.604420731707317, 'examples_seen': 58364, 'step': 3200, 'algorithm': 'quicksort'},
{'pred': 0.5644054878048781, 'score': 0.5644054878048781, 'examples_seen': 59363, 'step': 3250, 'algorithm': 'quicksort'},
{'pred': 0.6108993902439024, 'score': 0.6108993902439024, 'examples_seen': 60154, 'step': 3300, 'algorithm': 'quicksort'},
{'pred': 0.5476371951219512, 'score': 0.5476371951219512, 'examples_seen': 61163, 'step': 3350, 'algorithm': 'quicksort'},
{'pred': 0.5255335365853658, 'score': 0.5255335365853658, 'examples_seen': 61934, 'step': 3400, 'algorithm': 'quicksort'},
{'pred': 0.4637957317073171, 'score': 0.4637957317073171, 'examples_seen': 62960, 'step': 3450, 'algorithm': 'quicksort'},
{'pred': 0.5998475609756098, 'score': 0.5998475609756098, 'examples_seen': 63937, 'step': 3500, 'algorithm': 'quicksort'},
{'pred': 0.4329268292682927, 'score': 0.4329268292682927, 'examples_seen': 64770, 'step': 3550, 'algorithm': 'quicksort'},
{'pred': 0.6291920731707317, 'score': 0.6291920731707317, 'examples_seen': 65769, 'step': 3600, 'algorithm': 'quicksort'},
{'pred': 0.6059451219512195, 'score': 0.6059451219512195, 'examples_seen': 66559, 'step': 3650, 'algorithm': 'quicksort'},
{'pred': 0.6128048780487805, 'score': 0.6128048780487805, 'examples_seen': 67570, 'step': 3700, 'algorithm': 'quicksort'},
{'pred': 0.5072408536585366, 'score': 0.5072408536585366, 'examples_seen': 68343, 'step': 3750, 'algorithm': 'quicksort'},
{'pred': 0.4996189024390244, 'score': 0.4996189024390244, 'examples_seen': 69362, 'step': 3800, 'algorithm': 'quicksort'},
{'pred': 0.6684451219512195, 'score': 0.6684451219512195, 'examples_seen': 70330, 'step': 3850, 'algorithm': 'quicksort'},
{'pred': 0.5678353658536586, 'score': 0.5678353658536586, 'examples_seen': 71151, 'step': 3900, 'algorithm': 'quicksort'},
{'pred': 0.5083841463414634, 'score': 0.5083841463414634, 'examples_seen': 72159, 'step': 3950, 'algorithm': 'quicksort'},
{'pred': 0.4070121951219512, 'score': 0.4070121951219512, 'examples_seen': 72952, 'step': 4000, 'algorithm': 'quicksort'},
{'pred': 0.5769817073170732, 'score': 0.5769817073170732, 'examples_seen': 73955, 'step': 4050, 'algorithm': 'quicksort'},
{'pred': 0.526295731707317, 'score': 0.526295731707317, 'examples_seen': 74742, 'step': 4100, 'algorithm': 'quicksort'},
{'pred': 0.5228658536585366, 'score': 0.5228658536585366, 'examples_seen': 75758, 'step': 4150, 'algorithm': 'quicksort'},
{'pred': 0.6036585365853658, 'score': 0.6036585365853658, 'examples_seen': 76727, 'step': 4200, 'algorithm': 'quicksort'},
{'pred': 0.5724085365853658, 'score': 0.5724085365853658, 'examples_seen': 77545, 'step': 4250, 'algorithm': 'quicksort'},
{'pred': 0.2534298780487805, 'score': 0.2534298780487805, 'examples_seen': 78549, 'step': 4300, 'algorithm': 'quicksort'},
{'pred': 0.584984756097561, 'score': 0.584984756097561, 'examples_seen': 79341, 'step': 4350, 'algorithm': 'quicksort'},
{'pred': 0.6238567073170732, 'score': 0.6238567073170732, 'examples_seen': 80340, 'step': 4400, 'algorithm': 'quicksort'},
{'pred': 0.6779725609756098, 'score': 0.6779725609756098, 'examples_seen': 81137, 'step': 4450, 'algorithm': 'quicksort'},
{'pred': 0.5525914634146342, 'score': 0.5525914634146342, 'examples_seen': 82145, 'step': 4500, 'algorithm': 'quicksort'},
{'pred': 0.6989329268292683, 'score': 0.6989329268292683, 'examples_seen': 83122, 'step': 4550, 'algorithm': 'quicksort'},
{'pred': 0.7252286585365854, 'score': 0.7252286585365854, 'examples_seen': 83945, 'step': 4600, 'algorithm': 'quicksort'},
{'pred': 0.5861280487804879, 'score': 0.5861280487804879, 'examples_seen': 84936, 'step': 4650, 'algorithm': 'quicksort'},
{'pred': 0.7023628048780488, 'score': 0.7023628048780488, 'examples_seen': 85739, 'step': 4700, 'algorithm': 'quicksort'},
{'pred': 0.4813262195121951, 'score': 0.4813262195121951, 'examples_seen': 86749, 'step': 4750, 'algorithm': 'quicksort'},
{'pred': 0.6135670731707317, 'score': 0.6135670731707317, 'examples_seen': 87521, 'step': 4800, 'algorithm': 'quicksort'},
{'pred': 0.5743140243902439, 'score': 0.5743140243902439, 'examples_seen': 88534, 'step': 4850, 'algorithm': 'quicksort'},
{'pred': 0.6890243902439024, 'score': 0.6890243902439024, 'examples_seen': 89483, 'step': 4900, 'algorithm': 'quicksort'},
{'pred': 0.5644054878048781, 'score': 0.5644054878048781, 'examples_seen': 90323, 'step': 4950, 'algorithm': 'quicksort'},
{'pred': 0.6444359756097561, 'score': 0.6444359756097561, 'examples_seen': 91320, 'step': 5000, 'algorithm': 'quicksort'},
{'pred': 0.5476371951219512, 'score': 0.5476371951219512, 'examples_seen': 92109, 'step': 5050, 'algorithm': 'quicksort'},
{'pred': 0.7637195121951219, 'score': 0.7637195121951219, 'examples_seen': 93110, 'step': 5100, 'algorithm': 'quicksort'},
{'pred': 0.5548780487804879, 'score': 0.5548780487804879, 'examples_seen': 93886, 'step': 5150, 'algorithm': 'quicksort'},
{'pred': 0.65625, 'score': 0.65625, 'examples_seen': 94901, 'step': 5200, 'algorithm': 'quicksort'},
{'pred': 0.41310975609756095, 'score': 0.41310975609756095, 'examples_seen': 95848, 'step': 5250, 'algorithm': 'quicksort'},
{'pred': 0.6642530487804879, 'score': 0.6642530487804879, 'examples_seen': 96693, 'step': 5300, 'algorithm': 'quicksort'},
{'pred': 0.5080030487804879, 'score': 0.5080030487804879, 'examples_seen': 97686, 'step': 5350, 'algorithm': 'quicksort'},
{'pred': 0.6398628048780488, 'score': 0.6398628048780488, 'examples_seen': 98475, 'step': 5400, 'algorithm': 'quicksort'},
{'pred': 0.6253810975609756, 'score': 0.6253810975609756, 'examples_seen': 99486, 'step': 5450, 'algorithm': 'quicksort'},
{'pred': 0.6375762195121951, 'score': 0.6375762195121951, 'examples_seen': 100267, 'step': 5500, 'algorithm': 'quicksort'},
{'pred': 0.3166920731707317, 'score': 0.3166920731707317, 'examples_seen': 101279, 'step': 5550, 'algorithm': 'quicksort'},
{'pred': 0.5423018292682927, 'score': 0.5423018292682927, 'examples_seen': 102244, 'step': 5600, 'algorithm': 'quicksort'},
{'pred': 0.6002286585365854, 'score': 0.6002286585365854, 'examples_seen': 103089, 'step': 5650, 'algorithm': 'quicksort'},
{'pred': 0.5095274390243902, 'score': 0.5095274390243902, 'examples_seen': 104082, 'step': 5700, 'algorithm': 'quicksort'},
{'pred': 0.47065548780487804, 'score': 0.47065548780487804, 'examples_seen': 104881, 'step': 5750, 'algorithm': 'quicksort'},
{'pred': 0.5720274390243902, 'score': 0.5720274390243902, 'examples_seen': 105878, 'step': 5800, 'algorithm': 'quicksort'},
{'pred': 0.6269054878048781, 'score': 0.6269054878048781, 'examples_seen': 106665, 'step': 5850, 'algorithm': 'quicksort'},
{'pred': 0.6257621951219512, 'score': 0.6257621951219512, 'examples_seen': 107675, 'step': 5900, 'algorithm': 'quicksort'},
{'pred': 0.43102134146341464, 'score': 0.43102134146341464, 'examples_seen': 108624, 'step': 5950, 'algorithm': 'quicksort'},
{'pred': 0.546875, 'score': 0.546875, 'examples_seen': 109461, 'step': 6000, 'algorithm': 'quicksort'},
{'pred': 0.6840701219512195, 'score': 0.6840701219512195, 'examples_seen': 110456, 'step': 6050, 'algorithm': 'quicksort'},
{'pred': 0.4573170731707317, 'score': 0.4573170731707317, 'examples_seen': 111244, 'step': 6100, 'algorithm': 'quicksort'},
{'pred': 0.4759908536585366, 'score': 0.4759908536585366, 'examples_seen': 112266, 'step': 6150, 'algorithm': 'quicksort'},
{'pred': 0.6124237804878049, 'score': 0.6124237804878049, 'examples_seen': 113051, 'step': 6200, 'algorithm': 'quicksort'},
{'pred': 0.5766006097560976, 'score': 0.5766006097560976, 'examples_seen': 114062, 'step': 6250, 'algorithm': 'quicksort'},
{'pred': 0.7111280487804879, 'score': 0.7111280487804879, 'examples_seen': 115030, 'step': 6300, 'algorithm': 'quicksort'},
{'pred': 0.7168445121951219, 'score': 0.7168445121951219, 'examples_seen': 115853, 'step': 6350, 'algorithm': 'quicksort'},
{'pred': 0.5617378048780488, 'score': 0.5617378048780488, 'examples_seen': 116864, 'step': 6400, 'algorithm': 'quicksort'},
{'pred': 0.6017530487804879, 'score': 0.6017530487804879, 'examples_seen': 117660, 'step': 6450, 'algorithm': 'quicksort'},
