{'scc_id': 0.6396484375, 'score': 0.6396484375, 'examples_seen': 6895, 'step': 2400, 'algorithm': 'strongly_connected_components'},
{'scc_id': 0.7041015625, 'score': 0.7041015625, 'examples_seen': 7039, 'step': 2450, 'algorithm': 'strongly_connected_components'},
{'scc_id': 0.666015625, 'score': 0.666015625, 'examples_seen': 7183, 'step': 2500, 'algorithm': 'strongly_connected_components'},
{'scc_id': 0.7646484375, 'score': 0.7646484375, 'examples_seen': 7328, 'step': 2550, 'algorithm': 'strongly_connected_components'},
{'scc_id': 0.681640625, 'score': 0.681640625, 'examples_seen': 7471, 'step': 2600, 'algorithm': 'strongly_connected_components'},
{'scc_id': 0.69140625, 'score': 0.69140625, 'examples_seen': 7615, 'step': 2650, 'algorithm': 'strongly_connected_components'},
{'scc_id': 0.677734375, 'score': 0.677734375, 'examples_seen': 7758, 'step': 2700, 'algorithm': 'strongly_connected_components'},
{'scc_id': 0.609375, 'score': 0.609375, 'examples_seen': 7902, 'step': 2750, 'algorithm': 'strongly_connected_components'},
{'scc_id': 0.708984375, 'score': 0.708984375, 'examples_seen': 8045, 'step': 2800, 'algorithm': 'strongly_connected_components'},
{'scc_id': 0.734375, 'score': 0.734375, 'examples_seen': 8190, 'step': 2850, 'algorithm': 'strongly_connected_components'},
{'scc_id': 0.6884765625, 'score': 0.6884765625, 'examples_seen': 8334, 'step': 2900, 'algorithm': 'strongly_connected_components'},
{'scc_id': 0.6748046875, 'score': 0.6748046875, 'examples_seen': 8479, 'step': 2950, 'algorithm': 'strongly_connected_components'},
{'scc_id': 0.6923828125, 'score': 0.6923828125, 'examples_seen': 8622, 'step': 3000, 'algorithm': 'strongly_connected_components'},
{'scc_id': 0.6572265625, 'score': 0.6572265625, 'examples_seen': 8766, 'step': 3050, 'algorithm': 'strongly_connected_components'},
{'scc_id': 0.662109375, 'score': 0.662109375, 'examples_seen': 8910, 'step': 3100, 'algorithm': 'strongly_connected_components'},
{'scc_id': 0.6005859375, 'score': 0.6005859375, 'examples_seen': 9052, 'step': 3150, 'algorithm': 'strongly_connected_components'},
{'scc_id': 0.654296875, 'score': 0.654296875, 'examples_seen': 9195, 'step': 3200, 'algorithm': 'strongly_connected_components'},
{'scc_id': 0.681640625, 'score': 0.681640625, 'examples_seen': 9341, 'step': 3250, 'algorithm': 'strongly_connected_components'},
{'scc_id': 0.6220703125, 'score': 0.6220703125, 'examples_seen': 9482, 'step': 3300, 'algorithm': 'strongly_connected_components'},
{'scc_id': 0.701171875, 'score': 0.701171875, 'examples_seen': 9627, 'step': 3350, 'algorithm': 'strongly_connected_components'},
{'scc_id': 0.642578125, 'score': 0.642578125, 'examples_seen': 9772, 'step': 3400, 'algorithm': 'strongly_connected_components'},
{'scc_id': 0.728515625, 'score': 0.728515625, 'examples_seen': 9912, 'step': 3450, 'algorithm': 'strongly_connected_components'},
{'scc_id': 0.6591796875, 'score': 0.6591796875, 'examples_seen': 10056, 'step': 3500, 'algorithm': 'strongly_connected_components'},
{'scc_id': 0.7138671875, 'score': 0.7138671875, 'examples_seen': 10200, 'step': 3550, 'algorithm': 'strongly_connected_components'},
