{'in_hull': 0.9433701657458564, 'score': 0.9433701657458564, 'examples_seen': 14081, 'step': 2300, 'algorithm': 'jarvis_march'},
{'in_hull': 0.9389534883720929, 'score': 0.9389534883720929, 'examples_seen': 14346, 'step': 2350, 'algorithm': 'jarvis_march'},
{'in_hull': 0.936530324400564, 'score': 0.936530324400564, 'examples_seen': 14666, 'step': 2400, 'algorithm': 'jarvis_march'},
{'in_hull': 0.9426470588235294, 'score': 0.9426470588235294, 'examples_seen': 14982, 'step': 2450, 'algorithm': 'jarvis_march'},
{'in_hull': 0.9360544217687076, 'score': 0.9360544217687076, 'examples_seen': 15280, 'step': 2500, 'algorithm': 'jarvis_march'},
{'in_hull': 0.9270127915726111, 'score': 0.9270127915726111, 'examples_seen': 15616, 'step': 2550, 'algorithm': 'jarvis_march'},
{'in_hull': 0.9545136459062281, 'score': 0.9545136459062281, 'examples_seen': 15889, 'step': 2600, 'algorithm': 'jarvis_march'},
{'in_hull': 0.9435483870967741, 'score': 0.9435483870967741, 'examples_seen': 16228, 'step': 2650, 'algorithm': 'jarvis_march'},
{'in_hull': 0.9441764300482426, 'score': 0.9441764300482426, 'examples_seen': 16485, 'step': 2700, 'algorithm': 'jarvis_march'},
{'in_hull': 0.9585121602288985, 'score': 0.9585121602288985, 'examples_seen': 16825, 'step': 2750, 'algorithm': 'jarvis_march'},
{'in_hull': 0.95, 'score': 0.95, 'examples_seen': 17151, 'step': 2800, 'algorithm': 'jarvis_march'},
{'in_hull': 0.9450847457627117, 'score': 0.9450847457627117, 'examples_seen': 17434, 'step': 2850, 'algorithm': 'jarvis_march'},
{'in_hull': 0.9436722750548646, 'score': 0.9436722750548646, 'examples_seen': 17778, 'step': 2900, 'algorithm': 'jarvis_march'},
{'in_hull': 0.9369903632320237, 'score': 0.9369903632320237, 'examples_seen': 18027, 'step': 2950, 'algorithm': 'jarvis_march'},
{'in_hull': 0.9659666908037654, 'score': 0.9659666908037654, 'examples_seen': 18359, 'step': 3000, 'algorithm': 'jarvis_march'},
{'in_hull': 0.9576453697056712, 'score': 0.9576453697056712, 'examples_seen': 18639, 'step': 3050, 'algorithm': 'jarvis_march'},
{'in_hull': 0.9646209386281588, 'score': 0.9646209386281588, 'examples_seen': 18980, 'step': 3100, 'algorithm': 'jarvis_march'},
{'in_hull': 0.953757225433526, 'score': 0.953757225433526, 'examples_seen': 19302, 'step': 3150, 'algorithm': 'jarvis_march'},
{'in_hull': 0.952108649035025, 'score': 0.952108649035025, 'examples_seen': 19577, 'step': 3200, 'algorithm': 'jarvis_march'},
{'in_hull': 0.9596602972399151, 'score': 0.9596602972399151, 'examples_seen': 19916, 'step': 3250, 'algorithm': 'jarvis_march'},
{'in_hull': 0.9439184268026221, 'score': 0.9439184268026221, 'examples_seen': 20189, 'step': 3300, 'algorithm': 'jarvis_march'},
{'in_hull': 0.958393113342898, 'score': 0.958393113342898, 'examples_seen': 20517, 'step': 3350, 'algorithm': 'jarvis_march'},
{'in_hull': 0.941908713692946, 'score': 0.941908713692946, 'examples_seen': 20792, 'step': 3400, 'algorithm': 'jarvis_march'},
{'in_hull': 0.9468462083628633, 'score': 0.9468462083628633, 'examples_seen': 21123, 'step': 3450, 'algorithm': 'jarvis_march'},
{'in_hull': 0.9366548042704627, 'score': 0.9366548042704627, 'examples_seen': 21466, 'step': 3500, 'algorithm': 'jarvis_march'},
{'in_hull': 0.9203539823008849, 'score': 0.9203539823008849, 'examples_seen': 21718, 'step': 3550, 'algorithm': 'jarvis_march'},
{'in_hull': 0.9439567859554355, 'score': 0.9439567859554355, 'examples_seen': 22081, 'step': 3600, 'algorithm': 'jarvis_march'},
{'in_hull': 0.9594790159189581, 'score': 0.9594790159189581, 'examples_seen': 22344, 'step': 3650, 'algorithm': 'jarvis_march'},
{'in_hull': 0.939882697947214, 'score': 0.939882697947214, 'examples_seen': 22690, 'step': 3700, 'algorithm': 'jarvis_march'},
{'in_hull': 0.9626972740315639, 'score': 0.9626972740315639, 'examples_seen': 22948, 'step': 3750, 'algorithm': 'jarvis_march'},
{'in_hull': 0.9373177842565596, 'score': 0.9373177842565596, 'examples_seen': 23303, 'step': 3800, 'algorithm': 'jarvis_march'},
{'in_hull': 0.9480812641083523, 'score': 0.9480812641083523, 'examples_seen': 23616, 'step': 3850, 'algorithm': 'jarvis_march'},
{'in_hull': 0.947075208913649, 'score': 0.947075208913649, 'examples_seen': 23896, 'step': 3900, 'algorithm': 'jarvis_march'},
{'in_hull': 0.9527170077628794, 'score': 0.9527170077628794, 'examples_seen': 24237, 'step': 3950, 'algorithm': 'jarvis_march'},
{'in_hull': 0.9613670133729569, 'score': 0.9613670133729569, 'examples_seen': 24516, 'step': 4000, 'algorithm': 'jarvis_march'},
{'in_hull': 0.951683748169839, 'score': 0.951683748169839, 'examples_seen': 24837, 'step': 4050, 'algorithm': 'jarvis_march'},
{'in_hull': 0.9642596644784828, 'score': 0.9642596644784828, 'examples_seen': 25100, 'step': 4100, 'algorithm': 'jarvis_march'},
{'in_hull': 0.9505226480836237, 'score': 0.9505226480836237, 'examples_seen': 25441, 'step': 4150, 'algorithm': 'jarvis_march'},
{'in_hull': 0.962043795620438, 'score': 0.962043795620438, 'examples_seen': 25758, 'step': 4200, 'algorithm': 'jarvis_march'},
{'in_hull': 0.9432878679109834, 'score': 0.9432878679109834, 'examples_seen': 26054, 'step': 4250, 'algorithm': 'jarvis_march'},
{'in_hull': 0.930035335689046, 'score': 0.930035335689046, 'examples_seen': 26374, 'step': 4300, 'algorithm': 'jarvis_march'},
{'in_hull': 0.9426656738644824, 'score': 0.9426656738644824, 'examples_seen': 26656, 'step': 4350, 'algorithm': 'jarvis_march'},
{'in_hull': 0.9594594594594594, 'score': 0.9594594594594594, 'examples_seen': 26981, 'step': 4400, 'algorithm': 'jarvis_march'},
{'in_hull': 0.9663230240549827, 'score': 0.9663230240549827, 'examples_seen': 27248, 'step': 4450, 'algorithm': 'jarvis_march'},
{'in_hull': 0.9415760869565217, 'score': 0.9415760869565217, 'examples_seen': 27580, 'step': 4500, 'algorithm': 'jarvis_march'},
{'in_hull': 0.9361069836552749, 'score': 0.9361069836552749, 'examples_seen': 27899, 'step': 4550, 'algorithm': 'jarvis_march'},
{'in_hull': 0.9476014760147601, 'score': 0.9476014760147601, 'examples_seen': 28201, 'step': 4600, 'algorithm': 'jarvis_march'},
{'in_hull': 0.9416974169741698, 'score': 0.9416974169741698, 'examples_seen': 28515, 'step': 4650, 'algorithm': 'jarvis_march'},
{'in_hull': 0.9605947955390335, 'score': 0.9605947955390335, 'examples_seen': 28787, 'step': 4700, 'algorithm': 'jarvis_march'},
{'in_hull': 0.9578488372093023, 'score': 0.9578488372093023, 'examples_seen': 29125, 'step': 4750, 'algorithm': 'jarvis_march'},
{'in_hull': 0.9352818371607515, 'score': 0.9352818371607515, 'examples_seen': 29401, 'step': 4800, 'algorithm': 'jarvis_march'},
{'in_hull': 0.9565217391304348, 'score': 0.9565217391304348, 'examples_seen': 29736, 'step': 4850, 'algorithm': 'jarvis_march'},
{'in_hull': 0.9447236180904524, 'score': 0.9447236180904524, 'examples_seen': 30059, 'step': 4900, 'algorithm': 'jarvis_march'},
{'in_hull': 0.9565217391304348, 'score': 0.9565217391304348, 'examples_seen': 30335, 'step': 4950, 'algorithm': 'jarvis_march'},
{'in_hull': 0.9595375722543352, 'score': 0.9595375722543352, 'examples_seen': 30668, 'step': 5000, 'algorithm': 'jarvis_march'},
{'in_hull': 0.9588235294117647, 'score': 0.9588235294117647, 'examples_seen': 30945, 'step': 5050, 'algorithm': 'jarvis_march'},
{'in_hull': 0.9392592592592592, 'score': 0.9392592592592592, 'examples_seen': 31291, 'step': 5100, 'algorithm': 'jarvis_march'},
{'in_hull': 0.9642857142857143, 'score': 0.9642857142857143, 'examples_seen': 31558, 'step': 5150, 'algorithm': 'jarvis_march'},
{'in_hull': 0.9546120058565153, 'score': 0.9546120058565153, 'examples_seen': 31894, 'step': 5200, 'algorithm': 'jarvis_march'},
{'in_hull': 0.9542203147353362, 'score': 0.9542203147353362, 'examples_seen': 32216, 'step': 5250, 'algorithm': 'jarvis_march'},
{'in_hull': 0.9555236728837876, 'score': 0.9555236728837876, 'examples_seen': 32491, 'step': 5300, 'algorithm': 'jarvis_march'},
{'in_hull': 0.9433691756272402, 'score': 0.9433691756272402, 'examples_seen': 32819, 'step': 5350, 'algorithm': 'jarvis_march'},
{'in_hull': 0.9515108924806746, 'score': 0.9515108924806746, 'examples_seen': 33095, 'step': 5400, 'algorithm': 'jarvis_march'},
{'in_hull': 0.9580071174377224, 'score': 0.9580071174377224, 'examples_seen': 33444, 'step': 5450, 'algorithm': 'jarvis_march'},
{'in_hull': 0.9515287099179716, 'score': 0.9515287099179716, 'examples_seen': 33698, 'step': 5500, 'algorithm': 'jarvis_march'},
{'in_hull': 0.9492957746478873, 'score': 0.9492957746478873, 'examples_seen': 34036, 'step': 5550, 'algorithm': 'jarvis_march'},
{'in_hull': 0.9501054111033029, 'score': 0.9501054111033029, 'examples_seen': 34345, 'step': 5600, 'algorithm': 'jarvis_march'},
{'in_hull': 0.9595375722543352, 'score': 0.9595375722543352, 'examples_seen': 34653, 'step': 5650, 'algorithm': 'jarvis_march'},
{'in_hull': 0.9448709002093509, 'score': 0.9448709002093509, 'examples_seen': 34968, 'step': 5700, 'algorithm': 'jarvis_march'},
{'in_hull': 0.9510682288077188, 'score': 0.9510682288077188, 'examples_seen': 35257, 'step': 5750, 'algorithm': 'jarvis_march'},
{'in_hull': 0.9611451942740286, 'score': 0.9611451942740286, 'examples_seen': 35592, 'step': 5800, 'algorithm': 'jarvis_march'},
{'in_hull': 0.9512555391432791, 'score': 0.9512555391432791, 'examples_seen': 35853, 'step': 5850, 'algorithm': 'jarvis_march'},
{'in_hull': 0.9554234769687964, 'score': 0.9554234769687964, 'examples_seen': 36187, 'step': 5900, 'algorithm': 'jarvis_march'},
{'in_hull': 0.9617880317231435, 'score': 0.9617880317231435, 'examples_seen': 36518, 'step': 5950, 'algorithm': 'jarvis_march'},
{'in_hull': 0.9526627218934911, 'score': 0.9526627218934911, 'examples_seen': 36799, 'step': 6000, 'algorithm': 'jarvis_march'},
{'in_hull': 0.9549929676511955, 'score': 0.9549929676511955, 'examples_seen': 37153, 'step': 6050, 'algorithm': 'jarvis_march'},
{'in_hull': 0.9587482219061166, 'score': 0.9587482219061166, 'examples_seen': 37396, 'step': 6100, 'algorithm': 'jarvis_march'},
{'in_hull': 0.9706513958482462, 'score': 0.9706513958482462, 'examples_seen': 37744, 'step': 6150, 'algorithm': 'jarvis_march'},
{'in_hull': 0.9537366548042704, 'score': 0.9537366548042704, 'examples_seen': 38008, 'step': 6200, 'algorithm': 'jarvis_march'},
{'in_hull': 0.9343575418994413, 'score': 0.9343575418994413, 'examples_seen': 38356, 'step': 6250, 'algorithm': 'jarvis_march'},
{'in_hull': 0.9550321199143468, 'score': 0.9550321199143468, 'examples_seen': 38668, 'step': 6300, 'algorithm': 'jarvis_march'},
{'in_hull': 0.945176960444136, 'score': 0.945176960444136, 'examples_seen': 38964, 'step': 6350, 'algorithm': 'jarvis_march'},
{'in_hull': 0.9408450704225353, 'score': 0.9408450704225353, 'examples_seen': 39278, 'step': 6400, 'algorithm': 'jarvis_march'},
{'in_hull': 0.9536231884057972, 'score': 0.9536231884057972, 'examples_seen': 39568, 'step': 6450, 'algorithm': 'jarvis_march'},
{'in_hull': 0.9551601423487543, 'score': 0.9551601423487543, 'examples_seen': 39897, 'step': 6500, 'algorithm': 'jarvis_march'},
{'in_hull': 0.9698668535388927, 'score': 0.9698668535388927, 'examples_seen': 40167, 'step': 6550, 'algorithm': 'jarvis_march'},
{'in_hull': 0.9575671852899574, 'score': 0.9575671852899574, 'examples_seen': 40515, 'step': 6600, 'algorithm': 'jarvis_march'},
{'in_hull': 0.9624911535739561, 'score': 0.9624911535739561, 'examples_seen': 40829, 'step': 6650, 'algorithm': 'jarvis_march'},
{'in_hull': 0.9485879797248371, 'score': 0.9485879797248371, 'examples_seen': 41098, 'step': 6700, 'algorithm': 'jarvis_march'},
{'in_hull': 0.9488103821196828, 'score': 0.9488103821196828, 'examples_seen': 41434, 'step': 6750, 'algorithm': 'jarvis_march'},
{'in_hull': 0.9666203059805285, 'score': 0.9666203059805285, 'examples_seen': 41713, 'step': 6800, 'algorithm': 'jarvis_march'},
{'in_hull': 0.9546079779917468, 'score': 0.9546079779917468, 'examples_seen': 42051, 'step': 6850, 'algorithm': 'jarvis_march'},
{'in_hull': 0.9634601043997018, 'score': 0.9634601043997018, 'examples_seen': 42323, 'step': 6900, 'algorithm': 'jarvis_march'},
{'in_hull': 0.9676491732566499, 'score': 0.9676491732566499, 'examples_seen': 42646, 'step': 6950, 'algorithm': 'jarvis_march'},
{'in_hull': 0.9562724014336917, 'score': 0.9562724014336917, 'examples_seen': 42974, 'step': 7000, 'algorithm': 'jarvis_march'},
{'in_hull': 0.9643605870020965, 'score': 0.9643605870020965, 'examples_seen': 43260, 'step': 7050, 'algorithm': 'jarvis_march'},
{'in_hull': 0.955032119914347, 'score': 0.955032119914347, 'examples_seen': 43584, 'step': 7100, 'algorithm': 'jarvis_march'},
{'in_hull': 0.953604568165596, 'score': 0.953604568165596, 'examples_seen': 43868, 'step': 7150, 'algorithm': 'jarvis_march'},
{'in_hull': 0.9527896995708154, 'score': 0.9527896995708154, 'examples_seen': 44198, 'step': 7200, 'algorithm': 'jarvis_march'},
{'in_hull': 0.9594694178334562, 'score': 0.9594694178334562, 'examples_seen': 44464, 'step': 7250, 'algorithm': 'jarvis_march'},
{'in_hull': 0.9584245076586434, 'score': 0.9584245076586434, 'examples_seen': 44800, 'step': 7300, 'algorithm': 'jarvis_march'},
{'in_hull': 0.9596478356566397, 'score': 0.9596478356566397, 'examples_seen': 45128, 'step': 7350, 'algorithm': 'jarvis_march'},
{'in_hull': 0.9541284403669724, 'score': 0.9541284403669724, 'examples_seen': 45414, 'step': 7400, 'algorithm': 'jarvis_march'},
{'in_hull': 0.9602272727272727, 'score': 0.9602272727272727, 'examples_seen': 45738, 'step': 7450, 'algorithm': 'jarvis_march'},
{'in_hull': 0.9486823855755895, 'score': 0.9486823855755895, 'examples_seen': 45998, 'step': 7500, 'algorithm': 'jarvis_march'},
{'in_hull': 0.964722822174226, 'score': 0.964722822174226, 'examples_seen': 46330, 'step': 7550, 'algorithm': 'jarvis_march'},
{'in_hull': 0.9336316181953767, 'score': 0.9336316181953767, 'examples_seen': 46612, 'step': 7600, 'algorithm': 'jarvis_march'},
{'in_hull': 0.9593727726300784, 'score': 0.9593727726300784, 'examples_seen': 46949, 'step': 7650, 'algorithm': 'jarvis_march'},
{'in_hull': 0.9604031677465802, 'score': 0.9604031677465802, 'examples_seen': 47270, 'step': 7700, 'algorithm': 'jarvis_march'},
{'in_hull': 0.9638205499276411, 'score': 0.9638205499276411, 'examples_seen': 47560, 'step': 7750, 'algorithm': 'jarvis_march'},
{'in_hull': 0.9459264599855803, 'score': 0.9459264599855803, 'examples_seen': 47897, 'step': 7800, 'algorithm': 'jarvis_march'},
{'in_hull': 0.9619883040935672, 'score': 0.9619883040935672, 'examples_seen': 48152, 'step': 7850, 'algorithm': 'jarvis_march'},
{'in_hull': 0.9628550619082301, 'score': 0.9628550619082301, 'examples_seen': 48487, 'step': 7900, 'algorithm': 'jarvis_march'},
