{'in_mst': 0.4100502512562814, 'score': 0.4100502512562814, 'examples_seen': 97958, 'step': 2300, 'algorithm': 'mst_kruskal'},
{'in_mst': 0.5581249016831838, 'score': 0.5581249016831838, 'examples_seen': 99734, 'step': 2350, 'algorithm': 'mst_kruskal'},
{'in_mst': 0.662458757710515, 'score': 0.662458757710515, 'examples_seen': 102054, 'step': 2400, 'algorithm': 'mst_kruskal'},
{'in_mst': 0.5983167559296098, 'score': 0.5983167559296098, 'examples_seen': 104246, 'step': 2450, 'algorithm': 'mst_kruskal'},
{'in_mst': 0.6523210177290568, 'score': 0.6523210177290568, 'examples_seen': 106234, 'step': 2500, 'algorithm': 'mst_kruskal'},
{'in_mst': 0.6457761732851985, 'score': 0.6457761732851985, 'examples_seen': 108618, 'step': 2550, 'algorithm': 'mst_kruskal'},
{'in_mst': 0.5534538321423568, 'score': 0.5534538321423568, 'examples_seen': 110458, 'step': 2600, 'algorithm': 'mst_kruskal'},
{'in_mst': 0.5115034777956126, 'score': 0.5115034777956126, 'examples_seen': 112826, 'step': 2650, 'algorithm': 'mst_kruskal'},
{'in_mst': 0.6804044541149368, 'score': 0.6804044541149368, 'examples_seen': 114668, 'step': 2700, 'algorithm': 'mst_kruskal'},
{'in_mst': 0.6008389803162311, 'score': 0.6008389803162311, 'examples_seen': 117074, 'step': 2750, 'algorithm': 'mst_kruskal'},
{'in_mst': 0.5939095229713078, 'score': 0.5939095229713078, 'examples_seen': 119211, 'step': 2800, 'algorithm': 'mst_kruskal'},
{'in_mst': 0.5548874763786291, 'score': 0.5548874763786291, 'examples_seen': 121192, 'step': 2850, 'algorithm': 'mst_kruskal'},
{'in_mst': 0.5644853875476493, 'score': 0.5644853875476493, 'examples_seen': 123484, 'step': 2900, 'algorithm': 'mst_kruskal'},
{'in_mst': 0.5475409836065573, 'score': 0.5475409836065573, 'examples_seen': 125366, 'step': 2950, 'algorithm': 'mst_kruskal'},
{'in_mst': 0.5766365509589475, 'score': 0.5766365509589475, 'examples_seen': 127739, 'step': 3000, 'algorithm': 'mst_kruskal'},
{'in_mst': 0.5560266505148395, 'score': 0.5560266505148395, 'examples_seen': 129516, 'step': 3050, 'algorithm': 'mst_kruskal'},
{'in_mst': 0.47368421052631576, 'score': 0.47368421052631576, 'examples_seen': 131935, 'step': 3100, 'algorithm': 'mst_kruskal'},
{'in_mst': 0.620903454384411, 'score': 0.620903454384411, 'examples_seen': 134120, 'step': 3150, 'algorithm': 'mst_kruskal'},
{'in_mst': 0.5599315068493151, 'score': 0.5599315068493151, 'examples_seen': 136095, 'step': 3200, 'algorithm': 'mst_kruskal'},
{'in_mst': 0.6485966319165998, 'score': 0.6485966319165998, 'examples_seen': 138415, 'step': 3250, 'algorithm': 'mst_kruskal'},
{'in_mst': 0.5966139124033861, 'score': 0.5966139124033861, 'examples_seen': 140248, 'step': 3300, 'algorithm': 'mst_kruskal'},
{'in_mst': 0.4770813844714686, 'score': 0.4770813844714686, 'examples_seen': 142637, 'step': 3350, 'algorithm': 'mst_kruskal'},
{'in_mst': 0.4826595526369793, 'score': 0.4826595526369793, 'examples_seen': 144472, 'step': 3400, 'algorithm': 'mst_kruskal'},
{'in_mst': 0.601118527872993, 'score': 0.601118527872993, 'examples_seen': 146862, 'step': 3450, 'algorithm': 'mst_kruskal'},
{'in_mst': 0.4656833824975419, 'score': 0.4656833824975419, 'examples_seen': 149040, 'step': 3500, 'algorithm': 'mst_kruskal'},
{'in_mst': 0.5722201699298116, 'score': 0.5722201699298116, 'examples_seen': 151029, 'step': 3550, 'algorithm': 'mst_kruskal'},
{'in_mst': 0.6259087904824852, 'score': 0.6259087904824852, 'examples_seen': 153376, 'step': 3600, 'algorithm': 'mst_kruskal'},
{'in_mst': 0.47175732217573224, 'score': 0.47175732217573224, 'examples_seen': 155206, 'step': 3650, 'algorithm': 'mst_kruskal'},
{'in_mst': 0.693933665578278, 'score': 0.693933665578278, 'examples_seen': 157570, 'step': 3700, 'algorithm': 'mst_kruskal'},
{'in_mst': 0.6798520204894707, 'score': 0.6798520204894707, 'examples_seen': 159410, 'step': 3750, 'algorithm': 'mst_kruskal'},
{'in_mst': 0.6239276243955701, 'score': 0.6239276243955701, 'examples_seen': 161824, 'step': 3800, 'algorithm': 'mst_kruskal'},
{'in_mst': 0.434418047514474, 'score': 0.434418047514474, 'examples_seen': 163961, 'step': 3850, 'algorithm': 'mst_kruskal'},
{'in_mst': 0.7155416480405306, 'score': 0.7155416480405306, 'examples_seen': 166000, 'step': 3900, 'algorithm': 'mst_kruskal'},
{'in_mst': 0.6363051174766656, 'score': 0.6363051174766656, 'examples_seen': 168275, 'step': 3950, 'algorithm': 'mst_kruskal'},
{'in_mst': 0.5823442136498517, 'score': 0.5823442136498517, 'examples_seen': 170135, 'step': 4000, 'algorithm': 'mst_kruskal'},
{'in_mst': 0.47704447632711616, 'score': 0.47704447632711616, 'examples_seen': 172525, 'step': 4050, 'algorithm': 'mst_kruskal'},
{'in_mst': 0.5743440233236152, 'score': 0.5743440233236152, 'examples_seen': 174340, 'step': 4100, 'algorithm': 'mst_kruskal'},
{'in_mst': 0.7474663334721644, 'score': 0.7474663334721644, 'examples_seen': 176695, 'step': 4150, 'algorithm': 'mst_kruskal'},
{'in_mst': 0.6119425547996976, 'score': 0.6119425547996976, 'examples_seen': 178898, 'step': 4200, 'algorithm': 'mst_kruskal'},
{'in_mst': 0.633147113594041, 'score': 0.633147113594041, 'examples_seen': 180855, 'step': 4250, 'algorithm': 'mst_kruskal'},
{'in_mst': 0.5986523229696182, 'score': 0.5986523229696182, 'examples_seen': 183197, 'step': 4300, 'algorithm': 'mst_kruskal'},
{'in_mst': 0.5743388134381701, 'score': 0.5743388134381701, 'examples_seen': 185042, 'step': 4350, 'algorithm': 'mst_kruskal'},
{'in_mst': 0.5139412207987943, 'score': 0.5139412207987943, 'examples_seen': 187400, 'step': 4400, 'algorithm': 'mst_kruskal'},
{'in_mst': 0.6183069099611128, 'score': 0.6183069099611128, 'examples_seen': 189208, 'step': 4450, 'algorithm': 'mst_kruskal'},
{'in_mst': 0.5753179294286226, 'score': 0.5753179294286226, 'examples_seen': 191566, 'step': 4500, 'algorithm': 'mst_kruskal'},
{'in_mst': 0.5513477757565735, 'score': 0.5513477757565735, 'examples_seen': 193736, 'step': 4550, 'algorithm': 'mst_kruskal'},
{'in_mst': 0.5658885542168675, 'score': 0.5658885542168675, 'examples_seen': 195702, 'step': 4600, 'algorithm': 'mst_kruskal'},
{'in_mst': 0.5391098624870619, 'score': 0.5391098624870619, 'examples_seen': 198056, 'step': 4650, 'algorithm': 'mst_kruskal'},
{'in_mst': 0.5270813397129187, 'score': 0.5270813397129187, 'examples_seen': 199869, 'step': 4700, 'algorithm': 'mst_kruskal'},
{'in_mst': 0.6239872915011914, 'score': 0.6239872915011914, 'examples_seen': 202193, 'step': 4750, 'algorithm': 'mst_kruskal'},
{'in_mst': 0.6383619391749472, 'score': 0.6383619391749472, 'examples_seen': 204040, 'step': 4800, 'algorithm': 'mst_kruskal'},
{'in_mst': 0.5199394245330641, 'score': 0.5199394245330641, 'examples_seen': 206381, 'step': 4850, 'algorithm': 'mst_kruskal'},
{'in_mst': 0.531499405671591, 'score': 0.531499405671591, 'examples_seen': 208547, 'step': 4900, 'algorithm': 'mst_kruskal'},
{'in_mst': 0.5479358580689185, 'score': 0.5479358580689185, 'examples_seen': 210551, 'step': 4950, 'algorithm': 'mst_kruskal'},
{'in_mst': 0.5180245133381399, 'score': 0.5180245133381399, 'examples_seen': 212855, 'step': 5000, 'algorithm': 'mst_kruskal'},
{'in_mst': 0.6987532618150187, 'score': 0.6987532618150187, 'examples_seen': 214676, 'step': 5050, 'algorithm': 'mst_kruskal'},
{'in_mst': 0.488248673237301, 'score': 0.488248673237301, 'examples_seen': 217032, 'step': 5100, 'algorithm': 'mst_kruskal'},
{'in_mst': 0.6174113812304767, 'score': 0.6174113812304767, 'examples_seen': 218816, 'step': 5150, 'algorithm': 'mst_kruskal'},
