{'intersect': 0.7932988420793299, 'score': 0.7932988420793299, 'examples_seen': 120240, 'step': 2350, 'algorithm': 'segments_intersect'},
{'intersect': 0.8087994383337234, 'score': 0.8087994383337234, 'examples_seen': 122864, 'step': 2400, 'algorithm': 'segments_intersect'},
{'intersect': 0.7717434081070446, 'score': 0.7717434081070446, 'examples_seen': 125488, 'step': 2450, 'algorithm': 'segments_intersect'},
{'intersect': 0.7909407665505226, 'score': 0.7909407665505226, 'examples_seen': 128048, 'step': 2500, 'algorithm': 'segments_intersect'},
{'intersect': 0.805528134254689, 'score': 0.805528134254689, 'examples_seen': 130512, 'step': 2550, 'algorithm': 'segments_intersect'},
{'intersect': 0.8204651162790698, 'score': 0.8204651162790698, 'examples_seen': 133136, 'step': 2600, 'algorithm': 'segments_intersect'},
{'intersect': 0.8154696132596686, 'score': 0.8154696132596686, 'examples_seen': 135760, 'step': 2650, 'algorithm': 'segments_intersect'},
{'intersect': 0.7522727272727273, 'score': 0.7522727272727273, 'examples_seen': 138160, 'step': 2700, 'algorithm': 'segments_intersect'},
{'intersect': 0.7969409282700421, 'score': 0.7969409282700421, 'examples_seen': 140784, 'step': 2750, 'algorithm': 'segments_intersect'},
{'intersect': 0.8208651399491094, 'score': 0.8208651399491094, 'examples_seen': 143408, 'step': 2800, 'algorithm': 'segments_intersect'},
{'intersect': 0.8385063045586809, 'score': 0.8385063045586809, 'examples_seen': 145968, 'step': 2850, 'algorithm': 'segments_intersect'},
{'intersect': 0.8409298085688239, 'score': 0.8409298085688239, 'examples_seen': 148432, 'step': 2900, 'algorithm': 'segments_intersect'},
{'intersect': 0.8368970661362507, 'score': 0.8368970661362507, 'examples_seen': 151056, 'step': 2950, 'algorithm': 'segments_intersect'},
{'intersect': 0.8657149770142754, 'score': 0.8657149770142754, 'examples_seen': 153680, 'step': 3000, 'algorithm': 'segments_intersect'},
{'intersect': 0.8318675633729954, 'score': 0.8318675633729954, 'examples_seen': 156080, 'step': 3050, 'algorithm': 'segments_intersect'},
{'intersect': 0.8529688972667295, 'score': 0.8529688972667295, 'examples_seen': 158704, 'step': 3100, 'algorithm': 'segments_intersect'},
{'intersect': 0.8732525629077352, 'score': 0.8732525629077352, 'examples_seen': 161328, 'step': 3150, 'algorithm': 'segments_intersect'},
{'intersect': 0.8495305759959401, 'score': 0.8495305759959401, 'examples_seen': 163888, 'step': 3200, 'algorithm': 'segments_intersect'},
{'intersect': 0.8444929116684842, 'score': 0.8444929116684842, 'examples_seen': 166352, 'step': 3250, 'algorithm': 'segments_intersect'},
{'intersect': 0.8471953578336556, 'score': 0.8471953578336556, 'examples_seen': 168976, 'step': 3300, 'algorithm': 'segments_intersect'},
{'intersect': 0.8710340104998859, 'score': 0.8710340104998859, 'examples_seen': 171600, 'step': 3350, 'algorithm': 'segments_intersect'},
{'intersect': 0.8568176644661961, 'score': 0.8568176644661961, 'examples_seen': 174000, 'step': 3400, 'algorithm': 'segments_intersect'},
{'intersect': 0.8618556701030928, 'score': 0.8618556701030928, 'examples_seen': 176624, 'step': 3450, 'algorithm': 'segments_intersect'},
{'intersect': 0.8686868686868686, 'score': 0.8686868686868686, 'examples_seen': 179248, 'step': 3500, 'algorithm': 'segments_intersect'},
{'intersect': 0.8755555555555555, 'score': 0.8755555555555555, 'examples_seen': 181808, 'step': 3550, 'algorithm': 'segments_intersect'},
{'intersect': 0.8799805636540331, 'score': 0.8799805636540331, 'examples_seen': 184272, 'step': 3600, 'algorithm': 'segments_intersect'},
{'intersect': 0.8883471477328132, 'score': 0.8883471477328132, 'examples_seen': 186896, 'step': 3650, 'algorithm': 'segments_intersect'},
{'intersect': 0.8826864369821193, 'score': 0.8826864369821193, 'examples_seen': 189520, 'step': 3700, 'algorithm': 'segments_intersect'},
{'intersect': 0.8729146221786065, 'score': 0.8729146221786065, 'examples_seen': 191920, 'step': 3750, 'algorithm': 'segments_intersect'},
{'intersect': 0.8842156151800821, 'score': 0.8842156151800821, 'examples_seen': 194544, 'step': 3800, 'algorithm': 'segments_intersect'},
{'intersect': 0.8791106993978695, 'score': 0.8791106993978695, 'examples_seen': 197168, 'step': 3850, 'algorithm': 'segments_intersect'},
{'intersect': 0.8889439762022806, 'score': 0.8889439762022806, 'examples_seen': 199728, 'step': 3900, 'algorithm': 'segments_intersect'},
{'intersect': 0.8929159802306426, 'score': 0.8929159802306426, 'examples_seen': 202192, 'step': 3950, 'algorithm': 'segments_intersect'},
{'intersect': 0.8764779874213836, 'score': 0.8764779874213836, 'examples_seen': 204816, 'step': 4000, 'algorithm': 'segments_intersect'},
{'intersect': 0.8901759857429272, 'score': 0.8901759857429272, 'examples_seen': 207440, 'step': 4050, 'algorithm': 'segments_intersect'},
{'intersect': 0.8865485878410723, 'score': 0.8865485878410723, 'examples_seen': 209840, 'step': 4100, 'algorithm': 'segments_intersect'},
{'intersect': 0.8898816171543444, 'score': 0.8898816171543444, 'examples_seen': 212464, 'step': 4150, 'algorithm': 'segments_intersect'},
{'intersect': 0.8852531505637852, 'score': 0.8852531505637852, 'examples_seen': 215088, 'step': 4200, 'algorithm': 'segments_intersect'},
