{'pi': 0.9954268292682927, 'score': 0.9954268292682927, 'examples_seen': 235513, 'step': 2500, 'algorithm': 'bfs'},
{'pi': 0.9969512195121951, 'score': 0.9969512195121951, 'examples_seen': 240242, 'step': 2550, 'algorithm': 'bfs'},
{'pi': 0.9946646341463414, 'score': 0.9946646341463414, 'examples_seen': 244928, 'step': 2600, 'algorithm': 'bfs'},
{'pi': 0.9965701219512195, 'score': 0.9965701219512195, 'examples_seen': 249491, 'step': 2650, 'algorithm': 'bfs'},
{'pi': 0.9927591463414634, 'score': 0.9927591463414634, 'examples_seen': 254270, 'step': 2700, 'algorithm': 'bfs'},
{'pi': 0.9965701219512195, 'score': 0.9965701219512195, 'examples_seen': 259085, 'step': 2750, 'algorithm': 'bfs'},
{'pi': 0.995045731707317, 'score': 0.995045731707317, 'examples_seen': 263827, 'step': 2800, 'algorithm': 'bfs'},
{'pi': 0.9954268292682927, 'score': 0.9954268292682927, 'examples_seen': 268562, 'step': 2850, 'algorithm': 'bfs'},
{'pi': 0.9927591463414634, 'score': 0.9927591463414634, 'examples_seen': 273298, 'step': 2900, 'algorithm': 'bfs'},
{'pi': 0.9881859756097561, 'score': 0.9881859756097561, 'examples_seen': 277896, 'step': 2950, 'algorithm': 'bfs'},
{'pi': 0.9942835365853658, 'score': 0.9942835365853658, 'examples_seen': 282533, 'step': 3000, 'algorithm': 'bfs'},
{'pi': 0.995045731707317, 'score': 0.995045731707317, 'examples_seen': 287270, 'step': 3050, 'algorithm': 'bfs'},
{'pi': 0.9961890243902439, 'score': 0.9961890243902439, 'examples_seen': 292006, 'step': 3100, 'algorithm': 'bfs'},
{'pi': 0.9969512195121951, 'score': 0.9969512195121951, 'examples_seen': 296792, 'step': 3150, 'algorithm': 'bfs'},
{'pi': 0.9984756097560976, 'score': 0.9984756097560976, 'examples_seen': 301544, 'step': 3200, 'algorithm': 'bfs'},
{'pi': 0.9904725609756098, 'score': 0.9904725609756098, 'examples_seen': 306269, 'step': 3250, 'algorithm': 'bfs'},
{'pi': 0.9946646341463414, 'score': 0.9946646341463414, 'examples_seen': 310857, 'step': 3300, 'algorithm': 'bfs'},
{'pi': 0.9958079268292683, 'score': 0.9958079268292683, 'examples_seen': 315572, 'step': 3350, 'algorithm': 'bfs'},
{'pi': 0.9965701219512195, 'score': 0.9965701219512195, 'examples_seen': 320345, 'step': 3400, 'algorithm': 'bfs'},
{'pi': 0.9969512195121951, 'score': 0.9969512195121951, 'examples_seen': 325097, 'step': 3450, 'algorithm': 'bfs'},
{'pi': 0.9927591463414634, 'score': 0.9927591463414634, 'examples_seen': 329877, 'step': 3500, 'algorithm': 'bfs'},
{'pi': 0.9939024390243902, 'score': 0.9939024390243902, 'examples_seen': 334587, 'step': 3550, 'algorithm': 'bfs'},
{'pi': 0.9939024390243902, 'score': 0.9939024390243902, 'examples_seen': 339163, 'step': 3600, 'algorithm': 'bfs'},
{'pi': 0.9958079268292683, 'score': 0.9958079268292683, 'examples_seen': 343774, 'step': 3650, 'algorithm': 'bfs'},
{'pi': 0.993140243902439, 'score': 0.993140243902439, 'examples_seen': 348503, 'step': 3700, 'algorithm': 'bfs'},
{'pi': 0.9988567073170732, 'score': 0.9988567073170732, 'examples_seen': 353282, 'step': 3750, 'algorithm': 'bfs'},
{'pi': 0.9973323170731707, 'score': 0.9973323170731707, 'examples_seen': 358069, 'step': 3800, 'algorithm': 'bfs'},
{'pi': 0.9954268292682927, 'score': 0.9954268292682927, 'examples_seen': 362824, 'step': 3850, 'algorithm': 'bfs'},
{'pi': 0.9961890243902439, 'score': 0.9961890243902439, 'examples_seen': 367478, 'step': 3900, 'algorithm': 'bfs'},
{'pi': 0.9988567073170732, 'score': 0.9988567073170732, 'examples_seen': 372008, 'step': 3950, 'algorithm': 'bfs'},
{'pi': 0.9980945121951219, 'score': 0.9980945121951219, 'examples_seen': 376748, 'step': 4000, 'algorithm': 'bfs'},
{'pi': 0.9980945121951219, 'score': 0.9980945121951219, 'examples_seen': 381478, 'step': 4050, 'algorithm': 'bfs'},
{'pi': 0.9973323170731707, 'score': 0.9973323170731707, 'examples_seen': 386237, 'step': 4100, 'algorithm': 'bfs'},
{'pi': 0.9984756097560976, 'score': 0.9984756097560976, 'examples_seen': 391002, 'step': 4150, 'algorithm': 'bfs'},
{'pi': 0.9984756097560976, 'score': 0.9984756097560976, 'examples_seen': 395736, 'step': 4200, 'algorithm': 'bfs'},
{'pi': 0.9961890243902439, 'score': 0.9961890243902439, 'examples_seen': 400296, 'step': 4250, 'algorithm': 'bfs'},
{'pi': 0.995045731707317, 'score': 0.995045731707317, 'examples_seen': 404872, 'step': 4300, 'algorithm': 'bfs'},
{'pi': 0.9961890243902439, 'score': 0.9961890243902439, 'examples_seen': 409610, 'step': 4350, 'algorithm': 'bfs'},
{'pi': 0.9923780487804879, 'score': 0.9923780487804879, 'examples_seen': 414369, 'step': 4400, 'algorithm': 'bfs'},
{'pi': 0.9988567073170732, 'score': 0.9988567073170732, 'examples_seen': 419131, 'step': 4450, 'algorithm': 'bfs'},
{'pi': 0.9984756097560976, 'score': 0.9984756097560976, 'examples_seen': 423833, 'step': 4500, 'algorithm': 'bfs'},
{'pi': 0.9958079268292683, 'score': 0.9958079268292683, 'examples_seen': 428526, 'step': 4550, 'algorithm': 'bfs'},
{'pi': 0.9965701219512195, 'score': 0.9965701219512195, 'examples_seen': 433087, 'step': 4600, 'algorithm': 'bfs'},
{'pi': 0.9969512195121951, 'score': 0.9969512195121951, 'examples_seen': 437856, 'step': 4650, 'algorithm': 'bfs'},
{'pi': 0.991234756097561, 'score': 0.991234756097561, 'examples_seen': 442602, 'step': 4700, 'algorithm': 'bfs'},
{'pi': 0.9988567073170732, 'score': 0.9988567073170732, 'examples_seen': 447398, 'step': 4750, 'algorithm': 'bfs'},
{'pi': 0.9935213414634146, 'score': 0.9935213414634146, 'examples_seen': 452097, 'step': 4800, 'algorithm': 'bfs'},
{'pi': 0.9992378048780488, 'score': 0.9992378048780488, 'examples_seen': 456771, 'step': 4850, 'algorithm': 'bfs'},
{'pi': 0.9878048780487805, 'score': 0.9878048780487805, 'examples_seen': 461406, 'step': 4900, 'algorithm': 'bfs'},
{'pi': 0.9973323170731707, 'score': 0.9973323170731707, 'examples_seen': 465980, 'step': 4950, 'algorithm': 'bfs'},
{'pi': 0.9954268292682927, 'score': 0.9954268292682927, 'examples_seen': 470733, 'step': 5000, 'algorithm': 'bfs'},
{'pi': 0.9996189024390244, 'score': 0.9996189024390244, 'examples_seen': 475465, 'step': 5050, 'algorithm': 'bfs'},
{'pi': 0.9946646341463414, 'score': 0.9946646341463414, 'examples_seen': 480178, 'step': 5100, 'algorithm': 'bfs'},
{'pi': 0.9980945121951219, 'score': 0.9980945121951219, 'examples_seen': 484948, 'step': 5150, 'algorithm': 'bfs'},
{'pi': 0.9984756097560976, 'score': 0.9984756097560976, 'examples_seen': 489631, 'step': 5200, 'algorithm': 'bfs'},
{'pi': 0.9980945121951219, 'score': 0.9980945121951219, 'examples_seen': 494161, 'step': 5250, 'algorithm': 'bfs'},
{'pi': 1.0, 'score': 1.0, 'examples_seen': 498973, 'step': 5300, 'algorithm': 'bfs'},
{'pi': 0.9973323170731707, 'score': 0.9973323170731707, 'examples_seen': 503722, 'step': 5350, 'algorithm': 'bfs'},
{'pi': 0.991234756097561, 'score': 0.991234756097561, 'examples_seen': 508523, 'step': 5400, 'algorithm': 'bfs'},
{'pi': 0.9977134146341463, 'score': 0.9977134146341463, 'examples_seen': 513235, 'step': 5450, 'algorithm': 'bfs'},
{'pi': 0.9992378048780488, 'score': 0.9992378048780488, 'examples_seen': 517958, 'step': 5500, 'algorithm': 'bfs'},
{'pi': 0.9961890243902439, 'score': 0.9961890243902439, 'examples_seen': 522541, 'step': 5550, 'algorithm': 'bfs'},
{'pi': 0.9942835365853658, 'score': 0.9942835365853658, 'examples_seen': 527187, 'step': 5600, 'algorithm': 'bfs'},
{'pi': 0.9988567073170732, 'score': 0.9988567073170732, 'examples_seen': 531963, 'step': 5650, 'algorithm': 'bfs'},
{'pi': 0.9980945121951219, 'score': 0.9980945121951219, 'examples_seen': 536707, 'step': 5700, 'algorithm': 'bfs'},
{'pi': 0.9954268292682927, 'score': 0.9954268292682927, 'examples_seen': 541414, 'step': 5750, 'algorithm': 'bfs'},
{'pi': 0.9969512195121951, 'score': 0.9969512195121951, 'examples_seen': 546216, 'step': 5800, 'algorithm': 'bfs'},
{'pi': 0.9988567073170732, 'score': 0.9988567073170732, 'examples_seen': 550864, 'step': 5850, 'algorithm': 'bfs'},
{'pi': 0.9984756097560976, 'score': 0.9984756097560976, 'examples_seen': 555408, 'step': 5900, 'algorithm': 'bfs'},
{'pi': 0.9973323170731707, 'score': 0.9973323170731707, 'examples_seen': 560154, 'step': 5950, 'algorithm': 'bfs'},
{'pi': 0.9935213414634146, 'score': 0.9935213414634146, 'examples_seen': 564918, 'step': 6000, 'algorithm': 'bfs'},
{'pi': 0.9946646341463414, 'score': 0.9946646341463414, 'examples_seen': 569731, 'step': 6050, 'algorithm': 'bfs'},
{'pi': 0.9958079268292683, 'score': 0.9958079268292683, 'examples_seen': 574462, 'step': 6100, 'algorithm': 'bfs'},
{'pi': 0.9946646341463414, 'score': 0.9946646341463414, 'examples_seen': 579204, 'step': 6150, 'algorithm': 'bfs'},
{'pi': 0.9946646341463414, 'score': 0.9946646341463414, 'examples_seen': 583870, 'step': 6200, 'algorithm': 'bfs'},
{'pi': 0.9992378048780488, 'score': 0.9992378048780488, 'examples_seen': 588459, 'step': 6250, 'algorithm': 'bfs'},
{'pi': 0.9980945121951219, 'score': 0.9980945121951219, 'examples_seen': 593232, 'step': 6300, 'algorithm': 'bfs'},
{'pi': 0.9980945121951219, 'score': 0.9980945121951219, 'examples_seen': 597947, 'step': 6350, 'algorithm': 'bfs'},
{'pi': 0.9969512195121951, 'score': 0.9969512195121951, 'examples_seen': 602763, 'step': 6400, 'algorithm': 'bfs'},
{'pi': 0.9946646341463414, 'score': 0.9946646341463414, 'examples_seen': 607486, 'step': 6450, 'algorithm': 'bfs'},
{'pi': 0.9988567073170732, 'score': 0.9988567073170732, 'examples_seen': 612168, 'step': 6500, 'algorithm': 'bfs'},
{'pi': 0.9984756097560976, 'score': 0.9984756097560976, 'examples_seen': 616731, 'step': 6550, 'algorithm': 'bfs'},
{'pi': 0.9961890243902439, 'score': 0.9961890243902439, 'examples_seen': 621488, 'step': 6600, 'algorithm': 'bfs'},
{'pi': 0.9980945121951219, 'score': 0.9980945121951219, 'examples_seen': 626252, 'step': 6650, 'algorithm': 'bfs'},
{'pi': 0.9988567073170732, 'score': 0.9988567073170732, 'examples_seen': 631001, 'step': 6700, 'algorithm': 'bfs'},
{'pi': 0.9969512195121951, 'score': 0.9969512195121951, 'examples_seen': 635742, 'step': 6750, 'algorithm': 'bfs'},
{'pi': 0.9992378048780488, 'score': 0.9992378048780488, 'examples_seen': 640438, 'step': 6800, 'algorithm': 'bfs'},
{'pi': 0.9980945121951219, 'score': 0.9980945121951219, 'examples_seen': 645047, 'step': 6850, 'algorithm': 'bfs'},
{'pi': 0.9984756097560976, 'score': 0.9984756097560976, 'examples_seen': 649626, 'step': 6900, 'algorithm': 'bfs'},
{'pi': 0.9980945121951219, 'score': 0.9980945121951219, 'examples_seen': 654355, 'step': 6950, 'algorithm': 'bfs'},
{'pi': 1.0, 'score': 1.0, 'examples_seen': 659069, 'step': 7000, 'algorithm': 'bfs'},
{'pi': 0.9973323170731707, 'score': 0.9973323170731707, 'examples_seen': 663875, 'step': 7050, 'algorithm': 'bfs'},
{'pi': 0.9977134146341463, 'score': 0.9977134146341463, 'examples_seen': 668612, 'step': 7100, 'algorithm': 'bfs'},
{'pi': 0.9973323170731707, 'score': 0.9973323170731707, 'examples_seen': 673293, 'step': 7150, 'algorithm': 'bfs'},
{'pi': 0.9980945121951219, 'score': 0.9980945121951219, 'examples_seen': 677884, 'step': 7200, 'algorithm': 'bfs'},
{'pi': 0.9973323170731707, 'score': 0.9973323170731707, 'examples_seen': 682664, 'step': 7250, 'algorithm': 'bfs'},
{'pi': 0.9961890243902439, 'score': 0.9961890243902439, 'examples_seen': 687385, 'step': 7300, 'algorithm': 'bfs'},
{'pi': 0.9980945121951219, 'score': 0.9980945121951219, 'examples_seen': 692137, 'step': 7350, 'algorithm': 'bfs'},
{'pi': 0.9988567073170732, 'score': 0.9988567073170732, 'examples_seen': 696882, 'step': 7400, 'algorithm': 'bfs'},
{'pi': 0.9965701219512195, 'score': 0.9965701219512195, 'examples_seen': 701636, 'step': 7450, 'algorithm': 'bfs'},
{'pi': 0.9988567073170732, 'score': 0.9988567073170732, 'examples_seen': 706262, 'step': 7500, 'algorithm': 'bfs'},
{'pi': 0.9988567073170732, 'score': 0.9988567073170732, 'examples_seen': 710880, 'step': 7550, 'algorithm': 'bfs'},
{'pi': 0.9916158536585366, 'score': 0.9916158536585366, 'examples_seen': 715683, 'step': 7600, 'algorithm': 'bfs'},
{'pi': 0.9965701219512195, 'score': 0.9965701219512195, 'examples_seen': 720426, 'step': 7650, 'algorithm': 'bfs'},
{'pi': 0.9965701219512195, 'score': 0.9965701219512195, 'examples_seen': 725176, 'step': 7700, 'algorithm': 'bfs'},
{'pi': 0.9996189024390244, 'score': 0.9996189024390244, 'examples_seen': 729914, 'step': 7750, 'algorithm': 'bfs'},
{'pi': 0.9988567073170732, 'score': 0.9988567073170732, 'examples_seen': 734592, 'step': 7800, 'algorithm': 'bfs'},
{'pi': 0.995045731707317, 'score': 0.995045731707317, 'examples_seen': 739165, 'step': 7850, 'algorithm': 'bfs'},
{'pi': 0.9961890243902439, 'score': 0.9961890243902439, 'examples_seen': 743955, 'step': 7900, 'algorithm': 'bfs'},
{'pi': 0.9980945121951219, 'score': 0.9980945121951219, 'examples_seen': 748721, 'step': 7950, 'algorithm': 'bfs'},
{'pi': 0.9988567073170732, 'score': 0.9988567073170732, 'examples_seen': 753504, 'step': 8000, 'algorithm': 'bfs'},
{'pi': 0.9992378048780488, 'score': 0.9992378048780488, 'examples_seen': 758173, 'step': 8050, 'algorithm': 'bfs'},
{'pi': 0.9992378048780488, 'score': 0.9992378048780488, 'examples_seen': 762905, 'step': 8100, 'algorithm': 'bfs'},
{'pi': 0.9988567073170732, 'score': 0.9988567073170732, 'examples_seen': 767529, 'step': 8150, 'algorithm': 'bfs'},
{'pi': 0.9954268292682927, 'score': 0.9954268292682927, 'examples_seen': 772114, 'step': 8200, 'algorithm': 'bfs'},
{'pi': 1.0, 'score': 1.0, 'examples_seen': 776835, 'step': 8250, 'algorithm': 'bfs'},
