{'topo_head': 0.75, 'score': 0.4769435975609756, 'examples_seen': 28673, 'step': 2500, 'algorithm': 'topological_sort'},
{'topo_head': 0.953125, 'score': 0.6227134146341463, 'examples_seen': 29271, 'step': 2550, 'algorithm': 'topological_sort'},
{'topo_head': 1.0, 'score': 0.6604420731707317, 'examples_seen': 29792, 'step': 2600, 'algorithm': 'topological_sort'},
{'topo_head': 0.96875, 'score': 0.6091844512195121, 'examples_seen': 30411, 'step': 2650, 'algorithm': 'topological_sort'},
{'topo_head': 0.984375, 'score': 0.6343368902439024, 'examples_seen': 30925, 'step': 2700, 'algorithm': 'topological_sort'},
{'topo_head': 0.921875, 'score': 0.571265243902439, 'examples_seen': 31554, 'step': 2750, 'algorithm': 'topological_sort'},
{'topo_head': 1.0, 'score': 0.6478658536585366, 'examples_seen': 32132, 'step': 2800, 'algorithm': 'topological_sort'},
{'topo_head': 0.9375, 'score': 0.5724085365853658, 'examples_seen': 32677, 'step': 2850, 'algorithm': 'topological_sort'},
{'topo_head': 0.984375, 'score': 0.6425304878048781, 'examples_seen': 33292, 'step': 2900, 'algorithm': 'topological_sort'},
{'topo_head': 0.953125, 'score': 0.5983231707317074, 'examples_seen': 33804, 'step': 2950, 'algorithm': 'topological_sort'},
{'topo_head': 0.984375, 'score': 0.6150914634146342, 'examples_seen': 34424, 'step': 3000, 'algorithm': 'topological_sort'},
{'topo_head': 0.953125, 'score': 0.6189024390243902, 'examples_seen': 34940, 'step': 3050, 'algorithm': 'topological_sort'},
{'topo_head': 0.9375, 'score': 0.6013719512195121, 'examples_seen': 35562, 'step': 3100, 'algorithm': 'topological_sort'},
{'topo_head': 0.96875, 'score': 0.5865091463414634, 'examples_seen': 36139, 'step': 3150, 'algorithm': 'topological_sort'},
{'topo_head': 0.921875, 'score': 0.6126143292682926, 'examples_seen': 36707, 'step': 3200, 'algorithm': 'topological_sort'},
{'topo_head': 0.921875, 'score': 0.5806021341463414, 'examples_seen': 37310, 'step': 3250, 'algorithm': 'topological_sort'},
{'topo_head': 0.875, 'score': 0.5285823170731707, 'examples_seen': 37836, 'step': 3300, 'algorithm': 'topological_sort'},
{'topo_head': 0.953125, 'score': 0.6185213414634146, 'examples_seen': 38453, 'step': 3350, 'algorithm': 'topological_sort'},
{'topo_head': 1.0, 'score': 0.6375762195121951, 'examples_seen': 38955, 'step': 3400, 'algorithm': 'topological_sort'},
{'topo_head': 0.984375, 'score': 0.641577743902439, 'examples_seen': 39580, 'step': 3450, 'algorithm': 'topological_sort'},
{'topo_head': 0.9375, 'score': 0.5832698170731707, 'examples_seen': 40163, 'step': 3500, 'algorithm': 'topological_sort'},
{'topo_head': 0.953125, 'score': 0.6105182926829268, 'examples_seen': 40716, 'step': 3550, 'algorithm': 'topological_sort'},
{'topo_head': 0.953125, 'score': 0.6028963414634146, 'examples_seen': 41323, 'step': 3600, 'algorithm': 'topological_sort'},
{'topo_head': 0.609375, 'score': 0.41539634146341464, 'examples_seen': 41843, 'step': 3650, 'algorithm': 'topological_sort'},
