{'median': 0.114501953125, 'score': 0.114501953125, 'examples_seen': 47666, 'step': 2700, 'algorithm': 'quickselect'},
{'median': 0.065673828125, 'score': 0.065673828125, 'examples_seen': 48623, 'step': 2750, 'algorithm': 'quickselect'},
{'median': 0.088623046875, 'score': 0.088623046875, 'examples_seen': 49569, 'step': 2800, 'algorithm': 'quickselect'},
{'median': 0.127685546875, 'score': 0.127685546875, 'examples_seen': 50369, 'step': 2850, 'algorithm': 'quickselect'},
{'median': 0.1025390625, 'score': 0.1025390625, 'examples_seen': 51336, 'step': 2900, 'algorithm': 'quickselect'},
{'median': 0.119873046875, 'score': 0.119873046875, 'examples_seen': 52104, 'step': 2950, 'algorithm': 'quickselect'},
{'median': 0.017333984375, 'score': 0.017333984375, 'examples_seen': 53087, 'step': 3000, 'algorithm': 'quickselect'},
{'median': 0.12353515625, 'score': 0.12353515625, 'examples_seen': 53859, 'step': 3050, 'algorithm': 'quickselect'},
{'median': 0.10888671875, 'score': 0.10888671875, 'examples_seen': 54834, 'step': 3100, 'algorithm': 'quickselect'},
{'median': 0.109619140625, 'score': 0.109619140625, 'examples_seen': 55746, 'step': 3150, 'algorithm': 'quickselect'},
{'median': 0.136962890625, 'score': 0.136962890625, 'examples_seen': 56585, 'step': 3200, 'algorithm': 'quickselect'},
{'median': 0.14306640625, 'score': 0.14306640625, 'examples_seen': 57535, 'step': 3250, 'algorithm': 'quickselect'},
{'median': 0.119384765625, 'score': 0.119384765625, 'examples_seen': 58310, 'step': 3300, 'algorithm': 'quickselect'},
{'median': 0.106201171875, 'score': 0.106201171875, 'examples_seen': 59278, 'step': 3350, 'algorithm': 'quickselect'},
{'median': 0.13818359375, 'score': 0.13818359375, 'examples_seen': 60048, 'step': 3400, 'algorithm': 'quickselect'},
{'median': 0.126708984375, 'score': 0.126708984375, 'examples_seen': 61021, 'step': 3450, 'algorithm': 'quickselect'},
{'median': 0.092041015625, 'score': 0.092041015625, 'examples_seen': 61940, 'step': 3500, 'algorithm': 'quickselect'},
{'median': 0.10888671875, 'score': 0.10888671875, 'examples_seen': 62767, 'step': 3550, 'algorithm': 'quickselect'},
{'median': 0.106201171875, 'score': 0.106201171875, 'examples_seen': 63716, 'step': 3600, 'algorithm': 'quickselect'},
{'median': 0.116455078125, 'score': 0.116455078125, 'examples_seen': 64492, 'step': 3650, 'algorithm': 'quickselect'},
{'median': 0.119140625, 'score': 0.119140625, 'examples_seen': 65447, 'step': 3700, 'algorithm': 'quickselect'},
{'median': 0.087646484375, 'score': 0.087646484375, 'examples_seen': 66214, 'step': 3750, 'algorithm': 'quickselect'},
{'median': 0.126220703125, 'score': 0.126220703125, 'examples_seen': 67191, 'step': 3800, 'algorithm': 'quickselect'},
{'median': 0.121826171875, 'score': 0.121826171875, 'examples_seen': 68106, 'step': 3850, 'algorithm': 'quickselect'},
{'median': 0.142578125, 'score': 0.142578125, 'examples_seen': 68931, 'step': 3900, 'algorithm': 'quickselect'},
{'median': 0.136962890625, 'score': 0.136962890625, 'examples_seen': 69878, 'step': 3950, 'algorithm': 'quickselect'},
{'median': 0.04541015625, 'score': 0.04541015625, 'examples_seen': 70659, 'step': 4000, 'algorithm': 'quickselect'},
{'median': 0.077880859375, 'score': 0.077880859375, 'examples_seen': 71631, 'step': 4050, 'algorithm': 'quickselect'},
{'median': 0.116455078125, 'score': 0.116455078125, 'examples_seen': 72399, 'step': 4100, 'algorithm': 'quickselect'},
{'median': 0.126708984375, 'score': 0.126708984375, 'examples_seen': 73374, 'step': 4150, 'algorithm': 'quickselect'},
{'median': 0.09326171875, 'score': 0.09326171875, 'examples_seen': 74282, 'step': 4200, 'algorithm': 'quickselect'},
{'median': 0.116943359375, 'score': 0.116943359375, 'examples_seen': 75115, 'step': 4250, 'algorithm': 'quickselect'},
{'median': 0.119384765625, 'score': 0.119384765625, 'examples_seen': 76064, 'step': 4300, 'algorithm': 'quickselect'},
{'median': 0.111572265625, 'score': 0.111572265625, 'examples_seen': 76862, 'step': 4350, 'algorithm': 'quickselect'},
{'median': 0.094970703125, 'score': 0.094970703125, 'examples_seen': 77811, 'step': 4400, 'algorithm': 'quickselect'},
{'median': 0.07763671875, 'score': 0.07763671875, 'examples_seen': 78582, 'step': 4450, 'algorithm': 'quickselect'},
{'median': 0.09521484375, 'score': 0.09521484375, 'examples_seen': 79557, 'step': 4500, 'algorithm': 'quickselect'},
{'median': 0.053466796875, 'score': 0.053466796875, 'examples_seen': 80494, 'step': 4550, 'algorithm': 'quickselect'},
{'median': 0.057373046875, 'score': 0.057373046875, 'examples_seen': 81308, 'step': 4600, 'algorithm': 'quickselect'},
{'median': 0.0908203125, 'score': 0.0908203125, 'examples_seen': 82283, 'step': 4650, 'algorithm': 'quickselect'},
{'median': 0.140625, 'score': 0.140625, 'examples_seen': 83054, 'step': 4700, 'algorithm': 'quickselect'},
{'median': 0.065185546875, 'score': 0.065185546875, 'examples_seen': 84004, 'step': 4750, 'algorithm': 'quickselect'},
{'median': 0.10498046875, 'score': 0.10498046875, 'examples_seen': 84785, 'step': 4800, 'algorithm': 'quickselect'},
{'median': 0.145263671875, 'score': 0.145263671875, 'examples_seen': 85752, 'step': 4850, 'algorithm': 'quickselect'},
{'median': 0.126708984375, 'score': 0.126708984375, 'examples_seen': 86681, 'step': 4900, 'algorithm': 'quickselect'},
{'median': 0.10546875, 'score': 0.10546875, 'examples_seen': 87515, 'step': 4950, 'algorithm': 'quickselect'},
{'median': 0.126220703125, 'score': 0.126220703125, 'examples_seen': 88452, 'step': 5000, 'algorithm': 'quickselect'},
{'median': 0.178955078125, 'score': 0.178955078125, 'examples_seen': 89225, 'step': 5050, 'algorithm': 'quickselect'},
{'median': 0.165283203125, 'score': 0.165283203125, 'examples_seen': 90192, 'step': 5100, 'algorithm': 'quickselect'},
{'median': 0.091552734375, 'score': 0.091552734375, 'examples_seen': 90964, 'step': 5150, 'algorithm': 'quickselect'},
{'median': 0.114990234375, 'score': 0.114990234375, 'examples_seen': 91928, 'step': 5200, 'algorithm': 'quickselect'},
{'median': 0.103515625, 'score': 0.103515625, 'examples_seen': 92852, 'step': 5250, 'algorithm': 'quickselect'},
{'median': 0.150146484375, 'score': 0.150146484375, 'examples_seen': 93687, 'step': 5300, 'algorithm': 'quickselect'},
{'median': 0.164306640625, 'score': 0.164306640625, 'examples_seen': 94642, 'step': 5350, 'algorithm': 'quickselect'},
{'median': 0.116455078125, 'score': 0.116455078125, 'examples_seen': 95415, 'step': 5400, 'algorithm': 'quickselect'},
{'median': 0.10205078125, 'score': 0.10205078125, 'examples_seen': 96371, 'step': 5450, 'algorithm': 'quickselect'},
{'median': 0.0810546875, 'score': 0.0810546875, 'examples_seen': 97148, 'step': 5500, 'algorithm': 'quickselect'},
{'median': 0.09228515625, 'score': 0.09228515625, 'examples_seen': 98135, 'step': 5550, 'algorithm': 'quickselect'},
{'median': 0.095947265625, 'score': 0.095947265625, 'examples_seen': 99054, 'step': 5600, 'algorithm': 'quickselect'},
{'median': 0.0966796875, 'score': 0.0966796875, 'examples_seen': 99875, 'step': 5650, 'algorithm': 'quickselect'},
{'median': 0.078369140625, 'score': 0.078369140625, 'examples_seen': 100842, 'step': 5700, 'algorithm': 'quickselect'},
{'median': 0.072265625, 'score': 0.072265625, 'examples_seen': 101632, 'step': 5750, 'algorithm': 'quickselect'},
{'median': 0.146240234375, 'score': 0.146240234375, 'examples_seen': 102584, 'step': 5800, 'algorithm': 'quickselect'},
{'median': 0.0966796875, 'score': 0.0966796875, 'examples_seen': 103367, 'step': 5850, 'algorithm': 'quickselect'},
{'median': 0.16015625, 'score': 0.16015625, 'examples_seen': 104342, 'step': 5900, 'algorithm': 'quickselect'},
{'median': 0.125732421875, 'score': 0.125732421875, 'examples_seen': 105256, 'step': 5950, 'algorithm': 'quickselect'},
{'median': 0.077392578125, 'score': 0.077392578125, 'examples_seen': 106090, 'step': 6000, 'algorithm': 'quickselect'},
{'median': 0.04443359375, 'score': 0.04443359375, 'examples_seen': 107049, 'step': 6050, 'algorithm': 'quickselect'},
{'median': 0.122802734375, 'score': 0.122802734375, 'examples_seen': 107823, 'step': 6100, 'algorithm': 'quickselect'},
{'median': 0.084716796875, 'score': 0.084716796875, 'examples_seen': 108789, 'step': 6150, 'algorithm': 'quickselect'},
{'median': 0.121826171875, 'score': 0.121826171875, 'examples_seen': 109567, 'step': 6200, 'algorithm': 'quickselect'},
{'median': 0.07763671875, 'score': 0.07763671875, 'examples_seen': 110518, 'step': 6250, 'algorithm': 'quickselect'},
{'median': 0.0205078125, 'score': 0.0205078125, 'examples_seen': 111453, 'step': 6300, 'algorithm': 'quickselect'},
{'median': 0.115234375, 'score': 0.115234375, 'examples_seen': 112268, 'step': 6350, 'algorithm': 'quickselect'},
{'median': 0.12255859375, 'score': 0.12255859375, 'examples_seen': 113215, 'step': 6400, 'algorithm': 'quickselect'},
{'median': 0.149169921875, 'score': 0.149169921875, 'examples_seen': 114007, 'step': 6450, 'algorithm': 'quickselect'},
{'median': 0.087158203125, 'score': 0.087158203125, 'examples_seen': 114970, 'step': 6500, 'algorithm': 'quickselect'},
{'median': 0.143310546875, 'score': 0.143310546875, 'examples_seen': 115746, 'step': 6550, 'algorithm': 'quickselect'},
{'median': 0.116943359375, 'score': 0.116943359375, 'examples_seen': 116734, 'step': 6600, 'algorithm': 'quickselect'},
{'median': 0.11962890625, 'score': 0.11962890625, 'examples_seen': 117648, 'step': 6650, 'algorithm': 'quickselect'},
{'median': 0.0830078125, 'score': 0.0830078125, 'examples_seen': 118478, 'step': 6700, 'algorithm': 'quickselect'},
{'median': 0.136962890625, 'score': 0.136962890625, 'examples_seen': 119441, 'step': 6750, 'algorithm': 'quickselect'},
{'median': 0.072509765625, 'score': 0.072509765625, 'examples_seen': 120227, 'step': 6800, 'algorithm': 'quickselect'},
{'median': 0.134521484375, 'score': 0.134521484375, 'examples_seen': 121212, 'step': 6850, 'algorithm': 'quickselect'},
{'median': 0.10791015625, 'score': 0.10791015625, 'examples_seen': 121984, 'step': 6900, 'algorithm': 'quickselect'},
{'median': 0.129150390625, 'score': 0.129150390625, 'examples_seen': 122960, 'step': 6950, 'algorithm': 'quickselect'},
{'median': 0.055908203125, 'score': 0.055908203125, 'examples_seen': 123870, 'step': 7000, 'algorithm': 'quickselect'},
{'median': 0.072998046875, 'score': 0.072998046875, 'examples_seen': 124699, 'step': 7050, 'algorithm': 'quickselect'},
{'median': 0.09814453125, 'score': 0.09814453125, 'examples_seen': 125663, 'step': 7100, 'algorithm': 'quickselect'},
{'median': 0.0654296875, 'score': 0.0654296875, 'examples_seen': 126453, 'step': 7150, 'algorithm': 'quickselect'},
{'median': 0.125, 'score': 0.125, 'examples_seen': 127431, 'step': 7200, 'algorithm': 'quickselect'},
{'median': 0.200439453125, 'score': 0.200439453125, 'examples_seen': 128214, 'step': 7250, 'algorithm': 'quickselect'},
{'median': 0.083251953125, 'score': 0.083251953125, 'examples_seen': 129185, 'step': 7300, 'algorithm': 'quickselect'},
{'median': 0.030517578125, 'score': 0.030517578125, 'examples_seen': 130099, 'step': 7350, 'algorithm': 'quickselect'},
{'median': 0.0771484375, 'score': 0.0771484375, 'examples_seen': 130917, 'step': 7400, 'algorithm': 'quickselect'},
{'median': 0.11572265625, 'score': 0.11572265625, 'examples_seen': 131879, 'step': 7450, 'algorithm': 'quickselect'},
{'median': 0.017333984375, 'score': 0.017333984375, 'examples_seen': 132661, 'step': 7500, 'algorithm': 'quickselect'},
{'median': 0.085205078125, 'score': 0.085205078125, 'examples_seen': 133636, 'step': 7550, 'algorithm': 'quickselect'},
{'median': 0.060791015625, 'score': 0.060791015625, 'examples_seen': 134404, 'step': 7600, 'algorithm': 'quickselect'},
{'median': 0.0849609375, 'score': 0.0849609375, 'examples_seen': 135379, 'step': 7650, 'algorithm': 'quickselect'},
{'median': 0.052978515625, 'score': 0.052978515625, 'examples_seen': 136296, 'step': 7700, 'algorithm': 'quickselect'},
{'median': 0.109130859375, 'score': 0.109130859375, 'examples_seen': 137113, 'step': 7750, 'algorithm': 'quickselect'},
{'median': 0.22265625, 'score': 0.22265625, 'examples_seen': 138056, 'step': 7800, 'algorithm': 'quickselect'},
{'median': 0.057373046875, 'score': 0.057373046875, 'examples_seen': 138841, 'step': 7850, 'algorithm': 'quickselect'},
{'median': 0.15087890625, 'score': 0.15087890625, 'examples_seen': 139796, 'step': 7900, 'algorithm': 'quickselect'},
{'median': 0.063720703125, 'score': 0.063720703125, 'examples_seen': 140593, 'step': 7950, 'algorithm': 'quickselect'},
{'median': 0.17529296875, 'score': 0.17529296875, 'examples_seen': 141563, 'step': 8000, 'algorithm': 'quickselect'},
{'median': 0.087158203125, 'score': 0.087158203125, 'examples_seen': 142480, 'step': 8050, 'algorithm': 'quickselect'},
{'median': 0.078369140625, 'score': 0.078369140625, 'examples_seen': 143299, 'step': 8100, 'algorithm': 'quickselect'},
{'median': 0.05322265625, 'score': 0.05322265625, 'examples_seen': 144221, 'step': 8150, 'algorithm': 'quickselect'},
{'median': 0.0126953125, 'score': 0.0126953125, 'examples_seen': 145009, 'step': 8200, 'algorithm': 'quickselect'},
{'median': 0.191162109375, 'score': 0.191162109375, 'examples_seen': 145978, 'step': 8250, 'algorithm': 'quickselect'},
{'median': 0.031005859375, 'score': 0.031005859375, 'examples_seen': 146757, 'step': 8300, 'algorithm': 'quickselect'},
{'median': 0.013671875, 'score': 0.013671875, 'examples_seen': 147723, 'step': 8350, 'algorithm': 'quickselect'},
{'median': 0.06591796875, 'score': 0.06591796875, 'examples_seen': 148632, 'step': 8400, 'algorithm': 'quickselect'},
{'median': 0.00390625, 'score': 0.00390625, 'examples_seen': 149457, 'step': 8450, 'algorithm': 'quickselect'},
{'median': 0.120361328125, 'score': 0.120361328125, 'examples_seen': 150416, 'step': 8500, 'algorithm': 'quickselect'},
{'median': 0.007568359375, 'score': 0.007568359375, 'examples_seen': 151202, 'step': 8550, 'algorithm': 'quickselect'},
{'median': 0.12255859375, 'score': 0.12255859375, 'examples_seen': 152172, 'step': 8600, 'algorithm': 'quickselect'},
{'median': 0.03369140625, 'score': 0.03369140625, 'examples_seen': 152936, 'step': 8650, 'algorithm': 'quickselect'},
{'median': 0.011474609375, 'score': 0.011474609375, 'examples_seen': 153890, 'step': 8700, 'algorithm': 'quickselect'},
{'median': 0.0986328125, 'score': 0.0986328125, 'examples_seen': 154806, 'step': 8750, 'algorithm': 'quickselect'},
{'median': 0.035888671875, 'score': 0.035888671875, 'examples_seen': 155632, 'step': 8800, 'algorithm': 'quickselect'},
{'median': 0.05615234375, 'score': 0.05615234375, 'examples_seen': 156586, 'step': 8850, 'algorithm': 'quickselect'},
{'median': 0.06494140625, 'score': 0.06494140625, 'examples_seen': 157368, 'step': 8900, 'algorithm': 'quickselect'},
{'median': 0.08203125, 'score': 0.08203125, 'examples_seen': 158336, 'step': 8950, 'algorithm': 'quickselect'},
{'median': 0.089599609375, 'score': 0.089599609375, 'examples_seen': 159113, 'step': 9000, 'algorithm': 'quickselect'},
{'median': 0.081298828125, 'score': 0.081298828125, 'examples_seen': 160114, 'step': 9050, 'algorithm': 'quickselect'},
{'median': 0.03662109375, 'score': 0.03662109375, 'examples_seen': 161028, 'step': 9100, 'algorithm': 'quickselect'},
{'median': 0.09033203125, 'score': 0.09033203125, 'examples_seen': 161858, 'step': 9150, 'algorithm': 'quickselect'},
{'median': 0.007080078125, 'score': 0.007080078125, 'examples_seen': 162805, 'step': 9200, 'algorithm': 'quickselect'},
{'median': 0.136962890625, 'score': 0.136962890625, 'examples_seen': 163603, 'step': 9250, 'algorithm': 'quickselect'},
{'median': 0.070556640625, 'score': 0.070556640625, 'examples_seen': 164582, 'step': 9300, 'algorithm': 'quickselect'},
{'median': 0.0380859375, 'score': 0.0380859375, 'examples_seen': 165334, 'step': 9350, 'algorithm': 'quickselect'},
{'median': 0.081787109375, 'score': 0.081787109375, 'examples_seen': 166305, 'step': 9400, 'algorithm': 'quickselect'},
{'median': 0.031005859375, 'score': 0.031005859375, 'examples_seen': 167198, 'step': 9450, 'algorithm': 'quickselect'},
{'median': 0.04638671875, 'score': 0.04638671875, 'examples_seen': 168026, 'step': 9500, 'algorithm': 'quickselect'},
{'median': 0.272705078125, 'score': 0.272705078125, 'examples_seen': 168989, 'step': 9550, 'algorithm': 'quickselect'},
{'median': 0.02197265625, 'score': 0.02197265625, 'examples_seen': 169753, 'step': 9600, 'algorithm': 'quickselect'},
{'median': 0.005126953125, 'score': 0.005126953125, 'examples_seen': 170723, 'step': 9650, 'algorithm': 'quickselect'},
{'median': 0.00732421875, 'score': 0.00732421875, 'examples_seen': 171502, 'step': 9700, 'algorithm': 'quickselect'},
{'median': 0.01953125, 'score': 0.01953125, 'examples_seen': 172478, 'step': 9750, 'algorithm': 'quickselect'},
{'median': 0.040283203125, 'score': 0.040283203125, 'examples_seen': 173387, 'step': 9800, 'algorithm': 'quickselect'},
{'median': 0.03955078125, 'score': 0.03955078125, 'examples_seen': 174226, 'step': 9850, 'algorithm': 'quickselect'},
{'median': 0.007080078125, 'score': 0.007080078125, 'examples_seen': 175189, 'step': 9900, 'algorithm': 'quickselect'},
{'median': 0.037353515625, 'score': 0.037353515625, 'examples_seen': 175960, 'step': 9950, 'algorithm': 'quickselect'},
