{'pi': 0.9344512195121951, 'score': 0.9344512195121951, 'examples_seen': 80358, 'step': 2400, 'algorithm': 'dijkstra'},
{'pi': 0.942454268292683, 'score': 0.942454268292683, 'examples_seen': 82023, 'step': 2450, 'algorithm': 'dijkstra'},
{'pi': 0.9508384146341463, 'score': 0.9508384146341463, 'examples_seen': 83650, 'step': 2500, 'algorithm': 'dijkstra'},
{'pi': 0.9077743902439024, 'score': 0.9077743902439024, 'examples_seen': 85410, 'step': 2550, 'algorithm': 'dijkstra'},
{'pi': 0.916920731707317, 'score': 0.916920731707317, 'examples_seen': 86957, 'step': 2600, 'algorithm': 'dijkstra'},
{'pi': 0.916920731707317, 'score': 0.916920731707317, 'examples_seen': 88779, 'step': 2650, 'algorithm': 'dijkstra'},
{'pi': 0.9352134146341463, 'score': 0.9352134146341463, 'examples_seen': 90291, 'step': 2700, 'algorithm': 'dijkstra'},
{'pi': 0.9165396341463414, 'score': 0.9165396341463414, 'examples_seen': 92153, 'step': 2750, 'algorithm': 'dijkstra'},
{'pi': 0.9508384146341463, 'score': 0.9508384146341463, 'examples_seen': 93814, 'step': 2800, 'algorithm': 'dijkstra'},
{'pi': 0.9226371951219512, 'score': 0.9226371951219512, 'examples_seen': 95447, 'step': 2850, 'algorithm': 'dijkstra'},
{'pi': 0.8433689024390244, 'score': 0.8433689024390244, 'examples_seen': 97210, 'step': 2900, 'algorithm': 'dijkstra'},
{'pi': 0.9302591463414634, 'score': 0.9302591463414634, 'examples_seen': 98747, 'step': 2950, 'algorithm': 'dijkstra'},
{'pi': 0.9420731707317073, 'score': 0.9420731707317073, 'examples_seen': 100483, 'step': 3000, 'algorithm': 'dijkstra'},
{'pi': 0.9470274390243902, 'score': 0.9470274390243902, 'examples_seen': 102002, 'step': 3050, 'algorithm': 'dijkstra'},
{'pi': 0.9256859756097561, 'score': 0.9256859756097561, 'examples_seen': 103793, 'step': 3100, 'algorithm': 'dijkstra'},
{'pi': 0.9294969512195121, 'score': 0.9294969512195121, 'examples_seen': 105427, 'step': 3150, 'algorithm': 'dijkstra'},
{'pi': 0.9458841463414634, 'score': 0.9458841463414634, 'examples_seen': 107083, 'step': 3200, 'algorithm': 'dijkstra'},
{'pi': 0.9382621951219512, 'score': 0.9382621951219512, 'examples_seen': 108858, 'step': 3250, 'algorithm': 'dijkstra'},
{'pi': 0.9565548780487805, 'score': 0.9565548780487805, 'examples_seen': 110393, 'step': 3300, 'algorithm': 'dijkstra'},
{'pi': 0.9413109756097561, 'score': 0.9413109756097561, 'examples_seen': 112173, 'step': 3350, 'algorithm': 'dijkstra'},
{'pi': 0.9451219512195121, 'score': 0.9451219512195121, 'examples_seen': 113661, 'step': 3400, 'algorithm': 'dijkstra'},
{'pi': 0.9485518292682927, 'score': 0.9485518292682927, 'examples_seen': 115453, 'step': 3450, 'algorithm': 'dijkstra'},
{'pi': 0.8650914634146342, 'score': 0.8650914634146342, 'examples_seen': 117088, 'step': 3500, 'algorithm': 'dijkstra'},
{'pi': 0.8868140243902439, 'score': 0.8868140243902439, 'examples_seen': 118757, 'step': 3550, 'algorithm': 'dijkstra'},
{'pi': 0.9298780487804879, 'score': 0.9298780487804879, 'examples_seen': 120508, 'step': 3600, 'algorithm': 'dijkstra'},
{'pi': 0.946265243902439, 'score': 0.946265243902439, 'examples_seen': 122063, 'step': 3650, 'algorithm': 'dijkstra'},
{'pi': 0.959984756097561, 'score': 0.959984756097561, 'examples_seen': 123855, 'step': 3700, 'algorithm': 'dijkstra'},
{'pi': 0.9451219512195121, 'score': 0.9451219512195121, 'examples_seen': 125390, 'step': 3750, 'algorithm': 'dijkstra'},
{'pi': 0.9397865853658537, 'score': 0.9397865853658537, 'examples_seen': 127219, 'step': 3800, 'algorithm': 'dijkstra'},
{'pi': 0.948170731707317, 'score': 0.948170731707317, 'examples_seen': 128897, 'step': 3850, 'algorithm': 'dijkstra'},
{'pi': 0.973704268292683, 'score': 0.973704268292683, 'examples_seen': 130531, 'step': 3900, 'algorithm': 'dijkstra'},
{'pi': 0.8689024390243902, 'score': 0.8689024390243902, 'examples_seen': 132275, 'step': 3950, 'algorithm': 'dijkstra'},
{'pi': 0.9416920731707317, 'score': 0.9416920731707317, 'examples_seen': 133831, 'step': 4000, 'algorithm': 'dijkstra'},
{'pi': 0.8372713414634146, 'score': 0.8372713414634146, 'examples_seen': 135626, 'step': 4050, 'algorithm': 'dijkstra'},
{'pi': 0.9615091463414634, 'score': 0.9615091463414634, 'examples_seen': 137095, 'step': 4100, 'algorithm': 'dijkstra'},
{'pi': 0.9573170731707317, 'score': 0.9573170731707317, 'examples_seen': 138884, 'step': 4150, 'algorithm': 'dijkstra'},
{'pi': 0.958079268292683, 'score': 0.958079268292683, 'examples_seen': 140554, 'step': 4200, 'algorithm': 'dijkstra'},
{'pi': 0.9588414634146342, 'score': 0.9588414634146342, 'examples_seen': 142173, 'step': 4250, 'algorithm': 'dijkstra'},
{'pi': 0.8898628048780488, 'score': 0.8898628048780488, 'examples_seen': 143922, 'step': 4300, 'algorithm': 'dijkstra'},
{'pi': 0.9535060975609756, 'score': 0.9535060975609756, 'examples_seen': 145458, 'step': 4350, 'algorithm': 'dijkstra'},
{'pi': 0.8395579268292683, 'score': 0.8395579268292683, 'examples_seen': 147268, 'step': 4400, 'algorithm': 'dijkstra'},
{'pi': 0.9180640243902439, 'score': 0.9180640243902439, 'examples_seen': 148782, 'step': 4450, 'algorithm': 'dijkstra'},
{'pi': 0.9348323170731707, 'score': 0.9348323170731707, 'examples_seen': 150603, 'step': 4500, 'algorithm': 'dijkstra'},
{'pi': 0.9024390243902439, 'score': 0.9024390243902439, 'examples_seen': 152270, 'step': 4550, 'algorithm': 'dijkstra'},
{'pi': 0.9576981707317073, 'score': 0.9576981707317073, 'examples_seen': 153869, 'step': 4600, 'algorithm': 'dijkstra'},
{'pi': 0.932545731707317, 'score': 0.932545731707317, 'examples_seen': 155644, 'step': 4650, 'algorithm': 'dijkstra'},
{'pi': 0.9653201219512195, 'score': 0.9653201219512195, 'examples_seen': 157203, 'step': 4700, 'algorithm': 'dijkstra'},
{'pi': 0.9371189024390244, 'score': 0.9371189024390244, 'examples_seen': 159000, 'step': 4750, 'algorithm': 'dijkstra'},
