{'score': 0.9315068493150684, 'examples_seen': 151840, 'step': 3150, 'algorithm': 'activity_selector'},
{'score': 0.9703872437357631, 'examples_seen': 154176, 'step': 3200, 'algorithm': 'activity_selector'},
{'score': 0.8932461873638344, 'examples_seen': 156768, 'step': 3250, 'algorithm': 'activity_selector'},
{'score': 0.9484777517564402, 'examples_seen': 158944, 'step': 3300, 'algorithm': 'activity_selector'},
{'score': 0.951501154734411, 'examples_seen': 161600, 'step': 3350, 'algorithm': 'activity_selector'},
{'score': 0.9694915254237287, 'examples_seen': 163648, 'step': 3400, 'algorithm': 'activity_selector'},
{'score': 0.9662398137369034, 'examples_seen': 166272, 'step': 3450, 'algorithm': 'activity_selector'},
{'score': 0.9382448537378115, 'examples_seen': 168672, 'step': 3500, 'algorithm': 'activity_selector'},
{'score': 0.9706916764361078, 'examples_seen': 171104, 'step': 3550, 'algorithm': 'activity_selector'},
{'score': 0.9330306469920546, 'examples_seen': 173600, 'step': 3600, 'algorithm': 'activity_selector'},
{'score': 0.9737742303306728, 'examples_seen': 175776, 'step': 3650, 'algorithm': 'activity_selector'},
{'score': 0.9506726457399103, 'examples_seen': 178368, 'step': 3700, 'algorithm': 'activity_selector'},
{'score': 0.9133489461358313, 'examples_seen': 180544, 'step': 3750, 'algorithm': 'activity_selector'},
{'score': 0.9276974416017797, 'examples_seen': 183200, 'step': 3800, 'algorithm': 'activity_selector'},
{'score': 0.870264064293915, 'examples_seen': 185632, 'step': 3850, 'algorithm': 'activity_selector'},
{'score': 0.9396551724137931, 'examples_seen': 187904, 'step': 3900, 'algorithm': 'activity_selector'},
{'score': 0.9497607655502394, 'examples_seen': 190400, 'step': 3950, 'algorithm': 'activity_selector'},
{'score': 0.9263392857142857, 'examples_seen': 192640, 'step': 4000, 'algorithm': 'activity_selector'},
{'score': 0.8512585812356979, 'examples_seen': 195296, 'step': 4050, 'algorithm': 'activity_selector'},
{'score': 0.9294512877939529, 'examples_seen': 197472, 'step': 4100, 'algorithm': 'activity_selector'},
{'score': 0.953125, 'examples_seen': 200000, 'step': 4150, 'algorithm': 'activity_selector'},
{'score': 0.9687861271676301, 'examples_seen': 202368, 'step': 4200, 'algorithm': 'activity_selector'},
{'score': 0.9692671394799054, 'examples_seen': 204768, 'step': 4250, 'algorithm': 'activity_selector'},
{'score': 0.9545957918050941, 'examples_seen': 207328, 'step': 4300, 'algorithm': 'activity_selector'},
{'score': 0.9818594104308389, 'examples_seen': 209568, 'step': 4350, 'algorithm': 'activity_selector'},
{'score': 0.9290322580645162, 'examples_seen': 212160, 'step': 4400, 'algorithm': 'activity_selector'},
{'score': 0.9754385964912281, 'examples_seen': 214240, 'step': 4450, 'algorithm': 'activity_selector'},
{'score': 0.9562289562289563, 'examples_seen': 216832, 'step': 4500, 'algorithm': 'activity_selector'},
{'score': 0.9613259668508287, 'examples_seen': 219264, 'step': 4550, 'algorithm': 'activity_selector'},
{'score': 0.9602649006622516, 'examples_seen': 221696, 'step': 4600, 'algorithm': 'activity_selector'},
{'score': 0.9299221357063404, 'examples_seen': 224160, 'step': 4650, 'algorithm': 'activity_selector'},
{'score': 0.9496855345911951, 'examples_seen': 226336, 'step': 4700, 'algorithm': 'activity_selector'},
{'score': 0.9252013808975834, 'examples_seen': 228960, 'step': 4750, 'algorithm': 'activity_selector'},
{'score': 0.9459459459459458, 'examples_seen': 231104, 'step': 4800, 'algorithm': 'activity_selector'},
{'score': 0.9649717514124293, 'examples_seen': 233760, 'step': 4850, 'algorithm': 'activity_selector'},
{'score': 0.975501113585746, 'examples_seen': 236160, 'step': 4900, 'algorithm': 'activity_selector'},
{'score': 0.9637426900584796, 'examples_seen': 238464, 'step': 4950, 'algorithm': 'activity_selector'},
{'score': 0.9209932279909707, 'examples_seen': 240992, 'step': 5000, 'algorithm': 'activity_selector'},
{'score': 0.9621993127147767, 'examples_seen': 243200, 'step': 5050, 'algorithm': 'activity_selector'},
{'score': 0.966740576496674, 'examples_seen': 245856, 'step': 5100, 'algorithm': 'activity_selector'},
{'score': 0.8906077348066298, 'examples_seen': 248000, 'step': 5150, 'algorithm': 'activity_selector'},
{'score': 0.9413092550790069, 'examples_seen': 250560, 'step': 5200, 'algorithm': 'activity_selector'},
{'score': 0.9308755760368663, 'examples_seen': 252960, 'step': 5250, 'algorithm': 'activity_selector'},
{'score': 0.9312977099236641, 'examples_seen': 255296, 'step': 5300, 'algorithm': 'activity_selector'},
{'score': 0.9740698985343856, 'examples_seen': 257856, 'step': 5350, 'algorithm': 'activity_selector'},
{'score': 0.9495412844036697, 'examples_seen': 260128, 'step': 5400, 'algorithm': 'activity_selector'},
{'score': 0.9479392624728851, 'examples_seen': 262688, 'step': 5450, 'algorithm': 'activity_selector'},
{'score': 0.9372937293729373, 'examples_seen': 264832, 'step': 5500, 'algorithm': 'activity_selector'},
{'score': 0.9365962180200224, 'examples_seen': 267360, 'step': 5550, 'algorithm': 'activity_selector'},
{'score': 0.9758241758241758, 'examples_seen': 269792, 'step': 5600, 'algorithm': 'activity_selector'},
{'score': 0.9771167048054921, 'examples_seen': 272256, 'step': 5650, 'algorithm': 'activity_selector'},
{'score': 0.9392523364485982, 'examples_seen': 274720, 'step': 5700, 'algorithm': 'activity_selector'},
{'score': 0.9316628701594533, 'examples_seen': 276896, 'step': 5750, 'algorithm': 'activity_selector'},
{'score': 0.9571263035921205, 'examples_seen': 279488, 'step': 5800, 'algorithm': 'activity_selector'},
{'score': 0.9740566037735848, 'examples_seen': 281632, 'step': 5850, 'algorithm': 'activity_selector'},
{'score': 0.914826498422713, 'examples_seen': 284320, 'step': 5900, 'algorithm': 'activity_selector'},
{'score': 0.8613138686131386, 'examples_seen': 286720, 'step': 5950, 'algorithm': 'activity_selector'},
{'score': 0.9139072847682119, 'examples_seen': 289024, 'step': 6000, 'algorithm': 'activity_selector'},
{'score': 0.9605411499436303, 'examples_seen': 291488, 'step': 6050, 'algorithm': 'activity_selector'},
{'score': 0.9783845278725826, 'examples_seen': 293792, 'step': 6100, 'algorithm': 'activity_selector'},
{'score': 0.8628272251308902, 'examples_seen': 296448, 'step': 6150, 'algorithm': 'activity_selector'},
{'score': 0.9811320754716982, 'examples_seen': 298560, 'step': 6200, 'algorithm': 'activity_selector'},
{'score': 0.9652076318742985, 'examples_seen': 301152, 'step': 6250, 'algorithm': 'activity_selector'},
{'score': 0.9523809523809524, 'examples_seen': 303456, 'step': 6300, 'algorithm': 'activity_selector'},
{'score': 0.955631399317406, 'examples_seen': 305888, 'step': 6350, 'algorithm': 'activity_selector'},
{'score': 0.9089026915113871, 'examples_seen': 308448, 'step': 6400, 'algorithm': 'activity_selector'},
