{'selected': 0.897400055912776, 'score': 0.897400055912776, 'examples_seen': 57840, 'step': 2400, 'algorithm': 'task_scheduling'},
{'selected': 0.9269521410579346, 'score': 0.9269521410579346, 'examples_seen': 59088, 'step': 2450, 'algorithm': 'task_scheduling'},
{'selected': 0.9050772626931567, 'score': 0.9050772626931567, 'examples_seen': 60288, 'step': 2500, 'algorithm': 'task_scheduling'},
{'selected': 0.885752688172043, 'score': 0.885752688172043, 'examples_seen': 61520, 'step': 2550, 'algorithm': 'task_scheduling'},
{'selected': 0.9146904835232522, 'score': 0.9146904835232522, 'examples_seen': 62592, 'step': 2600, 'algorithm': 'task_scheduling'},
{'selected': 0.9369094788174336, 'score': 0.9369094788174336, 'examples_seen': 63920, 'step': 2650, 'algorithm': 'task_scheduling'},
{'selected': 0.9022508038585209, 'score': 0.9022508038585209, 'examples_seen': 64976, 'step': 2700, 'algorithm': 'task_scheduling'},
{'selected': 0.9066817028474767, 'score': 0.9066817028474767, 'examples_seen': 66320, 'step': 2750, 'algorithm': 'task_scheduling'},
{'selected': 0.9058719386249632, 'score': 0.9058719386249632, 'examples_seen': 67504, 'step': 2800, 'algorithm': 'task_scheduling'},
{'selected': 0.8753447324875897, 'score': 0.8753447324875897, 'examples_seen': 68672, 'step': 2850, 'algorithm': 'task_scheduling'},
{'selected': 0.9080525414049114, 'score': 0.9080525414049114, 'examples_seen': 69920, 'step': 2900, 'algorithm': 'task_scheduling'},
{'selected': 0.8576567317574512, 'score': 0.8576567317574512, 'examples_seen': 71056, 'step': 2950, 'algorithm': 'task_scheduling'},
{'selected': 0.9155453764672201, 'score': 0.9155453764672201, 'examples_seen': 72352, 'step': 3000, 'algorithm': 'task_scheduling'},
{'selected': 0.8960149439601495, 'score': 0.8960149439601495, 'examples_seen': 73440, 'step': 3050, 'algorithm': 'task_scheduling'},
{'selected': 0.9305680793507665, 'score': 0.9305680793507665, 'examples_seen': 74720, 'step': 3100, 'algorithm': 'task_scheduling'},
{'selected': 0.9252476733713599, 'score': 0.9252476733713599, 'examples_seen': 75920, 'step': 3150, 'algorithm': 'task_scheduling'},
{'selected': 0.8296482412060302, 'score': 0.8296482412060302, 'examples_seen': 77088, 'step': 3200, 'algorithm': 'task_scheduling'},
{'selected': 0.8805166846071044, 'score': 0.8805166846071044, 'examples_seen': 78384, 'step': 3250, 'algorithm': 'task_scheduling'},
{'selected': 0.8923547400611622, 'score': 0.8923547400611622, 'examples_seen': 79472, 'step': 3300, 'algorithm': 'task_scheduling'},
{'selected': 0.9359165424739194, 'score': 0.9359165424739194, 'examples_seen': 80800, 'step': 3350, 'algorithm': 'task_scheduling'},
{'selected': 0.7584363514868026, 'score': 0.7584363514868026, 'examples_seen': 81824, 'step': 3400, 'algorithm': 'task_scheduling'},
{'selected': 0.9076371657016818, 'score': 0.9076371657016818, 'examples_seen': 83136, 'step': 3450, 'algorithm': 'task_scheduling'},
{'selected': 0.8753358409457279, 'score': 0.8753358409457279, 'examples_seen': 84336, 'step': 3500, 'algorithm': 'task_scheduling'},
{'selected': 0.9063305643082211, 'score': 0.9063305643082211, 'examples_seen': 85552, 'step': 3550, 'algorithm': 'task_scheduling'},
{'selected': 0.8826847151720248, 'score': 0.8826847151720248, 'examples_seen': 86800, 'step': 3600, 'algorithm': 'task_scheduling'},
{'selected': 0.8934590117109397, 'score': 0.8934590117109397, 'examples_seen': 87888, 'step': 3650, 'algorithm': 'task_scheduling'},
{'selected': 0.9201296787503684, 'score': 0.9201296787503684, 'examples_seen': 89184, 'step': 3700, 'algorithm': 'task_scheduling'},
{'selected': 0.8932305998899285, 'score': 0.8932305998899285, 'examples_seen': 90272, 'step': 3750, 'algorithm': 'task_scheduling'},
{'selected': 0.8729747245625404, 'score': 0.8729747245625404, 'examples_seen': 91600, 'step': 3800, 'algorithm': 'task_scheduling'},
{'selected': 0.916845658177355, 'score': 0.916845658177355, 'examples_seen': 92816, 'step': 3850, 'algorithm': 'task_scheduling'},
{'selected': 0.8867088607594936, 'score': 0.8867088607594936, 'examples_seen': 93952, 'step': 3900, 'algorithm': 'task_scheduling'},
{'selected': 0.9171107164002369, 'score': 0.9171107164002369, 'examples_seen': 95200, 'step': 3950, 'algorithm': 'task_scheduling'},
{'selected': 0.9216937354988399, 'score': 0.9216937354988399, 'examples_seen': 96320, 'step': 4000, 'algorithm': 'task_scheduling'},
{'selected': 0.8668631127779266, 'score': 0.8668631127779266, 'examples_seen': 97648, 'step': 4050, 'algorithm': 'task_scheduling'},
{'selected': 0.9217391304347827, 'score': 0.9217391304347827, 'examples_seen': 98736, 'step': 4100, 'algorithm': 'task_scheduling'},
{'selected': 0.9162844036697247, 'score': 0.9162844036697247, 'examples_seen': 100000, 'step': 4150, 'algorithm': 'task_scheduling'},
{'selected': 0.8898650768748039, 'score': 0.8898650768748039, 'examples_seen': 101184, 'step': 4200, 'algorithm': 'task_scheduling'},
{'selected': 0.9263588544710696, 'score': 0.9263588544710696, 'examples_seen': 102384, 'step': 4250, 'algorithm': 'task_scheduling'},
{'selected': 0.8987261146496814, 'score': 0.8987261146496814, 'examples_seen': 103664, 'step': 4300, 'algorithm': 'task_scheduling'},
{'selected': 0.8853068815871048, 'score': 0.8853068815871048, 'examples_seen': 104784, 'step': 4350, 'algorithm': 'task_scheduling'},
{'selected': 0.9107404155692128, 'score': 0.9107404155692128, 'examples_seen': 106080, 'step': 4400, 'algorithm': 'task_scheduling'},
{'selected': 0.898328309125788, 'score': 0.898328309125788, 'examples_seen': 107120, 'step': 4450, 'algorithm': 'task_scheduling'},
{'selected': 0.9059350503919373, 'score': 0.9059350503919373, 'examples_seen': 108416, 'step': 4500, 'algorithm': 'task_scheduling'},
{'selected': 0.901073397156948, 'score': 0.901073397156948, 'examples_seen': 109632, 'step': 4550, 'algorithm': 'task_scheduling'},
{'selected': 0.8794287283713266, 'score': 0.8794287283713266, 'examples_seen': 110848, 'step': 4600, 'algorithm': 'task_scheduling'},
{'selected': 0.9024088943792464, 'score': 0.9024088943792464, 'examples_seen': 112080, 'step': 4650, 'algorithm': 'task_scheduling'},
{'selected': 0.8955752212389381, 'score': 0.8955752212389381, 'examples_seen': 113168, 'step': 4700, 'algorithm': 'task_scheduling'},
{'selected': 0.9014567266495286, 'score': 0.9014567266495286, 'examples_seen': 114480, 'step': 4750, 'algorithm': 'task_scheduling'},
{'selected': 0.9042735042735043, 'score': 0.9042735042735043, 'examples_seen': 115552, 'step': 4800, 'algorithm': 'task_scheduling'},
{'selected': 0.8829215896885069, 'score': 0.8829215896885069, 'examples_seen': 116880, 'step': 4850, 'algorithm': 'task_scheduling'},
{'selected': 0.9101978691019786, 'score': 0.9101978691019786, 'examples_seen': 118080, 'step': 4900, 'algorithm': 'task_scheduling'},
{'selected': 0.9048577177349814, 'score': 0.9048577177349814, 'examples_seen': 119232, 'step': 4950, 'algorithm': 'task_scheduling'},
{'selected': 0.8993288590604027, 'score': 0.8993288590604027, 'examples_seen': 120496, 'step': 5000, 'algorithm': 'task_scheduling'},
{'selected': 0.8911854103343465, 'score': 0.8911854103343465, 'examples_seen': 121600, 'step': 5050, 'algorithm': 'task_scheduling'},
{'selected': 0.9200376293508936, 'score': 0.9200376293508936, 'examples_seen': 122928, 'step': 5100, 'algorithm': 'task_scheduling'},
{'selected': 0.8962345501580913, 'score': 0.8962345501580913, 'examples_seen': 124000, 'step': 5150, 'algorithm': 'task_scheduling'},
{'selected': 0.8820908820908822, 'score': 0.8820908820908822, 'examples_seen': 125280, 'step': 5200, 'algorithm': 'task_scheduling'},
{'selected': 0.8863768115942029, 'score': 0.8863768115942029, 'examples_seen': 126480, 'step': 5250, 'algorithm': 'task_scheduling'},
{'selected': 0.895283298724414, 'score': 0.895283298724414, 'examples_seen': 127648, 'step': 5300, 'algorithm': 'task_scheduling'},
{'selected': 0.8825868009541479, 'score': 0.8825868009541479, 'examples_seen': 128928, 'step': 5350, 'algorithm': 'task_scheduling'},
{'selected': 0.8833776203129613, 'score': 0.8833776203129613, 'examples_seen': 130064, 'step': 5400, 'algorithm': 'task_scheduling'},
{'selected': 0.8913511849799939, 'score': 0.8913511849799939, 'examples_seen': 131344, 'step': 5450, 'algorithm': 'task_scheduling'},
{'selected': 0.9113924050632912, 'score': 0.9113924050632912, 'examples_seen': 132416, 'step': 5500, 'algorithm': 'task_scheduling'},
{'selected': 0.911399392768424, 'score': 0.911399392768424, 'examples_seen': 133680, 'step': 5550, 'algorithm': 'task_scheduling'},
{'selected': 0.8856128856128858, 'score': 0.8856128856128858, 'examples_seen': 134896, 'step': 5600, 'algorithm': 'task_scheduling'},
{'selected': 0.896888346552776, 'score': 0.896888346552776, 'examples_seen': 136128, 'step': 5650, 'algorithm': 'task_scheduling'},
{'selected': 0.9092542677448339, 'score': 0.9092542677448339, 'examples_seen': 137360, 'step': 5700, 'algorithm': 'task_scheduling'},
{'selected': 0.8995419847328244, 'score': 0.8995419847328244, 'examples_seen': 138448, 'step': 5750, 'algorithm': 'task_scheduling'},
{'selected': 0.9315960912052117, 'score': 0.9315960912052117, 'examples_seen': 139744, 'step': 5800, 'algorithm': 'task_scheduling'},
{'selected': 0.8891530460624071, 'score': 0.8891530460624071, 'examples_seen': 140816, 'step': 5850, 'algorithm': 'task_scheduling'},
{'selected': 0.9335614485315085, 'score': 0.9335614485315085, 'examples_seen': 142160, 'step': 5900, 'algorithm': 'task_scheduling'},
{'selected': 0.880315404111518, 'score': 0.880315404111518, 'examples_seen': 143360, 'step': 5950, 'algorithm': 'task_scheduling'},
{'selected': 0.2715539494062984, 'score': 0.2715539494062984, 'examples_seen': 144512, 'step': 6000, 'algorithm': 'task_scheduling'},
{'selected': 0.9069901790872328, 'score': 0.9069901790872328, 'examples_seen': 145744, 'step': 6050, 'algorithm': 'task_scheduling'},
{'selected': 0.927437641723356, 'score': 0.927437641723356, 'examples_seen': 146896, 'step': 6100, 'algorithm': 'task_scheduling'},
{'selected': 0.9001203369434416, 'score': 0.9001203369434416, 'examples_seen': 148224, 'step': 6150, 'algorithm': 'task_scheduling'},
{'selected': 0.8876944837340875, 'score': 0.8876944837340875, 'examples_seen': 149280, 'step': 6200, 'algorithm': 'task_scheduling'},
{'selected': 0.8953560371517028, 'score': 0.8953560371517028, 'examples_seen': 150576, 'step': 6250, 'algorithm': 'task_scheduling'},
{'selected': 0.9103680809216071, 'score': 0.9103680809216071, 'examples_seen': 151728, 'step': 6300, 'algorithm': 'task_scheduling'},
{'selected': 0.8709847288046341, 'score': 0.8709847288046341, 'examples_seen': 152944, 'step': 6350, 'algorithm': 'task_scheduling'},
{'selected': 0.9421586165772212, 'score': 0.9421586165772212, 'examples_seen': 154224, 'step': 6400, 'algorithm': 'task_scheduling'},
{'selected': 0.9394387001477104, 'score': 0.9394387001477104, 'examples_seen': 155344, 'step': 6450, 'algorithm': 'task_scheduling'},
{'selected': 0.8951858622790981, 'score': 0.8951858622790981, 'examples_seen': 156624, 'step': 6500, 'algorithm': 'task_scheduling'},
{'selected': 0.9151656013945381, 'score': 0.9151656013945381, 'examples_seen': 157680, 'step': 6550, 'algorithm': 'task_scheduling'},
{'selected': 0.9186746987951807, 'score': 0.9186746987951807, 'examples_seen': 158960, 'step': 6600, 'algorithm': 'task_scheduling'},
{'selected': 0.8910089621277826, 'score': 0.8910089621277826, 'examples_seen': 160208, 'step': 6650, 'algorithm': 'task_scheduling'},
{'selected': 0.8663446054750402, 'score': 0.8663446054750402, 'examples_seen': 161392, 'step': 6700, 'algorithm': 'task_scheduling'},
{'selected': 0.8844777090790757, 'score': 0.8844777090790757, 'examples_seen': 162656, 'step': 6750, 'algorithm': 'task_scheduling'},
{'selected': 0.8651064948724689, 'score': 0.8651064948724689, 'examples_seen': 163728, 'step': 6800, 'algorithm': 'task_scheduling'},
{'selected': 0.9332552693208431, 'score': 0.9332552693208431, 'examples_seen': 165040, 'step': 6850, 'algorithm': 'task_scheduling'},
