{'is_bridge': 0.5914972273567468, 'score': 0.5914972273567468, 'examples_seen': 41841, 'step': 2400, 'algorithm': 'bridges'},
{'is_bridge': 0.6426332288401255, 'score': 0.6426332288401255, 'examples_seen': 42750, 'step': 2450, 'algorithm': 'bridges'},
{'is_bridge': 0.6702355460385439, 'score': 0.6702355460385439, 'examples_seen': 43570, 'step': 2500, 'algorithm': 'bridges'},
{'is_bridge': 0.6986564299424184, 'score': 0.6986564299424184, 'examples_seen': 44508, 'step': 2550, 'algorithm': 'bridges'},
{'is_bridge': 0.7372881355932204, 'score': 0.7372881355932204, 'examples_seen': 45282, 'step': 2600, 'algorithm': 'bridges'},
{'is_bridge': 0.6666666666666666, 'score': 0.6666666666666666, 'examples_seen': 46237, 'step': 2650, 'algorithm': 'bridges'},
{'is_bridge': 0.738095238095238, 'score': 0.738095238095238, 'examples_seen': 46999, 'step': 2700, 'algorithm': 'bridges'},
{'is_bridge': 0.6955017301038062, 'score': 0.6955017301038062, 'examples_seen': 47952, 'step': 2750, 'algorithm': 'bridges'},
{'is_bridge': 0.6407079646017699, 'score': 0.6407079646017699, 'examples_seen': 48825, 'step': 2800, 'algorithm': 'bridges'},
{'is_bridge': 0.657957244655582, 'score': 0.657957244655582, 'examples_seen': 49650, 'step': 2850, 'algorithm': 'bridges'},
{'is_bridge': 0.7652292950034222, 'score': 0.7652292950034222, 'examples_seen': 50590, 'step': 2900, 'algorithm': 'bridges'},
{'is_bridge': 0.6800348735832606, 'score': 0.6800348735832606, 'examples_seen': 51378, 'step': 2950, 'algorithm': 'bridges'},
{'is_bridge': 0.7412882787750791, 'score': 0.7412882787750791, 'examples_seen': 52328, 'step': 3000, 'algorithm': 'bridges'},
{'is_bridge': 0.7819548872180452, 'score': 0.7819548872180452, 'examples_seen': 53077, 'step': 3050, 'algorithm': 'bridges'},
{'is_bridge': 0.6338199513381996, 'score': 0.6338199513381996, 'examples_seen': 54054, 'step': 3100, 'algorithm': 'bridges'},
{'is_bridge': 0.7641234711706465, 'score': 0.7641234711706465, 'examples_seen': 54940, 'step': 3150, 'algorithm': 'bridges'},
{'is_bridge': 0.6339754816112084, 'score': 0.6339754816112084, 'examples_seen': 55773, 'step': 3200, 'algorithm': 'bridges'},
{'is_bridge': 0.6779048765803732, 'score': 0.6779048765803732, 'examples_seen': 56700, 'step': 3250, 'algorithm': 'bridges'},
{'is_bridge': 0.7322654462242563, 'score': 0.7322654462242563, 'examples_seen': 57492, 'step': 3300, 'algorithm': 'bridges'},
{'is_bridge': 0.5802615933412604, 'score': 0.5802615933412604, 'examples_seen': 58454, 'step': 3350, 'algorithm': 'bridges'},
{'is_bridge': 0.6560999039385206, 'score': 0.6560999039385206, 'examples_seen': 59218, 'step': 3400, 'algorithm': 'bridges'},
{'is_bridge': 0.6950113378684808, 'score': 0.6950113378684808, 'examples_seen': 60189, 'step': 3450, 'algorithm': 'bridges'},
{'is_bridge': 0.737468982630273, 'score': 0.737468982630273, 'examples_seen': 61064, 'step': 3500, 'algorithm': 'bridges'},
{'is_bridge': 0.4790919952210275, 'score': 0.4790919952210275, 'examples_seen': 61894, 'step': 3550, 'algorithm': 'bridges'},
{'is_bridge': 0.5803503427265804, 'score': 0.5803503427265804, 'examples_seen': 62834, 'step': 3600, 'algorithm': 'bridges'},
{'is_bridge': 0.6879361914257228, 'score': 0.6879361914257228, 'examples_seen': 63621, 'step': 3650, 'algorithm': 'bridges'},
{'is_bridge': 0.7377232142857142, 'score': 0.7377232142857142, 'examples_seen': 64567, 'step': 3700, 'algorithm': 'bridges'},
{'is_bridge': 0.722197607443509, 'score': 0.722197607443509, 'examples_seen': 65320, 'step': 3750, 'algorithm': 'bridges'},
{'is_bridge': 0.5901639344262295, 'score': 0.5901639344262295, 'examples_seen': 66276, 'step': 3800, 'algorithm': 'bridges'},
