I0715 13:58:20.265289 137161025132032 run.py:723] (val) algo bridges step 1500: {'is_bridge': 0.7718484145398298, 'score': 0.7718484145398298, 'examples_seen': 23790, 'step': 1500, 'algorithm': 'bridges'}
I0715 13:58:21.886163 137161025132032 run.py:723] (val) algo bridges step 1550: {'is_bridge': 0.8030176026823135, 'score': 0.8030176026823135, 'examples_seen': 24579, 'step': 1550, 'algorithm': 'bridges'}
I0715 13:58:23.471780 137161025132032 run.py:723] (val) algo bridges step 1600: {'is_bridge': 0.8281374900079936, 'score': 0.8281374900079936, 'examples_seen': 25373, 'step': 1600, 'algorithm': 'bridges'}
I0715 13:58:25.096050 137161025132032 run.py:723] (val) algo bridges step 1650: {'is_bridge': 0.8433359314107559, 'score': 0.8433359314107559, 'examples_seen': 26148, 'step': 1650, 'algorithm': 'bridges'}
I0715 13:58:26.671993 137161025132032 run.py:723] (val) algo bridges step 1700: {'is_bridge': 0.8075348075348076, 'score': 0.8075348075348076, 'examples_seen': 26979, 'step': 1700, 'algorithm': 'bridges'}
I0715 13:58:28.283154 137161025132032 run.py:723] (val) algo bridges step 1750: {'is_bridge': 0.846503178928247, 'score': 0.846503178928247, 'examples_seen': 27790, 'step': 1750, 'algorithm': 'bridges'}
I0715 13:58:29.903989 137161025132032 run.py:723] (val) algo bridges step 1800: {'is_bridge': 0.7536800785083415, 'score': 0.7536800785083415, 'examples_seen': 28578, 'step': 1800, 'algorithm': 'bridges'}
I0715 13:58:31.456610 137161025132032 run.py:723] (val) algo bridges step 1850: {'is_bridge': 0.8238636363636364, 'score': 0.8238636363636364, 'examples_seen': 29362, 'step': 1850, 'algorithm': 'bridges'}
I0715 13:58:33.086264 137161025132032 run.py:723] (val) algo bridges step 1900: {'is_bridge': 0.8574257425742574, 'score': 0.8574257425742574, 'examples_seen': 30144, 'step': 1900, 'algorithm': 'bridges'}
I0715 13:58:34.720883 137161025132032 run.py:723] (val) algo bridges step 1950: {'is_bridge': 0.7948207171314742, 'score': 0.7948207171314742, 'examples_seen': 30937, 'step': 1950, 'algorithm': 'bridges'}
I0715 13:58:36.328261 137161025132032 run.py:723] (val) algo bridges step 2000: {'is_bridge': 0.799593082400814, 'score': 0.799593082400814, 'examples_seen': 31704, 'step': 2000, 'algorithm': 'bridges'}
I0715 13:58:37.963285 137161025132032 run.py:723] (val) algo bridges step 2050: {'is_bridge': 0.713733075435203, 'score': 0.713733075435203, 'examples_seen': 32518, 'step': 2050, 'algorithm': 'bridges'}
I0715 13:58:39.586521 137161025132032 run.py:723] (val) algo bridges step 2100: {'is_bridge': 0.7772511848341233, 'score': 0.7772511848341233, 'examples_seen': 33326, 'step': 2100, 'algorithm': 'bridges'}
I0715 13:58:41.206605 137161025132032 run.py:723] (val) algo bridges step 2150: {'is_bridge': 0.8180112570356473, 'score': 0.8180112570356473, 'examples_seen': 34120, 'step': 2150, 'algorithm': 'bridges'}
I0715 13:58:42.845156 137161025132032 run.py:723] (val) algo bridges step 2200: {'is_bridge': 0.8076285240464345, 'score': 0.8076285240464345, 'examples_seen': 34907, 'step': 2200, 'algorithm': 'bridges'}
I0715 13:58:44.387312 137161025132032 run.py:723] (val) algo bridges step 2250: {'is_bridge': 0.7523709167544784, 'score': 0.7523709167544784, 'examples_seen': 35693, 'step': 2250, 'algorithm': 'bridges'}
I0715 13:58:45.993287 137161025132032 run.py:723] (val) algo bridges step 2300: {'is_bridge': 0.7911683532658693, 'score': 0.7911683532658693, 'examples_seen': 36463, 'step': 2300, 'algorithm': 'bridges'}
I0715 13:58:47.616503 137161025132032 run.py:723] (val) algo bridges step 2350: {'is_bridge': 0.8317046688382194, 'score': 0.8317046688382194, 'examples_seen': 37253, 'step': 2350, 'algorithm': 'bridges'}
