{'scc_id': 0.609375, 'score': 0.609375, 'examples_seen': 7108, 'step': 2450, 'algorithm': 'strongly_connected_components'}
{'scc_id': 0.638671875, 'score': 0.638671875, 'examples_seen': 7252, 'step': 2500, 'algorithm': 'strongly_connected_components'}
{'scc_id': 0.642578125, 'score': 0.642578125, 'examples_seen': 7396, 'step': 2550, 'algorithm': 'strongly_connected_components'}
{'scc_id': 0.6171875, 'score': 0.6171875, 'examples_seen': 7540, 'step': 2600, 'algorithm': 'strongly_connected_components'}
{'scc_id': 0.61328125, 'score': 0.61328125, 'examples_seen': 7684, 'step': 2650, 'algorithm': 'strongly_connected_components'}
{'scc_id': 0.603515625, 'score': 0.603515625, 'examples_seen': 7830, 'step': 2700, 'algorithm': 'strongly_connected_components'}
{'scc_id': 0.654296875, 'score': 0.654296875, 'examples_seen': 7976, 'step': 2750, 'algorithm': 'strongly_connected_components'}
{'scc_id': 0.58984375, 'score': 0.58984375, 'examples_seen': 8120, 'step': 2800, 'algorithm': 'strongly_connected_components'}
{'scc_id': 0.5625, 'score': 0.5625, 'examples_seen': 8265, 'step': 2850, 'algorithm': 'strongly_connected_components'}
{'scc_id': 0.578125, 'score': 0.578125, 'examples_seen': 8411, 'step': 2900, 'algorithm': 'strongly_connected_components'}
{'scc_id': 0.619140625, 'score': 0.619140625, 'examples_seen': 8554, 'step': 2950, 'algorithm': 'strongly_connected_components'}
{'scc_id': 0.607421875, 'score': 0.607421875, 'examples_seen': 8699, 'step': 3000, 'algorithm': 'strongly_connected_components'}
{'scc_id': 0.638671875, 'score': 0.638671875, 'examples_seen': 8844, 'step': 3050, 'algorithm': 'strongly_connected_components'}
{'scc_id': 0.61328125, 'score': 0.61328125, 'examples_seen': 8991, 'step': 3100, 'algorithm': 'strongly_connected_components'}
{'scc_id': 0.6171875, 'score': 0.6171875, 'examples_seen': 9135, 'step': 3150, 'algorithm': 'strongly_connected_components'}
{'scc_id': 0.62890625, 'score': 0.62890625, 'examples_seen': 9281, 'step': 3200, 'algorithm': 'strongly_connected_components'}
{'scc_id': 0.626953125, 'score': 0.626953125, 'examples_seen': 9424, 'step': 3250, 'algorithm': 'strongly_connected_components'}
{'scc_id': 0.578125, 'score': 0.578125, 'examples_seen': 9573, 'step': 3300, 'algorithm': 'strongly_connected_components'}
{'scc_id': 0.615234375, 'score': 0.615234375, 'examples_seen': 9719, 'step': 3350, 'algorithm': 'strongly_connected_components'}
{'scc_id': 0.62109375, 'score': 0.62109375, 'examples_seen': 9862, 'step': 3400, 'algorithm': 'strongly_connected_components'}
{'scc_id': 0.6015625, 'score': 0.6015625, 'examples_seen': 10006, 'step': 3450, 'algorithm': 'strongly_connected_components'}
{'scc_id': 0.62890625, 'score': 0.62890625, 'examples_seen': 10151, 'step': 3500, 'algorithm': 'strongly_connected_components'}
{'scc_id': 0.625, 'score': 0.625, 'examples_seen': 10295, 'step': 3550, 'algorithm': 'strongly_connected_components'}
{'scc_id': 0.5703125, 'score': 0.5703125, 'examples_seen': 10440, 'step': 3600, 'algorithm': 'strongly_connected_components'}
{'scc_id': 0.66015625, 'score': 0.66015625, 'examples_seen': 10586, 'step': 3650, 'algorithm': 'strongly_connected_components'}
{'scc_id': 0.595703125, 'score': 0.595703125, 'examples_seen': 10729, 'step': 3700, 'algorithm': 'strongly_connected_components'}
{'scc_id': 0.623046875, 'score': 0.623046875, 'examples_seen': 10874, 'step': 3750, 'algorithm': 'strongly_connected_components'}
{'scc_id': 0.623046875, 'score': 0.623046875, 'examples_seen': 11019, 'step': 3800, 'algorithm': 'strongly_connected_components'}
{'scc_id': 0.58984375, 'score': 0.58984375, 'examples_seen': 11165, 'step': 3850, 'algorithm': 'strongly_connected_components'}
{'scc_id': 0.56640625, 'score': 0.56640625, 'examples_seen': 11308, 'step': 3900, 'algorithm': 'strongly_connected_components'}
{'scc_id': 0.619140625, 'score': 0.619140625, 'examples_seen': 11455, 'step': 3950, 'algorithm': 'strongly_connected_components'}
{'scc_id': 0.603515625, 'score': 0.603515625, 'examples_seen': 11602, 'step': 4000, 'algorithm': 'strongly_connected_components'}
{'scc_id': 0.607421875, 'score': 0.607421875, 'examples_seen': 11746, 'step': 4050, 'algorithm': 'strongly_connected_components'}
{'scc_id': 0.626953125, 'score': 0.626953125, 'examples_seen': 11892, 'step': 4100, 'algorithm': 'strongly_connected_components'}
{'scc_id': 0.646484375, 'score': 0.646484375, 'examples_seen': 12036, 'step': 4150, 'algorithm': 'strongly_connected_components'}
{'scc_id': 0.6015625, 'score': 0.6015625, 'examples_seen': 12183, 'step': 4200, 'algorithm': 'strongly_connected_components'}
{'scc_id': 0.64453125, 'score': 0.64453125, 'examples_seen': 12326, 'step': 4250, 'algorithm': 'strongly_connected_components'}
{'scc_id': 0.63671875, 'score': 0.63671875, 'examples_seen': 12471, 'step': 4300, 'algorithm': 'strongly_connected_components'}
{'scc_id': 0.62109375, 'score': 0.62109375, 'examples_seen': 12615, 'step': 4350, 'algorithm': 'strongly_connected_components'}
{'scc_id': 0.62890625, 'score': 0.62890625, 'examples_seen': 12760, 'step': 4400, 'algorithm': 'strongly_connected_components'}
{'scc_id': 0.669921875, 'score': 0.669921875, 'examples_seen': 12904, 'step': 4450, 'algorithm': 'strongly_connected_components'}
{'scc_id': 0.626953125, 'score': 0.626953125, 'examples_seen': 13049, 'step': 4500, 'algorithm': 'strongly_connected_components'}
{'scc_id': 0.59765625, 'score': 0.59765625, 'examples_seen': 13196, 'step': 4550, 'algorithm': 'strongly_connected_components'}
{'scc_id': 0.62890625, 'score': 0.62890625, 'examples_seen': 13342, 'step': 4600, 'algorithm': 'strongly_connected_components'}
{'scc_id': 0.572265625, 'score': 0.572265625, 'examples_seen': 13486, 'step': 4650, 'algorithm': 'strongly_connected_components'}
{'scc_id': 0.595703125, 'score': 0.595703125, 'examples_seen': 13630, 'step': 4700, 'algorithm': 'strongly_connected_components'}
{'scc_id': 0.595703125, 'score': 0.595703125, 'examples_seen': 13775, 'step': 4750, 'algorithm': 'strongly_connected_components'}
{'scc_id': 0.59765625, 'score': 0.59765625, 'examples_seen': 13919, 'step': 4800, 'algorithm': 'strongly_connected_components'}
{'scc_id': 0.626953125, 'score': 0.626953125, 'examples_seen': 14064, 'step': 4850, 'algorithm': 'strongly_connected_components'}
{'scc_id': 0.595703125, 'score': 0.595703125, 'examples_seen': 14210, 'step': 4900, 'algorithm': 'strongly_connected_components'}
{'scc_id': 0.580078125, 'score': 0.580078125, 'examples_seen': 14354, 'step': 4950, 'algorithm': 'strongly_connected_components'}
{'scc_id': 0.623046875, 'score': 0.623046875, 'examples_seen': 14499, 'step': 5000, 'algorithm': 'strongly_connected_components'}
{'scc_id': 0.626953125, 'score': 0.626953125, 'examples_seen': 14645, 'step': 5050, 'algorithm': 'strongly_connected_components'}
{'scc_id': 0.552734375, 'score': 0.552734375, 'examples_seen': 14791, 'step': 5100, 'algorithm': 'strongly_connected_components'}
{'scc_id': 0.611328125, 'score': 0.611328125, 'examples_seen': 14939, 'step': 5150, 'algorithm': 'strongly_connected_components'}
{'scc_id': 0.630859375, 'score': 0.630859375, 'examples_seen': 15083, 'step': 5200, 'algorithm': 'strongly_connected_components'}
{'scc_id': 0.611328125, 'score': 0.611328125, 'examples_seen': 15228, 'step': 5250, 'algorithm': 'strongly_connected_components'}
{'scc_id': 0.595703125, 'score': 0.595703125, 'examples_seen': 15373, 'step': 5300, 'algorithm': 'strongly_connected_components'}
{'scc_id': 0.6640625, 'score': 0.6640625, 'examples_seen': 15517, 'step': 5350, 'algorithm': 'strongly_connected_components'}
{'scc_id': 0.59765625, 'score': 0.59765625, 'examples_seen': 15661, 'step': 5400, 'algorithm': 'strongly_connected_components'}
{'scc_id': 0.58203125, 'score': 0.58203125, 'examples_seen': 15804, 'step': 5450, 'algorithm': 'strongly_connected_components'}
{'scc_id': 0.59765625, 'score': 0.59765625, 'examples_seen': 15950, 'step': 5500, 'algorithm': 'strongly_connected_components'}
{'scc_id': 0.638671875, 'score': 0.638671875, 'examples_seen': 16094, 'step': 5550, 'algorithm': 'strongly_connected_components'}
{'scc_id': 0.58984375, 'score': 0.58984375, 'examples_seen': 16240, 'step': 5600, 'algorithm': 'strongly_connected_components'}
{'scc_id': 0.57421875, 'score': 0.57421875, 'examples_seen': 16383, 'step': 5650, 'algorithm': 'strongly_connected_components'}
{'scc_id': 0.5859375, 'score': 0.5859375, 'examples_seen': 16529, 'step': 5700, 'algorithm': 'strongly_connected_components'}
{'scc_id': 0.578125, 'score': 0.578125, 'examples_seen': 16677, 'step': 5750, 'algorithm': 'strongly_connected_components'}
{'scc_id': 0.568359375, 'score': 0.568359375, 'examples_seen': 16822, 'step': 5800, 'algorithm': 'strongly_connected_components'}
{'scc_id': 0.572265625, 'score': 0.572265625, 'examples_seen': 16968, 'step': 5850, 'algorithm': 'strongly_connected_components'}
{'scc_id': 0.580078125, 'score': 0.580078125, 'examples_seen': 17112, 'step': 5900, 'algorithm': 'strongly_connected_components'}
{'scc_id': 0.5625, 'score': 0.5625, 'examples_seen': 17256, 'step': 5950, 'algorithm': 'strongly_connected_components'}
{'scc_id': 0.599609375, 'score': 0.599609375, 'examples_seen': 17399, 'step': 6000, 'algorithm': 'strongly_connected_components'}
{'scc_id': 0.556640625, 'score': 0.556640625, 'examples_seen': 17545, 'step': 6050, 'algorithm': 'strongly_connected_components'}
{'scc_id': 0.5625, 'score': 0.5625, 'examples_seen': 17689, 'step': 6100, 'algorithm': 'strongly_connected_components'}
{'scc_id': 0.548828125, 'score': 0.548828125, 'examples_seen': 17834, 'step': 6150, 'algorithm': 'strongly_connected_components'}
{'scc_id': 0.560546875, 'score': 0.560546875, 'examples_seen': 17978, 'step': 6200, 'algorithm': 'strongly_connected_components'}
{'scc_id': 0.580078125, 'score': 0.580078125, 'examples_seen': 18125, 'step': 6250, 'algorithm': 'strongly_connected_components'}
{'scc_id': 0.587890625, 'score': 0.587890625, 'examples_seen': 18272, 'step': 6300, 'algorithm': 'strongly_connected_components'}
{'scc_id': 0.6015625, 'score': 0.6015625, 'examples_seen': 18415, 'step': 6350, 'algorithm': 'strongly_connected_components'}
{'scc_id': 0.564453125, 'score': 0.564453125, 'examples_seen': 18561, 'step': 6400, 'algorithm': 'strongly_connected_components'}
{'scc_id': 0.59375, 'score': 0.59375, 'examples_seen': 18707, 'step': 6450, 'algorithm': 'strongly_connected_components'}
{'scc_id': 0.5703125, 'score': 0.5703125, 'examples_seen': 18851, 'step': 6500, 'algorithm': 'strongly_connected_components'}
{'scc_id': 0.599609375, 'score': 0.599609375, 'examples_seen': 18997, 'step': 6550, 'algorithm': 'strongly_connected_components'}
{'scc_id': 0.6015625, 'score': 0.6015625, 'examples_seen': 19141, 'step': 6600, 'algorithm': 'strongly_connected_components'}
{'scc_id': 0.56640625, 'score': 0.56640625, 'examples_seen': 19286, 'step': 6650, 'algorithm': 'strongly_connected_components'}
{'scc_id': 0.57421875, 'score': 0.57421875, 'examples_seen': 19430, 'step': 6700, 'algorithm': 'strongly_connected_components'}
{'scc_id': 0.57421875, 'score': 0.57421875, 'examples_seen': 19574, 'step': 6750, 'algorithm': 'strongly_connected_components'}
{'scc_id': 0.61328125, 'score': 0.61328125, 'examples_seen': 19720, 'step': 6800, 'algorithm': 'strongly_connected_components'}
{'scc_id': 0.5859375, 'score': 0.5859375, 'examples_seen': 19864, 'step': 6850, 'algorithm': 'strongly_connected_components'}
{'scc_id': 0.580078125, 'score': 0.580078125, 'examples_seen': 20009, 'step': 6900, 'algorithm': 'strongly_connected_components'}
{'scc_id': 0.55859375, 'score': 0.55859375, 'examples_seen': 20156, 'step': 6950, 'algorithm': 'strongly_connected_components'}
{'scc_id': 0.5703125, 'score': 0.5703125, 'examples_seen': 20303, 'step': 7000, 'algorithm': 'strongly_connected_components'}
{'scc_id': 0.576171875, 'score': 0.576171875, 'examples_seen': 20447, 'step': 7050, 'algorithm': 'strongly_connected_components'}
{'scc_id': 0.595703125, 'score': 0.595703125, 'examples_seen': 20593, 'step': 7100, 'algorithm': 'strongly_connected_components'}
{'scc_id': 0.572265625, 'score': 0.572265625, 'examples_seen': 20738, 'step': 7150, 'algorithm': 'strongly_connected_components'}
