I0715 18:33:05.514672 127664416589312 run.py:723] (val) algo segments_intersect step 1450: {'intersect': 0.7323177366702939, 'score': 0.7323177366702939, 'examples_seen': 74240, 'step': 1450, 'algorithm': 'segments_intersect'}
I0715 18:33:07.464940 127664416589312 run.py:723] (val) algo segments_intersect step 1500: {'intersect': 0.7881918819188192, 'score': 0.7881918819188192, 'examples_seen': 76864, 'step': 1500, 'algorithm': 'segments_intersect'}
I0715 18:33:09.320741 127664416589312 run.py:723] (val) algo segments_intersect step 1550: {'intersect': 0.8240880638894884, 'score': 0.8240880638894884, 'examples_seen': 79376, 'step': 1550, 'algorithm': 'segments_intersect'}
I0715 18:33:11.174397 127664416589312 run.py:723] (val) algo segments_intersect step 1600: {'intersect': 0.8014655369819099, 'score': 0.8014655369819099, 'examples_seen': 81984, 'step': 1600, 'algorithm': 'segments_intersect'}
I0715 18:33:13.123463 127664416589312 run.py:723] (val) algo segments_intersect step 1650: {'intersect': 0.7556661138750691, 'score': 0.7556661138750691, 'examples_seen': 84512, 'step': 1650, 'algorithm': 'segments_intersect'}
I0715 18:33:14.958170 127664416589312 run.py:723] (val) algo segments_intersect step 1700: {'intersect': 0.774054054054054, 'score': 0.774054054054054, 'examples_seen': 87040, 'step': 1700, 'algorithm': 'segments_intersect'}
I0715 18:33:16.831349 127664416589312 run.py:723] (val) algo segments_intersect step 1750: {'intersect': 0.7694822888283379, 'score': 0.7694822888283379, 'examples_seen': 89648, 'step': 1750, 'algorithm': 'segments_intersect'}
I0715 18:33:18.805142 127664416589312 run.py:723] (val) algo segments_intersect step 1800: {'intersect': 0.8423040604343719, 'score': 0.8423040604343719, 'examples_seen': 92160, 'step': 1800, 'algorithm': 'segments_intersect'}
I0715 18:33:20.681386 127664416589312 run.py:723] (val) algo segments_intersect step 1850: {'intersect': 0.8335946248600223, 'score': 0.8335946248600223, 'examples_seen': 94784, 'step': 1850, 'algorithm': 'segments_intersect'}
I0715 18:33:22.556267 127664416589312 run.py:723] (val) algo segments_intersect step 1900: {'intersect': 0.831601836192317, 'score': 0.831601836192317, 'examples_seen': 97296, 'step': 1900, 'algorithm': 'segments_intersect'}
I0715 18:33:24.467038 127664416589312 run.py:723] (val) algo segments_intersect step 1950: {'intersect': 0.8396446937821412, 'score': 0.8396446937821412, 'examples_seen': 99904, 'step': 1950, 'algorithm': 'segments_intersect'}
I0715 18:33:26.599251 127664416589312 run.py:723] (val) algo segments_intersect step 2000: {'intersect': 0.8518435754189945, 'score': 0.8518435754189945, 'examples_seen': 102432, 'step': 2000, 'algorithm': 'segments_intersect'}
I0715 18:33:28.481702 127664416589312 run.py:723] (val) algo segments_intersect step 2050: {'intersect': 0.8543093270365997, 'score': 0.8543093270365997, 'examples_seen': 104960, 'step': 2050, 'algorithm': 'segments_intersect'}
I0715 18:33:30.363406 127664416589312 run.py:723] (val) algo segments_intersect step 2100: {'intersect': 0.8064182194616977, 'score': 0.8064182194616977, 'examples_seen': 107568, 'step': 2100, 'algorithm': 'segments_intersect'}
I0715 18:33:32.212505 127664416589312 run.py:723] (val) algo segments_intersect step 2150: {'intersect': 0.8394276629570747, 'score': 0.8394276629570747, 'examples_seen': 110080, 'step': 2150, 'algorithm': 'segments_intersect'}
I0715 18:33:34.072677 127664416589312 run.py:723] (val) algo segments_intersect step 2200: {'intersect': 0.8404483663248271, 'score': 0.8404483663248271, 'examples_seen': 112704, 'step': 2200, 'algorithm': 'segments_intersect'}
I0715 18:33:35.988427 127664416589312 run.py:723] (val) algo segments_intersect step 2250: {'intersect': 0.8556938681420009, 'score': 0.8556938681420009, 'examples_seen': 115216, 'step': 2250, 'algorithm': 'segments_intersect'}
I0715 18:33:38.115304 127664416589312 run.py:723] (val) algo segments_intersect step 2300: {'intersect': 0.8580335731414868, 'score': 0.8580335731414868, 'examples_seen': 117824, 'step': 2300, 'algorithm': 'segments_intersect'}
