I0715 15:35:39.098733 131537578350080 run.py:723] (val) algo insertion_sort step 1550: {'pred': 0.73828125, 'score': 0.73828125, 'examples_seen': 79760, 'step': 1550, 'algorithm': 'insertion_sort'}
I0715 15:35:43.598649 131537578350080 run.py:723] (val) algo insertion_sort step 1600: {'pred': 0.779296875, 'score': 0.779296875, 'examples_seen': 82304, 'step': 1600, 'algorithm': 'insertion_sort'}
I0715 15:35:48.052225 131537578350080 run.py:723] (val) algo insertion_sort step 1650: {'pred': 0.8134765625, 'score': 0.8134765625, 'examples_seen': 84832, 'step': 1650, 'algorithm': 'insertion_sort'}
I0715 15:35:52.650593 131537578350080 run.py:723] (val) algo insertion_sort step 1700: {'pred': 0.79296875, 'score': 0.79296875, 'examples_seen': 87472, 'step': 1700, 'algorithm': 'insertion_sort'}
I0715 15:35:57.200941 131537578350080 run.py:723] (val) algo insertion_sort step 1750: {'pred': 0.7646484375, 'score': 0.7646484375, 'examples_seen': 90096, 'step': 1750, 'algorithm': 'insertion_sort'}
I0715 15:36:01.671968 131537578350080 run.py:723] (val) algo insertion_sort step 1800: {'pred': 0.802734375, 'score': 0.802734375, 'examples_seen': 92656, 'step': 1800, 'algorithm': 'insertion_sort'}
I0715 15:36:06.121053 131537578350080 run.py:723] (val) algo insertion_sort step 1850: {'pred': 0.830078125, 'score': 0.830078125, 'examples_seen': 95232, 'step': 1850, 'algorithm': 'insertion_sort'}
I0715 15:36:10.640888 131537578350080 run.py:723] (val) algo insertion_sort step 1900: {'pred': 0.8271484375, 'score': 0.8271484375, 'examples_seen': 97776, 'step': 1900, 'algorithm': 'insertion_sort'}
I0715 15:36:15.076940 131537578350080 run.py:723] (val) algo insertion_sort step 1950: {'pred': 0.8134765625, 'score': 0.8134765625, 'examples_seen': 100320, 'step': 1950, 'algorithm': 'insertion_sort'}
I0715 15:36:19.556497 131537578350080 run.py:723] (val) algo insertion_sort step 2000: {'pred': 0.83984375, 'score': 0.83984375, 'examples_seen': 102848, 'step': 2000, 'algorithm': 'insertion_sort'}
I0715 15:36:24.140343 131537578350080 run.py:723] (val) algo insertion_sort step 2050: {'pred': 0.861328125, 'score': 0.861328125, 'examples_seen': 105488, 'step': 2050, 'algorithm': 'insertion_sort'}
I0715 15:36:28.696640 131537578350080 run.py:723] (val) algo insertion_sort step 2100: {'pred': 0.8779296875, 'score': 0.8779296875, 'examples_seen': 108096, 'step': 2100, 'algorithm': 'insertion_sort'}
I0715 15:36:33.272184 131537578350080 run.py:723] (val) algo insertion_sort step 2150: {'pred': 0.82421875, 'score': 0.82421875, 'examples_seen': 110688, 'step': 2150, 'algorithm': 'insertion_sort'}
I0715 15:36:37.801351 131537578350080 run.py:723] (val) algo insertion_sort step 2200: {'pred': 0.7734375, 'score': 0.7734375, 'examples_seen': 113232, 'step': 2200, 'algorithm': 'insertion_sort'}
I0715 15:36:42.246616 131537578350080 run.py:723] (val) algo insertion_sort step 2250: {'pred': 0.8251953125, 'score': 0.8251953125, 'examples_seen': 115760, 'step': 2250, 'algorithm': 'insertion_sort'}
I0715 15:36:46.733582 131537578350080 run.py:723] (val) algo insertion_sort step 2300: {'pred': 0.84765625, 'score': 0.84765625, 'examples_seen': 118336, 'step': 2300, 'algorithm': 'insertion_sort'}
