I0715 16:29:40.482957 129347681601024 run.py:723] (val) algo matrix_chain_order step 1450: {'s': 0.95550537109375, 'score': 0.95550537109375, 'examples_seen': 119298, 'step': 1450, 'algorithm': 'matrix_chain_order'}
I0715 16:29:44.140325 129347681601024 run.py:723] (val) algo matrix_chain_order step 1500: {'s': 0.97711181640625, 'score': 0.97711181640625, 'examples_seen': 123384, 'step': 1500, 'algorithm': 'matrix_chain_order'}
I0715 16:29:47.766570 129347681601024 run.py:723] (val) algo matrix_chain_order step 1550: {'s': 0.968505859375, 'score': 0.968505859375, 'examples_seen': 127445, 'step': 1550, 'algorithm': 'matrix_chain_order'}
I0715 16:29:51.759860 129347681601024 run.py:723] (val) algo matrix_chain_order step 1600: {'s': 0.9677734375, 'score': 0.9677734375, 'examples_seen': 131495, 'step': 1600, 'algorithm': 'matrix_chain_order'}
I0715 16:29:55.776322 129347681601024 run.py:723] (val) algo matrix_chain_order step 1650: {'s': 0.979736328125, 'score': 0.979736328125, 'examples_seen': 135557, 'step': 1650, 'algorithm': 'matrix_chain_order'}
I0715 16:29:59.562713 129347681601024 run.py:723] (val) algo matrix_chain_order step 1700: {'s': 0.97222900390625, 'score': 0.97222900390625, 'examples_seen': 139838, 'step': 1700, 'algorithm': 'matrix_chain_order'}
I0715 16:30:03.267459 129347681601024 run.py:723] (val) algo matrix_chain_order step 1750: {'s': 0.98577880859375, 'score': 0.98577880859375, 'examples_seen': 143998, 'step': 1750, 'algorithm': 'matrix_chain_order'}
I0715 16:30:07.030435 129347681601024 run.py:723] (val) algo matrix_chain_order step 1800: {'s': 0.9749755859375, 'score': 0.9749755859375, 'examples_seen': 148086, 'step': 1800, 'algorithm': 'matrix_chain_order'}
I0715 16:30:10.854386 129347681601024 run.py:723] (val) algo matrix_chain_order step 1850: {'s': 0.972412109375, 'score': 0.972412109375, 'examples_seen': 152162, 'step': 1850, 'algorithm': 'matrix_chain_order'}
I0715 16:30:14.446354 129347681601024 run.py:723] (val) algo matrix_chain_order step 1900: {'s': 0.978759765625, 'score': 0.978759765625, 'examples_seen': 156216, 'step': 1900, 'algorithm': 'matrix_chain_order'}
I0715 16:30:18.197841 129347681601024 run.py:723] (val) algo matrix_chain_order step 1950: {'s': 0.98577880859375, 'score': 0.98577880859375, 'examples_seen': 160267, 'step': 1950, 'algorithm': 'matrix_chain_order'}
I0715 16:30:22.316699 129347681601024 run.py:723] (val) algo matrix_chain_order step 2000: {'s': 0.9874267578125, 'score': 0.9874267578125, 'examples_seen': 164321, 'step': 2000, 'algorithm': 'matrix_chain_order'}
I0715 16:30:26.036850 129347681601024 run.py:723] (val) algo matrix_chain_order step 2050: {'s': 0.98663330078125, 'score': 0.98663330078125, 'examples_seen': 168599, 'step': 2050, 'algorithm': 'matrix_chain_order'}
I0715 16:30:29.775506 129347681601024 run.py:723] (val) algo matrix_chain_order step 2100: {'s': 0.98553466796875, 'score': 0.98553466796875, 'examples_seen': 172761, 'step': 2100, 'algorithm': 'matrix_chain_order'}
I0715 16:30:33.531341 129347681601024 run.py:723] (val) algo matrix_chain_order step 2150: {'s': 0.98907470703125, 'score': 0.98907470703125, 'examples_seen': 176852, 'step': 2150, 'algorithm': 'matrix_chain_order'}
I0715 16:30:37.140614 129347681601024 run.py:723] (val) algo matrix_chain_order step 2200: {'s': 0.9708251953125, 'score': 0.9708251953125, 'examples_seen': 180922, 'step': 2200, 'algorithm': 'matrix_chain_order'}
I0715 16:30:40.840918 129347681601024 run.py:723] (val) algo matrix_chain_order step 2250: {'s': 0.97650146484375, 'score': 0.97650146484375, 'examples_seen': 184969, 'step': 2250, 'algorithm': 'matrix_chain_order'}
I0715 16:30:44.631705 129347681601024 run.py:723] (val) algo matrix_chain_order step 2300: {'s': 0.987060546875, 'score': 0.987060546875, 'examples_seen': 189014, 'step': 2300, 'algorithm': 'matrix_chain_order'}
I0715 16:30:48.602103 129347681601024 run.py:723] (val) algo matrix_chain_order step 2350: {'s': 0.98333740234375, 'score': 0.98333740234375, 'examples_seen': 193063, 'step': 2350, 'algorithm': 'matrix_chain_order'}
I0715 16:30:52.453349 129347681601024 run.py:723] (val) algo matrix_chain_order step 2400: {'s': 0.989013671875, 'score': 0.989013671875, 'examples_seen': 197342, 'step': 2400, 'algorithm': 'matrix_chain_order'}
I0715 16:30:56.183641 129347681601024 run.py:723] (val) algo matrix_chain_order step 2450: {'s': 0.9742431640625, 'score': 0.9742431640625, 'examples_seen': 201494, 'step': 2450, 'algorithm': 'matrix_chain_order'}
I0715 16:30:59.848871 129347681601024 run.py:723] (val) algo matrix_chain_order step 2500: {'s': 0.98828125, 'score': 0.98828125, 'examples_seen': 205591, 'step': 2500, 'algorithm': 'matrix_chain_order'}
I0715 16:31:03.550685 129347681601024 run.py:723] (val) algo matrix_chain_order step 2550: {'s': 0.98638916015625, 'score': 0.98638916015625, 'examples_seen': 209661, 'step': 2550, 'algorithm': 'matrix_chain_order'}
I0715 16:31:07.037504 129347681601024 run.py:723] (val) algo matrix_chain_order step 2600: {'s': 0.9783935546875, 'score': 0.9783935546875, 'examples_seen': 213718, 'step': 2600, 'algorithm': 'matrix_chain_order'}
I0715 16:31:10.852003 129347681601024 run.py:723] (val) algo matrix_chain_order step 2650: {'s': 0.98760986328125, 'score': 0.98760986328125, 'examples_seen': 217770, 'step': 2650, 'algorithm': 'matrix_chain_order'}
I0715 16:31:14.722566 129347681601024 run.py:723] (val) algo matrix_chain_order step 2700: {'s': 0.9835205078125, 'score': 0.9835205078125, 'examples_seen': 221820, 'step': 2700, 'algorithm': 'matrix_chain_order'}
I0715 16:31:18.576419 129347681601024 run.py:723] (val) algo matrix_chain_order step 2750: {'s': 0.98773193359375, 'score': 0.98773193359375, 'examples_seen': 226109, 'step': 2750, 'algorithm': 'matrix_chain_order'}
I0715 16:31:22.254190 129347681601024 run.py:723] (val) algo matrix_chain_order step 2800: {'s': 0.98553466796875, 'score': 0.98553466796875, 'examples_seen': 230260, 'step': 2800, 'algorithm': 'matrix_chain_order'}
I0715 16:31:26.017667 129347681601024 run.py:723] (val) algo matrix_chain_order step 2850: {'s': 0.9862060546875, 'score': 0.9862060546875, 'examples_seen': 234363, 'step': 2850, 'algorithm': 'matrix_chain_order'}
I0715 16:31:29.760861 129347681601024 run.py:723] (val) algo matrix_chain_order step 2900: {'s': 0.98101806640625, 'score': 0.98101806640625, 'examples_seen': 238431, 'step': 2900, 'algorithm': 'matrix_chain_order'}
I0715 16:31:33.448692 129347681601024 run.py:723] (val) algo matrix_chain_order step 2950: {'s': 0.98602294921875, 'score': 0.98602294921875, 'examples_seen': 242484, 'step': 2950, 'algorithm': 'matrix_chain_order'}
I0715 16:31:37.297375 129347681601024 run.py:723] (val) algo matrix_chain_order step 3000: {'s': 0.98956298828125, 'score': 0.98956298828125, 'examples_seen': 246530, 'step': 3000, 'algorithm': 'matrix_chain_order'}
I0715 16:31:41.129441 129347681601024 run.py:723] (val) algo matrix_chain_order step 3050: {'s': 0.986328125, 'score': 0.986328125, 'examples_seen': 250584, 'step': 3050, 'algorithm': 'matrix_chain_order'}
I0715 16:31:44.909096 129347681601024 run.py:723] (val) algo matrix_chain_order step 3100: {'s': 0.9886474609375, 'score': 0.9886474609375, 'examples_seen': 254863, 'step': 3100, 'algorithm': 'matrix_chain_order'}
