I0715 18:19:21.635930 124880143382016 run.py:723] (val) algo quicksort step 1600: {'pred': 0.4677734375, 'score': 0.4677734375, 'examples_seen': 55518, 'step': 1600, 'algorithm': 'quicksort'}
I0715 18:19:25.610266 124880143382016 run.py:723] (val) algo quicksort step 1650: {'pred': 0.462890625, 'score': 0.462890625, 'examples_seen': 57231, 'step': 1650, 'algorithm': 'quicksort'}
I0715 18:19:29.754557 124880143382016 run.py:723] (val) algo quicksort step 1700: {'pred': 0.517578125, 'score': 0.517578125, 'examples_seen': 59052, 'step': 1700, 'algorithm': 'quicksort'}
I0715 18:19:33.852071 124880143382016 run.py:723] (val) algo quicksort step 1750: {'pred': 0.4345703125, 'score': 0.4345703125, 'examples_seen': 60828, 'step': 1750, 'algorithm': 'quicksort'}
I0715 18:19:37.950938 124880143382016 run.py:723] (val) algo quicksort step 1800: {'pred': 0.4677734375, 'score': 0.4677734375, 'examples_seen': 62558, 'step': 1800, 'algorithm': 'quicksort'}
I0715 18:19:41.995986 124880143382016 run.py:723] (val) algo quicksort step 1850: {'pred': 0.4501953125, 'score': 0.4501953125, 'examples_seen': 64269, 'step': 1850, 'algorithm': 'quicksort'}
I0715 18:19:46.086696 124880143382016 run.py:723] (val) algo quicksort step 1900: {'pred': 0.4326171875, 'score': 0.4326171875, 'examples_seen': 65981, 'step': 1900, 'algorithm': 'quicksort'}
I0715 18:19:50.169196 124880143382016 run.py:723] (val) algo quicksort step 1950: {'pred': 0.453125, 'score': 0.453125, 'examples_seen': 67690, 'step': 1950, 'algorithm': 'quicksort'}
I0715 18:19:54.199607 124880143382016 run.py:723] (val) algo quicksort step 2000: {'pred': 0.46875, 'score': 0.46875, 'examples_seen': 69400, 'step': 2000, 'algorithm': 'quicksort'}
I0715 18:19:58.375438 124880143382016 run.py:723] (val) algo quicksort step 2050: {'pred': 0.453125, 'score': 0.453125, 'examples_seen': 71223, 'step': 2050, 'algorithm': 'quicksort'}
I0715 18:20:02.496337 124880143382016 run.py:723] (val) algo quicksort step 2100: {'pred': 0.55078125, 'score': 0.55078125, 'examples_seen': 72989, 'step': 2100, 'algorithm': 'quicksort'}
I0715 18:20:06.521835 124880143382016 run.py:723] (val) algo quicksort step 2150: {'pred': 0.4794921875, 'score': 0.4794921875, 'examples_seen': 74713, 'step': 2150, 'algorithm': 'quicksort'}
I0715 18:20:10.617737 124880143382016 run.py:723] (val) algo quicksort step 2200: {'pred': 0.4765625, 'score': 0.4765625, 'examples_seen': 76426, 'step': 2200, 'algorithm': 'quicksort'}
I0715 18:20:14.689124 124880143382016 run.py:723] (val) algo quicksort step 2250: {'pred': 0.5498046875, 'score': 0.5498046875, 'examples_seen': 78141, 'step': 2250, 'algorithm': 'quicksort'}
I0715 18:20:18.739236 124880143382016 run.py:723] (val) algo quicksort step 2300: {'pred': 0.56640625, 'score': 0.56640625, 'examples_seen': 79856, 'step': 2300, 'algorithm': 'quicksort'}
