I0716 16:20:50.814961 123486293136896 run.py:722] (val) algo mst_prim step 1600: {'pi': 0.923828125, 'score': 0.923828125, 'examples_seen': 90243, 'step': 1600, 'algorithm': 'mst_prim'}
I0716 16:20:52.691809 123486293136896 run.py:722] (val) algo mst_prim step 1650: {'pi': 0.888671875, 'score': 0.888671875, 'examples_seen': 93035, 'step': 1650, 'algorithm': 'mst_prim'}
I0716 16:20:54.538161 123486293136896 run.py:722] (val) algo mst_prim step 1700: {'pi': 0.912109375, 'score': 0.912109375, 'examples_seen': 95876, 'step': 1700, 'algorithm': 'mst_prim'}
I0716 16:20:56.353191 123486293136896 run.py:722] (val) algo mst_prim step 1750: {'pi': 0.9072265625, 'score': 0.9072265625, 'examples_seen': 98698, 'step': 1750, 'algorithm': 'mst_prim'}
I0716 16:20:58.169909 123486293136896 run.py:722] (val) algo mst_prim step 1800: {'pi': 0.8642578125, 'score': 0.8642578125, 'examples_seen': 101533, 'step': 1800, 'algorithm': 'mst_prim'}
I0716 16:21:00.027600 123486293136896 run.py:722] (val) algo mst_prim step 1850: {'pi': 0.9130859375, 'score': 0.9130859375, 'examples_seen': 104357, 'step': 1850, 'algorithm': 'mst_prim'}
I0716 16:21:01.835482 123486293136896 run.py:722] (val) algo mst_prim step 1900: {'pi': 0.89453125, 'score': 0.89453125, 'examples_seen': 107182, 'step': 1900, 'algorithm': 'mst_prim'}
I0716 16:21:03.691768 123486293136896 run.py:722] (val) algo mst_prim step 1950: {'pi': 0.8857421875, 'score': 0.8857421875, 'examples_seen': 109978, 'step': 1950, 'algorithm': 'mst_prim'}
I0716 16:21:05.571804 123486293136896 run.py:722] (val) algo mst_prim step 2000: {'pi': 0.9111328125, 'score': 0.9111328125, 'examples_seen': 112779, 'step': 2000, 'algorithm': 'mst_prim'}
I0716 16:21:07.354013 123486293136896 run.py:722] (val) algo mst_prim step 2050: {'pi': 0.8701171875, 'score': 0.8701171875, 'examples_seen': 115628, 'step': 2050, 'algorithm': 'mst_prim'}
