I0716 13:05:40.551197 138795964425728 run.py:722] (val) algo binary_search step 1600: {'return': 0.7958984375, 'score': 0.7958984375, 'examples_seen': 122997, 'step': 1600, 'algorithm': 'binary_search'}
I0716 13:05:42.672630 138795964425728 run.py:722] (val) algo binary_search step 1650: {'return': 0.807861328125, 'score': 0.807861328125, 'examples_seen': 126829, 'step': 1650, 'algorithm': 'binary_search'}
I0716 13:05:44.830240 138795964425728 run.py:722] (val) algo binary_search step 1700: {'return': 0.80224609375, 'score': 0.80224609375, 'examples_seen': 130709, 'step': 1700, 'algorithm': 'binary_search'}
I0716 13:05:46.948169 138795964425728 run.py:722] (val) algo binary_search step 1750: {'return': 0.82177734375, 'score': 0.82177734375, 'examples_seen': 134592, 'step': 1750, 'algorithm': 'binary_search'}
I0716 13:05:49.076534 138795964425728 run.py:722] (val) algo binary_search step 1800: {'return': 0.84814453125, 'score': 0.84814453125, 'examples_seen': 138441, 'step': 1800, 'algorithm': 'binary_search'}
I0716 13:05:51.236968 138795964425728 run.py:722] (val) algo binary_search step 1850: {'return': 0.824951171875, 'score': 0.824951171875, 'examples_seen': 142294, 'step': 1850, 'algorithm': 'binary_search'}
I0716 13:05:53.361854 138795964425728 run.py:722] (val) algo binary_search step 1900: {'return': 0.806640625, 'score': 0.806640625, 'examples_seen': 146105, 'step': 1900, 'algorithm': 'binary_search'}
I0716 13:05:55.486218 138795964425728 run.py:722] (val) algo binary_search step 1950: {'return': 0.734130859375, 'score': 0.734130859375, 'examples_seen': 149913, 'step': 1950, 'algorithm': 'binary_search'}
I0716 13:05:57.614154 138795964425728 run.py:722] (val) algo binary_search step 2000: {'return': 0.801513671875, 'score': 0.801513671875, 'examples_seen': 153743, 'step': 2000, 'algorithm': 'binary_search'}
I0716 13:05:59.759379 138795964425728 run.py:722] (val) algo binary_search step 2050: {'return': 0.7939453125, 'score': 0.7939453125, 'examples_seen': 157638, 'step': 2050, 'algorithm': 'binary_search'}
I0716 13:06:01.908465 138795964425728 run.py:722] (val) algo binary_search step 2100: {'return': 0.777587890625, 'score': 0.777587890625, 'examples_seen': 161536, 'step': 2100, 'algorithm': 'binary_search'}
I0716 13:06:04.056021 138795964425728 run.py:722] (val) algo binary_search step 2150: {'return': 0.757080078125, 'score': 0.757080078125, 'examples_seen': 165370, 'step': 2150, 'algorithm': 'binary_search'}
I0716 13:06:06.180923 138795964425728 run.py:722] (val) algo binary_search step 2200: {'return': 0.8076171875, 'score': 0.8076171875, 'examples_seen': 169201, 'step': 2200, 'algorithm': 'binary_search'}
I0716 13:06:08.313309 138795964425728 run.py:722] (val) algo binary_search step 2250: {'return': 0.69775390625, 'score': 0.69775390625, 'examples_seen': 173028, 'step': 2250, 'algorithm': 'binary_search'}
I0716 13:06:10.436401 138795964425728 run.py:722] (val) algo binary_search step 2300: {'return': 0.912353515625, 'score': 0.912353515625, 'examples_seen': 176837, 'step': 2300, 'algorithm': 'binary_search'}
I0716 13:06:12.611238 138795964425728 run.py:722] (val) algo binary_search step 2350: {'return': 0.827880859375, 'score': 0.827880859375, 'examples_seen': 180652, 'step': 2350, 'algorithm': 'binary_search'}
I0716 13:06:14.750394 138795964425728 run.py:722] (val) algo binary_search step 2400: {'return': 0.787353515625, 'score': 0.787353515625, 'examples_seen': 184537, 'step': 2400, 'algorithm': 'binary_search'}
I0716 13:06:16.885329 138795964425728 run.py:722] (val) algo binary_search step 2450: {'return': 0.722412109375, 'score': 0.722412109375, 'examples_seen': 188423, 'step': 2450, 'algorithm': 'binary_search'}
I0716 13:06:19.013954 138795964425728 run.py:722] (val) algo binary_search step 2500: {'return': 0.86474609375, 'score': 0.86474609375, 'examples_seen': 192254, 'step': 2500, 'algorithm': 'binary_search'}
I0716 13:06:21.134722 138795964425728 run.py:722] (val) algo binary_search step 2550: {'return': 0.713623046875, 'score': 0.713623046875, 'examples_seen': 196090, 'step': 2550, 'algorithm': 'binary_search'}
I0716 13:06:23.294597 138795964425728 run.py:722] (val) algo binary_search step 2600: {'return': 0.826416015625, 'score': 0.826416015625, 'examples_seen': 199901, 'step': 2600, 'algorithm': 'binary_search'}
I0716 13:06:25.444299 138795964425728 run.py:722] (val) algo binary_search step 2650: {'return': 0.879638671875, 'score': 0.879638671875, 'examples_seen': 203721, 'step': 2650, 'algorithm': 'binary_search'}
I0716 13:06:27.580155 138795964425728 run.py:722] (val) algo binary_search step 2700: {'return': 0.851806640625, 'score': 0.851806640625, 'examples_seen': 207530, 'step': 2700, 'algorithm': 'binary_search'}
I0716 13:06:29.713476 138795964425728 run.py:722] (val) algo binary_search step 2750: {'return': 0.853759765625, 'score': 0.853759765625, 'examples_seen': 211422, 'step': 2750, 'algorithm': 'binary_search'}
I0716 13:06:31.872930 138795964425728 run.py:722] (val) algo binary_search step 2800: {'return': 0.884033203125, 'score': 0.884033203125, 'examples_seen': 215308, 'step': 2800, 'algorithm': 'binary_search'}
I0716 13:06:33.996599 138795964425728 run.py:722] (val) algo binary_search step 2850: {'return': 0.837646484375, 'score': 0.837646484375, 'examples_seen': 219137, 'step': 2850, 'algorithm': 'binary_search'}
I0716 13:06:36.132099 138795964425728 run.py:722] (val) algo binary_search step 2900: {'return': 0.866943359375, 'score': 0.866943359375, 'examples_seen': 222989, 'step': 2900, 'algorithm': 'binary_search'}
I0716 13:06:38.294512 138795964425728 run.py:722] (val) algo binary_search step 2950: {'return': 0.90478515625, 'score': 0.90478515625, 'examples_seen': 226818, 'step': 2950, 'algorithm': 'binary_search'}
I0716 13:06:40.421450 138795964425728 run.py:722] (val) algo binary_search step 3000: {'return': 0.8505859375, 'score': 0.8505859375, 'examples_seen': 230626, 'step': 3000, 'algorithm': 'binary_search'}
I0716 13:06:42.563392 138795964425728 run.py:722] (val) algo binary_search step 3050: {'return': 0.88427734375, 'score': 0.88427734375, 'examples_seen': 234455, 'step': 3050, 'algorithm': 'binary_search'}
I0716 13:06:44.697398 138795964425728 run.py:722] (val) algo binary_search step 3100: {'return': 0.908447265625, 'score': 0.908447265625, 'examples_seen': 238331, 'step': 3100, 'algorithm': 'binary_search'}
I0716 13:06:46.831561 138795964425728 run.py:722] (val) algo binary_search step 3150: {'return': 0.902099609375, 'score': 0.902099609375, 'examples_seen': 242216, 'step': 3150, 'algorithm': 'binary_search'}
I0716 13:06:48.965882 138795964425728 run.py:722] (val) algo binary_search step 3200: {'return': 0.695556640625, 'score': 0.695556640625, 'examples_seen': 246053, 'step': 3200, 'algorithm': 'binary_search'}
I0716 13:06:51.102154 138795964425728 run.py:722] (val) algo binary_search step 3250: {'return': 0.84521484375, 'score': 0.84521484375, 'examples_seen': 249892, 'step': 3250, 'algorithm': 'binary_search'}
I0716 13:06:53.254278 138795964425728 run.py:722] (val) algo binary_search step 3300: {'return': 0.894775390625, 'score': 0.894775390625, 'examples_seen': 253710, 'step': 3300, 'algorithm': 'binary_search'}
I0716 13:06:55.385534 138795964425728 run.py:722] (val) algo binary_search step 3350: {'return': 0.825927734375, 'score': 0.825927734375, 'examples_seen': 257531, 'step': 3350, 'algorithm': 'binary_search'}
I0716 13:06:57.544827 138795964425728 run.py:722] (val) algo binary_search step 3400: {'return': 0.87939453125, 'score': 0.87939453125, 'examples_seen': 261352, 'step': 3400, 'algorithm': 'binary_search'}
I0716 13:06:59.679895 138795964425728 run.py:722] (val) algo binary_search step 3450: {'return': 0.83056640625, 'score': 0.83056640625, 'examples_seen': 265239, 'step': 3450, 'algorithm': 'binary_search'}
I0716 13:07:01.831062 138795964425728 run.py:722] (val) algo binary_search step 3500: {'return': 0.85400390625, 'score': 0.85400390625, 'examples_seen': 269107, 'step': 3500, 'algorithm': 'binary_search'}
I0716 13:07:03.972081 138795964425728 run.py:722] (val) algo binary_search step 3550: {'return': 0.869140625, 'score': 0.869140625, 'examples_seen': 272954, 'step': 3550, 'algorithm': 'binary_search'}
I0716 13:07:06.091981 138795964425728 run.py:722] (val) algo binary_search step 3600: {'return': 0.893310546875, 'score': 0.893310546875, 'examples_seen': 276792, 'step': 3600, 'algorithm': 'binary_search'}
I0716 13:07:08.208317 138795964425728 run.py:722] (val) algo binary_search step 3650: {'return': 0.815673828125, 'score': 0.815673828125, 'examples_seen': 280598, 'step': 3650, 'algorithm': 'binary_search'}
I0716 13:07:10.369083 138795964425728 run.py:722] (val) algo binary_search step 3700: {'return': 0.919189453125, 'score': 0.919189453125, 'examples_seen': 284416, 'step': 3700, 'algorithm': 'binary_search'}
I0716 13:07:12.557528 138795964425728 run.py:722] (val) algo binary_search step 3750: {'return': 0.86181640625, 'score': 0.86181640625, 'examples_seen': 288238, 'step': 3750, 'algorithm': 'binary_search'}
I0716 13:07:14.686854 138795964425728 run.py:722] (val) algo binary_search step 3800: {'return': 0.824951171875, 'score': 0.824951171875, 'examples_seen': 292124, 'step': 3800, 'algorithm': 'binary_search'}
I0716 13:07:16.816725 138795964425728 run.py:722] (val) algo binary_search step 3850: {'return': 0.839599609375, 'score': 0.839599609375, 'examples_seen': 296010, 'step': 3850, 'algorithm': 'binary_search'}
I0716 13:07:18.922579 138795964425728 run.py:722] (val) algo binary_search step 3900: {'return': 0.849365234375, 'score': 0.849365234375, 'examples_seen': 299853, 'step': 3900, 'algorithm': 'binary_search'}
I0716 13:07:21.050978 138795964425728 run.py:722] (val) algo binary_search step 3950: {'return': 0.878173828125, 'score': 0.878173828125, 'examples_seen': 303687, 'step': 3950, 'algorithm': 'binary_search'}
I0716 13:07:23.186606 138795964425728 run.py:722] (val) algo binary_search step 4000: {'return': 0.894775390625, 'score': 0.894775390625, 'examples_seen': 307501, 'step': 4000, 'algorithm': 'binary_search'}
I0716 13:07:25.301778 138795964425728 run.py:722] (val) algo binary_search step 4050: {'return': 0.904296875, 'score': 0.904296875, 'examples_seen': 311310, 'step': 4050, 'algorithm': 'binary_search'}
