I0716 17:28:29.204209 131698539693568 run.py:722] (val) algo quicksort step 1600: {'pred': 0.5703125, 'score': 0.5703125, 'examples_seen': 55518, 'step': 1600, 'algorithm': 'quicksort'}
I0716 17:28:33.179949 131698539693568 run.py:722] (val) algo quicksort step 1650: {'pred': 0.5908203125, 'score': 0.5908203125, 'examples_seen': 57231, 'step': 1650, 'algorithm': 'quicksort'}
I0716 17:28:37.276345 131698539693568 run.py:722] (val) algo quicksort step 1700: {'pred': 0.5595703125, 'score': 0.5595703125, 'examples_seen': 59052, 'step': 1700, 'algorithm': 'quicksort'}
I0716 17:28:41.283893 131698539693568 run.py:722] (val) algo quicksort step 1750: {'pred': 0.6923828125, 'score': 0.6923828125, 'examples_seen': 60828, 'step': 1750, 'algorithm': 'quicksort'}
I0716 17:28:45.292823 131698539693568 run.py:722] (val) algo quicksort step 1800: {'pred': 0.7314453125, 'score': 0.7314453125, 'examples_seen': 62558, 'step': 1800, 'algorithm': 'quicksort'}
I0716 17:28:49.215092 131698539693568 run.py:722] (val) algo quicksort step 1850: {'pred': 0.705078125, 'score': 0.705078125, 'examples_seen': 64269, 'step': 1850, 'algorithm': 'quicksort'}
I0716 17:28:53.151281 131698539693568 run.py:722] (val) algo quicksort step 1900: {'pred': 0.78515625, 'score': 0.78515625, 'examples_seen': 65981, 'step': 1900, 'algorithm': 'quicksort'}
I0716 17:28:57.132158 131698539693568 run.py:722] (val) algo quicksort step 1950: {'pred': 0.68359375, 'score': 0.68359375, 'examples_seen': 67690, 'step': 1950, 'algorithm': 'quicksort'}
I0716 17:29:01.107484 131698539693568 run.py:722] (val) algo quicksort step 2000: {'pred': 0.734375, 'score': 0.734375, 'examples_seen': 69400, 'step': 2000, 'algorithm': 'quicksort'}
I0716 17:29:05.194988 131698539693568 run.py:722] (val) algo quicksort step 2050: {'pred': 0.689453125, 'score': 0.689453125, 'examples_seen': 71223, 'step': 2050, 'algorithm': 'quicksort'}
I0716 17:29:09.189202 131698539693568 run.py:722] (val) algo quicksort step 2100: {'pred': 0.783203125, 'score': 0.783203125, 'examples_seen': 72989, 'step': 2100, 'algorithm': 'quicksort'}
I0716 17:29:13.167338 131698539693568 run.py:722] (val) algo quicksort step 2150: {'pred': 0.771484375, 'score': 0.771484375, 'examples_seen': 74713, 'step': 2150, 'algorithm': 'quicksort'}
I0716 17:29:17.193332 131698539693568 run.py:722] (val) algo quicksort step 2200: {'pred': 0.58203125, 'score': 0.58203125, 'examples_seen': 76426, 'step': 2200, 'algorithm': 'quicksort'}
I0716 17:29:21.235312 131698539693568 run.py:722] (val) algo quicksort step 2250: {'pred': 0.7451171875, 'score': 0.7451171875, 'examples_seen': 78141, 'step': 2250, 'algorithm': 'quicksort'}
I0716 17:29:25.196586 131698539693568 run.py:722] (val) algo quicksort step 2300: {'pred': 0.7607421875, 'score': 0.7607421875, 'examples_seen': 79856, 'step': 2300, 'algorithm': 'quicksort'}
I0716 17:29:29.203368 131698539693568 run.py:722] (val) algo quicksort step 2350: {'pred': 0.779296875, 'score': 0.779296875, 'examples_seen': 81561, 'step': 2350, 'algorithm': 'quicksort'}
I0716 17:29:33.342664 131698539693568 run.py:722] (val) algo quicksort step 2400: {'pred': 0.6533203125, 'score': 0.6533203125, 'examples_seen': 83384, 'step': 2400, 'algorithm': 'quicksort'}
I0716 17:29:37.342858 131698539693568 run.py:722] (val) algo quicksort step 2450: {'pred': 0.7333984375, 'score': 0.7333984375, 'examples_seen': 85132, 'step': 2450, 'algorithm': 'quicksort'}
I0716 17:29:41.354559 131698539693568 run.py:722] (val) algo quicksort step 2500: {'pred': 0.5986328125, 'score': 0.5986328125, 'examples_seen': 86862, 'step': 2500, 'algorithm': 'quicksort'}
I0716 17:29:45.265999 131698539693568 run.py:722] (val) algo quicksort step 2550: {'pred': 0.767578125, 'score': 0.767578125, 'examples_seen': 88565, 'step': 2550, 'algorithm': 'quicksort'}
I0716 17:29:49.237319 131698539693568 run.py:722] (val) algo quicksort step 2600: {'pred': 0.806640625, 'score': 0.806640625, 'examples_seen': 90271, 'step': 2600, 'algorithm': 'quicksort'}
I0716 17:29:53.212656 131698539693568 run.py:722] (val) algo quicksort step 2650: {'pred': 0.76171875, 'score': 0.76171875, 'examples_seen': 91972, 'step': 2650, 'algorithm': 'quicksort'}
I0716 17:29:57.175161 131698539693568 run.py:722] (val) algo quicksort step 2700: {'pred': 0.6337890625, 'score': 0.6337890625, 'examples_seen': 93671, 'step': 2700, 'algorithm': 'quicksort'}
I0716 17:30:01.246436 131698539693568 run.py:722] (val) algo quicksort step 2750: {'pred': 0.822265625, 'score': 0.822265625, 'examples_seen': 95504, 'step': 2750, 'algorithm': 'quicksort'}
I0716 17:30:05.352443 131698539693568 run.py:722] (val) algo quicksort step 2800: {'pred': 0.7890625, 'score': 0.7890625, 'examples_seen': 97264, 'step': 2800, 'algorithm': 'quicksort'}
I0716 17:30:09.341001 131698539693568 run.py:722] (val) algo quicksort step 2850: {'pred': 0.73046875, 'score': 0.73046875, 'examples_seen': 98999, 'step': 2850, 'algorithm': 'quicksort'}
I0716 17:30:13.305588 131698539693568 run.py:722] (val) algo quicksort step 2900: {'pred': 0.72265625, 'score': 0.72265625, 'examples_seen': 100705, 'step': 2900, 'algorithm': 'quicksort'}
I0716 17:30:17.274389 131698539693568 run.py:722] (val) algo quicksort step 2950: {'pred': 0.755859375, 'score': 0.755859375, 'examples_seen': 102408, 'step': 2950, 'algorithm': 'quicksort'}
I0716 17:30:21.217013 131698539693568 run.py:722] (val) algo quicksort step 3000: {'pred': 0.7568359375, 'score': 0.7568359375, 'examples_seen': 104116, 'step': 3000, 'algorithm': 'quicksort'}
I0716 17:30:25.185557 131698539693568 run.py:722] (val) algo quicksort step 3050: {'pred': 0.771484375, 'score': 0.771484375, 'examples_seen': 105816, 'step': 3050, 'algorithm': 'quicksort'}
I0716 17:30:29.329677 131698539693568 run.py:722] (val) algo quicksort step 3100: {'pred': 0.7548828125, 'score': 0.7548828125, 'examples_seen': 107659, 'step': 3100, 'algorithm': 'quicksort'}
