{'is_bridge': 0.7733990147783251, 'score': 0.7733990147783251, 'examples_seen': 38065, 'step': 2400, 'algorithm': 'bridges'}
{'is_bridge': 0.7579462102689486, 'score': 0.7579462102689486, 'examples_seen': 38870, 'step': 2450, 'algorithm': 'bridges'}
{'is_bridge': 0.7771929824561404, 'score': 0.7771929824561404, 'examples_seen': 39671, 'step': 2500, 'algorithm': 'bridges'}
{'is_bridge': 0.7053941908713692, 'score': 0.7053941908713692, 'examples_seen': 40461, 'step': 2550, 'algorithm': 'bridges'}
{'is_bridge': 0.7867383512544802, 'score': 0.7867383512544802, 'examples_seen': 41238, 'step': 2600, 'algorithm': 'bridges'}
{'is_bridge': 0.7810158201498751, 'score': 0.7810158201498751, 'examples_seen': 42028, 'step': 2650, 'algorithm': 'bridges'}
{'is_bridge': 0.8194640338504936, 'score': 0.8194640338504936, 'examples_seen': 42801, 'step': 2700, 'algorithm': 'bridges'}
{'is_bridge': 0.7840579710144927, 'score': 0.7840579710144927, 'examples_seen': 43618, 'step': 2750, 'algorithm': 'bridges'}
{'is_bridge': 0.7292993630573248, 'score': 0.7292993630573248, 'examples_seen': 44419, 'step': 2800, 'algorithm': 'bridges'}
{'is_bridge': 0.8019323671497585, 'score': 0.8019323671497585, 'examples_seen': 45215, 'step': 2850, 'algorithm': 'bridges'}
{'is_bridge': 0.7650643195666892, 'score': 0.7650643195666892, 'examples_seen': 46006, 'step': 2900, 'algorithm': 'bridges'}
{'is_bridge': 0.764525993883792, 'score': 0.764525993883792, 'examples_seen': 46798, 'step': 2950, 'algorithm': 'bridges'}
{'is_bridge': 0.8213296398891966, 'score': 0.8213296398891966, 'examples_seen': 47573, 'step': 3000, 'algorithm': 'bridges'}
{'is_bridge': 0.7820419985517741, 'score': 0.7820419985517741, 'examples_seen': 48348, 'step': 3050, 'algorithm': 'bridges'}
{'is_bridge': 0.8014388489208633, 'score': 0.8014388489208633, 'examples_seen': 49166, 'step': 3100, 'algorithm': 'bridges'}
{'is_bridge': 0.6391333784698713, 'score': 0.6391333784698713, 'examples_seen': 49966, 'step': 3150, 'algorithm': 'bridges'}
{'is_bridge': 0.7269914926527455, 'score': 0.7269914926527455, 'examples_seen': 50766, 'step': 3200, 'algorithm': 'bridges'}
{'is_bridge': 0.7830758898589657, 'score': 0.7830758898589657, 'examples_seen': 51550, 'step': 3250, 'algorithm': 'bridges'}
{'is_bridge': 0.7774902975420439, 'score': 0.7774902975420439, 'examples_seen': 52341, 'step': 3300, 'algorithm': 'bridges'}
{'is_bridge': 0.7638009049773756, 'score': 0.7638009049773756, 'examples_seen': 53125, 'step': 3350, 'algorithm': 'bridges'}
{'is_bridge': 0.7716814159292036, 'score': 0.7716814159292036, 'examples_seen': 53899, 'step': 3400, 'algorithm': 'bridges'}
{'is_bridge': 0.7866868381240544, 'score': 0.7866868381240544, 'examples_seen': 54732, 'step': 3450, 'algorithm': 'bridges'}
{'is_bridge': 0.8273809523809523, 'score': 0.8273809523809523, 'examples_seen': 55530, 'step': 3500, 'algorithm': 'bridges'}
{'is_bridge': 0.7691176470588235, 'score': 0.7691176470588235, 'examples_seen': 56331, 'step': 3550, 'algorithm': 'bridges'}
{'is_bridge': 0.7373417721518986, 'score': 0.7373417721518986, 'examples_seen': 57113, 'step': 3600, 'algorithm': 'bridges'}
{'is_bridge': 0.7341964965727341, 'score': 0.7341964965727341, 'examples_seen': 57901, 'step': 3650, 'algorithm': 'bridges'}
{'is_bridge': 0.7435897435897436, 'score': 0.7435897435897436, 'examples_seen': 58688, 'step': 3700, 'algorithm': 'bridges'}
{'is_bridge': 0.8228460793804452, 'score': 0.8228460793804452, 'examples_seen': 59466, 'step': 3750, 'algorithm': 'bridges'}
{'is_bridge': 0.8134270101483216, 'score': 0.8134270101483216, 'examples_seen': 60287, 'step': 3800, 'algorithm': 'bridges'}
{'is_bridge': 0.740506329113924, 'score': 0.740506329113924, 'examples_seen': 61091, 'step': 3850, 'algorithm': 'bridges'}
