{'s': 0.97467041015625, 'score': 0.97467041015625, 'examples_seen': 201494, 'step': 2450, 'algorithm': 'matrix_chain_order'}
{'s': 0.98052978515625, 'score': 0.98052978515625, 'examples_seen': 205591, 'step': 2500, 'algorithm': 'matrix_chain_order'}
{'s': 0.97332763671875, 'score': 0.97332763671875, 'examples_seen': 209661, 'step': 2550, 'algorithm': 'matrix_chain_order'}
{'s': 0.97247314453125, 'score': 0.97247314453125, 'examples_seen': 213718, 'step': 2600, 'algorithm': 'matrix_chain_order'}
{'s': 0.97125244140625, 'score': 0.97125244140625, 'examples_seen': 217770, 'step': 2650, 'algorithm': 'matrix_chain_order'}
{'s': 0.9775390625, 'score': 0.9775390625, 'examples_seen': 221820, 'step': 2700, 'algorithm': 'matrix_chain_order'}
{'s': 0.98681640625, 'score': 0.98681640625, 'examples_seen': 226109, 'step': 2750, 'algorithm': 'matrix_chain_order'}
{'s': 0.98016357421875, 'score': 0.98016357421875, 'examples_seen': 230260, 'step': 2800, 'algorithm': 'matrix_chain_order'}
{'s': 0.97454833984375, 'score': 0.97454833984375, 'examples_seen': 234363, 'step': 2850, 'algorithm': 'matrix_chain_order'}
{'s': 0.9781494140625, 'score': 0.9781494140625, 'examples_seen': 238431, 'step': 2900, 'algorithm': 'matrix_chain_order'}
{'s': 0.98876953125, 'score': 0.98876953125, 'examples_seen': 242484, 'step': 2950, 'algorithm': 'matrix_chain_order'}
{'s': 0.987548828125, 'score': 0.987548828125, 'examples_seen': 246530, 'step': 3000, 'algorithm': 'matrix_chain_order'}
{'s': 0.99169921875, 'score': 0.99169921875, 'examples_seen': 250584, 'step': 3050, 'algorithm': 'matrix_chain_order'}
{'s': 0.9892578125, 'score': 0.9892578125, 'examples_seen': 254863, 'step': 3100, 'algorithm': 'matrix_chain_order'}
{'s': 0.97918701171875, 'score': 0.97918701171875, 'examples_seen': 259020, 'step': 3150, 'algorithm': 'matrix_chain_order'}
{'s': 0.99078369140625, 'score': 0.99078369140625, 'examples_seen': 263114, 'step': 3200, 'algorithm': 'matrix_chain_order'}
{'s': 0.9891357421875, 'score': 0.9891357421875, 'examples_seen': 267179, 'step': 3250, 'algorithm': 'matrix_chain_order'}
{'s': 0.982177734375, 'score': 0.982177734375, 'examples_seen': 271231, 'step': 3300, 'algorithm': 'matrix_chain_order'}
{'s': 0.98101806640625, 'score': 0.98101806640625, 'examples_seen': 275293, 'step': 3350, 'algorithm': 'matrix_chain_order'}
{'s': 0.98736572265625, 'score': 0.98736572265625, 'examples_seen': 279345, 'step': 3400, 'algorithm': 'matrix_chain_order'}
{'s': 0.99200439453125, 'score': 0.99200439453125, 'examples_seen': 283635, 'step': 3450, 'algorithm': 'matrix_chain_order'}
{'s': 0.98602294921875, 'score': 0.98602294921875, 'examples_seen': 287787, 'step': 3500, 'algorithm': 'matrix_chain_order'}
{'s': 0.9873046875, 'score': 0.9873046875, 'examples_seen': 291887, 'step': 3550, 'algorithm': 'matrix_chain_order'}
{'s': 0.93072509765625, 'score': 0.93072509765625, 'examples_seen': 295954, 'step': 3600, 'algorithm': 'matrix_chain_order'}
