I0716 17:57:13.029091 136905113048576 run.py:722] (val) algo topological_sort step 1400: {'topo': 0.4501953125, 'topo_head': 1.0, 'score': 0.72509765625, 'examples_seen': 26726, 'step': 1400, 'algorithm': 'topological_sort'}
I0716 17:57:14.377546 136905113048576 run.py:722] (val) algo topological_sort step 1450: {'topo': 0.4521484375, 'topo_head': 0.96875, 'score': 0.71044921875, 'examples_seen': 27680, 'step': 1450, 'algorithm': 'topological_sort'}
I0716 17:57:15.721550 136905113048576 run.py:722] (val) algo topological_sort step 1500: {'topo': 0.5458984375, 'topo_head': 1.0, 'score': 0.77294921875, 'examples_seen': 28625, 'step': 1500, 'algorithm': 'topological_sort'}
I0716 17:57:17.066355 136905113048576 run.py:722] (val) algo topological_sort step 1550: {'topo': 0.5634765625, 'topo_head': 0.984375, 'score': 0.77392578125, 'examples_seen': 29572, 'step': 1550, 'algorithm': 'topological_sort'}
I0716 17:57:18.458139 136905113048576 run.py:722] (val) algo topological_sort step 1600: {'topo': 0.5419921875, 'topo_head': 1.0, 'score': 0.77099609375, 'examples_seen': 30520, 'step': 1600, 'algorithm': 'topological_sort'}
I0716 17:57:19.834918 136905113048576 run.py:722] (val) algo topological_sort step 1650: {'topo': 0.482421875, 'topo_head': 0.984375, 'score': 0.7333984375, 'examples_seen': 31465, 'step': 1650, 'algorithm': 'topological_sort'}
I0716 17:57:21.194738 136905113048576 run.py:722] (val) algo topological_sort step 1700: {'topo': 0.4990234375, 'topo_head': 0.984375, 'score': 0.74169921875, 'examples_seen': 32434, 'step': 1700, 'algorithm': 'topological_sort'}
I0716 17:57:22.512627 136905113048576 run.py:722] (val) algo topological_sort step 1750: {'topo': 0.4599609375, 'topo_head': 1.0, 'score': 0.72998046875, 'examples_seen': 33399, 'step': 1750, 'algorithm': 'topological_sort'}
I0716 17:57:23.850415 136905113048576 run.py:722] (val) algo topological_sort step 1800: {'topo': 0.501953125, 'topo_head': 0.984375, 'score': 0.7431640625, 'examples_seen': 34354, 'step': 1800, 'algorithm': 'topological_sort'}
I0716 17:57:25.200145 136905113048576 run.py:722] (val) algo topological_sort step 1850: {'topo': 0.4423828125, 'topo_head': 0.984375, 'score': 0.71337890625, 'examples_seen': 35307, 'step': 1850, 'algorithm': 'topological_sort'}
I0716 17:57:26.543871 136905113048576 run.py:722] (val) algo topological_sort step 1900: {'topo': 0.5087890625, 'topo_head': 1.0, 'score': 0.75439453125, 'examples_seen': 36251, 'step': 1900, 'algorithm': 'topological_sort'}
I0716 17:57:27.907077 136905113048576 run.py:722] (val) algo topological_sort step 1950: {'topo': 0.3876953125, 'topo_head': 0.953125, 'score': 0.67041015625, 'examples_seen': 37192, 'step': 1950, 'algorithm': 'topological_sort'}
I0716 17:57:29.293562 136905113048576 run.py:722] (val) algo topological_sort step 2000: {'topo': 0.3837890625, 'topo_head': 0.984375, 'score': 0.68408203125, 'examples_seen': 38134, 'step': 2000, 'algorithm': 'topological_sort'}
I0716 17:57:30.627403 136905113048576 run.py:722] (val) algo topological_sort step 2050: {'topo': 0.560546875, 'topo_head': 1.0, 'score': 0.7802734375, 'examples_seen': 39112, 'step': 2050, 'algorithm': 'topological_sort'}
I0716 17:57:31.989209 136905113048576 run.py:722] (val) algo topological_sort step 2100: {'topo': 0.5244140625, 'topo_head': 0.875, 'score': 0.69970703125, 'examples_seen': 40072, 'step': 2100, 'algorithm': 'topological_sort'}
I0716 17:57:33.310786 136905113048576 run.py:722] (val) algo topological_sort step 2150: {'topo': 0.4775390625, 'topo_head': 0.984375, 'score': 0.73095703125, 'examples_seen': 41025, 'step': 2150, 'algorithm': 'topological_sort'}
I0716 17:57:34.639042 136905113048576 run.py:722] (val) algo topological_sort step 2200: {'topo': 0.3994140625, 'topo_head': 0.953125, 'score': 0.67626953125, 'examples_seen': 41974, 'step': 2200, 'algorithm': 'topological_sort'}
I0716 17:57:35.952117 136905113048576 run.py:722] (val) algo topological_sort step 2250: {'topo': 0.4169921875, 'topo_head': 0.984375, 'score': 0.70068359375, 'examples_seen': 42923, 'step': 2250, 'algorithm': 'topological_sort'}
