{'Pi': 0.71307373046875, 'score': 0.71307373046875, 'examples_seen': 123488, 'step': 2400, 'algorithm': 'floyd_warshall'}
{'Pi': 0.68572998046875, 'score': 0.68572998046875, 'examples_seen': 126112, 'step': 2450, 'algorithm': 'floyd_warshall'}
{'Pi': 0.7523193359375, 'score': 0.7523193359375, 'examples_seen': 128656, 'step': 2500, 'algorithm': 'floyd_warshall'}
{'Pi': 0.704833984375, 'score': 0.704833984375, 'examples_seen': 131232, 'step': 2550, 'algorithm': 'floyd_warshall'}
{'Pi': 0.6982421875, 'score': 0.6982421875, 'examples_seen': 133760, 'step': 2600, 'algorithm': 'floyd_warshall'}
{'Pi': 0.750732421875, 'score': 0.750732421875, 'examples_seen': 136304, 'step': 2650, 'algorithm': 'floyd_warshall'}
{'Pi': 0.75390625, 'score': 0.75390625, 'examples_seen': 138848, 'step': 2700, 'algorithm': 'floyd_warshall'}
{'Pi': 0.73870849609375, 'score': 0.73870849609375, 'examples_seen': 141488, 'step': 2750, 'algorithm': 'floyd_warshall'}
{'Pi': 0.6920166015625, 'score': 0.6920166015625, 'examples_seen': 144112, 'step': 2800, 'algorithm': 'floyd_warshall'}
{'Pi': 0.695068359375, 'score': 0.695068359375, 'examples_seen': 146672, 'step': 2850, 'algorithm': 'floyd_warshall'}
{'Pi': 0.7220458984375, 'score': 0.7220458984375, 'examples_seen': 149216, 'step': 2900, 'algorithm': 'floyd_warshall'}
{'Pi': 0.74090576171875, 'score': 0.74090576171875, 'examples_seen': 151776, 'step': 2950, 'algorithm': 'floyd_warshall'}
{'Pi': 0.72625732421875, 'score': 0.72625732421875, 'examples_seen': 154320, 'step': 3000, 'algorithm': 'floyd_warshall'}
{'Pi': 0.730224609375, 'score': 0.730224609375, 'examples_seen': 156832, 'step': 3050, 'algorithm': 'floyd_warshall'}
{'Pi': 0.7860107421875, 'score': 0.7860107421875, 'examples_seen': 159488, 'step': 3100, 'algorithm': 'floyd_warshall'}
{'Pi': 0.70538330078125, 'score': 0.70538330078125, 'examples_seen': 162112, 'step': 3150, 'algorithm': 'floyd_warshall'}
{'Pi': 0.756103515625, 'score': 0.756103515625, 'examples_seen': 164672, 'step': 3200, 'algorithm': 'floyd_warshall'}
{'Pi': 0.7451171875, 'score': 0.7451171875, 'examples_seen': 167248, 'step': 3250, 'algorithm': 'floyd_warshall'}
{'Pi': 0.7371826171875, 'score': 0.7371826171875, 'examples_seen': 169776, 'step': 3300, 'algorithm': 'floyd_warshall'}
{'Pi': 0.7696533203125, 'score': 0.7696533203125, 'examples_seen': 172336, 'step': 3350, 'algorithm': 'floyd_warshall'}
{'Pi': 0.78851318359375, 'score': 0.78851318359375, 'examples_seen': 174864, 'step': 3400, 'algorithm': 'floyd_warshall'}
{'Pi': 0.76446533203125, 'score': 0.76446533203125, 'examples_seen': 177504, 'step': 3450, 'algorithm': 'floyd_warshall'}
{'Pi': 0.737548828125, 'score': 0.737548828125, 'examples_seen': 180112, 'step': 3500, 'algorithm': 'floyd_warshall'}
{'Pi': 0.7091064453125, 'score': 0.7091064453125, 'examples_seen': 182672, 'step': 3550, 'algorithm': 'floyd_warshall'}
{'Pi': 0.7730712890625, 'score': 0.7730712890625, 'examples_seen': 185248, 'step': 3600, 'algorithm': 'floyd_warshall'}
{'Pi': 0.74920654296875, 'score': 0.74920654296875, 'examples_seen': 187776, 'step': 3650, 'algorithm': 'floyd_warshall'}
{'Pi': 0.76104736328125, 'score': 0.76104736328125, 'examples_seen': 190320, 'step': 3700, 'algorithm': 'floyd_warshall'}
{'Pi': 0.7691650390625, 'score': 0.7691650390625, 'examples_seen': 192864, 'step': 3750, 'algorithm': 'floyd_warshall'}
{'Pi': 0.78887939453125, 'score': 0.78887939453125, 'examples_seen': 195504, 'step': 3800, 'algorithm': 'floyd_warshall'}
{'Pi': 0.71478271484375, 'score': 0.71478271484375, 'examples_seen': 198128, 'step': 3850, 'algorithm': 'floyd_warshall'}
{'Pi': 0.760498046875, 'score': 0.760498046875, 'examples_seen': 200672, 'step': 3900, 'algorithm': 'floyd_warshall'}
{'Pi': 0.76251220703125, 'score': 0.76251220703125, 'examples_seen': 203232, 'step': 3950, 'algorithm': 'floyd_warshall'}
{'Pi': 0.81048583984375, 'score': 0.81048583984375, 'examples_seen': 205792, 'step': 4000, 'algorithm': 'floyd_warshall'}
{'Pi': 0.77044677734375, 'score': 0.77044677734375, 'examples_seen': 208320, 'step': 4050, 'algorithm': 'floyd_warshall'}
{'Pi': 0.75982666015625, 'score': 0.75982666015625, 'examples_seen': 210848, 'step': 4100, 'algorithm': 'floyd_warshall'}
{'Pi': 0.781982421875, 'score': 0.781982421875, 'examples_seen': 213520, 'step': 4150, 'algorithm': 'floyd_warshall'}
{'Pi': 0.74810791015625, 'score': 0.74810791015625, 'examples_seen': 216112, 'step': 4200, 'algorithm': 'floyd_warshall'}
{'Pi': 0.78570556640625, 'score': 0.78570556640625, 'examples_seen': 218688, 'step': 4250, 'algorithm': 'floyd_warshall'}
{'Pi': 0.80450439453125, 'score': 0.80450439453125, 'examples_seen': 221248, 'step': 4300, 'algorithm': 'floyd_warshall'}
{'Pi': 0.7440185546875, 'score': 0.7440185546875, 'examples_seen': 223792, 'step': 4350, 'algorithm': 'floyd_warshall'}
{'Pi': 0.801513671875, 'score': 0.801513671875, 'examples_seen': 226352, 'step': 4400, 'algorithm': 'floyd_warshall'}
{'Pi': 0.780029296875, 'score': 0.780029296875, 'examples_seen': 228880, 'step': 4450, 'algorithm': 'floyd_warshall'}
{'Pi': 0.7611083984375, 'score': 0.7611083984375, 'examples_seen': 231504, 'step': 4500, 'algorithm': 'floyd_warshall'}
{'Pi': 0.7901611328125, 'score': 0.7901611328125, 'examples_seen': 234128, 'step': 4550, 'algorithm': 'floyd_warshall'}
