I0716 16:07:13.739957 128490841785856 run.py:722] (val) algo mst_kruskal step 1400: {'in_mst': 0.6967471143756558, 'score': 0.6967471143756558, 'examples_seen': 116034, 'step': 1400, 'algorithm': 'mst_kruskal'}
I0716 16:07:16.903669 128490841785856 run.py:722] (val) algo mst_kruskal step 1450: {'in_mst': 0.6956521739130435, 'score': 0.6956521739130435, 'examples_seen': 120162, 'step': 1450, 'algorithm': 'mst_kruskal'}
I0716 16:07:20.090398 128490841785856 run.py:722] (val) algo mst_kruskal step 1500: {'in_mst': 0.699512723335138, 'score': 0.699512723335138, 'examples_seen': 124318, 'step': 1500, 'algorithm': 'mst_kruskal'}
I0716 16:07:23.302476 128490841785856 run.py:722] (val) algo mst_kruskal step 1550: {'in_mst': 0.6628352490421456, 'score': 0.6628352490421456, 'examples_seen': 128428, 'step': 1550, 'algorithm': 'mst_kruskal'}
I0716 16:07:26.441187 128490841785856 run.py:722] (val) algo mst_kruskal step 1600: {'in_mst': 0.6955128205128206, 'score': 0.6955128205128206, 'examples_seen': 132489, 'step': 1600, 'algorithm': 'mst_kruskal'}
I0716 16:07:29.592821 128490841785856 run.py:722] (val) algo mst_kruskal step 1650: {'in_mst': 0.7312775330396476, 'score': 0.7312775330396476, 'examples_seen': 136542, 'step': 1650, 'algorithm': 'mst_kruskal'}
I0716 16:07:33.098234 128490841785856 run.py:722] (val) algo mst_kruskal step 1700: {'in_mst': 0.7550802139037432, 'score': 0.7550802139037432, 'examples_seen': 140866, 'step': 1700, 'algorithm': 'mst_kruskal'}
I0716 16:07:36.388725 128490841785856 run.py:722] (val) algo mst_kruskal step 1750: {'in_mst': 0.7571743929359822, 'score': 0.7571743929359822, 'examples_seen': 145068, 'step': 1750, 'algorithm': 'mst_kruskal'}
I0716 16:07:39.608184 128490841785856 run.py:722] (val) algo mst_kruskal step 1800: {'in_mst': 0.7271849348140994, 'score': 0.7271849348140994, 'examples_seen': 149195, 'step': 1800, 'algorithm': 'mst_kruskal'}
I0716 16:07:42.838155 128490841785856 run.py:722] (val) algo mst_kruskal step 1850: {'in_mst': 0.7401129943502823, 'score': 0.7401129943502823, 'examples_seen': 153304, 'step': 1850, 'algorithm': 'mst_kruskal'}
I0716 16:07:46.099960 128490841785856 run.py:722] (val) algo mst_kruskal step 1900: {'in_mst': 0.7140974967061924, 'score': 0.7140974967061924, 'examples_seen': 157443, 'step': 1900, 'algorithm': 'mst_kruskal'}
I0716 16:07:49.259481 128490841785856 run.py:722] (val) algo mst_kruskal step 1950: {'in_mst': 0.6886258363355636, 'score': 0.6886258363355636, 'examples_seen': 161536, 'step': 1950, 'algorithm': 'mst_kruskal'}
I0716 16:07:52.270348 128490841785856 run.py:722] (val) algo mst_kruskal step 2000: {'in_mst': 0.7209668943772989, 'score': 0.7209668943772989, 'examples_seen': 165531, 'step': 2000, 'algorithm': 'mst_kruskal'}
I0716 16:07:55.546409 128490841785856 run.py:722] (val) algo mst_kruskal step 2050: {'in_mst': 0.7667147667147667, 'score': 0.7667147667147667, 'examples_seen': 169840, 'step': 2050, 'algorithm': 'mst_kruskal'}
I0716 16:07:58.896418 128490841785856 run.py:722] (val) algo mst_kruskal step 2100: {'in_mst': 0.7972190034762456, 'score': 0.7972190034762456, 'examples_seen': 174082, 'step': 2100, 'algorithm': 'mst_kruskal'}
I0716 16:08:02.258203 128490841785856 run.py:722] (val) algo mst_kruskal step 2150: {'in_mst': 0.7398593834505138, 'score': 0.7398593834505138, 'examples_seen': 178221, 'step': 2150, 'algorithm': 'mst_kruskal'}
