I0716 13:25:49.563721 134814337697280 run.py:722] (val) algo bubble_sort step 1550: {'pred': 0.8134765625, 'score': 0.8134765625, 'examples_seen': 52432, 'step': 1550, 'algorithm': 'bubble_sort'}
I0716 13:25:53.400997 134814337697280 run.py:722] (val) algo bubble_sort step 1600: {'pred': 0.796875, 'score': 0.796875, 'examples_seen': 54096, 'step': 1600, 'algorithm': 'bubble_sort'}
I0716 13:25:57.110207 134814337697280 run.py:722] (val) algo bubble_sort step 1650: {'pred': 0.853515625, 'score': 0.853515625, 'examples_seen': 55760, 'step': 1650, 'algorithm': 'bubble_sort'}
I0716 13:26:01.000188 134814337697280 run.py:722] (val) algo bubble_sort step 1700: {'pred': 0.8056640625, 'score': 0.8056640625, 'examples_seen': 57536, 'step': 1700, 'algorithm': 'bubble_sort'}
I0716 13:26:04.854715 134814337697280 run.py:722] (val) algo bubble_sort step 1750: {'pred': 0.8232421875, 'score': 0.8232421875, 'examples_seen': 59264, 'step': 1750, 'algorithm': 'bubble_sort'}
I0716 13:26:08.635905 134814337697280 run.py:722] (val) algo bubble_sort step 1800: {'pred': 0.8623046875, 'score': 0.8623046875, 'examples_seen': 60944, 'step': 1800, 'algorithm': 'bubble_sort'}
I0716 13:26:12.391994 134814337697280 run.py:722] (val) algo bubble_sort step 1850: {'pred': 0.8095703125, 'score': 0.8095703125, 'examples_seen': 62608, 'step': 1850, 'algorithm': 'bubble_sort'}
I0716 13:26:16.153476 134814337697280 run.py:722] (val) algo bubble_sort step 1900: {'pred': 0.77734375, 'score': 0.77734375, 'examples_seen': 64288, 'step': 1900, 'algorithm': 'bubble_sort'}
I0716 13:26:19.878044 134814337697280 run.py:722] (val) algo bubble_sort step 1950: {'pred': 0.7900390625, 'score': 0.7900390625, 'examples_seen': 65936, 'step': 1950, 'algorithm': 'bubble_sort'}
I0716 13:26:23.684817 134814337697280 run.py:722] (val) algo bubble_sort step 2000: {'pred': 0.869140625, 'score': 0.869140625, 'examples_seen': 67600, 'step': 2000, 'algorithm': 'bubble_sort'}
I0716 13:26:27.618766 134814337697280 run.py:722] (val) algo bubble_sort step 2050: {'pred': 0.8125, 'score': 0.8125, 'examples_seen': 69376, 'step': 2050, 'algorithm': 'bubble_sort'}
I0716 13:26:31.402918 134814337697280 run.py:722] (val) algo bubble_sort step 2100: {'pred': 0.818359375, 'score': 0.818359375, 'examples_seen': 71088, 'step': 2100, 'algorithm': 'bubble_sort'}
I0716 13:26:35.199057 134814337697280 run.py:722] (val) algo bubble_sort step 2150: {'pred': 0.7822265625, 'score': 0.7822265625, 'examples_seen': 72800, 'step': 2150, 'algorithm': 'bubble_sort'}
I0716 13:26:38.977015 134814337697280 run.py:722] (val) algo bubble_sort step 2200: {'pred': 0.7724609375, 'score': 0.7724609375, 'examples_seen': 74448, 'step': 2200, 'algorithm': 'bubble_sort'}
