{'return': 0.85107421875, 'score': 0.85107421875, 'examples_seen': 203721, 'step': 2650, 'algorithm': 'binary_search'}
{'return': 0.822021484375, 'score': 0.822021484375, 'examples_seen': 207530, 'step': 2700, 'algorithm': 'binary_search'}
{'return': 0.823974609375, 'score': 0.823974609375, 'examples_seen': 211422, 'step': 2750, 'algorithm': 'binary_search'}
{'return': 0.77587890625, 'score': 0.77587890625, 'examples_seen': 215308, 'step': 2800, 'algorithm': 'binary_search'}
{'return': 0.86474609375, 'score': 0.86474609375, 'examples_seen': 219137, 'step': 2850, 'algorithm': 'binary_search'}
{'return': 0.90283203125, 'score': 0.90283203125, 'examples_seen': 222989, 'step': 2900, 'algorithm': 'binary_search'}
{'return': 0.83935546875, 'score': 0.83935546875, 'examples_seen': 226818, 'step': 2950, 'algorithm': 'binary_search'}
{'return': 0.870361328125, 'score': 0.870361328125, 'examples_seen': 230626, 'step': 3000, 'algorithm': 'binary_search'}
{'return': 0.84033203125, 'score': 0.84033203125, 'examples_seen': 234455, 'step': 3050, 'algorithm': 'binary_search'}
{'return': 0.833984375, 'score': 0.833984375, 'examples_seen': 238331, 'step': 3100, 'algorithm': 'binary_search'}
{'return': 0.738037109375, 'score': 0.738037109375, 'examples_seen': 242216, 'step': 3150, 'algorithm': 'binary_search'}
{'return': 0.8505859375, 'score': 0.8505859375, 'examples_seen': 246053, 'step': 3200, 'algorithm': 'binary_search'}
{'return': 0.7861328125, 'score': 0.7861328125, 'examples_seen': 249892, 'step': 3250, 'algorithm': 'binary_search'}
{'return': 0.87841796875, 'score': 0.87841796875, 'examples_seen': 253710, 'step': 3300, 'algorithm': 'binary_search'}
{'return': 0.85498046875, 'score': 0.85498046875, 'examples_seen': 257531, 'step': 3350, 'algorithm': 'binary_search'}
{'return': 0.827392578125, 'score': 0.827392578125, 'examples_seen': 261352, 'step': 3400, 'algorithm': 'binary_search'}
{'return': 0.851318359375, 'score': 0.851318359375, 'examples_seen': 265239, 'step': 3450, 'algorithm': 'binary_search'}
{'return': 0.797119140625, 'score': 0.797119140625, 'examples_seen': 269107, 'step': 3500, 'algorithm': 'binary_search'}
{'return': 0.907470703125, 'score': 0.907470703125, 'examples_seen': 272954, 'step': 3550, 'algorithm': 'binary_search'}
{'return': 0.830322265625, 'score': 0.830322265625, 'examples_seen': 276792, 'step': 3600, 'algorithm': 'binary_search'}
{'return': 0.8681640625, 'score': 0.8681640625, 'examples_seen': 280598, 'step': 3650, 'algorithm': 'binary_search'}
{'return': 0.777099609375, 'score': 0.777099609375, 'examples_seen': 284416, 'step': 3700, 'algorithm': 'binary_search'}
{'return': 0.884765625, 'score': 0.884765625, 'examples_seen': 288238, 'step': 3750, 'algorithm': 'binary_search'}
{'return': 0.857666015625, 'score': 0.857666015625, 'examples_seen': 292124, 'step': 3800, 'algorithm': 'binary_search'}
{'return': 0.82080078125, 'score': 0.82080078125, 'examples_seen': 296010, 'step': 3850, 'algorithm': 'binary_search'}
{'return': 0.763671875, 'score': 0.763671875, 'examples_seen': 299853, 'step': 3900, 'algorithm': 'binary_search'}
{'return': 0.872802734375, 'score': 0.872802734375, 'examples_seen': 303687, 'step': 3950, 'algorithm': 'binary_search'}
{'return': 0.853515625, 'score': 0.853515625, 'examples_seen': 307501, 'step': 4000, 'algorithm': 'binary_search'}
