I0716 19:49:01.398202 132276257179136 run.py:722] (val) algo dfs step 1650: {'pi': 0.53515625, 'score': 0.53515625, 'examples_seen': 28272, 'step': 1650, 'algorithm': 'dfs'}
I0716 19:49:02.837667 132276257179136 run.py:722] (val) algo dfs step 1700: {'pi': 0.4736328125, 'score': 0.4736328125, 'examples_seen': 29152, 'step': 1700, 'algorithm': 'dfs'}
I0716 19:49:04.261037 132276257179136 run.py:722] (val) algo dfs step 1750: {'pi': 0.4794921875, 'score': 0.4794921875, 'examples_seen': 30016, 'step': 1750, 'algorithm': 'dfs'}
I0716 19:49:05.672191 132276257179136 run.py:722] (val) algo dfs step 1800: {'pi': 0.5458984375, 'score': 0.5458984375, 'examples_seen': 30880, 'step': 1800, 'algorithm': 'dfs'}
I0716 19:49:07.100763 132276257179136 run.py:722] (val) algo dfs step 1850: {'pi': 0.560546875, 'score': 0.560546875, 'examples_seen': 31712, 'step': 1850, 'algorithm': 'dfs'}
I0716 19:49:08.539509 132276257179136 run.py:722] (val) algo dfs step 1900: {'pi': 0.4970703125, 'score': 0.4970703125, 'examples_seen': 32592, 'step': 1900, 'algorithm': 'dfs'}
I0716 19:49:09.954877 132276257179136 run.py:722] (val) algo dfs step 1950: {'pi': 0.46875, 'score': 0.46875, 'examples_seen': 33408, 'step': 1950, 'algorithm': 'dfs'}
I0716 19:49:11.474798 132276257179136 run.py:722] (val) algo dfs step 2000: {'pi': 0.4892578125, 'score': 0.4892578125, 'examples_seen': 34272, 'step': 2000, 'algorithm': 'dfs'}
I0716 19:49:12.929615 132276257179136 run.py:722] (val) algo dfs step 2050: {'pi': 0.4755859375, 'score': 0.4755859375, 'examples_seen': 35152, 'step': 2050, 'algorithm': 'dfs'}
I0716 19:49:14.436191 132276257179136 run.py:722] (val) algo dfs step 2100: {'pi': 0.4990234375, 'score': 0.4990234375, 'examples_seen': 36016, 'step': 2100, 'algorithm': 'dfs'}
I0716 19:49:15.866698 132276257179136 run.py:722] (val) algo dfs step 2150: {'pi': 0.4921875, 'score': 0.4921875, 'examples_seen': 36880, 'step': 2150, 'algorithm': 'dfs'}
I0716 19:49:17.302697 132276257179136 run.py:722] (val) algo dfs step 2200: {'pi': 0.4482421875, 'score': 0.4482421875, 'examples_seen': 37728, 'step': 2200, 'algorithm': 'dfs'}
I0716 19:49:18.772335 132276257179136 run.py:722] (val) algo dfs step 2250: {'pi': 0.50390625, 'score': 0.50390625, 'examples_seen': 38592, 'step': 2250, 'algorithm': 'dfs'}
I0716 19:49:20.178484 132276257179136 run.py:722] (val) algo dfs step 2300: {'pi': 0.369140625, 'score': 0.369140625, 'examples_seen': 39440, 'step': 2300, 'algorithm': 'dfs'}
I0716 19:49:21.644239 132276257179136 run.py:722] (val) algo dfs step 2350: {'pi': 0.5537109375, 'score': 0.5537109375, 'examples_seen': 40272, 'step': 2350, 'algorithm': 'dfs'}
I0716 19:49:23.091583 132276257179136 run.py:722] (val) algo dfs step 2400: {'pi': 0.51171875, 'score': 0.51171875, 'examples_seen': 41152, 'step': 2400, 'algorithm': 'dfs'}
I0716 19:49:24.535049 132276257179136 run.py:722] (val) algo dfs step 2450: {'pi': 0.4443359375, 'score': 0.4443359375, 'examples_seen': 42032, 'step': 2450, 'algorithm': 'dfs'}
I0716 19:49:25.942269 132276257179136 run.py:722] (val) algo dfs step 2500: {'pi': 0.5322265625, 'score': 0.5322265625, 'examples_seen': 42864, 'step': 2500, 'algorithm': 'dfs'}
