I0716 19:57:31.424715 140603330549248 run.py:722] (val) algo dijkstra step 1600: {'pi': 0.974609375, 'score': 0.974609375, 'examples_seen': 90243, 'step': 1600, 'algorithm': 'dijkstra'}
I0716 19:57:33.409936 140603330549248 run.py:722] (val) algo dijkstra step 1650: {'pi': 0.935546875, 'score': 0.935546875, 'examples_seen': 93035, 'step': 1650, 'algorithm': 'dijkstra'}
I0716 19:57:35.309557 140603330549248 run.py:722] (val) algo dijkstra step 1700: {'pi': 0.9482421875, 'score': 0.9482421875, 'examples_seen': 95876, 'step': 1700, 'algorithm': 'dijkstra'}
I0716 19:57:37.188467 140603330549248 run.py:722] (val) algo dijkstra step 1750: {'pi': 0.9560546875, 'score': 0.9560546875, 'examples_seen': 98698, 'step': 1750, 'algorithm': 'dijkstra'}
I0716 19:57:39.030000 140603330549248 run.py:722] (val) algo dijkstra step 1800: {'pi': 0.9775390625, 'score': 0.9775390625, 'examples_seen': 101533, 'step': 1800, 'algorithm': 'dijkstra'}
I0716 19:57:40.947055 140603330549248 run.py:722] (val) algo dijkstra step 1850: {'pi': 0.931640625, 'score': 0.931640625, 'examples_seen': 104357, 'step': 1850, 'algorithm': 'dijkstra'}
I0716 19:57:42.795982 140603330549248 run.py:722] (val) algo dijkstra step 1900: {'pi': 0.9755859375, 'score': 0.9755859375, 'examples_seen': 107182, 'step': 1900, 'algorithm': 'dijkstra'}
I0716 19:57:44.693293 140603330549248 run.py:722] (val) algo dijkstra step 1950: {'pi': 0.9716796875, 'score': 0.9716796875, 'examples_seen': 109978, 'step': 1950, 'algorithm': 'dijkstra'}
I0716 19:57:46.661190 140603330549248 run.py:722] (val) algo dijkstra step 2000: {'pi': 0.9814453125, 'score': 0.9814453125, 'examples_seen': 112779, 'step': 2000, 'algorithm': 'dijkstra'}
I0716 19:57:48.566591 140603330549248 run.py:722] (val) algo dijkstra step 2050: {'pi': 0.9599609375, 'score': 0.9599609375, 'examples_seen': 115628, 'step': 2050, 'algorithm': 'dijkstra'}
I0716 19:57:50.425208 140603330549248 run.py:722] (val) algo dijkstra step 2100: {'pi': 0.962890625, 'score': 0.962890625, 'examples_seen': 118463, 'step': 2100, 'algorithm': 'dijkstra'}
I0716 19:57:52.337412 140603330549248 run.py:722] (val) algo dijkstra step 2150: {'pi': 0.958984375, 'score': 0.958984375, 'examples_seen': 121281, 'step': 2150, 'algorithm': 'dijkstra'}
I0716 19:57:54.251292 140603330549248 run.py:722] (val) algo dijkstra step 2200: {'pi': 0.9765625, 'score': 0.9765625, 'examples_seen': 124110, 'step': 2200, 'algorithm': 'dijkstra'}
I0716 19:57:56.202151 140603330549248 run.py:722] (val) algo dijkstra step 2250: {'pi': 0.9296875, 'score': 0.9296875, 'examples_seen': 126912, 'step': 2250, 'algorithm': 'dijkstra'}
I0716 19:57:58.127695 140603330549248 run.py:722] (val) algo dijkstra step 2300: {'pi': 0.96875, 'score': 0.96875, 'examples_seen': 129663, 'step': 2300, 'algorithm': 'dijkstra'}
I0716 19:58:00.088449 140603330549248 run.py:722] (val) algo dijkstra step 2350: {'pi': 0.962890625, 'score': 0.962890625, 'examples_seen': 132480, 'step': 2350, 'algorithm': 'dijkstra'}
I0716 19:58:02.019605 140603330549248 run.py:722] (val) algo dijkstra step 2400: {'pi': 0.9775390625, 'score': 0.9775390625, 'examples_seen': 135339, 'step': 2400, 'algorithm': 'dijkstra'}
I0716 19:58:03.919719 140603330549248 run.py:722] (val) algo dijkstra step 2450: {'pi': 0.9775390625, 'score': 0.9775390625, 'examples_seen': 138192, 'step': 2450, 'algorithm': 'dijkstra'}
I0716 19:58:05.955362 140603330549248 run.py:722] (val) algo dijkstra step 2500: {'pi': 0.9814453125, 'score': 0.9814453125, 'examples_seen': 141013, 'step': 2500, 'algorithm': 'dijkstra'}
I0716 19:58:07.874231 140603330549248 run.py:722] (val) algo dijkstra step 2550: {'pi': 0.9794921875, 'score': 0.9794921875, 'examples_seen': 143836, 'step': 2550, 'algorithm': 'dijkstra'}
I0716 19:58:09.870401 140603330549248 run.py:722] (val) algo dijkstra step 2600: {'pi': 0.9541015625, 'score': 0.9541015625, 'examples_seen': 146621, 'step': 2600, 'algorithm': 'dijkstra'}
I0716 19:58:11.833627 140603330549248 run.py:722] (val) algo dijkstra step 2650: {'pi': 0.9765625, 'score': 0.9765625, 'examples_seen': 149404, 'step': 2650, 'algorithm': 'dijkstra'}
I0716 19:58:13.771811 140603330549248 run.py:722] (val) algo dijkstra step 2700: {'pi': 0.9765625, 'score': 0.9765625, 'examples_seen': 152220, 'step': 2700, 'algorithm': 'dijkstra'}
I0716 19:58:15.752112 140603330549248 run.py:722] (val) algo dijkstra step 2750: {'pi': 0.9814453125, 'score': 0.9814453125, 'examples_seen': 155108, 'step': 2750, 'algorithm': 'dijkstra'}
I0716 19:58:17.681308 140603330549248 run.py:722] (val) algo dijkstra step 2800: {'pi': 0.9755859375, 'score': 0.9755859375, 'examples_seen': 158001, 'step': 2800, 'algorithm': 'dijkstra'}
I0716 19:58:19.610047 140603330549248 run.py:722] (val) algo dijkstra step 2850: {'pi': 0.9638671875, 'score': 0.9638671875, 'examples_seen': 160815, 'step': 2850, 'algorithm': 'dijkstra'}
I0716 19:58:21.532258 140603330549248 run.py:722] (val) algo dijkstra step 2900: {'pi': 0.9580078125, 'score': 0.9580078125, 'examples_seen': 163649, 'step': 2900, 'algorithm': 'dijkstra'}
