I0716 21:52:13.112086 130696166696448 run.py:722] (val) algo minimum step 1650: {'min': 0.98046875, 'score': 0.98046875, 'examples_seen': 84832, 'step': 1650, 'algorithm': 'minimum'}
I0716 21:52:14.848335 130696166696448 run.py:722] (val) algo minimum step 1700: {'min': 0.93701171875, 'score': 0.93701171875, 'examples_seen': 87472, 'step': 1700, 'algorithm': 'minimum'}
I0716 21:52:16.549636 130696166696448 run.py:722] (val) algo minimum step 1750: {'min': 0.80322265625, 'score': 0.80322265625, 'examples_seen': 90096, 'step': 1750, 'algorithm': 'minimum'}
I0716 21:52:18.256153 130696166696448 run.py:722] (val) algo minimum step 1800: {'min': 0.97216796875, 'score': 0.97216796875, 'examples_seen': 92656, 'step': 1800, 'algorithm': 'minimum'}
I0716 21:52:19.963178 130696166696448 run.py:722] (val) algo minimum step 1850: {'min': 0.977294921875, 'score': 0.977294921875, 'examples_seen': 95232, 'step': 1850, 'algorithm': 'minimum'}
I0716 21:52:21.663097 130696166696448 run.py:722] (val) algo minimum step 1900: {'min': 0.94580078125, 'score': 0.94580078125, 'examples_seen': 97776, 'step': 1900, 'algorithm': 'minimum'}
I0716 21:52:23.361716 130696166696448 run.py:722] (val) algo minimum step 1950: {'min': 0.9755859375, 'score': 0.9755859375, 'examples_seen': 100320, 'step': 1950, 'algorithm': 'minimum'}
I0716 21:52:25.070934 130696166696448 run.py:722] (val) algo minimum step 2000: {'min': 0.96923828125, 'score': 0.96923828125, 'examples_seen': 102848, 'step': 2000, 'algorithm': 'minimum'}
I0716 21:52:26.780017 130696166696448 run.py:722] (val) algo minimum step 2050: {'min': 0.945068359375, 'score': 0.945068359375, 'examples_seen': 105488, 'step': 2050, 'algorithm': 'minimum'}
I0716 21:52:28.484640 130696166696448 run.py:722] (val) algo minimum step 2100: {'min': 0.908447265625, 'score': 0.908447265625, 'examples_seen': 108096, 'step': 2100, 'algorithm': 'minimum'}
I0716 21:52:30.202349 130696166696448 run.py:722] (val) algo minimum step 2150: {'min': 0.982421875, 'score': 0.982421875, 'examples_seen': 110688, 'step': 2150, 'algorithm': 'minimum'}
I0716 21:52:31.920230 130696166696448 run.py:722] (val) algo minimum step 2200: {'min': 0.918701171875, 'score': 0.918701171875, 'examples_seen': 113232, 'step': 2200, 'algorithm': 'minimum'}
I0716 21:52:33.617449 130696166696448 run.py:722] (val) algo minimum step 2250: {'min': 0.932861328125, 'score': 0.932861328125, 'examples_seen': 115760, 'step': 2250, 'algorithm': 'minimum'}
I0716 21:52:35.314761 130696166696448 run.py:722] (val) algo minimum step 2300: {'min': 0.977783203125, 'score': 0.977783203125, 'examples_seen': 118336, 'step': 2300, 'algorithm': 'minimum'}
I0716 21:52:37.022608 130696166696448 run.py:722] (val) algo minimum step 2350: {'min': 0.954833984375, 'score': 0.954833984375, 'examples_seen': 120848, 'step': 2350, 'algorithm': 'minimum'}
I0716 21:52:38.772510 130696166696448 run.py:722] (val) algo minimum step 2400: {'min': 0.974609375, 'score': 0.974609375, 'examples_seen': 123488, 'step': 2400, 'algorithm': 'minimum'}
I0716 21:52:40.489481 130696166696448 run.py:722] (val) algo minimum step 2450: {'min': 0.981689453125, 'score': 0.981689453125, 'examples_seen': 126112, 'step': 2450, 'algorithm': 'minimum'}
I0716 21:52:42.188356 130696166696448 run.py:722] (val) algo minimum step 2500: {'min': 0.95458984375, 'score': 0.95458984375, 'examples_seen': 128656, 'step': 2500, 'algorithm': 'minimum'}
I0716 21:52:43.901517 130696166696448 run.py:722] (val) algo minimum step 2550: {'min': 0.974365234375, 'score': 0.974365234375, 'examples_seen': 131232, 'step': 2550, 'algorithm': 'minimum'}
I0716 21:52:45.603144 130696166696448 run.py:722] (val) algo minimum step 2600: {'min': 0.97265625, 'score': 0.97265625, 'examples_seen': 133760, 'step': 2600, 'algorithm': 'minimum'}
I0716 21:52:47.301367 130696166696448 run.py:722] (val) algo minimum step 2650: {'min': 0.9296875, 'score': 0.9296875, 'examples_seen': 136304, 'step': 2650, 'algorithm': 'minimum'}
I0716 21:52:49.009320 130696166696448 run.py:722] (val) algo minimum step 2700: {'min': 0.92578125, 'score': 0.92578125, 'examples_seen': 138848, 'step': 2700, 'algorithm': 'minimum'}
I0716 21:52:50.733968 130696166696448 run.py:722] (val) algo minimum step 2750: {'min': 0.94921875, 'score': 0.94921875, 'examples_seen': 141488, 'step': 2750, 'algorithm': 'minimum'}
I0716 21:52:52.443845 130696166696448 run.py:722] (val) algo minimum step 2800: {'min': 0.94970703125, 'score': 0.94970703125, 'examples_seen': 144112, 'step': 2800, 'algorithm': 'minimum'}
I0716 21:52:54.143875 130696166696448 run.py:722] (val) algo minimum step 2850: {'min': 0.987548828125, 'score': 0.987548828125, 'examples_seen': 146672, 'step': 2850, 'algorithm': 'minimum'}
I0716 21:52:55.847831 130696166696448 run.py:722] (val) algo minimum step 2900: {'min': 0.9716796875, 'score': 0.9716796875, 'examples_seen': 149216, 'step': 2900, 'algorithm': 'minimum'}
I0716 21:52:57.534948 130696166696448 run.py:722] (val) algo minimum step 2950: {'min': 0.938720703125, 'score': 0.938720703125, 'examples_seen': 151776, 'step': 2950, 'algorithm': 'minimum'}
I0716 21:52:59.239427 130696166696448 run.py:722] (val) algo minimum step 3000: {'min': 0.958984375, 'score': 0.958984375, 'examples_seen': 154320, 'step': 3000, 'algorithm': 'minimum'}
I0716 21:53:00.939804 130696166696448 run.py:722] (val) algo minimum step 3050: {'min': 0.968994140625, 'score': 0.968994140625, 'examples_seen': 156832, 'step': 3050, 'algorithm': 'minimum'}
I0716 21:53:02.660559 130696166696448 run.py:722] (val) algo minimum step 3100: {'min': 0.959716796875, 'score': 0.959716796875, 'examples_seen': 159488, 'step': 3100, 'algorithm': 'minimum'}
I0716 21:53:04.418052 130696166696448 run.py:722] (val) algo minimum step 3150: {'min': 0.956787109375, 'score': 0.956787109375, 'examples_seen': 162112, 'step': 3150, 'algorithm': 'minimum'}
I0716 21:53:06.123827 130696166696448 run.py:722] (val) algo minimum step 3200: {'min': 0.959228515625, 'score': 0.959228515625, 'examples_seen': 164672, 'step': 3200, 'algorithm': 'minimum'}
I0716 21:53:07.829639 130696166696448 run.py:722] (val) algo minimum step 3250: {'min': 0.980224609375, 'score': 0.980224609375, 'examples_seen': 167248, 'step': 3250, 'algorithm': 'minimum'}
I0716 21:53:09.520554 130696166696448 run.py:722] (val) algo minimum step 3300: {'min': 0.9287109375, 'score': 0.9287109375, 'examples_seen': 169776, 'step': 3300, 'algorithm': 'minimum'}
I0716 21:53:11.229744 130696166696448 run.py:722] (val) algo minimum step 3350: {'min': 0.961669921875, 'score': 0.961669921875, 'examples_seen': 172336, 'step': 3350, 'algorithm': 'minimum'}
I0716 21:53:12.928315 130696166696448 run.py:722] (val) algo minimum step 3400: {'min': 0.9658203125, 'score': 0.9658203125, 'examples_seen': 174864, 'step': 3400, 'algorithm': 'minimum'}
I0716 21:53:14.630644 130696166696448 run.py:722] (val) algo minimum step 3450: {'min': 0.9677734375, 'score': 0.9677734375, 'examples_seen': 177504, 'step': 3450, 'algorithm': 'minimum'}
I0716 21:53:16.340484 130696166696448 run.py:722] (val) algo minimum step 3500: {'min': 0.9814453125, 'score': 0.9814453125, 'examples_seen': 180112, 'step': 3500, 'algorithm': 'minimum'}
I0716 21:53:18.028688 130696166696448 run.py:722] (val) algo minimum step 3550: {'min': 0.96728515625, 'score': 0.96728515625, 'examples_seen': 182672, 'step': 3550, 'algorithm': 'minimum'}
I0716 21:53:19.722110 130696166696448 run.py:722] (val) algo minimum step 3600: {'min': 0.918701171875, 'score': 0.918701171875, 'examples_seen': 185248, 'step': 3600, 'algorithm': 'minimum'}
