I0716 19:38:40.074883 132227552474624 run.py:722] (val) algo dag_shortest_paths step 1450: {'pi': 0.9658203125, 'score': 0.9658203125, 'examples_seen': 42874, 'step': 1450, 'algorithm': 'dag_shortest_paths'}
I0716 19:38:42.007028 132227552474624 run.py:722] (val) algo dag_shortest_paths step 1500: {'pi': 0.9365234375, 'score': 0.9365234375, 'examples_seen': 44362, 'step': 1500, 'algorithm': 'dag_shortest_paths'}
I0716 19:38:44.067066 132227552474624 run.py:722] (val) algo dag_shortest_paths step 1550: {'pi': 0.97265625, 'score': 0.97265625, 'examples_seen': 45830, 'step': 1550, 'algorithm': 'dag_shortest_paths'}
I0716 19:38:46.103067 132227552474624 run.py:722] (val) algo dag_shortest_paths step 1600: {'pi': 0.9541015625, 'score': 0.9541015625, 'examples_seen': 47284, 'step': 1600, 'algorithm': 'dag_shortest_paths'}
I0716 19:38:48.171689 132227552474624 run.py:722] (val) algo dag_shortest_paths step 1650: {'pi': 0.9677734375, 'score': 0.9677734375, 'examples_seen': 48732, 'step': 1650, 'algorithm': 'dag_shortest_paths'}
I0716 19:38:50.177202 132227552474624 run.py:722] (val) algo dag_shortest_paths step 1700: {'pi': 0.9794921875, 'score': 0.9794921875, 'examples_seen': 50202, 'step': 1700, 'algorithm': 'dag_shortest_paths'}
I0716 19:38:52.151391 132227552474624 run.py:722] (val) algo dag_shortest_paths step 1750: {'pi': 0.9482421875, 'score': 0.9482421875, 'examples_seen': 51700, 'step': 1750, 'algorithm': 'dag_shortest_paths'}
I0716 19:38:54.235387 132227552474624 run.py:722] (val) algo dag_shortest_paths step 1800: {'pi': 0.943359375, 'score': 0.943359375, 'examples_seen': 53184, 'step': 1800, 'algorithm': 'dag_shortest_paths'}
I0716 19:38:56.166985 132227552474624 run.py:722] (val) algo dag_shortest_paths step 1850: {'pi': 0.982421875, 'score': 0.982421875, 'examples_seen': 54647, 'step': 1850, 'algorithm': 'dag_shortest_paths'}
I0716 19:38:58.224034 132227552474624 run.py:722] (val) algo dag_shortest_paths step 1900: {'pi': 0.9716796875, 'score': 0.9716796875, 'examples_seen': 56137, 'step': 1900, 'algorithm': 'dag_shortest_paths'}
I0716 19:39:00.186319 132227552474624 run.py:722] (val) algo dag_shortest_paths step 1950: {'pi': 0.982421875, 'score': 0.982421875, 'examples_seen': 57579, 'step': 1950, 'algorithm': 'dag_shortest_paths'}
I0716 19:39:02.298184 132227552474624 run.py:722] (val) algo dag_shortest_paths step 2000: {'pi': 0.9794921875, 'score': 0.9794921875, 'examples_seen': 59052, 'step': 2000, 'algorithm': 'dag_shortest_paths'}
I0716 19:39:04.383934 132227552474624 run.py:722] (val) algo dag_shortest_paths step 2050: {'pi': 0.9638671875, 'score': 0.9638671875, 'examples_seen': 60546, 'step': 2050, 'algorithm': 'dag_shortest_paths'}
I0716 19:39:06.368674 132227552474624 run.py:722] (val) algo dag_shortest_paths step 2100: {'pi': 0.9716796875, 'score': 0.9716796875, 'examples_seen': 62078, 'step': 2100, 'algorithm': 'dag_shortest_paths'}
I0716 19:39:08.407964 132227552474624 run.py:722] (val) algo dag_shortest_paths step 2150: {'pi': 0.9599609375, 'score': 0.9599609375, 'examples_seen': 63592, 'step': 2150, 'algorithm': 'dag_shortest_paths'}
I0716 19:39:10.412575 132227552474624 run.py:722] (val) algo dag_shortest_paths step 2200: {'pi': 0.9609375, 'score': 0.9609375, 'examples_seen': 65104, 'step': 2200, 'algorithm': 'dag_shortest_paths'}
I0716 19:39:12.354458 132227552474624 run.py:722] (val) algo dag_shortest_paths step 2250: {'pi': 0.96484375, 'score': 0.96484375, 'examples_seen': 66566, 'step': 2250, 'algorithm': 'dag_shortest_paths'}
I0716 19:39:14.358926 132227552474624 run.py:722] (val) algo dag_shortest_paths step 2300: {'pi': 0.9599609375, 'score': 0.9599609375, 'examples_seen': 68031, 'step': 2300, 'algorithm': 'dag_shortest_paths'}
I0716 19:39:16.424592 132227552474624 run.py:722] (val) algo dag_shortest_paths step 2350: {'pi': 0.9658203125, 'score': 0.9658203125, 'examples_seen': 69496, 'step': 2350, 'algorithm': 'dag_shortest_paths'}
I0716 19:39:18.486364 132227552474624 run.py:722] (val) algo dag_shortest_paths step 2400: {'pi': 0.970703125, 'score': 0.970703125, 'examples_seen': 71015, 'step': 2400, 'algorithm': 'dag_shortest_paths'}
I0716 19:39:20.579789 132227552474624 run.py:722] (val) algo dag_shortest_paths step 2450: {'pi': 0.978515625, 'score': 0.978515625, 'examples_seen': 72509, 'step': 2450, 'algorithm': 'dag_shortest_paths'}
I0716 19:39:22.435395 132227552474624 run.py:722] (val) algo dag_shortest_paths step 2500: {'pi': 0.974609375, 'score': 0.974609375, 'examples_seen': 73971, 'step': 2500, 'algorithm': 'dag_shortest_paths'}
I0716 19:39:24.510672 132227552474624 run.py:722] (val) algo dag_shortest_paths step 2550: {'pi': 0.958984375, 'score': 0.958984375, 'examples_seen': 75467, 'step': 2550, 'algorithm': 'dag_shortest_paths'}
I0716 19:39:26.488698 132227552474624 run.py:722] (val) algo dag_shortest_paths step 2600: {'pi': 0.96875, 'score': 0.96875, 'examples_seen': 76917, 'step': 2600, 'algorithm': 'dag_shortest_paths'}
I0716 19:39:28.577515 132227552474624 run.py:722] (val) algo dag_shortest_paths step 2650: {'pi': 0.9697265625, 'score': 0.9697265625, 'examples_seen': 78404, 'step': 2650, 'algorithm': 'dag_shortest_paths'}
I0716 19:39:30.624192 132227552474624 run.py:722] (val) algo dag_shortest_paths step 2700: {'pi': 0.9794921875, 'score': 0.9794921875, 'examples_seen': 79832, 'step': 2700, 'algorithm': 'dag_shortest_paths'}
I0716 19:39:32.722155 132227552474624 run.py:722] (val) algo dag_shortest_paths step 2750: {'pi': 0.958984375, 'score': 0.958984375, 'examples_seen': 81327, 'step': 2750, 'algorithm': 'dag_shortest_paths'}
I0716 19:39:34.730941 132227552474624 run.py:722] (val) algo dag_shortest_paths step 2800: {'pi': 0.970703125, 'score': 0.970703125, 'examples_seen': 82863, 'step': 2800, 'algorithm': 'dag_shortest_paths'}
I0716 19:39:36.786329 132227552474624 run.py:722] (val) algo dag_shortest_paths step 2850: {'pi': 0.9541015625, 'score': 0.9541015625, 'examples_seen': 84372, 'step': 2850, 'algorithm': 'dag_shortest_paths'}
I0716 19:39:38.818217 132227552474624 run.py:722] (val) algo dag_shortest_paths step 2900: {'pi': 0.9609375, 'score': 0.9609375, 'examples_seen': 85879, 'step': 2900, 'algorithm': 'dag_shortest_paths'}
I0716 19:39:40.773688 132227552474624 run.py:722] (val) algo dag_shortest_paths step 2950: {'pi': 0.9638671875, 'score': 0.9638671875, 'examples_seen': 87331, 'step': 2950, 'algorithm': 'dag_shortest_paths'}
I0716 19:39:42.756302 132227552474624 run.py:722] (val) algo dag_shortest_paths step 3000: {'pi': 0.9541015625, 'score': 0.9541015625, 'examples_seen': 88769, 'step': 3000, 'algorithm': 'dag_shortest_paths'}
I0716 19:39:44.860251 132227552474624 run.py:722] (val) algo dag_shortest_paths step 3050: {'pi': 0.951171875, 'score': 0.951171875, 'examples_seen': 90218, 'step': 3050, 'algorithm': 'dag_shortest_paths'}
I0716 19:39:46.837311 132227552474624 run.py:722] (val) algo dag_shortest_paths step 3100: {'pi': 0.9697265625, 'score': 0.9697265625, 'examples_seen': 91724, 'step': 3100, 'algorithm': 'dag_shortest_paths'}
I0716 19:39:48.866229 132227552474624 run.py:722] (val) algo dag_shortest_paths step 3150: {'pi': 0.9677734375, 'score': 0.9677734375, 'examples_seen': 93220, 'step': 3150, 'algorithm': 'dag_shortest_paths'}
I0716 19:39:51.192355 132227552474624 run.py:722] (val) algo dag_shortest_paths step 3200: {'pi': 0.9462890625, 'score': 0.9462890625, 'examples_seen': 94712, 'step': 3200, 'algorithm': 'dag_shortest_paths'}
I0716 19:39:53.798018 132227552474624 run.py:722] (val) algo dag_shortest_paths step 3250: {'pi': 0.9560546875, 'score': 0.9560546875, 'examples_seen': 96145, 'step': 3250, 'algorithm': 'dag_shortest_paths'}
I0716 19:39:56.265370 132227552474624 run.py:722] (val) algo dag_shortest_paths step 3300: {'pi': 0.9462890625, 'score': 0.9462890625, 'examples_seen': 97596, 'step': 3300, 'algorithm': 'dag_shortest_paths'}
I0716 19:39:58.617108 132227552474624 run.py:722] (val) algo dag_shortest_paths step 3350: {'pi': 0.962890625, 'score': 0.962890625, 'examples_seen': 99061, 'step': 3350, 'algorithm': 'dag_shortest_paths'}
I0716 19:40:00.921110 132227552474624 run.py:722] (val) algo dag_shortest_paths step 3400: {'pi': 0.9560546875, 'score': 0.9560546875, 'examples_seen': 100536, 'step': 3400, 'algorithm': 'dag_shortest_paths'}
I0716 19:40:03.006775 132227552474624 run.py:722] (val) algo dag_shortest_paths step 3450: {'pi': 0.9658203125, 'score': 0.9658203125, 'examples_seen': 102066, 'step': 3450, 'algorithm': 'dag_shortest_paths'}
I0716 19:40:05.274194 132227552474624 run.py:722] (val) algo dag_shortest_paths step 3500: {'pi': 0.9580078125, 'score': 0.9580078125, 'examples_seen': 103583, 'step': 3500, 'algorithm': 'dag_shortest_paths'}
I0716 19:40:07.396014 132227552474624 run.py:722] (val) algo dag_shortest_paths step 3550: {'pi': 0.955078125, 'score': 0.955078125, 'examples_seen': 105048, 'step': 3550, 'algorithm': 'dag_shortest_paths'}
I0716 19:40:09.467347 132227552474624 run.py:722] (val) algo dag_shortest_paths step 3600: {'pi': 0.96484375, 'score': 0.96484375, 'examples_seen': 106538, 'step': 3600, 'algorithm': 'dag_shortest_paths'}
I0716 19:40:11.467285 132227552474624 run.py:722] (val) algo dag_shortest_paths step 3650: {'pi': 0.9482421875, 'score': 0.9482421875, 'examples_seen': 108022, 'step': 3650, 'algorithm': 'dag_shortest_paths'}
I0716 19:40:13.542108 132227552474624 run.py:722] (val) algo dag_shortest_paths step 3700: {'pi': 0.9619140625, 'score': 0.9619140625, 'examples_seen': 109477, 'step': 3700, 'algorithm': 'dag_shortest_paths'}
I0716 19:40:15.633022 132227552474624 run.py:722] (val) algo dag_shortest_paths step 3750: {'pi': 0.947265625, 'score': 0.947265625, 'examples_seen': 110944, 'step': 3750, 'algorithm': 'dag_shortest_paths'}
I0716 19:40:17.805759 132227552474624 run.py:722] (val) algo dag_shortest_paths step 3800: {'pi': 0.9482421875, 'score': 0.9482421875, 'examples_seen': 112449, 'step': 3800, 'algorithm': 'dag_shortest_paths'}
I0716 19:40:19.840880 132227552474624 run.py:722] (val) algo dag_shortest_paths step 3850: {'pi': 0.947265625, 'score': 0.947265625, 'examples_seen': 113930, 'step': 3850, 'algorithm': 'dag_shortest_paths'}
I0716 19:40:21.958457 132227552474624 run.py:722] (val) algo dag_shortest_paths step 3900: {'pi': 0.9404296875, 'score': 0.9404296875, 'examples_seen': 115395, 'step': 3900, 'algorithm': 'dag_shortest_paths'}
I0716 19:40:23.911444 132227552474624 run.py:722] (val) algo dag_shortest_paths step 3950: {'pi': 0.9443359375, 'score': 0.9443359375, 'examples_seen': 116840, 'step': 3950, 'algorithm': 'dag_shortest_paths'}
I0716 19:40:26.012850 132227552474624 run.py:722] (val) algo dag_shortest_paths step 4000: {'pi': 0.91796875, 'score': 0.91796875, 'examples_seen': 118330, 'step': 4000, 'algorithm': 'dag_shortest_paths'}
I0716 19:40:28.103977 132227552474624 run.py:722] (val) algo dag_shortest_paths step 4050: {'pi': 0.9169921875, 'score': 0.9169921875, 'examples_seen': 119768, 'step': 4050, 'algorithm': 'dag_shortest_paths'}
I0716 19:40:30.201051 132227552474624 run.py:722] (val) algo dag_shortest_paths step 4100: {'pi': 0.955078125, 'score': 0.955078125, 'examples_seen': 121258, 'step': 4100, 'algorithm': 'dag_shortest_paths'}
I0716 19:40:32.313402 132227552474624 run.py:722] (val) algo dag_shortest_paths step 4150: {'pi': 0.962890625, 'score': 0.962890625, 'examples_seen': 122759, 'step': 4150, 'algorithm': 'dag_shortest_paths'}
I0716 19:40:34.398108 132227552474624 run.py:722] (val) algo dag_shortest_paths step 4200: {'pi': 0.966796875, 'score': 0.966796875, 'examples_seen': 124254, 'step': 4200, 'algorithm': 'dag_shortest_paths'}
I0716 19:40:36.497040 132227552474624 run.py:722] (val) algo dag_shortest_paths step 4250: {'pi': 0.9833984375, 'score': 0.9833984375, 'examples_seen': 125779, 'step': 4250, 'algorithm': 'dag_shortest_paths'}
