I0716 21:34:11.900712 139718869898752 run.py:722] (val) algo matrix_chain_order step 0: {'s': 0.283447265625, 'score': 0.283447265625, 'examples_seen': 128, 'step': 0, 'algorithm': 'matrix_chain_order'}
I0716 21:37:28.198939 139718869898752 run.py:722] (val) algo matrix_chain_order step 1200: {'s': 0.95648193359375, 'score': 0.95648193359375, 'examples_seen': 98650, 'step': 1200, 'algorithm': 'matrix_chain_order'}
I0716 21:37:32.212438 139718869898752 run.py:722] (val) algo matrix_chain_order step 1250: {'s': 0.96527099609375, 'score': 0.96527099609375, 'examples_seen': 102701, 'step': 1250, 'algorithm': 'matrix_chain_order'}
I0716 21:37:36.119804 139718869898752 run.py:722] (val) algo matrix_chain_order step 1300: {'s': 0.97509765625, 'score': 0.97509765625, 'examples_seen': 106754, 'step': 1300, 'algorithm': 'matrix_chain_order'}
I0716 21:37:39.907179 139718869898752 run.py:722] (val) algo matrix_chain_order step 1350: {'s': 0.97802734375, 'score': 0.97802734375, 'examples_seen': 111037, 'step': 1350, 'algorithm': 'matrix_chain_order'}
I0716 21:37:43.622909 139718869898752 run.py:722] (val) algo matrix_chain_order step 1400: {'s': 0.97869873046875, 'score': 0.97869873046875, 'examples_seen': 115202, 'step': 1400, 'algorithm': 'matrix_chain_order'}
I0716 21:37:47.391071 139718869898752 run.py:722] (val) algo matrix_chain_order step 1450: {'s': 0.95550537109375, 'score': 0.95550537109375, 'examples_seen': 119298, 'step': 1450, 'algorithm': 'matrix_chain_order'}
I0716 21:37:51.132095 139718869898752 run.py:722] (val) algo matrix_chain_order step 1500: {'s': 0.97711181640625, 'score': 0.97711181640625, 'examples_seen': 123384, 'step': 1500, 'algorithm': 'matrix_chain_order'}
I0716 21:37:54.802334 139718869898752 run.py:722] (val) algo matrix_chain_order step 1550: {'s': 0.968505859375, 'score': 0.968505859375, 'examples_seen': 127445, 'step': 1550, 'algorithm': 'matrix_chain_order'}
I0716 21:37:58.847133 139718869898752 run.py:722] (val) algo matrix_chain_order step 1600: {'s': 0.9677734375, 'score': 0.9677734375, 'examples_seen': 131495, 'step': 1600, 'algorithm': 'matrix_chain_order'}
I0716 21:38:02.964787 139718869898752 run.py:722] (val) algo matrix_chain_order step 1650: {'s': 0.979736328125, 'score': 0.979736328125, 'examples_seen': 135557, 'step': 1650, 'algorithm': 'matrix_chain_order'}
I0716 21:38:06.930037 139718869898752 run.py:722] (val) algo matrix_chain_order step 1700: {'s': 0.97222900390625, 'score': 0.97222900390625, 'examples_seen': 139838, 'step': 1700, 'algorithm': 'matrix_chain_order'}
I0716 21:38:10.812760 139718869898752 run.py:722] (val) algo matrix_chain_order step 1750: {'s': 0.98577880859375, 'score': 0.98577880859375, 'examples_seen': 143998, 'step': 1750, 'algorithm': 'matrix_chain_order'}
I0716 21:38:14.692124 139718869898752 run.py:722] (val) algo matrix_chain_order step 1800: {'s': 0.9749755859375, 'score': 0.9749755859375, 'examples_seen': 148086, 'step': 1800, 'algorithm': 'matrix_chain_order'}
I0716 21:38:18.618872 139718869898752 run.py:722] (val) algo matrix_chain_order step 1850: {'s': 0.972412109375, 'score': 0.972412109375, 'examples_seen': 152162, 'step': 1850, 'algorithm': 'matrix_chain_order'}
I0716 21:38:22.307201 139718869898752 run.py:722] (val) algo matrix_chain_order step 1900: {'s': 0.978759765625, 'score': 0.978759765625, 'examples_seen': 156216, 'step': 1900, 'algorithm': 'matrix_chain_order'}
I0716 21:38:26.193669 139718869898752 run.py:722] (val) algo matrix_chain_order step 1950: {'s': 0.98577880859375, 'score': 0.98577880859375, 'examples_seen': 160267, 'step': 1950, 'algorithm': 'matrix_chain_order'}
I0716 21:38:30.393494 139718869898752 run.py:722] (val) algo matrix_chain_order step 2000: {'s': 0.9874267578125, 'score': 0.9874267578125, 'examples_seen': 164321, 'step': 2000, 'algorithm': 'matrix_chain_order'}
I0716 21:38:34.131969 139718869898752 run.py:722] (val) algo matrix_chain_order step 2050: {'s': 0.98663330078125, 'score': 0.98663330078125, 'examples_seen': 168599, 'step': 2050, 'algorithm': 'matrix_chain_order'}
I0716 21:38:37.885391 139718869898752 run.py:722] (val) algo matrix_chain_order step 2100: {'s': 0.98553466796875, 'score': 0.98553466796875, 'examples_seen': 172761, 'step': 2100, 'algorithm': 'matrix_chain_order'}
I0716 21:38:41.696413 139718869898752 run.py:722] (val) algo matrix_chain_order step 2150: {'s': 0.98907470703125, 'score': 0.98907470703125, 'examples_seen': 176852, 'step': 2150, 'algorithm': 'matrix_chain_order'}
I0716 21:38:45.324558 139718869898752 run.py:722] (val) algo matrix_chain_order step 2200: {'s': 0.9708251953125, 'score': 0.9708251953125, 'examples_seen': 180922, 'step': 2200, 'algorithm': 'matrix_chain_order'}
I0716 21:38:49.138839 139718869898752 run.py:722] (val) algo matrix_chain_order step 2250: {'s': 0.97650146484375, 'score': 0.97650146484375, 'examples_seen': 184969, 'step': 2250, 'algorithm': 'matrix_chain_order'}
I0716 21:38:53.043684 139718869898752 run.py:722] (val) algo matrix_chain_order step 2300: {'s': 0.987060546875, 'score': 0.987060546875, 'examples_seen': 189014, 'step': 2300, 'algorithm': 'matrix_chain_order'}
I0716 21:38:57.099023 139718869898752 run.py:722] (val) algo matrix_chain_order step 2350: {'s': 0.98333740234375, 'score': 0.98333740234375, 'examples_seen': 193063, 'step': 2350, 'algorithm': 'matrix_chain_order'}
I0716 21:39:01.117972 139718869898752 run.py:722] (val) algo matrix_chain_order step 2400: {'s': 0.989013671875, 'score': 0.989013671875, 'examples_seen': 197342, 'step': 2400, 'algorithm': 'matrix_chain_order'}
I0716 21:39:05.041164 139718869898752 run.py:722] (val) algo matrix_chain_order step 2450: {'s': 0.9742431640625, 'score': 0.9742431640625, 'examples_seen': 201494, 'step': 2450, 'algorithm': 'matrix_chain_order'}
I0716 21:39:08.820240 139718869898752 run.py:722] (val) algo matrix_chain_order step 2500: {'s': 0.98828125, 'score': 0.98828125, 'examples_seen': 205591, 'step': 2500, 'algorithm': 'matrix_chain_order'}
I0716 21:39:12.675641 139718869898752 run.py:722] (val) algo matrix_chain_order step 2550: {'s': 0.98638916015625, 'score': 0.98638916015625, 'examples_seen': 209661, 'step': 2550, 'algorithm': 'matrix_chain_order'}
I0716 21:39:16.415776 139718869898752 run.py:722] (val) algo matrix_chain_order step 2600: {'s': 0.9783935546875, 'score': 0.9783935546875, 'examples_seen': 213718, 'step': 2600, 'algorithm': 'matrix_chain_order'}
I0716 21:39:20.343895 139718869898752 run.py:722] (val) algo matrix_chain_order step 2650: {'s': 0.98760986328125, 'score': 0.98760986328125, 'examples_seen': 217770, 'step': 2650, 'algorithm': 'matrix_chain_order'}
I0716 21:39:24.317263 139718869898752 run.py:722] (val) algo matrix_chain_order step 2700: {'s': 0.9835205078125, 'score': 0.9835205078125, 'examples_seen': 221820, 'step': 2700, 'algorithm': 'matrix_chain_order'}
I0716 21:39:28.276136 139718869898752 run.py:722] (val) algo matrix_chain_order step 2750: {'s': 0.98773193359375, 'score': 0.98773193359375, 'examples_seen': 226109, 'step': 2750, 'algorithm': 'matrix_chain_order'}
I0716 21:39:32.012040 139718869898752 run.py:722] (val) algo matrix_chain_order step 2800: {'s': 0.98553466796875, 'score': 0.98553466796875, 'examples_seen': 230260, 'step': 2800, 'algorithm': 'matrix_chain_order'}
I0716 21:39:35.869583 139718869898752 run.py:722] (val) algo matrix_chain_order step 2850: {'s': 0.9862060546875, 'score': 0.9862060546875, 'examples_seen': 234363, 'step': 2850, 'algorithm': 'matrix_chain_order'}
I0716 21:39:39.828496 139718869898752 run.py:722] (val) algo matrix_chain_order step 2900: {'s': 0.98101806640625, 'score': 0.98101806640625, 'examples_seen': 238431, 'step': 2900, 'algorithm': 'matrix_chain_order'}
I0716 21:39:43.608215 139718869898752 run.py:722] (val) algo matrix_chain_order step 2950: {'s': 0.98602294921875, 'score': 0.98602294921875, 'examples_seen': 242484, 'step': 2950, 'algorithm': 'matrix_chain_order'}
I0716 21:39:47.569354 139718869898752 run.py:722] (val) algo matrix_chain_order step 3000: {'s': 0.98956298828125, 'score': 0.98956298828125, 'examples_seen': 246530, 'step': 3000, 'algorithm': 'matrix_chain_order'}
I0716 21:39:51.568417 139718869898752 run.py:722] (val) algo matrix_chain_order step 3050: {'s': 0.986328125, 'score': 0.986328125, 'examples_seen': 250584, 'step': 3050, 'algorithm': 'matrix_chain_order'}
I0716 21:39:55.586323 139718869898752 run.py:722] (val) algo matrix_chain_order step 3100: {'s': 0.9886474609375, 'score': 0.9886474609375, 'examples_seen': 254863, 'step': 3100, 'algorithm': 'matrix_chain_order'}
I0716 21:39:59.664729 139718869898752 run.py:722] (val) algo matrix_chain_order step 3150: {'s': 0.97747802734375, 'score': 0.97747802734375, 'examples_seen': 259020, 'step': 3150, 'algorithm': 'matrix_chain_order'}
I0716 21:40:03.709268 139718869898752 run.py:722] (val) algo matrix_chain_order step 3200: {'s': 0.98748779296875, 'score': 0.98748779296875, 'examples_seen': 263114, 'step': 3200, 'algorithm': 'matrix_chain_order'}
I0716 21:40:07.830335 139718869898752 run.py:722] (val) algo matrix_chain_order step 3250: {'s': 0.98974609375, 'score': 0.98974609375, 'examples_seen': 267179, 'step': 3250, 'algorithm': 'matrix_chain_order'}
I0716 21:40:11.689842 139718869898752 run.py:722] (val) algo matrix_chain_order step 3300: {'s': 0.98748779296875, 'score': 0.98748779296875, 'examples_seen': 271231, 'step': 3300, 'algorithm': 'matrix_chain_order'}
I0716 21:40:15.537612 139718869898752 run.py:722] (val) algo matrix_chain_order step 3350: {'s': 0.97406005859375, 'score': 0.97406005859375, 'examples_seen': 275293, 'step': 3350, 'algorithm': 'matrix_chain_order'}
I0716 21:40:19.395475 139718869898752 run.py:722] (val) algo matrix_chain_order step 3400: {'s': 0.9898681640625, 'score': 0.9898681640625, 'examples_seen': 279345, 'step': 3400, 'algorithm': 'matrix_chain_order'}
I0716 21:40:23.346094 139718869898752 run.py:722] (val) algo matrix_chain_order step 3450: {'s': 0.98944091796875, 'score': 0.98944091796875, 'examples_seen': 283635, 'step': 3450, 'algorithm': 'matrix_chain_order'}
I0716 21:40:27.334977 139718869898752 run.py:722] (val) algo matrix_chain_order step 3500: {'s': 0.9884033203125, 'score': 0.9884033203125, 'examples_seen': 287787, 'step': 3500, 'algorithm': 'matrix_chain_order'}
I0716 21:40:31.043318 139718869898752 run.py:722] (val) algo matrix_chain_order step 3550: {'s': 0.986572265625, 'score': 0.986572265625, 'examples_seen': 291887, 'step': 3550, 'algorithm': 'matrix_chain_order'}
I0716 21:40:34.814836 139718869898752 run.py:722] (val) algo matrix_chain_order step 3600: {'s': 0.98968505859375, 'score': 0.98968505859375, 'examples_seen': 295954, 'step': 3600, 'algorithm': 'matrix_chain_order'}
I0716 21:40:38.800214 139718869898752 run.py:722] (val) algo matrix_chain_order step 3650: {'s': 0.98931884765625, 'score': 0.98931884765625, 'examples_seen': 300004, 'step': 3650, 'algorithm': 'matrix_chain_order'}
I0716 21:40:42.752484 139718869898752 run.py:722] (val) algo matrix_chain_order step 3700: {'s': 0.98590087890625, 'score': 0.98590087890625, 'examples_seen': 304060, 'step': 3700, 'algorithm': 'matrix_chain_order'}
I0716 21:40:46.743437 139718869898752 run.py:722] (val) algo matrix_chain_order step 3750: {'s': 0.99102783203125, 'score': 0.99102783203125, 'examples_seen': 308118, 'step': 3750, 'algorithm': 'matrix_chain_order'}
I0716 21:40:50.545385 139718869898752 run.py:722] (val) algo matrix_chain_order step 3800: {'s': 0.983642578125, 'score': 0.983642578125, 'examples_seen': 312409, 'step': 3800, 'algorithm': 'matrix_chain_order'}
I0716 21:40:54.546633 139718869898752 run.py:722] (val) algo matrix_chain_order step 3850: {'s': 0.9921875, 'score': 0.9921875, 'examples_seen': 316570, 'step': 3850, 'algorithm': 'matrix_chain_order'}
I0716 21:40:58.209262 139718869898752 run.py:722] (val) algo matrix_chain_order step 3900: {'s': 0.98846435546875, 'score': 0.98846435546875, 'examples_seen': 320654, 'step': 3900, 'algorithm': 'matrix_chain_order'}
I0716 21:41:01.828739 139718869898752 run.py:722] (val) algo matrix_chain_order step 3950: {'s': 0.9820556640625, 'score': 0.9820556640625, 'examples_seen': 324732, 'step': 3950, 'algorithm': 'matrix_chain_order'}
I0716 21:41:05.866574 139718869898752 run.py:722] (val) algo matrix_chain_order step 4000: {'s': 0.989501953125, 'score': 0.989501953125, 'examples_seen': 328777, 'step': 4000, 'algorithm': 'matrix_chain_order'}
I0716 21:41:09.757725 139718869898752 run.py:722] (val) algo matrix_chain_order step 4050: {'s': 0.9754638671875, 'score': 0.9754638671875, 'examples_seen': 332848, 'step': 4050, 'algorithm': 'matrix_chain_order'}
I0716 21:41:13.667690 139718869898752 run.py:722] (val) algo matrix_chain_order step 4100: {'s': 0.9892578125, 'score': 0.9892578125, 'examples_seen': 336897, 'step': 4100, 'algorithm': 'matrix_chain_order'}
I0716 21:41:17.755479 139718869898752 run.py:722] (val) algo matrix_chain_order step 4150: {'s': 0.989501953125, 'score': 0.989501953125, 'examples_seen': 341184, 'step': 4150, 'algorithm': 'matrix_chain_order'}
I0716 21:41:21.339552 139718869898752 run.py:722] (val) algo matrix_chain_order step 4200: {'s': 0.98944091796875, 'score': 0.98944091796875, 'examples_seen': 345331, 'step': 4200, 'algorithm': 'matrix_chain_order'}
I0716 21:41:25.205963 139718869898752 run.py:722] (val) algo matrix_chain_order step 4250: {'s': 0.990966796875, 'score': 0.990966796875, 'examples_seen': 349423, 'step': 4250, 'algorithm': 'matrix_chain_order'}
I0716 21:41:28.896947 139718869898752 run.py:722] (val) algo matrix_chain_order step 4300: {'s': 0.9842529296875, 'score': 0.9842529296875, 'examples_seen': 353500, 'step': 4300, 'algorithm': 'matrix_chain_order'}
I0716 21:41:32.670423 139718869898752 run.py:722] (val) algo matrix_chain_order step 4350: {'s': 0.989013671875, 'score': 0.989013671875, 'examples_seen': 357558, 'step': 4350, 'algorithm': 'matrix_chain_order'}
I0716 21:41:36.568988 139718869898752 run.py:722] (val) algo matrix_chain_order step 4400: {'s': 0.99151611328125, 'score': 0.99151611328125, 'examples_seen': 361607, 'step': 4400, 'algorithm': 'matrix_chain_order'}
I0716 21:41:40.621943 139718869898752 run.py:722] (val) algo matrix_chain_order step 4450: {'s': 0.990234375, 'score': 0.990234375, 'examples_seen': 365664, 'step': 4450, 'algorithm': 'matrix_chain_order'}
I0716 21:41:44.460535 139718869898752 run.py:722] (val) algo matrix_chain_order step 4500: {'s': 0.99395751953125, 'score': 0.99395751953125, 'examples_seen': 369938, 'step': 4500, 'algorithm': 'matrix_chain_order'}
I0716 21:41:48.206788 139718869898752 run.py:722] (val) algo matrix_chain_order step 4550: {'s': 0.98907470703125, 'score': 0.98907470703125, 'examples_seen': 374079, 'step': 4550, 'algorithm': 'matrix_chain_order'}
I0716 21:41:52.127436 139718869898752 run.py:722] (val) algo matrix_chain_order step 4600: {'s': 0.98883056640625, 'score': 0.98883056640625, 'examples_seen': 378183, 'step': 4600, 'algorithm': 'matrix_chain_order'}
I0716 21:41:55.804331 139718869898752 run.py:722] (val) algo matrix_chain_order step 4650: {'s': 0.98858642578125, 'score': 0.98858642578125, 'examples_seen': 382243, 'step': 4650, 'algorithm': 'matrix_chain_order'}
I0716 21:41:59.678563 139718869898752 run.py:722] (val) algo matrix_chain_order step 4700: {'s': 0.98834228515625, 'score': 0.98834228515625, 'examples_seen': 386304, 'step': 4700, 'algorithm': 'matrix_chain_order'}
I0716 21:42:03.594581 139718869898752 run.py:722] (val) algo matrix_chain_order step 4750: {'s': 0.99346923828125, 'score': 0.99346923828125, 'examples_seen': 390351, 'step': 4750, 'algorithm': 'matrix_chain_order'}
I0716 21:42:07.542732 139718869898752 run.py:722] (val) algo matrix_chain_order step 4800: {'s': 0.97833251953125, 'score': 0.97833251953125, 'examples_seen': 394402, 'step': 4800, 'algorithm': 'matrix_chain_order'}
I0716 21:42:11.172320 139718869898752 run.py:722] (val) algo matrix_chain_order step 4850: {'s': 0.99310302734375, 'score': 0.99310302734375, 'examples_seen': 398680, 'step': 4850, 'algorithm': 'matrix_chain_order'}
I0716 21:42:14.857086 139718869898752 run.py:722] (val) algo matrix_chain_order step 4900: {'s': 0.99310302734375, 'score': 0.99310302734375, 'examples_seen': 402829, 'step': 4900, 'algorithm': 'matrix_chain_order'}
I0716 21:42:18.623179 139718869898752 run.py:722] (val) algo matrix_chain_order step 4950: {'s': 0.994384765625, 'score': 0.994384765625, 'examples_seen': 406932, 'step': 4950, 'algorithm': 'matrix_chain_order'}
I0716 21:42:22.349391 139718869898752 run.py:722] (val) algo matrix_chain_order step 5000: {'s': 0.98699951171875, 'score': 0.98699951171875, 'examples_seen': 411000, 'step': 5000, 'algorithm': 'matrix_chain_order'}
I0716 21:42:26.016137 139718869898752 run.py:722] (val) algo matrix_chain_order step 5050: {'s': 0.99005126953125, 'score': 0.99005126953125, 'examples_seen': 415068, 'step': 5050, 'algorithm': 'matrix_chain_order'}
I0716 21:42:29.900347 139718869898752 run.py:722] (val) algo matrix_chain_order step 5100: {'s': 0.9849853515625, 'score': 0.9849853515625, 'examples_seen': 419122, 'step': 5100, 'algorithm': 'matrix_chain_order'}
I0716 21:42:33.908129 139718869898752 run.py:722] (val) algo matrix_chain_order step 5150: {'s': 0.9920654296875, 'score': 0.9920654296875, 'examples_seen': 423178, 'step': 5150, 'algorithm': 'matrix_chain_order'}
I0716 21:42:37.746193 139718869898752 run.py:722] (val) algo matrix_chain_order step 5200: {'s': 0.9937744140625, 'score': 0.9937744140625, 'examples_seen': 427458, 'step': 5200, 'algorithm': 'matrix_chain_order'}
I0716 21:42:41.548209 139718869898752 run.py:722] (val) algo matrix_chain_order step 5250: {'s': 0.9921875, 'score': 0.9921875, 'examples_seen': 431606, 'step': 5250, 'algorithm': 'matrix_chain_order'}
I0716 21:42:45.437795 139718869898752 run.py:722] (val) algo matrix_chain_order step 5300: {'s': 0.99072265625, 'score': 0.99072265625, 'examples_seen': 435714, 'step': 5300, 'algorithm': 'matrix_chain_order'}
I0716 21:42:49.143877 139718869898752 run.py:722] (val) algo matrix_chain_order step 5350: {'s': 0.99163818359375, 'score': 0.99163818359375, 'examples_seen': 439802, 'step': 5350, 'algorithm': 'matrix_chain_order'}
I0716 21:42:52.991811 139718869898752 run.py:722] (val) algo matrix_chain_order step 5400: {'s': 0.99200439453125, 'score': 0.99200439453125, 'examples_seen': 443843, 'step': 5400, 'algorithm': 'matrix_chain_order'}
I0716 21:42:56.986661 139718869898752 run.py:722] (val) algo matrix_chain_order step 5450: {'s': 0.9873046875, 'score': 0.9873046875, 'examples_seen': 447900, 'step': 5450, 'algorithm': 'matrix_chain_order'}
I0716 21:43:00.994833 139718869898752 run.py:722] (val) algo matrix_chain_order step 5500: {'s': 0.992431640625, 'score': 0.992431640625, 'examples_seen': 451937, 'step': 5500, 'algorithm': 'matrix_chain_order'}
I0716 21:43:04.885669 139718869898752 run.py:722] (val) algo matrix_chain_order step 5550: {'s': 0.9910888671875, 'score': 0.9910888671875, 'examples_seen': 456230, 'step': 5550, 'algorithm': 'matrix_chain_order'}
I0716 21:43:08.606637 139718869898752 run.py:722] (val) algo matrix_chain_order step 5600: {'s': 0.99127197265625, 'score': 0.99127197265625, 'examples_seen': 460382, 'step': 5600, 'algorithm': 'matrix_chain_order'}
I0716 21:43:12.304658 139718869898752 run.py:722] (val) algo matrix_chain_order step 5650: {'s': 0.98968505859375, 'score': 0.98968505859375, 'examples_seen': 464465, 'step': 5650, 'algorithm': 'matrix_chain_order'}
I0716 21:43:16.181045 139718869898752 run.py:722] (val) algo matrix_chain_order step 5700: {'s': 0.99310302734375, 'score': 0.99310302734375, 'examples_seen': 468540, 'step': 5700, 'algorithm': 'matrix_chain_order'}
I0716 21:43:20.070122 139718869898752 run.py:722] (val) algo matrix_chain_order step 5750: {'s': 0.989013671875, 'score': 0.989013671875, 'examples_seen': 472598, 'step': 5750, 'algorithm': 'matrix_chain_order'}
I0716 21:43:24.006126 139718869898752 run.py:722] (val) algo matrix_chain_order step 5800: {'s': 0.99139404296875, 'score': 0.99139404296875, 'examples_seen': 476650, 'step': 5800, 'algorithm': 'matrix_chain_order'}
I0716 21:43:28.139233 139718869898752 run.py:722] (val) algo matrix_chain_order step 5850: {'s': 0.990478515625, 'score': 0.990478515625, 'examples_seen': 480693, 'step': 5850, 'algorithm': 'matrix_chain_order'}
I0716 21:43:32.020164 139718869898752 run.py:722] (val) algo matrix_chain_order step 5900: {'s': 0.9901123046875, 'score': 0.9901123046875, 'examples_seen': 484978, 'step': 5900, 'algorithm': 'matrix_chain_order'}
I0716 21:43:35.866789 139718869898752 run.py:722] (val) algo matrix_chain_order step 5950: {'s': 0.99114990234375, 'score': 0.99114990234375, 'examples_seen': 489138, 'step': 5950, 'algorithm': 'matrix_chain_order'}
I0716 21:43:39.666896 139718869898752 run.py:722] (val) algo matrix_chain_order step 6000: {'s': 0.99041748046875, 'score': 0.99041748046875, 'examples_seen': 493225, 'step': 6000, 'algorithm': 'matrix_chain_order'}
I0716 21:43:43.547120 139718869898752 run.py:722] (val) algo matrix_chain_order step 6050: {'s': 0.99334716796875, 'score': 0.99334716796875, 'examples_seen': 497301, 'step': 6050, 'algorithm': 'matrix_chain_order'}
I0716 21:43:47.468704 139718869898752 run.py:722] (val) algo matrix_chain_order step 6100: {'s': 0.9923095703125, 'score': 0.9923095703125, 'examples_seen': 501353, 'step': 6100, 'algorithm': 'matrix_chain_order'}
I0716 21:43:51.219156 139718869898752 run.py:722] (val) algo matrix_chain_order step 6150: {'s': 0.99298095703125, 'score': 0.99298095703125, 'examples_seen': 505404, 'step': 6150, 'algorithm': 'matrix_chain_order'}
I0716 21:43:55.322037 139718869898752 run.py:722] (val) algo matrix_chain_order step 6200: {'s': 0.99237060546875, 'score': 0.99237060546875, 'examples_seen': 509447, 'step': 6200, 'algorithm': 'matrix_chain_order'}
I0716 21:43:59.139423 139718869898752 run.py:722] (val) algo matrix_chain_order step 6250: {'s': 0.9888916015625, 'score': 0.9888916015625, 'examples_seen': 513729, 'step': 6250, 'algorithm': 'matrix_chain_order'}
I0716 21:44:02.783546 139718869898752 run.py:722] (val) algo matrix_chain_order step 6300: {'s': 0.98846435546875, 'score': 0.98846435546875, 'examples_seen': 517877, 'step': 6300, 'algorithm': 'matrix_chain_order'}
I0716 21:44:06.577962 139718869898752 run.py:722] (val) algo matrix_chain_order step 6350: {'s': 0.99169921875, 'score': 0.99169921875, 'examples_seen': 521980, 'step': 6350, 'algorithm': 'matrix_chain_order'}
