I0715 09:00:29.148168 128389015430656 run.py:723] (val) algo dijkstra step 1600: {'pi': 0.9599609375, 'score': 0.9599609375, 'examples_seen': 90243, 'step': 1600, 'algorithm': 'dijkstra'}
I0715 09:00:30.996022 128389015430656 run.py:723] (val) algo dijkstra step 1650: {'pi': 0.9638671875, 'score': 0.9638671875, 'examples_seen': 93035, 'step': 1650, 'algorithm': 'dijkstra'}
I0715 09:00:32.801349 128389015430656 run.py:723] (val) algo dijkstra step 1700: {'pi': 0.955078125, 'score': 0.955078125, 'examples_seen': 95876, 'step': 1700, 'algorithm': 'dijkstra'}
I0715 09:00:34.596729 128389015430656 run.py:723] (val) algo dijkstra step 1750: {'pi': 0.9775390625, 'score': 0.9775390625, 'examples_seen': 98698, 'step': 1750, 'algorithm': 'dijkstra'}
I0715 09:00:36.416486 128389015430656 run.py:723] (val) algo dijkstra step 1800: {'pi': 0.9560546875, 'score': 0.9560546875, 'examples_seen': 101533, 'step': 1800, 'algorithm': 'dijkstra'}
I0715 09:00:38.256017 128389015430656 run.py:723] (val) algo dijkstra step 1850: {'pi': 0.9755859375, 'score': 0.9755859375, 'examples_seen': 104357, 'step': 1850, 'algorithm': 'dijkstra'}
I0715 09:00:40.064664 128389015430656 run.py:723] (val) algo dijkstra step 1900: {'pi': 0.93359375, 'score': 0.93359375, 'examples_seen': 107182, 'step': 1900, 'algorithm': 'dijkstra'}
I0715 09:00:41.924843 128389015430656 run.py:723] (val) algo dijkstra step 1950: {'pi': 0.9755859375, 'score': 0.9755859375, 'examples_seen': 109978, 'step': 1950, 'algorithm': 'dijkstra'}
I0715 09:00:43.829124 128389015430656 run.py:723] (val) algo dijkstra step 2000: {'pi': 0.9658203125, 'score': 0.9658203125, 'examples_seen': 112779, 'step': 2000, 'algorithm': 'dijkstra'}
I0715 09:00:45.629440 128389015430656 run.py:723] (val) algo dijkstra step 2050: {'pi': 0.951171875, 'score': 0.951171875, 'examples_seen': 115628, 'step': 2050, 'algorithm': 'dijkstra'}
I0715 09:00:47.410275 128389015430656 run.py:723] (val) algo dijkstra step 2100: {'pi': 0.939453125, 'score': 0.939453125, 'examples_seen': 118463, 'step': 2100, 'algorithm': 'dijkstra'}
I0715 09:00:49.253461 128389015430656 run.py:723] (val) algo dijkstra step 2150: {'pi': 0.958984375, 'score': 0.958984375, 'examples_seen': 121281, 'step': 2150, 'algorithm': 'dijkstra'}
I0715 09:00:51.083985 128389015430656 run.py:723] (val) algo dijkstra step 2200: {'pi': 0.9521484375, 'score': 0.9521484375, 'examples_seen': 124110, 'step': 2200, 'algorithm': 'dijkstra'}
I0715 09:00:52.940588 128389015430656 run.py:723] (val) algo dijkstra step 2250: {'pi': 0.9658203125, 'score': 0.9658203125, 'examples_seen': 126912, 'step': 2250, 'algorithm': 'dijkstra'}
I0715 09:00:54.784172 128389015430656 run.py:723] (val) algo dijkstra step 2300: {'pi': 0.95703125, 'score': 0.95703125, 'examples_seen': 129663, 'step': 2300, 'algorithm': 'dijkstra'}
