I0715 19:47:00.647718 134837688186368 run.py:723] (val) algo strongly_connected_components step 1500: {'scc_id': 0.521484375, 'score': 0.521484375, 'examples_seen': 4351, 'step': 1500, 'algorithm': 'strongly_connected_components'}
I0715 19:47:02.759224 134837688186368 run.py:723] (val) algo strongly_connected_components step 1550: {'scc_id': 0.46875, 'score': 0.46875, 'examples_seen': 4498, 'step': 1550, 'algorithm': 'strongly_connected_components'}
I0715 19:47:04.864953 134837688186368 run.py:723] (val) algo strongly_connected_components step 1600: {'scc_id': 0.5625, 'score': 0.5625, 'examples_seen': 4643, 'step': 1600, 'algorithm': 'strongly_connected_components'}
I0715 19:47:06.973793 134837688186368 run.py:723] (val) algo strongly_connected_components step 1650: {'scc_id': 0.4375, 'score': 0.4375, 'examples_seen': 4787, 'step': 1650, 'algorithm': 'strongly_connected_components'}
I0715 19:47:09.074925 134837688186368 run.py:723] (val) algo strongly_connected_components step 1700: {'scc_id': 0.4453125, 'score': 0.4453125, 'examples_seen': 4931, 'step': 1700, 'algorithm': 'strongly_connected_components'}
I0715 19:47:11.174993 134837688186368 run.py:723] (val) algo strongly_connected_components step 1750: {'scc_id': 0.53515625, 'score': 0.53515625, 'examples_seen': 5076, 'step': 1750, 'algorithm': 'strongly_connected_components'}
I0715 19:47:13.278680 134837688186368 run.py:723] (val) algo strongly_connected_components step 1800: {'scc_id': 0.43359375, 'score': 0.43359375, 'examples_seen': 5220, 'step': 1800, 'algorithm': 'strongly_connected_components'}
I0715 19:47:15.377960 134837688186368 run.py:723] (val) algo strongly_connected_components step 1850: {'scc_id': 0.5859375, 'score': 0.5859375, 'examples_seen': 5364, 'step': 1850, 'algorithm': 'strongly_connected_components'}
I0715 19:47:17.486455 134837688186368 run.py:723] (val) algo strongly_connected_components step 1900: {'scc_id': 0.572265625, 'score': 0.572265625, 'examples_seen': 5509, 'step': 1900, 'algorithm': 'strongly_connected_components'}
I0715 19:47:19.590495 134837688186368 run.py:723] (val) algo strongly_connected_components step 1950: {'scc_id': 0.462890625, 'score': 0.462890625, 'examples_seen': 5653, 'step': 1950, 'algorithm': 'strongly_connected_components'}
I0715 19:47:21.694556 134837688186368 run.py:723] (val) algo strongly_connected_components step 2000: {'scc_id': 0.310546875, 'score': 0.310546875, 'examples_seen': 5797, 'step': 2000, 'algorithm': 'strongly_connected_components'}
I0715 19:47:23.808245 134837688186368 run.py:723] (val) algo strongly_connected_components step 2050: {'scc_id': 0.453125, 'score': 0.453125, 'examples_seen': 5942, 'step': 2050, 'algorithm': 'strongly_connected_components'}
I0715 19:47:25.915271 134837688186368 run.py:723] (val) algo strongly_connected_components step 2100: {'scc_id': 0.541015625, 'score': 0.541015625, 'examples_seen': 6088, 'step': 2100, 'algorithm': 'strongly_connected_components'}
I0715 19:47:28.027381 134837688186368 run.py:723] (val) algo strongly_connected_components step 2150: {'scc_id': 0.5234375, 'score': 0.5234375, 'examples_seen': 6234, 'step': 2150, 'algorithm': 'strongly_connected_components'}
I0715 19:47:30.132710 134837688186368 run.py:723] (val) algo strongly_connected_components step 2200: {'scc_id': 0.427734375, 'score': 0.427734375, 'examples_seen': 6383, 'step': 2200, 'algorithm': 'strongly_connected_components'}
I0715 19:47:32.241067 134837688186368 run.py:723] (val) algo strongly_connected_components step 2250: {'scc_id': 0.498046875, 'score': 0.498046875, 'examples_seen': 6528, 'step': 2250, 'algorithm': 'strongly_connected_components'}
I0715 19:47:34.347636 134837688186368 run.py:723] (val) algo strongly_connected_components step 2300: {'scc_id': 0.59765625, 'score': 0.59765625, 'examples_seen': 6673, 'step': 2300, 'algorithm': 'strongly_connected_components'}
I0715 19:47:36.452101 134837688186368 run.py:723] (val) algo strongly_connected_components step 2350: {'scc_id': 0.494140625, 'score': 0.494140625, 'examples_seen': 6818, 'step': 2350, 'algorithm': 'strongly_connected_components'}
I0715 19:47:38.559882 134837688186368 run.py:723] (val) algo strongly_connected_components step 2400: {'scc_id': 0.552734375, 'score': 0.552734375, 'examples_seen': 6963, 'step': 2400, 'algorithm': 'strongly_connected_components'}
I0715 19:47:40.662721 134837688186368 run.py:723] (val) algo strongly_connected_components step 2450: {'scc_id': 0.4609375, 'score': 0.4609375, 'examples_seen': 7108, 'step': 2450, 'algorithm': 'strongly_connected_components'}
I0715 19:47:42.773629 134837688186368 run.py:723] (val) algo strongly_connected_components step 2500: {'scc_id': 0.55078125, 'score': 0.55078125, 'examples_seen': 7252, 'step': 2500, 'algorithm': 'strongly_connected_components'}
I0715 19:47:44.878495 134837688186368 run.py:723] (val) algo strongly_connected_components step 2550: {'scc_id': 0.462890625, 'score': 0.462890625, 'examples_seen': 7396, 'step': 2550, 'algorithm': 'strongly_connected_components'}
I0715 19:47:46.981093 134837688186368 run.py:723] (val) algo strongly_connected_components step 2600: {'scc_id': 0.53515625, 'score': 0.53515625, 'examples_seen': 7540, 'step': 2600, 'algorithm': 'strongly_connected_components'}
I0715 19:47:49.089477 134837688186368 run.py:723] (val) algo strongly_connected_components step 2650: {'scc_id': 0.4765625, 'score': 0.4765625, 'examples_seen': 7684, 'step': 2650, 'algorithm': 'strongly_connected_components'}
I0715 19:47:51.206083 134837688186368 run.py:723] (val) algo strongly_connected_components step 2700: {'scc_id': 0.544921875, 'score': 0.544921875, 'examples_seen': 7830, 'step': 2700, 'algorithm': 'strongly_connected_components'}
I0715 19:47:53.321037 134837688186368 run.py:723] (val) algo strongly_connected_components step 2750: {'scc_id': 0.56640625, 'score': 0.56640625, 'examples_seen': 7976, 'step': 2750, 'algorithm': 'strongly_connected_components'}
I0715 19:47:55.429539 134837688186368 run.py:723] (val) algo strongly_connected_components step 2800: {'scc_id': 0.45703125, 'score': 0.45703125, 'examples_seen': 8120, 'step': 2800, 'algorithm': 'strongly_connected_components'}
I0715 19:47:57.537138 134837688186368 run.py:723] (val) algo strongly_connected_components step 2850: {'scc_id': 0.5625, 'score': 0.5625, 'examples_seen': 8265, 'step': 2850, 'algorithm': 'strongly_connected_components'}
I0715 19:47:59.651760 134837688186368 run.py:723] (val) algo strongly_connected_components step 2900: {'scc_id': 0.53515625, 'score': 0.53515625, 'examples_seen': 8411, 'step': 2900, 'algorithm': 'strongly_connected_components'}
I0715 19:48:01.764345 134837688186368 run.py:723] (val) algo strongly_connected_components step 2950: {'scc_id': 0.546875, 'score': 0.546875, 'examples_seen': 8554, 'step': 2950, 'algorithm': 'strongly_connected_components'}
I0715 19:48:03.884664 134837688186368 run.py:723] (val) algo strongly_connected_components step 3000: {'scc_id': 0.560546875, 'score': 0.560546875, 'examples_seen': 8699, 'step': 3000, 'algorithm': 'strongly_connected_components'}
