I0715 12:52:34.018808 137617489782272 run.py:723] (val) algo task_scheduling step 1500: {'selected': 0.9370424597364568, 'score': 0.9370424597364568, 'examples_seen': 59792, 'step': 1500, 'algorithm': 'task_scheduling'}
I0715 12:52:35.027040 137617489782272 run.py:723] (val) algo task_scheduling step 1550: {'selected': 0.9295570079883806, 'score': 0.9295570079883806, 'examples_seen': 61744, 'step': 1550, 'algorithm': 'task_scheduling'}
I0715 12:52:36.032390 137617489782272 run.py:723] (val) algo task_scheduling step 1600: {'selected': 0.9270127915726109, 'score': 0.9270127915726109, 'examples_seen': 63712, 'step': 1600, 'algorithm': 'task_scheduling'}
I0715 12:52:37.036488 137617489782272 run.py:723] (val) algo task_scheduling step 1650: {'selected': 0.9382540809084459, 'score': 0.9382540809084459, 'examples_seen': 65712, 'step': 1650, 'algorithm': 'task_scheduling'}
I0715 12:52:38.044436 137617489782272 run.py:723] (val) algo task_scheduling step 1700: {'selected': 0.9329314242652599, 'score': 0.9329314242652599, 'examples_seen': 67712, 'step': 1700, 'algorithm': 'task_scheduling'}
I0715 12:52:39.063312 137617489782272 run.py:723] (val) algo task_scheduling step 1750: {'selected': 0.8503803888419273, 'score': 0.8503803888419273, 'examples_seen': 69744, 'step': 1750, 'algorithm': 'task_scheduling'}
I0715 12:52:40.086289 137617489782272 run.py:723] (val) algo task_scheduling step 1800: {'selected': 0.9468317552804077, 'score': 0.9468317552804077, 'examples_seen': 71728, 'step': 1800, 'algorithm': 'task_scheduling'}
I0715 12:52:41.107677 137617489782272 run.py:723] (val) algo task_scheduling step 1850: {'selected': 0.9353383458646617, 'score': 0.9353383458646617, 'examples_seen': 73712, 'step': 1850, 'algorithm': 'task_scheduling'}
I0715 12:52:42.115258 137617489782272 run.py:723] (val) algo task_scheduling step 1900: {'selected': 0.9500362056480811, 'score': 0.9500362056480811, 'examples_seen': 75712, 'step': 1900, 'algorithm': 'task_scheduling'}
I0715 12:52:43.149940 137617489782272 run.py:723] (val) algo task_scheduling step 1950: {'selected': 0.9529499626587006, 'score': 0.9529499626587006, 'examples_seen': 77664, 'step': 1950, 'algorithm': 'task_scheduling'}
I0715 12:52:44.186632 137617489782272 run.py:723] (val) algo task_scheduling step 2000: {'selected': 0.9324324324324323, 'score': 0.9324324324324323, 'examples_seen': 79632, 'step': 2000, 'algorithm': 'task_scheduling'}
I0715 12:52:45.207195 137617489782272 run.py:723] (val) algo task_scheduling step 2050: {'selected': 0.9270976616231087, 'score': 0.9270976616231087, 'examples_seen': 81680, 'step': 2050, 'algorithm': 'task_scheduling'}
I0715 12:52:46.230440 137617489782272 run.py:723] (val) algo task_scheduling step 2100: {'selected': 0.9306647605432452, 'score': 0.9306647605432452, 'examples_seen': 83680, 'step': 2100, 'algorithm': 'task_scheduling'}
I0715 12:52:47.235595 137617489782272 run.py:723] (val) algo task_scheduling step 2150: {'selected': 0.8872305140961857, 'score': 0.8872305140961857, 'examples_seen': 85680, 'step': 2150, 'algorithm': 'task_scheduling'}
I0715 12:52:48.254987 137617489782272 run.py:723] (val) algo task_scheduling step 2200: {'selected': 0.9348148148148149, 'score': 0.9348148148148149, 'examples_seen': 87664, 'step': 2200, 'algorithm': 'task_scheduling'}
I0715 12:52:49.283225 137617489782272 run.py:723] (val) algo task_scheduling step 2250: {'selected': 0.9389534883720929, 'score': 0.9389534883720929, 'examples_seen': 89632, 'step': 2250, 'algorithm': 'task_scheduling'}
I0715 12:52:50.303971 137617489782272 run.py:723] (val) algo task_scheduling step 2300: {'selected': 0.942008486562942, 'score': 0.942008486562942, 'examples_seen': 91616, 'step': 2300, 'algorithm': 'task_scheduling'}
I0715 12:52:51.334268 137617489782272 run.py:723] (val) algo task_scheduling step 2350: {'selected': 0.9484066767830046, 'score': 0.9484066767830046, 'examples_seen': 93568, 'step': 2350, 'algorithm': 'task_scheduling'}
I0715 12:52:52.355254 137617489782272 run.py:723] (val) algo task_scheduling step 2400: {'selected': 0.9409221902017292, 'score': 0.9409221902017292, 'examples_seen': 95600, 'step': 2400, 'algorithm': 'task_scheduling'}
I0715 12:52:53.378682 137617489782272 run.py:723] (val) algo task_scheduling step 2450: {'selected': 0.9159327461969575, 'score': 0.9159327461969575, 'examples_seen': 97632, 'step': 2450, 'algorithm': 'task_scheduling'}
I0715 12:52:54.410058 137617489782272 run.py:723] (val) algo task_scheduling step 2500: {'selected': 0.952932657494569, 'score': 0.952932657494569, 'examples_seen': 99600, 'step': 2500, 'algorithm': 'task_scheduling'}
I0715 12:52:55.438157 137617489782272 run.py:723] (val) algo task_scheduling step 2550: {'selected': 0.9397217928902627, 'score': 0.9397217928902627, 'examples_seen': 101600, 'step': 2550, 'algorithm': 'task_scheduling'}
I0715 12:52:56.465682 137617489782272 run.py:723] (val) algo task_scheduling step 2600: {'selected': 0.9476702508960574, 'score': 0.9476702508960574, 'examples_seen': 103568, 'step': 2600, 'algorithm': 'task_scheduling'}
