{'pred': 0.6943359375, 'score': 0.6943359375, 'examples_seen': 86862, 'step': 2500, 'algorithm': 'quicksort'}
{'pred': 0.728515625, 'score': 0.728515625, 'examples_seen': 88565, 'step': 2550, 'algorithm': 'quicksort'}
{'pred': 0.6708984375, 'score': 0.6708984375, 'examples_seen': 90271, 'step': 2600, 'algorithm': 'quicksort'}
{'pred': 0.625, 'score': 0.625, 'examples_seen': 91972, 'step': 2650, 'algorithm': 'quicksort'}
{'pred': 0.658203125, 'score': 0.658203125, 'examples_seen': 93671, 'step': 2700, 'algorithm': 'quicksort'}
{'pred': 0.7373046875, 'score': 0.7373046875, 'examples_seen': 95504, 'step': 2750, 'algorithm': 'quicksort'}
{'pred': 0.83203125, 'score': 0.83203125, 'examples_seen': 97264, 'step': 2800, 'algorithm': 'quicksort'}
{'pred': 0.541015625, 'score': 0.541015625, 'examples_seen': 98999, 'step': 2850, 'algorithm': 'quicksort'}
{'pred': 0.65625, 'score': 0.65625, 'examples_seen': 100705, 'step': 2900, 'algorithm': 'quicksort'}
{'pred': 0.6669921875, 'score': 0.6669921875, 'examples_seen': 102408, 'step': 2950, 'algorithm': 'quicksort'}
{'pred': 0.7294921875, 'score': 0.7294921875, 'examples_seen': 104116, 'step': 3000, 'algorithm': 'quicksort'}
{'pred': 0.68359375, 'score': 0.68359375, 'examples_seen': 105816, 'step': 3050, 'algorithm': 'quicksort'}
{'pred': 0.775390625, 'score': 0.775390625, 'examples_seen': 107659, 'step': 3100, 'algorithm': 'quicksort'}
{'pred': 0.7861328125, 'score': 0.7861328125, 'examples_seen': 109424, 'step': 3150, 'algorithm': 'quicksort'}
{'pred': 0.6064453125, 'score': 0.6064453125, 'examples_seen': 111152, 'step': 3200, 'algorithm': 'quicksort'}
{'pred': 0.7861328125, 'score': 0.7861328125, 'examples_seen': 112866, 'step': 3250, 'algorithm': 'quicksort'}
{'pred': 0.669921875, 'score': 0.669921875, 'examples_seen': 114577, 'step': 3300, 'algorithm': 'quicksort'}
{'pred': 0.716796875, 'score': 0.716796875, 'examples_seen': 116277, 'step': 3350, 'algorithm': 'quicksort'}
{'pred': 0.7822265625, 'score': 0.7822265625, 'examples_seen': 118002, 'step': 3400, 'algorithm': 'quicksort'}
{'pred': 0.7236328125, 'score': 0.7236328125, 'examples_seen': 119823, 'step': 3450, 'algorithm': 'quicksort'}
{'pred': 0.796875, 'score': 0.796875, 'examples_seen': 121585, 'step': 3500, 'algorithm': 'quicksort'}
{'pred': 0.794921875, 'score': 0.794921875, 'examples_seen': 123312, 'step': 3550, 'algorithm': 'quicksort'}
