I0715 08:52:37.270380 137093019534848 run.py:723] (val) algo dfs step 1650: {'pi': 0.48046875, 'score': 0.48046875, 'examples_seen': 28272, 'step': 1650, 'algorithm': 'dfs'}
I0715 08:52:38.627513 137093019534848 run.py:723] (val) algo dfs step 1700: {'pi': 0.4345703125, 'score': 0.4345703125, 'examples_seen': 29152, 'step': 1700, 'algorithm': 'dfs'}
I0715 08:52:39.959112 137093019534848 run.py:723] (val) algo dfs step 1750: {'pi': 0.5234375, 'score': 0.5234375, 'examples_seen': 30016, 'step': 1750, 'algorithm': 'dfs'}
I0715 08:52:41.318214 137093019534848 run.py:723] (val) algo dfs step 1800: {'pi': 0.5498046875, 'score': 0.5498046875, 'examples_seen': 30880, 'step': 1800, 'algorithm': 'dfs'}
I0715 08:52:42.660583 137093019534848 run.py:723] (val) algo dfs step 1850: {'pi': 0.513671875, 'score': 0.513671875, 'examples_seen': 31712, 'step': 1850, 'algorithm': 'dfs'}
I0715 08:52:43.989673 137093019534848 run.py:723] (val) algo dfs step 1900: {'pi': 0.4990234375, 'score': 0.4990234375, 'examples_seen': 32592, 'step': 1900, 'algorithm': 'dfs'}
I0715 08:52:45.294887 137093019534848 run.py:723] (val) algo dfs step 1950: {'pi': 0.5068359375, 'score': 0.5068359375, 'examples_seen': 33408, 'step': 1950, 'algorithm': 'dfs'}
I0715 08:52:46.715934 137093019534848 run.py:723] (val) algo dfs step 2000: {'pi': 0.521484375, 'score': 0.521484375, 'examples_seen': 34272, 'step': 2000, 'algorithm': 'dfs'}
I0715 08:52:48.073523 137093019534848 run.py:723] (val) algo dfs step 2050: {'pi': 0.5244140625, 'score': 0.5244140625, 'examples_seen': 35152, 'step': 2050, 'algorithm': 'dfs'}
I0715 08:52:49.469709 137093019534848 run.py:723] (val) algo dfs step 2100: {'pi': 0.533203125, 'score': 0.533203125, 'examples_seen': 36016, 'step': 2100, 'algorithm': 'dfs'}
I0715 08:52:50.781151 137093019534848 run.py:723] (val) algo dfs step 2150: {'pi': 0.5078125, 'score': 0.5078125, 'examples_seen': 36880, 'step': 2150, 'algorithm': 'dfs'}
I0715 08:52:52.093299 137093019534848 run.py:723] (val) algo dfs step 2200: {'pi': 0.470703125, 'score': 0.470703125, 'examples_seen': 37728, 'step': 2200, 'algorithm': 'dfs'}
