I0715 09:38:33.374973 124715881965056 run.py:723] (val) algo heapsort step 1600: {'pred': 0.6142578125, 'score': 0.6142578125, 'examples_seen': 24844, 'step': 1600, 'algorithm': 'heapsort'}
I0715 09:38:36.680521 124715881965056 run.py:723] (val) algo heapsort step 1650: {'pred': 0.619140625, 'score': 0.619140625, 'examples_seen': 25612, 'step': 1650, 'algorithm': 'heapsort'}
I0715 09:38:40.004617 124715881965056 run.py:723] (val) algo heapsort step 1700: {'pred': 0.6103515625, 'score': 0.6103515625, 'examples_seen': 26424, 'step': 1700, 'algorithm': 'heapsort'}
I0715 09:38:43.248242 124715881965056 run.py:723] (val) algo heapsort step 1750: {'pred': 0.544921875, 'score': 0.544921875, 'examples_seen': 27208, 'step': 1750, 'algorithm': 'heapsort'}
I0715 09:38:46.468073 124715881965056 run.py:723] (val) algo heapsort step 1800: {'pred': 0.6376953125, 'score': 0.6376953125, 'examples_seen': 27990, 'step': 1800, 'algorithm': 'heapsort'}
I0715 09:38:49.713856 124715881965056 run.py:723] (val) algo heapsort step 1850: {'pred': 0.6455078125, 'score': 0.6455078125, 'examples_seen': 28760, 'step': 1850, 'algorithm': 'heapsort'}
I0715 09:38:52.938496 124715881965056 run.py:723] (val) algo heapsort step 1900: {'pred': 0.5810546875, 'score': 0.5810546875, 'examples_seen': 29522, 'step': 1900, 'algorithm': 'heapsort'}
I0715 09:38:56.134182 124715881965056 run.py:723] (val) algo heapsort step 1950: {'pred': 0.642578125, 'score': 0.642578125, 'examples_seen': 30291, 'step': 1950, 'algorithm': 'heapsort'}
I0715 09:38:59.421236 124715881965056 run.py:723] (val) algo heapsort step 2000: {'pred': 0.6005859375, 'score': 0.6005859375, 'examples_seen': 31053, 'step': 2000, 'algorithm': 'heapsort'}
I0715 09:39:02.686076 124715881965056 run.py:723] (val) algo heapsort step 2050: {'pred': 0.587890625, 'score': 0.587890625, 'examples_seen': 31854, 'step': 2050, 'algorithm': 'heapsort'}
I0715 09:39:05.934872 124715881965056 run.py:723] (val) algo heapsort step 2100: {'pred': 0.634765625, 'score': 0.634765625, 'examples_seen': 32652, 'step': 2100, 'algorithm': 'heapsort'}
I0715 09:39:09.154660 124715881965056 run.py:723] (val) algo heapsort step 2150: {'pred': 0.6435546875, 'score': 0.6435546875, 'examples_seen': 33422, 'step': 2150, 'algorithm': 'heapsort'}
I0715 09:39:12.402114 124715881965056 run.py:723] (val) algo heapsort step 2200: {'pred': 0.609375, 'score': 0.609375, 'examples_seen': 34192, 'step': 2200, 'algorithm': 'heapsort'}
I0715 09:39:15.670332 124715881965056 run.py:723] (val) algo heapsort step 2250: {'pred': 0.6162109375, 'score': 0.6162109375, 'examples_seen': 34967, 'step': 2250, 'algorithm': 'heapsort'}
I0715 09:39:18.877690 124715881965056 run.py:723] (val) algo heapsort step 2300: {'pred': 0.5546875, 'score': 0.5546875, 'examples_seen': 35730, 'step': 2300, 'algorithm': 'heapsort'}
I0715 09:39:22.125497 124715881965056 run.py:723] (val) algo heapsort step 2350: {'pred': 0.60546875, 'score': 0.60546875, 'examples_seen': 36499, 'step': 2350, 'algorithm': 'heapsort'}
