{'pred': 0.794921875, 'score': 0.794921875, 'examples_seen': 87968, 'step': 2600, 'algorithm': 'bubble_sort'}
{'pred': 0.7998046875, 'score': 0.7998046875, 'examples_seen': 89616, 'step': 2650, 'algorithm': 'bubble_sort'}
{'pred': 0.833984375, 'score': 0.833984375, 'examples_seen': 91280, 'step': 2700, 'algorithm': 'bubble_sort'}
{'pred': 0.8603515625, 'score': 0.8603515625, 'examples_seen': 93072, 'step': 2750, 'algorithm': 'bubble_sort'}
{'pred': 0.8232421875, 'score': 0.8232421875, 'examples_seen': 94800, 'step': 2800, 'algorithm': 'bubble_sort'}
{'pred': 0.7939453125, 'score': 0.7939453125, 'examples_seen': 96448, 'step': 2850, 'algorithm': 'bubble_sort'}
{'pred': 0.8369140625, 'score': 0.8369140625, 'examples_seen': 98144, 'step': 2900, 'algorithm': 'bubble_sort'}
{'pred': 0.8271484375, 'score': 0.8271484375, 'examples_seen': 99792, 'step': 2950, 'algorithm': 'bubble_sort'}
{'pred': 0.8544921875, 'score': 0.8544921875, 'examples_seen': 101456, 'step': 3000, 'algorithm': 'bubble_sort'}
{'pred': 0.8447265625, 'score': 0.8447265625, 'examples_seen': 103104, 'step': 3050, 'algorithm': 'bubble_sort'}
{'pred': 0.865234375, 'score': 0.865234375, 'examples_seen': 104880, 'step': 3100, 'algorithm': 'bubble_sort'}
{'pred': 0.8486328125, 'score': 0.8486328125, 'examples_seen': 106640, 'step': 3150, 'algorithm': 'bubble_sort'}
{'pred': 0.8681640625, 'score': 0.8681640625, 'examples_seen': 108304, 'step': 3200, 'algorithm': 'bubble_sort'}
{'pred': 0.828125, 'score': 0.828125, 'examples_seen': 109968, 'step': 3250, 'algorithm': 'bubble_sort'}
{'pred': 0.837890625, 'score': 0.837890625, 'examples_seen': 111664, 'step': 3300, 'algorithm': 'bubble_sort'}
{'pred': 0.87109375, 'score': 0.87109375, 'examples_seen': 113328, 'step': 3350, 'algorithm': 'bubble_sort'}
{'pred': 0.8330078125, 'score': 0.8330078125, 'examples_seen': 114976, 'step': 3400, 'algorithm': 'bubble_sort'}
{'pred': 0.859375, 'score': 0.859375, 'examples_seen': 116768, 'step': 3450, 'algorithm': 'bubble_sort'}
{'pred': 0.8916015625, 'score': 0.8916015625, 'examples_seen': 118480, 'step': 3500, 'algorithm': 'bubble_sort'}
{'pred': 0.88671875, 'score': 0.88671875, 'examples_seen': 120160, 'step': 3550, 'algorithm': 'bubble_sort'}
{'pred': 0.87890625, 'score': 0.87890625, 'examples_seen': 121840, 'step': 3600, 'algorithm': 'bubble_sort'}
{'pred': 0.84375, 'score': 0.84375, 'examples_seen': 123488, 'step': 3650, 'algorithm': 'bubble_sort'}
{'pred': 0.8642578125, 'score': 0.8642578125, 'examples_seen': 125136, 'step': 3700, 'algorithm': 'bubble_sort'}
{'pred': 0.8466796875, 'score': 0.8466796875, 'examples_seen': 126816, 'step': 3750, 'algorithm': 'bubble_sort'}
{'pred': 0.8916015625, 'score': 0.8916015625, 'examples_seen': 128592, 'step': 3800, 'algorithm': 'bubble_sort'}
{'pred': 0.8486328125, 'score': 0.8486328125, 'examples_seen': 130304, 'step': 3850, 'algorithm': 'bubble_sort'}
{'pred': 0.8671875, 'score': 0.8671875, 'examples_seen': 132000, 'step': 3900, 'algorithm': 'bubble_sort'}
{'pred': 0.806640625, 'score': 0.806640625, 'examples_seen': 133664, 'step': 3950, 'algorithm': 'bubble_sort'}
{'pred': 0.8486328125, 'score': 0.8486328125, 'examples_seen': 135312, 'step': 4000, 'algorithm': 'bubble_sort'}
{'pred': 0.8369140625, 'score': 0.8369140625, 'examples_seen': 136976, 'step': 4050, 'algorithm': 'bubble_sort'}
{'pred': 0.8828125, 'score': 0.8828125, 'examples_seen': 138624, 'step': 4100, 'algorithm': 'bubble_sort'}
{'pred': 0.826171875, 'score': 0.826171875, 'examples_seen': 140448, 'step': 4150, 'algorithm': 'bubble_sort'}
{'pred': 0.80859375, 'score': 0.80859375, 'examples_seen': 142160, 'step': 4200, 'algorithm': 'bubble_sort'}
{'pred': 0.880859375, 'score': 0.880859375, 'examples_seen': 143840, 'step': 4250, 'algorithm': 'bubble_sort'}
{'pred': 0.7548828125, 'score': 0.7548828125, 'examples_seen': 145520, 'step': 4300, 'algorithm': 'bubble_sort'}
{'pred': 0.8857421875, 'score': 0.8857421875, 'examples_seen': 147184, 'step': 4350, 'algorithm': 'bubble_sort'}
{'pred': 0.802734375, 'score': 0.802734375, 'examples_seen': 148848, 'step': 4400, 'algorithm': 'bubble_sort'}
{'pred': 0.876953125, 'score': 0.876953125, 'examples_seen': 150512, 'step': 4450, 'algorithm': 'bubble_sort'}
{'pred': 0.849609375, 'score': 0.849609375, 'examples_seen': 152288, 'step': 4500, 'algorithm': 'bubble_sort'}
{'pred': 0.8740234375, 'score': 0.8740234375, 'examples_seen': 154000, 'step': 4550, 'algorithm': 'bubble_sort'}
{'pred': 0.9052734375, 'score': 0.9052734375, 'examples_seen': 155696, 'step': 4600, 'algorithm': 'bubble_sort'}
{'pred': 0.8994140625, 'score': 0.8994140625, 'examples_seen': 157344, 'step': 4650, 'algorithm': 'bubble_sort'}
{'pred': 0.896484375, 'score': 0.896484375, 'examples_seen': 159008, 'step': 4700, 'algorithm': 'bubble_sort'}
{'pred': 0.9091796875, 'score': 0.9091796875, 'examples_seen': 160672, 'step': 4750, 'algorithm': 'bubble_sort'}
{'pred': 0.8974609375, 'score': 0.8974609375, 'examples_seen': 162336, 'step': 4800, 'algorithm': 'bubble_sort'}
{'pred': 0.8720703125, 'score': 0.8720703125, 'examples_seen': 164112, 'step': 4850, 'algorithm': 'bubble_sort'}
{'pred': 0.8427734375, 'score': 0.8427734375, 'examples_seen': 165824, 'step': 4900, 'algorithm': 'bubble_sort'}
{'pred': 0.8310546875, 'score': 0.8310546875, 'examples_seen': 167520, 'step': 4950, 'algorithm': 'bubble_sort'}
{'pred': 0.841796875, 'score': 0.841796875, 'examples_seen': 169184, 'step': 5000, 'algorithm': 'bubble_sort'}
{'pred': 0.865234375, 'score': 0.865234375, 'examples_seen': 170848, 'step': 5050, 'algorithm': 'bubble_sort'}
{'pred': 0.884765625, 'score': 0.884765625, 'examples_seen': 172496, 'step': 5100, 'algorithm': 'bubble_sort'}
{'pred': 0.828125, 'score': 0.828125, 'examples_seen': 174192, 'step': 5150, 'algorithm': 'bubble_sort'}
{'pred': 0.8642578125, 'score': 0.8642578125, 'examples_seen': 175968, 'step': 5200, 'algorithm': 'bubble_sort'}
{'pred': 0.8857421875, 'score': 0.8857421875, 'examples_seen': 177696, 'step': 5250, 'algorithm': 'bubble_sort'}
{'pred': 0.9140625, 'score': 0.9140625, 'examples_seen': 179376, 'step': 5300, 'algorithm': 'bubble_sort'}
{'pred': 0.88671875, 'score': 0.88671875, 'examples_seen': 181040, 'step': 5350, 'algorithm': 'bubble_sort'}
{'pred': 0.923828125, 'score': 0.923828125, 'examples_seen': 182704, 'step': 5400, 'algorithm': 'bubble_sort'}
{'pred': 0.904296875, 'score': 0.904296875, 'examples_seen': 184352, 'step': 5450, 'algorithm': 'bubble_sort'}
{'pred': 0.912109375, 'score': 0.912109375, 'examples_seen': 186016, 'step': 5500, 'algorithm': 'bubble_sort'}
{'pred': 0.880859375, 'score': 0.880859375, 'examples_seen': 187776, 'step': 5550, 'algorithm': 'bubble_sort'}
{'pred': 0.865234375, 'score': 0.865234375, 'examples_seen': 189520, 'step': 5600, 'algorithm': 'bubble_sort'}
{'pred': 0.8896484375, 'score': 0.8896484375, 'examples_seen': 191184, 'step': 5650, 'algorithm': 'bubble_sort'}
{'pred': 0.845703125, 'score': 0.845703125, 'examples_seen': 192864, 'step': 5700, 'algorithm': 'bubble_sort'}
{'pred': 0.8603515625, 'score': 0.8603515625, 'examples_seen': 194544, 'step': 5750, 'algorithm': 'bubble_sort'}
{'pred': 0.880859375, 'score': 0.880859375, 'examples_seen': 196208, 'step': 5800, 'algorithm': 'bubble_sort'}
{'pred': 0.888671875, 'score': 0.888671875, 'examples_seen': 197856, 'step': 5850, 'algorithm': 'bubble_sort'}
{'pred': 0.869140625, 'score': 0.869140625, 'examples_seen': 199632, 'step': 5900, 'algorithm': 'bubble_sort'}
{'pred': 0.861328125, 'score': 0.861328125, 'examples_seen': 201360, 'step': 5950, 'algorithm': 'bubble_sort'}
{'pred': 0.86328125, 'score': 0.86328125, 'examples_seen': 203056, 'step': 6000, 'algorithm': 'bubble_sort'}
{'pred': 0.8896484375, 'score': 0.8896484375, 'examples_seen': 204720, 'step': 6050, 'algorithm': 'bubble_sort'}
{'pred': 0.890625, 'score': 0.890625, 'examples_seen': 206368, 'step': 6100, 'algorithm': 'bubble_sort'}
{'pred': 0.8525390625, 'score': 0.8525390625, 'examples_seen': 208064, 'step': 6150, 'algorithm': 'bubble_sort'}
{'pred': 0.9091796875, 'score': 0.9091796875, 'examples_seen': 209712, 'step': 6200, 'algorithm': 'bubble_sort'}
{'pred': 0.9013671875, 'score': 0.9013671875, 'examples_seen': 211504, 'step': 6250, 'algorithm': 'bubble_sort'}
{'pred': 0.89453125, 'score': 0.89453125, 'examples_seen': 213216, 'step': 6300, 'algorithm': 'bubble_sort'}
{'pred': 0.9345703125, 'score': 0.9345703125, 'examples_seen': 214896, 'step': 6350, 'algorithm': 'bubble_sort'}
{'pred': 0.8759765625, 'score': 0.8759765625, 'examples_seen': 216560, 'step': 6400, 'algorithm': 'bubble_sort'}
{'pred': 0.912109375, 'score': 0.912109375, 'examples_seen': 218208, 'step': 6450, 'algorithm': 'bubble_sort'}
{'pred': 0.9150390625, 'score': 0.9150390625, 'examples_seen': 219872, 'step': 6500, 'algorithm': 'bubble_sort'}
{'pred': 0.8720703125, 'score': 0.8720703125, 'examples_seen': 221520, 'step': 6550, 'algorithm': 'bubble_sort'}
{'pred': 0.890625, 'score': 0.890625, 'examples_seen': 223328, 'step': 6600, 'algorithm': 'bubble_sort'}
{'pred': 0.8623046875, 'score': 0.8623046875, 'examples_seen': 225040, 'step': 6650, 'algorithm': 'bubble_sort'}
{'pred': 0.8828125, 'score': 0.8828125, 'examples_seen': 226720, 'step': 6700, 'algorithm': 'bubble_sort'}
