{'pi': 0.9716796875, 'score': 0.9716796875, 'examples_seen': 72509, 'step': 2450, 'algorithm': 'dag_shortest_paths'}
{'pi': 0.958984375, 'score': 0.958984375, 'examples_seen': 73971, 'step': 2500, 'algorithm': 'dag_shortest_paths'}
{'pi': 0.9501953125, 'score': 0.9501953125, 'examples_seen': 75467, 'step': 2550, 'algorithm': 'dag_shortest_paths'}
{'pi': 0.953125, 'score': 0.953125, 'examples_seen': 76917, 'step': 2600, 'algorithm': 'dag_shortest_paths'}
{'pi': 0.955078125, 'score': 0.955078125, 'examples_seen': 78404, 'step': 2650, 'algorithm': 'dag_shortest_paths'}
{'pi': 0.9609375, 'score': 0.9609375, 'examples_seen': 79832, 'step': 2700, 'algorithm': 'dag_shortest_paths'}
{'pi': 0.9541015625, 'score': 0.9541015625, 'examples_seen': 81327, 'step': 2750, 'algorithm': 'dag_shortest_paths'}
{'pi': 0.9580078125, 'score': 0.9580078125, 'examples_seen': 82863, 'step': 2800, 'algorithm': 'dag_shortest_paths'}
{'pi': 0.9609375, 'score': 0.9609375, 'examples_seen': 84372, 'step': 2850, 'algorithm': 'dag_shortest_paths'}
{'pi': 0.966796875, 'score': 0.966796875, 'examples_seen': 85879, 'step': 2900, 'algorithm': 'dag_shortest_paths'}
{'pi': 0.935546875, 'score': 0.935546875, 'examples_seen': 87331, 'step': 2950, 'algorithm': 'dag_shortest_paths'}
{'pi': 0.9521484375, 'score': 0.9521484375, 'examples_seen': 88769, 'step': 3000, 'algorithm': 'dag_shortest_paths'}
{'pi': 0.9306640625, 'score': 0.9306640625, 'examples_seen': 90218, 'step': 3050, 'algorithm': 'dag_shortest_paths'}
{'pi': 0.974609375, 'score': 0.974609375, 'examples_seen': 91724, 'step': 3100, 'algorithm': 'dag_shortest_paths'}
{'pi': 0.9697265625, 'score': 0.9697265625, 'examples_seen': 93220, 'step': 3150, 'algorithm': 'dag_shortest_paths'}
{'pi': 0.94921875, 'score': 0.94921875, 'examples_seen': 94712, 'step': 3200, 'algorithm': 'dag_shortest_paths'}
{'pi': 0.9462890625, 'score': 0.9462890625, 'examples_seen': 96145, 'step': 3250, 'algorithm': 'dag_shortest_paths'}
{'pi': 0.9580078125, 'score': 0.9580078125, 'examples_seen': 97596, 'step': 3300, 'algorithm': 'dag_shortest_paths'}
{'pi': 0.9375, 'score': 0.9375, 'examples_seen': 99061, 'step': 3350, 'algorithm': 'dag_shortest_paths'}
{'pi': 0.958984375, 'score': 0.958984375, 'examples_seen': 100536, 'step': 3400, 'algorithm': 'dag_shortest_paths'}
{'pi': 0.966796875, 'score': 0.966796875, 'examples_seen': 102066, 'step': 3450, 'algorithm': 'dag_shortest_paths'}
{'pi': 0.96484375, 'score': 0.96484375, 'examples_seen': 103583, 'step': 3500, 'algorithm': 'dag_shortest_paths'}
{'pi': 0.9580078125, 'score': 0.9580078125, 'examples_seen': 105048, 'step': 3550, 'algorithm': 'dag_shortest_paths'}
{'pi': 0.9541015625, 'score': 0.9541015625, 'examples_seen': 106538, 'step': 3600, 'algorithm': 'dag_shortest_paths'}
{'pi': 0.9326171875, 'score': 0.9326171875, 'examples_seen': 108022, 'step': 3650, 'algorithm': 'dag_shortest_paths'}
{'pi': 0.9560546875, 'score': 0.9560546875, 'examples_seen': 109477, 'step': 3700, 'algorithm': 'dag_shortest_paths'}
{'pi': 0.953125, 'score': 0.953125, 'examples_seen': 110944, 'step': 3750, 'algorithm': 'dag_shortest_paths'}
{'pi': 0.939453125, 'score': 0.939453125, 'examples_seen': 112449, 'step': 3800, 'algorithm': 'dag_shortest_paths'}
{'pi': 0.96484375, 'score': 0.96484375, 'examples_seen': 113930, 'step': 3850, 'algorithm': 'dag_shortest_paths'}
{'pi': 0.962890625, 'score': 0.962890625, 'examples_seen': 115395, 'step': 3900, 'algorithm': 'dag_shortest_paths'}
{'pi': 0.923828125, 'score': 0.923828125, 'examples_seen': 116840, 'step': 3950, 'algorithm': 'dag_shortest_paths'}
{'pi': 0.9716796875, 'score': 0.9716796875, 'examples_seen': 118330, 'step': 4000, 'algorithm': 'dag_shortest_paths'}
{'pi': 0.9560546875, 'score': 0.9560546875, 'examples_seen': 119768, 'step': 4050, 'algorithm': 'dag_shortest_paths'}
{'pi': 0.96875, 'score': 0.96875, 'examples_seen': 121258, 'step': 4100, 'algorithm': 'dag_shortest_paths'}
{'pi': 0.9619140625, 'score': 0.9619140625, 'examples_seen': 122759, 'step': 4150, 'algorithm': 'dag_shortest_paths'}
{'pi': 0.962890625, 'score': 0.962890625, 'examples_seen': 124254, 'step': 4200, 'algorithm': 'dag_shortest_paths'}
{'pi': 0.9853515625, 'score': 0.9853515625, 'examples_seen': 125779, 'step': 4250, 'algorithm': 'dag_shortest_paths'}
