I0716 00:31:15.103797 136599232906752 run.py:722] (val) algo naive_string_matcher step 1500: {'match': 0.9013671875, 'score': 0.9013671875, 'examples_seen': 34484, 'step': 1500, 'algorithm': 'naive_string_matcher'}
I0716 00:31:17.092383 136599232906752 run.py:722] (val) algo naive_string_matcher step 1550: {'match': 0.941650390625, 'score': 0.941650390625, 'examples_seen': 35639, 'step': 1550, 'algorithm': 'naive_string_matcher'}
I0716 00:31:19.095021 136599232906752 run.py:722] (val) algo naive_string_matcher step 1600: {'match': 0.891357421875, 'score': 0.891357421875, 'examples_seen': 36789, 'step': 1600, 'algorithm': 'naive_string_matcher'}
I0716 00:31:21.091820 136599232906752 run.py:722] (val) algo naive_string_matcher step 1650: {'match': 0.931884765625, 'score': 0.931884765625, 'examples_seen': 37934, 'step': 1650, 'algorithm': 'naive_string_matcher'}
I0716 00:31:23.088322 136599232906752 run.py:722] (val) algo naive_string_matcher step 1700: {'match': 0.971435546875, 'score': 0.971435546875, 'examples_seen': 39077, 'step': 1700, 'algorithm': 'naive_string_matcher'}
I0716 00:31:25.113238 136599232906752 run.py:722] (val) algo naive_string_matcher step 1750: {'match': 0.9501953125, 'score': 0.9501953125, 'examples_seen': 40229, 'step': 1750, 'algorithm': 'naive_string_matcher'}
I0716 00:31:27.103647 136599232906752 run.py:722] (val) algo naive_string_matcher step 1800: {'match': 0.98046875, 'score': 0.98046875, 'examples_seen': 41362, 'step': 1800, 'algorithm': 'naive_string_matcher'}
I0716 00:31:29.185812 136599232906752 run.py:722] (val) algo naive_string_matcher step 1850: {'match': 0.95703125, 'score': 0.95703125, 'examples_seen': 42500, 'step': 1850, 'algorithm': 'naive_string_matcher'}
I0716 00:31:31.166451 136599232906752 run.py:722] (val) algo naive_string_matcher step 1900: {'match': 0.980224609375, 'score': 0.980224609375, 'examples_seen': 43646, 'step': 1900, 'algorithm': 'naive_string_matcher'}
I0716 00:31:33.167963 136599232906752 run.py:722] (val) algo naive_string_matcher step 1950: {'match': 0.973388671875, 'score': 0.973388671875, 'examples_seen': 44795, 'step': 1950, 'algorithm': 'naive_string_matcher'}
I0716 00:31:35.180467 136599232906752 run.py:722] (val) algo naive_string_matcher step 2000: {'match': 0.969482421875, 'score': 0.969482421875, 'examples_seen': 45955, 'step': 2000, 'algorithm': 'naive_string_matcher'}
I0716 00:31:37.160840 136599232906752 run.py:722] (val) algo naive_string_matcher step 2050: {'match': 0.988037109375, 'score': 0.988037109375, 'examples_seen': 47112, 'step': 2050, 'algorithm': 'naive_string_matcher'}
I0716 00:31:39.153666 136599232906752 run.py:722] (val) algo naive_string_matcher step 2100: {'match': 0.987060546875, 'score': 0.987060546875, 'examples_seen': 48251, 'step': 2100, 'algorithm': 'naive_string_matcher'}
I0716 00:31:41.293431 136599232906752 run.py:722] (val) algo naive_string_matcher step 2150: {'match': 0.9765625, 'score': 0.9765625, 'examples_seen': 49409, 'step': 2150, 'algorithm': 'naive_string_matcher'}
I0716 00:31:43.278715 136599232906752 run.py:722] (val) algo naive_string_matcher step 2200: {'match': 0.97021484375, 'score': 0.97021484375, 'examples_seen': 50569, 'step': 2200, 'algorithm': 'naive_string_matcher'}
I0716 00:31:45.272223 136599232906752 run.py:722] (val) algo naive_string_matcher step 2250: {'match': 0.985595703125, 'score': 0.985595703125, 'examples_seen': 51698, 'step': 2250, 'algorithm': 'naive_string_matcher'}
I0716 00:31:47.254342 136599232906752 run.py:722] (val) algo naive_string_matcher step 2300: {'match': 0.989990234375, 'score': 0.989990234375, 'examples_seen': 52834, 'step': 2300, 'algorithm': 'naive_string_matcher'}
I0716 00:31:49.294173 136599232906752 run.py:722] (val) algo naive_string_matcher step 2350: {'match': 0.966796875, 'score': 0.966796875, 'examples_seen': 54001, 'step': 2350, 'algorithm': 'naive_string_matcher'}
I0716 00:31:51.286064 136599232906752 run.py:722] (val) algo naive_string_matcher step 2400: {'match': 0.990478515625, 'score': 0.990478515625, 'examples_seen': 55159, 'step': 2400, 'algorithm': 'naive_string_matcher'}
I0716 00:31:53.336642 136599232906752 run.py:722] (val) algo naive_string_matcher step 2450: {'match': 0.992919921875, 'score': 0.992919921875, 'examples_seen': 56306, 'step': 2450, 'algorithm': 'naive_string_matcher'}
I0716 00:31:55.336268 136599232906752 run.py:722] (val) algo naive_string_matcher step 2500: {'match': 0.99365234375, 'score': 0.99365234375, 'examples_seen': 57477, 'step': 2500, 'algorithm': 'naive_string_matcher'}
I0716 00:31:57.387169 136599232906752 run.py:722] (val) algo naive_string_matcher step 2550: {'match': 0.989990234375, 'score': 0.989990234375, 'examples_seen': 58672, 'step': 2550, 'algorithm': 'naive_string_matcher'}
I0716 00:31:59.377374 136599232906752 run.py:722] (val) algo naive_string_matcher step 2600: {'match': 0.991455078125, 'score': 0.991455078125, 'examples_seen': 59811, 'step': 2600, 'algorithm': 'naive_string_matcher'}
I0716 00:32:01.383281 136599232906752 run.py:722] (val) algo naive_string_matcher step 2650: {'match': 0.995849609375, 'score': 0.995849609375, 'examples_seen': 60965, 'step': 2650, 'algorithm': 'naive_string_matcher'}
I0716 00:32:03.392959 136599232906752 run.py:722] (val) algo naive_string_matcher step 2700: {'match': 0.98388671875, 'score': 0.98388671875, 'examples_seen': 62117, 'step': 2700, 'algorithm': 'naive_string_matcher'}
I0716 00:32:05.385906 136599232906752 run.py:722] (val) algo naive_string_matcher step 2750: {'match': 0.971435546875, 'score': 0.971435546875, 'examples_seen': 63250, 'step': 2750, 'algorithm': 'naive_string_matcher'}
I0716 00:32:07.369230 136599232906752 run.py:722] (val) algo naive_string_matcher step 2800: {'match': 0.985107421875, 'score': 0.985107421875, 'examples_seen': 64401, 'step': 2800, 'algorithm': 'naive_string_matcher'}
I0716 00:32:09.363782 136599232906752 run.py:722] (val) algo naive_string_matcher step 2850: {'match': 0.989990234375, 'score': 0.989990234375, 'examples_seen': 65562, 'step': 2850, 'algorithm': 'naive_string_matcher'}
I0716 00:32:11.395426 136599232906752 run.py:722] (val) algo naive_string_matcher step 2900: {'match': 0.9970703125, 'score': 0.9970703125, 'examples_seen': 66702, 'step': 2900, 'algorithm': 'naive_string_matcher'}
I0716 00:32:13.431575 136599232906752 run.py:722] (val) algo naive_string_matcher step 2950: {'match': 0.99267578125, 'score': 0.99267578125, 'examples_seen': 67815, 'step': 2950, 'algorithm': 'naive_string_matcher'}
I0716 00:32:15.429529 136599232906752 run.py:722] (val) algo naive_string_matcher step 3000: {'match': 0.9931640625, 'score': 0.9931640625, 'examples_seen': 68967, 'step': 3000, 'algorithm': 'naive_string_matcher'}
I0716 00:32:17.459853 136599232906752 run.py:722] (val) algo naive_string_matcher step 3050: {'match': 0.99462890625, 'score': 0.99462890625, 'examples_seen': 70122, 'step': 3050, 'algorithm': 'naive_string_matcher'}
I0716 00:32:19.439350 136599232906752 run.py:722] (val) algo naive_string_matcher step 3100: {'match': 0.99365234375, 'score': 0.99365234375, 'examples_seen': 71263, 'step': 3100, 'algorithm': 'naive_string_matcher'}
I0716 00:32:21.450285 136599232906752 run.py:722] (val) algo naive_string_matcher step 3150: {'match': 0.9853515625, 'score': 0.9853515625, 'examples_seen': 72401, 'step': 3150, 'algorithm': 'naive_string_matcher'}
I0716 00:32:23.450469 136599232906752 run.py:722] (val) algo naive_string_matcher step 3200: {'match': 0.995361328125, 'score': 0.995361328125, 'examples_seen': 73527, 'step': 3200, 'algorithm': 'naive_string_matcher'}
I0716 00:32:25.459601 136599232906752 run.py:722] (val) algo naive_string_matcher step 3250: {'match': 0.99658203125, 'score': 0.99658203125, 'examples_seen': 74695, 'step': 3250, 'algorithm': 'naive_string_matcher'}
I0716 00:32:27.474382 136599232906752 run.py:722] (val) algo naive_string_matcher step 3300: {'match': 0.966064453125, 'score': 0.966064453125, 'examples_seen': 75833, 'step': 3300, 'algorithm': 'naive_string_matcher'}
I0716 00:32:29.508936 136599232906752 run.py:722] (val) algo naive_string_matcher step 3350: {'match': 0.995849609375, 'score': 0.995849609375, 'examples_seen': 76992, 'step': 3350, 'algorithm': 'naive_string_matcher'}
I0716 00:32:31.552728 136599232906752 run.py:722] (val) algo naive_string_matcher step 3400: {'match': 0.99755859375, 'score': 0.99755859375, 'examples_seen': 78154, 'step': 3400, 'algorithm': 'naive_string_matcher'}
I0716 00:32:33.579594 136599232906752 run.py:722] (val) algo naive_string_matcher step 3450: {'match': 0.994873046875, 'score': 0.994873046875, 'examples_seen': 79315, 'step': 3450, 'algorithm': 'naive_string_matcher'}
I0716 00:32:35.579158 136599232906752 run.py:722] (val) algo naive_string_matcher step 3500: {'match': 0.994140625, 'score': 0.994140625, 'examples_seen': 80459, 'step': 3500, 'algorithm': 'naive_string_matcher'}
I0716 00:32:37.572499 136599232906752 run.py:722] (val) algo naive_string_matcher step 3550: {'match': 0.996826171875, 'score': 0.996826171875, 'examples_seen': 81619, 'step': 3550, 'algorithm': 'naive_string_matcher'}
I0716 00:32:39.583337 136599232906752 run.py:722] (val) algo naive_string_matcher step 3600: {'match': 0.989013671875, 'score': 0.989013671875, 'examples_seen': 82754, 'step': 3600, 'algorithm': 'naive_string_matcher'}
I0716 00:32:41.590966 136599232906752 run.py:722] (val) algo naive_string_matcher step 3650: {'match': 0.998291015625, 'score': 0.998291015625, 'examples_seen': 83899, 'step': 3650, 'algorithm': 'naive_string_matcher'}
I0716 00:32:43.623551 136599232906752 run.py:722] (val) algo naive_string_matcher step 3700: {'match': 0.999267578125, 'score': 0.999267578125, 'examples_seen': 85049, 'step': 3700, 'algorithm': 'naive_string_matcher'}
I0716 00:32:45.661065 136599232906752 run.py:722] (val) algo naive_string_matcher step 3750: {'match': 0.989990234375, 'score': 0.989990234375, 'examples_seen': 86196, 'step': 3750, 'algorithm': 'naive_string_matcher'}
I0716 00:32:47.636640 136599232906752 run.py:722] (val) algo naive_string_matcher step 3800: {'match': 0.997802734375, 'score': 0.997802734375, 'examples_seen': 87334, 'step': 3800, 'algorithm': 'naive_string_matcher'}
I0716 00:32:49.689174 136599232906752 run.py:722] (val) algo naive_string_matcher step 3850: {'match': 0.985595703125, 'score': 0.985595703125, 'examples_seen': 88507, 'step': 3850, 'algorithm': 'naive_string_matcher'}
I0716 00:32:51.684114 136599232906752 run.py:722] (val) algo naive_string_matcher step 3900: {'match': 0.998046875, 'score': 0.998046875, 'examples_seen': 89664, 'step': 3900, 'algorithm': 'naive_string_matcher'}
I0716 00:32:53.667647 136599232906752 run.py:722] (val) algo naive_string_matcher step 3950: {'match': 0.994140625, 'score': 0.994140625, 'examples_seen': 90812, 'step': 3950, 'algorithm': 'naive_string_matcher'}
I0716 00:32:55.663686 136599232906752 run.py:722] (val) algo naive_string_matcher step 4000: {'match': 0.999267578125, 'score': 0.999267578125, 'examples_seen': 91975, 'step': 4000, 'algorithm': 'naive_string_matcher'}
I0716 00:32:57.676759 136599232906752 run.py:722] (val) algo naive_string_matcher step 4050: {'match': 0.99951171875, 'score': 0.99951171875, 'examples_seen': 93135, 'step': 4050, 'algorithm': 'naive_string_matcher'}
