I0715 21:29:36.500714 139361375352320 run.py:722] (val) algo bridges step 1550: {'is_bridge': 0.8015151515151515, 'score': 0.8015151515151515, 'examples_seen': 24579, 'step': 1550, 'algorithm': 'bridges'}
I0715 21:29:38.076074 139361375352320 run.py:722] (val) algo bridges step 1600: {'is_bridge': 0.7537212449255751, 'score': 0.7537212449255751, 'examples_seen': 25373, 'step': 1600, 'algorithm': 'bridges'}
I0715 21:29:39.696629 139361375352320 run.py:722] (val) algo bridges step 1650: {'is_bridge': 0.8050974512743628, 'score': 0.8050974512743628, 'examples_seen': 26148, 'step': 1650, 'algorithm': 'bridges'}
I0715 21:29:41.275934 139361375352320 run.py:722] (val) algo bridges step 1700: {'is_bridge': 0.6251129177958445, 'score': 0.6251129177958445, 'examples_seen': 26979, 'step': 1700, 'algorithm': 'bridges'}
I0715 21:29:42.841470 139361375352320 run.py:722] (val) algo bridges step 1750: {'is_bridge': 0.8035714285714286, 'score': 0.8035714285714286, 'examples_seen': 27790, 'step': 1750, 'algorithm': 'bridges'}
I0715 21:29:44.423043 139361375352320 run.py:722] (val) algo bridges step 1800: {'is_bridge': 0.5432372505543237, 'score': 0.5432372505543237, 'examples_seen': 28578, 'step': 1800, 'algorithm': 'bridges'}
I0715 21:29:45.956220 139361375352320 run.py:722] (val) algo bridges step 1850: {'is_bridge': 0.7769028871391077, 'score': 0.7769028871391077, 'examples_seen': 29362, 'step': 1850, 'algorithm': 'bridges'}
I0715 21:29:47.558647 139361375352320 run.py:722] (val) algo bridges step 1900: {'is_bridge': 0.7523727351164796, 'score': 0.7523727351164796, 'examples_seen': 30144, 'step': 1900, 'algorithm': 'bridges'}
I0715 21:29:49.172811 139361375352320 run.py:722] (val) algo bridges step 1950: {'is_bridge': 0.7433302667893285, 'score': 0.7433302667893285, 'examples_seen': 30937, 'step': 1950, 'algorithm': 'bridges'}
I0715 21:29:50.742167 139361375352320 run.py:722] (val) algo bridges step 2000: {'is_bridge': 0.6417391304347826, 'score': 0.6417391304347826, 'examples_seen': 31704, 'step': 2000, 'algorithm': 'bridges'}
I0715 21:29:52.329023 139361375352320 run.py:722] (val) algo bridges step 2050: {'is_bridge': 0.7460168697282101, 'score': 0.7460168697282101, 'examples_seen': 32518, 'step': 2050, 'algorithm': 'bridges'}
I0715 21:29:53.936297 139361375352320 run.py:722] (val) algo bridges step 2100: {'is_bridge': 0.7213420316868593, 'score': 0.7213420316868593, 'examples_seen': 33326, 'step': 2100, 'algorithm': 'bridges'}
I0715 21:29:55.591214 139361375352320 run.py:722] (val) algo bridges step 2150: {'is_bridge': 0.7102473498233216, 'score': 0.7102473498233216, 'examples_seen': 34120, 'step': 2150, 'algorithm': 'bridges'}
I0715 21:29:57.181919 139361375352320 run.py:722] (val) algo bridges step 2200: {'is_bridge': 0.5208131655372701, 'score': 0.5208131655372701, 'examples_seen': 34907, 'step': 2200, 'algorithm': 'bridges'}
I0715 21:29:58.683323 139361375352320 run.py:722] (val) algo bridges step 2250: {'is_bridge': 0.7623485554520038, 'score': 0.7623485554520038, 'examples_seen': 35693, 'step': 2250, 'algorithm': 'bridges'}
I0715 21:30:00.282952 139361375352320 run.py:722] (val) algo bridges step 2300: {'is_bridge': 0.7344, 'score': 0.7344, 'examples_seen': 36463, 'step': 2300, 'algorithm': 'bridges'}
I0715 21:30:01.895465 139361375352320 run.py:722] (val) algo bridges step 2350: {'is_bridge': 0.8118143459915611, 'score': 0.8118143459915611, 'examples_seen': 37253, 'step': 2350, 'algorithm': 'bridges'}
I0715 21:30:03.517084 139361375352320 run.py:722] (val) algo bridges step 2400: {'is_bridge': 0.7697314890154597, 'score': 0.7697314890154597, 'examples_seen': 38065, 'step': 2400, 'algorithm': 'bridges'}
I0715 21:30:05.116672 139361375352320 run.py:722] (val) algo bridges step 2450: {'is_bridge': 0.7479541734860885, 'score': 0.7479541734860885, 'examples_seen': 38870, 'step': 2450, 'algorithm': 'bridges'}
I0715 21:30:06.641838 139361375352320 run.py:722] (val) algo bridges step 2500: {'is_bridge': 0.7083333333333333, 'score': 0.7083333333333333, 'examples_seen': 39671, 'step': 2500, 'algorithm': 'bridges'}
I0715 21:30:08.259146 139361375352320 run.py:722] (val) algo bridges step 2550: {'is_bridge': 0.6890459363957597, 'score': 0.6890459363957597, 'examples_seen': 40461, 'step': 2550, 'algorithm': 'bridges'}
I0715 21:30:09.815347 139361375352320 run.py:722] (val) algo bridges step 2600: {'is_bridge': 0.7266881028938907, 'score': 0.7266881028938907, 'examples_seen': 41238, 'step': 2600, 'algorithm': 'bridges'}
I0715 21:30:11.486631 139361375352320 run.py:722] (val) algo bridges step 2650: {'is_bridge': 0.778830963665087, 'score': 0.778830963665087, 'examples_seen': 42028, 'step': 2650, 'algorithm': 'bridges'}
I0715 21:30:13.123559 139361375352320 run.py:722] (val) algo bridges step 2700: {'is_bridge': 0.7991573033707865, 'score': 0.7991573033707865, 'examples_seen': 42801, 'step': 2700, 'algorithm': 'bridges'}
I0715 21:30:14.811546 139361375352320 run.py:722] (val) algo bridges step 2750: {'is_bridge': 0.7392290249433107, 'score': 0.7392290249433107, 'examples_seen': 43618, 'step': 2750, 'algorithm': 'bridges'}
I0715 21:30:16.358384 139361375352320 run.py:722] (val) algo bridges step 2800: {'is_bridge': 0.7369323050556983, 'score': 0.7369323050556983, 'examples_seen': 44419, 'step': 2800, 'algorithm': 'bridges'}
I0715 21:30:17.983676 139361375352320 run.py:722] (val) algo bridges step 2850: {'is_bridge': 0.7967718268525312, 'score': 0.7967718268525312, 'examples_seen': 45215, 'step': 2850, 'algorithm': 'bridges'}
I0715 21:30:19.498212 139361375352320 run.py:722] (val) algo bridges step 2900: {'is_bridge': 0.7771739130434782, 'score': 0.7771739130434782, 'examples_seen': 46006, 'step': 2900, 'algorithm': 'bridges'}
I0715 21:30:21.118998 139361375352320 run.py:722] (val) algo bridges step 2950: {'is_bridge': 0.7812971342383106, 'score': 0.7812971342383106, 'examples_seen': 46798, 'step': 2950, 'algorithm': 'bridges'}
I0715 21:30:22.701045 139361375352320 run.py:722] (val) algo bridges step 3000: {'is_bridge': 0.8324175824175823, 'score': 0.8324175824175823, 'examples_seen': 47573, 'step': 3000, 'algorithm': 'bridges'}
I0715 21:30:24.290368 139361375352320 run.py:722] (val) algo bridges step 3050: {'is_bridge': 0.7912813738441216, 'score': 0.7912813738441216, 'examples_seen': 48348, 'step': 3050, 'algorithm': 'bridges'}
I0715 21:30:25.860598 139361375352320 run.py:722] (val) algo bridges step 3100: {'is_bridge': 0.7863866763215062, 'score': 0.7863866763215062, 'examples_seen': 49166, 'step': 3100, 'algorithm': 'bridges'}
I0715 21:30:27.418973 139361375352320 run.py:722] (val) algo bridges step 3150: {'is_bridge': 0.750814332247557, 'score': 0.750814332247557, 'examples_seen': 49966, 'step': 3150, 'algorithm': 'bridges'}
I0715 21:30:28.997517 139361375352320 run.py:722] (val) algo bridges step 3200: {'is_bridge': 0.7689625108979948, 'score': 0.7689625108979948, 'examples_seen': 50766, 'step': 3200, 'algorithm': 'bridges'}
I0715 21:30:30.543415 139361375352320 run.py:722] (val) algo bridges step 3250: {'is_bridge': 0.7453769559032717, 'score': 0.7453769559032717, 'examples_seen': 51550, 'step': 3250, 'algorithm': 'bridges'}
I0715 21:30:32.110152 139361375352320 run.py:722] (val) algo bridges step 3300: {'is_bridge': 0.763915547024952, 'score': 0.763915547024952, 'examples_seen': 52341, 'step': 3300, 'algorithm': 'bridges'}
I0715 21:30:33.731342 139361375352320 run.py:722] (val) algo bridges step 3350: {'is_bridge': 0.6666666666666667, 'score': 0.6666666666666667, 'examples_seen': 53125, 'step': 3350, 'algorithm': 'bridges'}
I0715 21:30:35.319714 139361375352320 run.py:722] (val) algo bridges step 3400: {'is_bridge': 0.8156996587030717, 'score': 0.8156996587030717, 'examples_seen': 53899, 'step': 3400, 'algorithm': 'bridges'}
I0715 21:30:36.951064 139361375352320 run.py:722] (val) algo bridges step 3450: {'is_bridge': 0.7859281437125749, 'score': 0.7859281437125749, 'examples_seen': 54732, 'step': 3450, 'algorithm': 'bridges'}
I0715 21:30:38.506572 139361375352320 run.py:722] (val) algo bridges step 3500: {'is_bridge': 0.7597911227154047, 'score': 0.7597911227154047, 'examples_seen': 55530, 'step': 3500, 'algorithm': 'bridges'}
I0715 21:30:40.038051 139361375352320 run.py:722] (val) algo bridges step 3550: {'is_bridge': 0.775811209439528, 'score': 0.775811209439528, 'examples_seen': 56331, 'step': 3550, 'algorithm': 'bridges'}
I0715 21:30:41.568649 139361375352320 run.py:722] (val) algo bridges step 3600: {'is_bridge': 0.7062404870624048, 'score': 0.7062404870624048, 'examples_seen': 57113, 'step': 3600, 'algorithm': 'bridges'}
I0715 21:30:43.167858 139361375352320 run.py:722] (val) algo bridges step 3650: {'is_bridge': 0.7072463768115942, 'score': 0.7072463768115942, 'examples_seen': 57901, 'step': 3650, 'algorithm': 'bridges'}
I0715 21:30:44.729603 139361375352320 run.py:722] (val) algo bridges step 3700: {'is_bridge': 0.6892086330935252, 'score': 0.6892086330935252, 'examples_seen': 58688, 'step': 3700, 'algorithm': 'bridges'}
I0715 21:30:46.386687 139361375352320 run.py:722] (val) algo bridges step 3750: {'is_bridge': 0.789247311827957, 'score': 0.789247311827957, 'examples_seen': 59466, 'step': 3750, 'algorithm': 'bridges'}
I0715 21:30:47.974872 139361375352320 run.py:722] (val) algo bridges step 3800: {'is_bridge': 0.7822222222222223, 'score': 0.7822222222222223, 'examples_seen': 60287, 'step': 3800, 'algorithm': 'bridges'}
I0715 21:30:49.546933 139361375352320 run.py:722] (val) algo bridges step 3850: {'is_bridge': 0.7145907473309608, 'score': 0.7145907473309608, 'examples_seen': 61091, 'step': 3850, 'algorithm': 'bridges'}
I0715 21:30:51.118845 139361375352320 run.py:722] (val) algo bridges step 3900: {'is_bridge': 0.7922480620155039, 'score': 0.7922480620155039, 'examples_seen': 61882, 'step': 3900, 'algorithm': 'bridges'}
I0715 21:30:52.620260 139361375352320 run.py:722] (val) algo bridges step 3950: {'is_bridge': 0.7128580946035976, 'score': 0.7128580946035976, 'examples_seen': 62670, 'step': 3950, 'algorithm': 'bridges'}
I0715 21:30:54.199154 139361375352320 run.py:722] (val) algo bridges step 4000: {'is_bridge': 0.7312775330396476, 'score': 0.7312775330396476, 'examples_seen': 63455, 'step': 4000, 'algorithm': 'bridges'}
I0715 21:30:55.727179 139361375352320 run.py:722] (val) algo bridges step 4050: {'is_bridge': 0.7623626373626373, 'score': 0.7623626373626373, 'examples_seen': 64233, 'step': 4050, 'algorithm': 'bridges'}
I0715 21:30:57.381050 139361375352320 run.py:722] (val) algo bridges step 4100: {'is_bridge': 0.6928618205631958, 'score': 0.6928618205631958, 'examples_seen': 65016, 'step': 4100, 'algorithm': 'bridges'}
I0715 21:30:58.922148 139361375352320 run.py:722] (val) algo bridges step 4150: {'is_bridge': 0.7028531663187195, 'score': 0.7028531663187195, 'examples_seen': 65832, 'step': 4150, 'algorithm': 'bridges'}
I0715 21:31:00.408733 139361375352320 run.py:722] (val) algo bridges step 4200: {'is_bridge': 0.789261744966443, 'score': 0.789261744966443, 'examples_seen': 66636, 'step': 4200, 'algorithm': 'bridges'}
I0715 21:31:01.962558 139361375352320 run.py:722] (val) algo bridges step 4250: {'is_bridge': 0.7498341074983411, 'score': 0.7498341074983411, 'examples_seen': 67428, 'step': 4250, 'algorithm': 'bridges'}
I0715 21:31:03.465180 139361375352320 run.py:722] (val) algo bridges step 4300: {'is_bridge': 0.7258225324027917, 'score': 0.7258225324027917, 'examples_seen': 68211, 'step': 4300, 'algorithm': 'bridges'}
I0715 21:31:05.059320 139361375352320 run.py:722] (val) algo bridges step 4350: {'is_bridge': 0.66484268125855, 'score': 0.66484268125855, 'examples_seen': 68994, 'step': 4350, 'algorithm': 'bridges'}
I0715 21:31:06.665466 139361375352320 run.py:722] (val) algo bridges step 4400: {'is_bridge': 0.7894389438943895, 'score': 0.7894389438943895, 'examples_seen': 69775, 'step': 4400, 'algorithm': 'bridges'}
I0715 21:31:08.250191 139361375352320 run.py:722] (val) algo bridges step 4450: {'is_bridge': 0.7541456380677722, 'score': 0.7541456380677722, 'examples_seen': 70558, 'step': 4450, 'algorithm': 'bridges'}
I0715 21:31:09.839384 139361375352320 run.py:722] (val) algo bridges step 4500: {'is_bridge': 0.7237949502677888, 'score': 0.7237949502677888, 'examples_seen': 71376, 'step': 4500, 'algorithm': 'bridges'}
I0715 21:31:11.471126 139361375352320 run.py:722] (val) algo bridges step 4550: {'is_bridge': 0.7382920110192837, 'score': 0.7382920110192837, 'examples_seen': 72190, 'step': 4550, 'algorithm': 'bridges'}
I0715 21:31:13.060695 139361375352320 run.py:722] (val) algo bridges step 4600: {'is_bridge': 0.7818471337579618, 'score': 0.7818471337579618, 'examples_seen': 72975, 'step': 4600, 'algorithm': 'bridges'}
