I0716 00:58:16.548299 134993160320512 run.py:722] (val) algo quickselect step 1600: {'median': 0.193359375, 'score': 0.193359375, 'examples_seen': 51716, 'step': 1600, 'algorithm': 'quickselect'}
I0716 00:58:25.409722 134993160320512 run.py:722] (val) algo quickselect step 1650: {'median': 0.130126953125, 'score': 0.130126953125, 'examples_seen': 53287, 'step': 1650, 'algorithm': 'quickselect'}
I0716 00:58:34.311389 134993160320512 run.py:722] (val) algo quickselect step 1700: {'median': 0.1611328125, 'score': 0.1611328125, 'examples_seen': 54980, 'step': 1700, 'algorithm': 'quickselect'}
I0716 00:58:43.183637 134993160320512 run.py:722] (val) algo quickselect step 1750: {'median': 0.093505859375, 'score': 0.093505859375, 'examples_seen': 56623, 'step': 1750, 'algorithm': 'quickselect'}
I0716 00:58:51.984701 134993160320512 run.py:722] (val) algo quickselect step 1800: {'median': 0.1083984375, 'score': 0.1083984375, 'examples_seen': 58234, 'step': 1800, 'algorithm': 'quickselect'}
I0716 00:59:00.833056 134993160320512 run.py:722] (val) algo quickselect step 1850: {'median': 0.13037109375, 'score': 0.13037109375, 'examples_seen': 59815, 'step': 1850, 'algorithm': 'quickselect'}
I0716 00:59:09.693431 134993160320512 run.py:722] (val) algo quickselect step 1900: {'median': 0.159912109375, 'score': 0.159912109375, 'examples_seen': 61409, 'step': 1900, 'algorithm': 'quickselect'}
I0716 00:59:18.584602 134993160320512 run.py:722] (val) algo quickselect step 1950: {'median': 0.16455078125, 'score': 0.16455078125, 'examples_seen': 62998, 'step': 1950, 'algorithm': 'quickselect'}
I0716 00:59:27.497081 134993160320512 run.py:722] (val) algo quickselect step 2000: {'median': 0.157958984375, 'score': 0.157958984375, 'examples_seen': 64577, 'step': 2000, 'algorithm': 'quickselect'}
I0716 00:59:36.448432 134993160320512 run.py:722] (val) algo quickselect step 2050: {'median': 0.248779296875, 'score': 0.248779296875, 'examples_seen': 66280, 'step': 2050, 'algorithm': 'quickselect'}
I0716 00:59:45.332025 134993160320512 run.py:722] (val) algo quickselect step 2100: {'median': 0.190185546875, 'score': 0.190185546875, 'examples_seen': 67907, 'step': 2100, 'algorithm': 'quickselect'}
I0716 00:59:54.278044 134993160320512 run.py:722] (val) algo quickselect step 2150: {'median': 0.170166015625, 'score': 0.170166015625, 'examples_seen': 69528, 'step': 2150, 'algorithm': 'quickselect'}
I0716 01:00:03.106393 134993160320512 run.py:722] (val) algo quickselect step 2200: {'median': 0.1328125, 'score': 0.1328125, 'examples_seen': 71127, 'step': 2200, 'algorithm': 'quickselect'}
I0716 01:00:12.025017 134993160320512 run.py:722] (val) algo quickselect step 2250: {'median': 0.1357421875, 'score': 0.1357421875, 'examples_seen': 72720, 'step': 2250, 'algorithm': 'quickselect'}
I0716 01:00:20.891122 134993160320512 run.py:722] (val) algo quickselect step 2300: {'median': 0.1669921875, 'score': 0.1669921875, 'examples_seen': 74319, 'step': 2300, 'algorithm': 'quickselect'}
I0716 01:00:29.805085 134993160320512 run.py:722] (val) algo quickselect step 2350: {'median': 0.280029296875, 'score': 0.280029296875, 'examples_seen': 75922, 'step': 2350, 'algorithm': 'quickselect'}
I0716 01:00:38.759152 134993160320512 run.py:722] (val) algo quickselect step 2400: {'median': 0.119384765625, 'score': 0.119384765625, 'examples_seen': 77601, 'step': 2400, 'algorithm': 'quickselect'}
I0716 01:00:47.635085 134993160320512 run.py:722] (val) algo quickselect step 2450: {'median': 0.223388671875, 'score': 0.223388671875, 'examples_seen': 79240, 'step': 2450, 'algorithm': 'quickselect'}
I0716 01:00:56.472239 134993160320512 run.py:722] (val) algo quickselect step 2500: {'median': 0.25390625, 'score': 0.25390625, 'examples_seen': 80842, 'step': 2500, 'algorithm': 'quickselect'}
I0716 01:01:05.341380 134993160320512 run.py:722] (val) algo quickselect step 2550: {'median': 0.17236328125, 'score': 0.17236328125, 'examples_seen': 82446, 'step': 2550, 'algorithm': 'quickselect'}
I0716 01:01:14.153591 134993160320512 run.py:722] (val) algo quickselect step 2600: {'median': 0.227294921875, 'score': 0.227294921875, 'examples_seen': 84033, 'step': 2600, 'algorithm': 'quickselect'}
I0716 01:01:23.036884 134993160320512 run.py:722] (val) algo quickselect step 2650: {'median': 0.216552734375, 'score': 0.216552734375, 'examples_seen': 85629, 'step': 2650, 'algorithm': 'quickselect'}
I0716 01:01:31.963386 134993160320512 run.py:722] (val) algo quickselect step 2700: {'median': 0.21337890625, 'score': 0.21337890625, 'examples_seen': 87219, 'step': 2700, 'algorithm': 'quickselect'}
I0716 01:01:40.853335 134993160320512 run.py:722] (val) algo quickselect step 2750: {'median': 0.228271484375, 'score': 0.228271484375, 'examples_seen': 88901, 'step': 2750, 'algorithm': 'quickselect'}
I0716 01:01:49.725173 134993160320512 run.py:722] (val) algo quickselect step 2800: {'median': 0.25634765625, 'score': 0.25634765625, 'examples_seen': 90553, 'step': 2800, 'algorithm': 'quickselect'}
I0716 01:01:58.598502 134993160320512 run.py:722] (val) algo quickselect step 2850: {'median': 0.2529296875, 'score': 0.2529296875, 'examples_seen': 92169, 'step': 2850, 'algorithm': 'quickselect'}
I0716 01:02:07.430814 134993160320512 run.py:722] (val) algo quickselect step 2900: {'median': 0.29150390625, 'score': 0.29150390625, 'examples_seen': 93760, 'step': 2900, 'algorithm': 'quickselect'}
I0716 01:02:16.321858 134993160320512 run.py:722] (val) algo quickselect step 2950: {'median': 0.260009765625, 'score': 0.260009765625, 'examples_seen': 95361, 'step': 2950, 'algorithm': 'quickselect'}
I0716 01:02:25.168228 134993160320512 run.py:722] (val) algo quickselect step 3000: {'median': 0.230712890625, 'score': 0.230712890625, 'examples_seen': 96964, 'step': 3000, 'algorithm': 'quickselect'}
I0716 01:02:34.040675 134993160320512 run.py:722] (val) algo quickselect step 3050: {'median': 0.16357421875, 'score': 0.16357421875, 'examples_seen': 98545, 'step': 3050, 'algorithm': 'quickselect'}
I0716 01:02:42.945445 134993160320512 run.py:722] (val) algo quickselect step 3100: {'median': 0.126708984375, 'score': 0.126708984375, 'examples_seen': 100240, 'step': 3100, 'algorithm': 'quickselect'}
I0716 01:02:51.826156 134993160320512 run.py:722] (val) algo quickselect step 3150: {'median': 0.218017578125, 'score': 0.218017578125, 'examples_seen': 101873, 'step': 3150, 'algorithm': 'quickselect'}
I0716 01:03:00.700241 134993160320512 run.py:722] (val) algo quickselect step 3200: {'median': 0.18310546875, 'score': 0.18310546875, 'examples_seen': 103477, 'step': 3200, 'algorithm': 'quickselect'}
I0716 01:03:09.576145 134993160320512 run.py:722] (val) algo quickselect step 3250: {'median': 0.22607421875, 'score': 0.22607421875, 'examples_seen': 105081, 'step': 3250, 'algorithm': 'quickselect'}
I0716 01:03:18.435297 134993160320512 run.py:722] (val) algo quickselect step 3300: {'median': 0.162353515625, 'score': 0.162353515625, 'examples_seen': 106693, 'step': 3300, 'algorithm': 'quickselect'}
I0716 01:03:27.317833 134993160320512 run.py:722] (val) algo quickselect step 3350: {'median': 0.314453125, 'score': 0.314453125, 'examples_seen': 108284, 'step': 3350, 'algorithm': 'quickselect'}
I0716 01:03:36.181021 134993160320512 run.py:722] (val) algo quickselect step 3400: {'median': 0.22802734375, 'score': 0.22802734375, 'examples_seen': 109876, 'step': 3400, 'algorithm': 'quickselect'}
I0716 01:03:45.035935 134993160320512 run.py:722] (val) algo quickselect step 3450: {'median': 0.127197265625, 'score': 0.127197265625, 'examples_seen': 111568, 'step': 3450, 'algorithm': 'quickselect'}
I0716 01:03:53.904357 134993160320512 run.py:722] (val) algo quickselect step 3500: {'median': 0.201171875, 'score': 0.201171875, 'examples_seen': 113210, 'step': 3500, 'algorithm': 'quickselect'}
I0716 01:04:02.817763 134993160320512 run.py:722] (val) algo quickselect step 3550: {'median': 0.1884765625, 'score': 0.1884765625, 'examples_seen': 114837, 'step': 3550, 'algorithm': 'quickselect'}
I0716 01:04:11.670776 134993160320512 run.py:722] (val) algo quickselect step 3600: {'median': 0.156494140625, 'score': 0.156494140625, 'examples_seen': 116452, 'step': 3600, 'algorithm': 'quickselect'}
I0716 01:04:20.551960 134993160320512 run.py:722] (val) algo quickselect step 3650: {'median': 0.138916015625, 'score': 0.138916015625, 'examples_seen': 118059, 'step': 3650, 'algorithm': 'quickselect'}
I0716 01:04:29.386070 134993160320512 run.py:722] (val) algo quickselect step 3700: {'median': 0.23876953125, 'score': 0.23876953125, 'examples_seen': 119646, 'step': 3700, 'algorithm': 'quickselect'}
I0716 01:04:38.328664 134993160320512 run.py:722] (val) algo quickselect step 3750: {'median': 0.26025390625, 'score': 0.26025390625, 'examples_seen': 121242, 'step': 3750, 'algorithm': 'quickselect'}
I0716 01:04:47.285768 134993160320512 run.py:722] (val) algo quickselect step 3800: {'median': 0.265625, 'score': 0.265625, 'examples_seen': 122929, 'step': 3800, 'algorithm': 'quickselect'}
I0716 01:04:56.173431 134993160320512 run.py:722] (val) algo quickselect step 3850: {'median': 0.220458984375, 'score': 0.220458984375, 'examples_seen': 124559, 'step': 3850, 'algorithm': 'quickselect'}
I0716 01:05:05.027970 134993160320512 run.py:722] (val) algo quickselect step 3900: {'median': 0.079833984375, 'score': 0.079833984375, 'examples_seen': 126160, 'step': 3900, 'algorithm': 'quickselect'}
I0716 01:05:13.916425 134993160320512 run.py:722] (val) algo quickselect step 3950: {'median': 0.20263671875, 'score': 0.20263671875, 'examples_seen': 127760, 'step': 3950, 'algorithm': 'quickselect'}
I0716 01:05:22.791803 134993160320512 run.py:722] (val) algo quickselect step 4000: {'median': 0.26025390625, 'score': 0.26025390625, 'examples_seen': 129362, 'step': 4000, 'algorithm': 'quickselect'}
I0716 01:05:31.625994 134993160320512 run.py:722] (val) algo quickselect step 4050: {'median': 0.30419921875, 'score': 0.30419921875, 'examples_seen': 130946, 'step': 4050, 'algorithm': 'quickselect'}
I0716 01:05:40.486201 134993160320512 run.py:722] (val) algo quickselect step 4100: {'median': 0.168212890625, 'score': 0.168212890625, 'examples_seen': 132502, 'step': 4100, 'algorithm': 'quickselect'}
I0716 01:05:49.397590 134993160320512 run.py:722] (val) algo quickselect step 4150: {'median': 0.1826171875, 'score': 0.1826171875, 'examples_seen': 134189, 'step': 4150, 'algorithm': 'quickselect'}
I0716 01:05:58.292313 134993160320512 run.py:722] (val) algo quickselect step 4200: {'median': 0.326416015625, 'score': 0.326416015625, 'examples_seen': 135817, 'step': 4200, 'algorithm': 'quickselect'}
I0716 01:06:07.205638 134993160320512 run.py:722] (val) algo quickselect step 4250: {'median': 0.201171875, 'score': 0.201171875, 'examples_seen': 137434, 'step': 4250, 'algorithm': 'quickselect'}
I0716 01:06:16.066602 134993160320512 run.py:722] (val) algo quickselect step 4300: {'median': 0.142578125, 'score': 0.142578125, 'examples_seen': 139044, 'step': 4300, 'algorithm': 'quickselect'}
I0716 01:06:24.882838 134993160320512 run.py:722] (val) algo quickselect step 4350: {'median': 0.1494140625, 'score': 0.1494140625, 'examples_seen': 140610, 'step': 4350, 'algorithm': 'quickselect'}
I0716 01:06:33.791172 134993160320512 run.py:722] (val) algo quickselect step 4400: {'median': 0.25390625, 'score': 0.25390625, 'examples_seen': 142193, 'step': 4400, 'algorithm': 'quickselect'}
I0716 01:06:42.648994 134993160320512 run.py:722] (val) algo quickselect step 4450: {'median': 0.168212890625, 'score': 0.168212890625, 'examples_seen': 143774, 'step': 4450, 'algorithm': 'quickselect'}
I0716 01:06:51.540024 134993160320512 run.py:722] (val) algo quickselect step 4500: {'median': 0.251953125, 'score': 0.251953125, 'examples_seen': 145472, 'step': 4500, 'algorithm': 'quickselect'}
I0716 01:07:00.466736 134993160320512 run.py:722] (val) algo quickselect step 4550: {'median': 0.298095703125, 'score': 0.298095703125, 'examples_seen': 147128, 'step': 4550, 'algorithm': 'quickselect'}
I0716 01:07:09.366478 134993160320512 run.py:722] (val) algo quickselect step 4600: {'median': 0.123046875, 'score': 0.123046875, 'examples_seen': 148731, 'step': 4600, 'algorithm': 'quickselect'}
I0716 01:07:18.273855 134993160320512 run.py:722] (val) algo quickselect step 4650: {'median': 0.23193359375, 'score': 0.23193359375, 'examples_seen': 150349, 'step': 4650, 'algorithm': 'quickselect'}
I0716 01:07:27.186981 134993160320512 run.py:722] (val) algo quickselect step 4700: {'median': 0.187255859375, 'score': 0.187255859375, 'examples_seen': 151923, 'step': 4700, 'algorithm': 'quickselect'}
I0716 01:07:36.059564 134993160320512 run.py:722] (val) algo quickselect step 4750: {'median': 0.11083984375, 'score': 0.11083984375, 'examples_seen': 153491, 'step': 4750, 'algorithm': 'quickselect'}
I0716 01:07:44.996681 134993160320512 run.py:722] (val) algo quickselect step 4800: {'median': 0.27099609375, 'score': 0.27099609375, 'examples_seen': 155084, 'step': 4800, 'algorithm': 'quickselect'}
