I0715 22:31:23.067595 134048692930048 run.py:722] (val) algo graham_scan step 1500: {'in_hull': 0.948, 'score': 0.948, 'examples_seen': 44660, 'step': 1500, 'algorithm': 'graham_scan'}
I0715 22:31:24.284022 134048692930048 run.py:722] (val) algo graham_scan step 1550: {'in_hull': 0.9480122324159022, 'score': 0.9480122324159022, 'examples_seen': 46133, 'step': 1550, 'algorithm': 'graham_scan'}
I0715 22:31:25.477533 134048692930048 run.py:722] (val) algo graham_scan step 1600: {'in_hull': 0.9645232815964524, 'score': 0.9645232815964524, 'examples_seen': 47603, 'step': 1600, 'algorithm': 'graham_scan'}
I0715 22:31:26.727199 134048692930048 run.py:722] (val) algo graham_scan step 1650: {'in_hull': 0.9373601789709173, 'score': 0.9373601789709173, 'examples_seen': 49068, 'step': 1650, 'algorithm': 'graham_scan'}
I0715 22:31:27.952342 134048692930048 run.py:722] (val) algo graham_scan step 1700: {'in_hull': 0.9383983572895277, 'score': 0.9383983572895277, 'examples_seen': 50579, 'step': 1700, 'algorithm': 'graham_scan'}
I0715 22:31:29.154398 134048692930048 run.py:722] (val) algo graham_scan step 1750: {'in_hull': 0.9541088580576308, 'score': 0.9541088580576308, 'examples_seen': 52102, 'step': 1750, 'algorithm': 'graham_scan'}
I0715 22:31:30.364560 134048692930048 run.py:722] (val) algo graham_scan step 1800: {'in_hull': 0.9404255319148936, 'score': 0.9404255319148936, 'examples_seen': 53576, 'step': 1800, 'algorithm': 'graham_scan'}
I0715 22:31:31.566799 134048692930048 run.py:722] (val) algo graham_scan step 1850: {'in_hull': 0.9678756476683938, 'score': 0.9678756476683938, 'examples_seen': 55070, 'step': 1850, 'algorithm': 'graham_scan'}
I0715 22:31:32.807977 134048692930048 run.py:722] (val) algo graham_scan step 1900: {'in_hull': 0.9584664536741213, 'score': 0.9584664536741213, 'examples_seen': 56541, 'step': 1900, 'algorithm': 'graham_scan'}
I0715 22:31:34.019057 134048692930048 run.py:722] (val) algo graham_scan step 1950: {'in_hull': 0.9446122860020141, 'score': 0.9446122860020141, 'examples_seen': 58020, 'step': 1950, 'algorithm': 'graham_scan'}
I0715 22:31:35.257760 134048692930048 run.py:722] (val) algo graham_scan step 2000: {'in_hull': 0.9576008273009308, 'score': 0.9576008273009308, 'examples_seen': 59479, 'step': 2000, 'algorithm': 'graham_scan'}
I0715 22:31:36.499423 134048692930048 run.py:722] (val) algo graham_scan step 2050: {'in_hull': 0.9450777202072539, 'score': 0.9450777202072539, 'examples_seen': 60998, 'step': 2050, 'algorithm': 'graham_scan'}
I0715 22:31:37.744122 134048692930048 run.py:722] (val) algo graham_scan step 2100: {'in_hull': 0.9471458773784356, 'score': 0.9471458773784356, 'examples_seen': 62513, 'step': 2100, 'algorithm': 'graham_scan'}
I0715 22:31:38.946208 134048692930048 run.py:722] (val) algo graham_scan step 2150: {'in_hull': 0.9426485922836289, 'score': 0.9426485922836289, 'examples_seen': 63994, 'step': 2150, 'algorithm': 'graham_scan'}
I0715 22:31:40.162989 134048692930048 run.py:722] (val) algo graham_scan step 2200: {'in_hull': 0.9353233830845772, 'score': 0.9353233830845772, 'examples_seen': 65487, 'step': 2200, 'algorithm': 'graham_scan'}
I0715 22:31:41.374269 134048692930048 run.py:722] (val) algo graham_scan step 2250: {'in_hull': 0.9594594594594595, 'score': 0.9594594594594595, 'examples_seen': 66954, 'step': 2250, 'algorithm': 'graham_scan'}
I0715 22:31:42.574200 134048692930048 run.py:722] (val) algo graham_scan step 2300: {'in_hull': 0.9558498896247241, 'score': 0.9558498896247241, 'examples_seen': 68427, 'step': 2300, 'algorithm': 'graham_scan'}
I0715 22:31:43.812121 134048692930048 run.py:722] (val) algo graham_scan step 2350: {'in_hull': 0.949044585987261, 'score': 0.949044585987261, 'examples_seen': 69890, 'step': 2350, 'algorithm': 'graham_scan'}
I0715 22:31:45.034489 134048692930048 run.py:722] (val) algo graham_scan step 2400: {'in_hull': 0.953464322647363, 'score': 0.953464322647363, 'examples_seen': 71400, 'step': 2400, 'algorithm': 'graham_scan'}
I0715 22:31:46.269054 134048692930048 run.py:722] (val) algo graham_scan step 2450: {'in_hull': 0.9713114754098361, 'score': 0.9713114754098361, 'examples_seen': 72919, 'step': 2450, 'algorithm': 'graham_scan'}
I0715 22:31:47.504364 134048692930048 run.py:722] (val) algo graham_scan step 2500: {'in_hull': 0.9548793284365162, 'score': 0.9548793284365162, 'examples_seen': 74399, 'step': 2500, 'algorithm': 'graham_scan'}
I0715 22:31:48.705643 134048692930048 run.py:722] (val) algo graham_scan step 2550: {'in_hull': 0.9508547008547009, 'score': 0.9508547008547009, 'examples_seen': 75887, 'step': 2550, 'algorithm': 'graham_scan'}
I0715 22:31:49.934678 134048692930048 run.py:722] (val) algo graham_scan step 2600: {'in_hull': 0.9444444444444445, 'score': 0.9444444444444445, 'examples_seen': 77360, 'step': 2600, 'algorithm': 'graham_scan'}
I0715 22:31:51.148261 134048692930048 run.py:722] (val) algo graham_scan step 2650: {'in_hull': 0.9487983281086729, 'score': 0.9487983281086729, 'examples_seen': 78838, 'step': 2650, 'algorithm': 'graham_scan'}
I0715 22:31:52.386775 134048692930048 run.py:722] (val) algo graham_scan step 2700: {'in_hull': 0.9453376205787782, 'score': 0.9453376205787782, 'examples_seen': 80301, 'step': 2700, 'algorithm': 'graham_scan'}
I0715 22:31:53.626320 134048692930048 run.py:722] (val) algo graham_scan step 2750: {'in_hull': 0.9421487603305785, 'score': 0.9421487603305785, 'examples_seen': 81809, 'step': 2750, 'algorithm': 'graham_scan'}
I0715 22:31:54.844248 134048692930048 run.py:722] (val) algo graham_scan step 2800: {'in_hull': 0.9575371549893842, 'score': 0.9575371549893842, 'examples_seen': 83331, 'step': 2800, 'algorithm': 'graham_scan'}
I0715 22:31:56.048772 134048692930048 run.py:722] (val) algo graham_scan step 2850: {'in_hull': 0.9292502639915523, 'score': 0.9292502639915523, 'examples_seen': 84814, 'step': 2850, 'algorithm': 'graham_scan'}
I0715 22:31:57.249134 134048692930048 run.py:722] (val) algo graham_scan step 2900: {'in_hull': 0.9440000000000001, 'score': 0.9440000000000001, 'examples_seen': 86299, 'step': 2900, 'algorithm': 'graham_scan'}
I0715 22:31:58.487777 134048692930048 run.py:722] (val) algo graham_scan step 2950: {'in_hull': 0.96794208893485, 'score': 0.96794208893485, 'examples_seen': 87770, 'step': 2950, 'algorithm': 'graham_scan'}
I0715 22:31:59.710663 134048692930048 run.py:722] (val) algo graham_scan step 3000: {'in_hull': 0.9564293304994687, 'score': 0.9564293304994687, 'examples_seen': 89249, 'step': 3000, 'algorithm': 'graham_scan'}
I0715 22:32:00.947012 134048692930048 run.py:722] (val) algo graham_scan step 3050: {'in_hull': 0.9511677282377919, 'score': 0.9511677282377919, 'examples_seen': 90708, 'step': 3050, 'algorithm': 'graham_scan'}
I0715 22:32:02.194164 134048692930048 run.py:722] (val) algo graham_scan step 3100: {'in_hull': 0.9372294372294371, 'score': 0.9372294372294371, 'examples_seen': 92221, 'step': 3100, 'algorithm': 'graham_scan'}
I0715 22:32:03.413053 134048692930048 run.py:722] (val) algo graham_scan step 3150: {'in_hull': 0.9200819672131147, 'score': 0.9200819672131147, 'examples_seen': 93737, 'step': 3150, 'algorithm': 'graham_scan'}
I0715 22:32:04.642369 134048692930048 run.py:722] (val) algo graham_scan step 3200: {'in_hull': 0.9563409563409563, 'score': 0.9563409563409563, 'examples_seen': 95227, 'step': 3200, 'algorithm': 'graham_scan'}
I0715 22:32:05.864200 134048692930048 run.py:722] (val) algo graham_scan step 3250: {'in_hull': 0.950207468879668, 'score': 0.950207468879668, 'examples_seen': 96716, 'step': 3250, 'algorithm': 'graham_scan'}
I0715 22:32:07.073488 134048692930048 run.py:722] (val) algo graham_scan step 3300: {'in_hull': 0.9497326203208556, 'score': 0.9497326203208556, 'examples_seen': 98180, 'step': 3300, 'algorithm': 'graham_scan'}
I0715 22:32:08.285726 134048692930048 run.py:722] (val) algo graham_scan step 3350: {'in_hull': 0.9409237379162192, 'score': 0.9409237379162192, 'examples_seen': 99665, 'step': 3350, 'algorithm': 'graham_scan'}
I0715 22:32:09.526301 134048692930048 run.py:722] (val) algo graham_scan step 3400: {'in_hull': 0.9530612244897959, 'score': 0.9530612244897959, 'examples_seen': 101116, 'step': 3400, 'algorithm': 'graham_scan'}
I0715 22:32:10.765760 134048692930048 run.py:722] (val) algo graham_scan step 3450: {'in_hull': 0.9403437815975734, 'score': 0.9403437815975734, 'examples_seen': 102633, 'step': 3450, 'algorithm': 'graham_scan'}
I0715 22:32:11.999897 134048692930048 run.py:722] (val) algo graham_scan step 3500: {'in_hull': 0.9514348785871964, 'score': 0.9514348785871964, 'examples_seen': 104145, 'step': 3500, 'algorithm': 'graham_scan'}
