{'pred': 0.341796875, 'score': 0.341796875, 'examples_seen': 41170, 'step': 2650, 'algorithm': 'heapsort'}
{'pred': 0.392578125, 'score': 0.392578125, 'examples_seen': 41939, 'step': 2700, 'algorithm': 'heapsort'}
{'pred': 0.4677734375, 'score': 0.4677734375, 'examples_seen': 42744, 'step': 2750, 'algorithm': 'heapsort'}
{'pred': 0.5673828125, 'score': 0.5673828125, 'examples_seen': 43535, 'step': 2800, 'algorithm': 'heapsort'}
{'pred': 0.44140625, 'score': 0.44140625, 'examples_seen': 44306, 'step': 2850, 'algorithm': 'heapsort'}
{'pred': 0.548828125, 'score': 0.548828125, 'examples_seen': 45084, 'step': 2900, 'algorithm': 'heapsort'}
{'pred': 0.455078125, 'score': 0.455078125, 'examples_seen': 45859, 'step': 2950, 'algorithm': 'heapsort'}
{'pred': 0.4892578125, 'score': 0.4892578125, 'examples_seen': 46614, 'step': 3000, 'algorithm': 'heapsort'}
{'pred': 0.611328125, 'score': 0.611328125, 'examples_seen': 47387, 'step': 3050, 'algorithm': 'heapsort'}
{'pred': 0.5341796875, 'score': 0.5341796875, 'examples_seen': 48195, 'step': 3100, 'algorithm': 'heapsort'}
{'pred': 0.5009765625, 'score': 0.5009765625, 'examples_seen': 48984, 'step': 3150, 'algorithm': 'heapsort'}
{'pred': 0.5234375, 'score': 0.5234375, 'examples_seen': 49757, 'step': 3200, 'algorithm': 'heapsort'}
{'pred': 0.5361328125, 'score': 0.5361328125, 'examples_seen': 50526, 'step': 3250, 'algorithm': 'heapsort'}
{'pred': 0.4560546875, 'score': 0.4560546875, 'examples_seen': 51295, 'step': 3300, 'algorithm': 'heapsort'}
{'pred': 0.5751953125, 'score': 0.5751953125, 'examples_seen': 52062, 'step': 3350, 'algorithm': 'heapsort'}
{'pred': 0.462890625, 'score': 0.462890625, 'examples_seen': 52822, 'step': 3400, 'algorithm': 'heapsort'}
{'pred': 0.494140625, 'score': 0.494140625, 'examples_seen': 53633, 'step': 3450, 'algorithm': 'heapsort'}
{'pred': 0.4599609375, 'score': 0.4599609375, 'examples_seen': 54426, 'step': 3500, 'algorithm': 'heapsort'}
{'pred': 0.40234375, 'score': 0.40234375, 'examples_seen': 55208, 'step': 3550, 'algorithm': 'heapsort'}
{'pred': 0.5341796875, 'score': 0.5341796875, 'examples_seen': 55975, 'step': 3600, 'algorithm': 'heapsort'}
{'pred': 0.5, 'score': 0.5, 'examples_seen': 56745, 'step': 3650, 'algorithm': 'heapsort'}
{'pred': 0.5810546875, 'score': 0.5810546875, 'examples_seen': 57521, 'step': 3700, 'algorithm': 'heapsort'}
{'pred': 0.49609375, 'score': 0.49609375, 'examples_seen': 58286, 'step': 3750, 'algorithm': 'heapsort'}
{'pred': 0.5732421875, 'score': 0.5732421875, 'examples_seen': 59100, 'step': 3800, 'algorithm': 'heapsort'}
{'pred': 0.6025390625, 'score': 0.6025390625, 'examples_seen': 59884, 'step': 3850, 'algorithm': 'heapsort'}
{'pred': 0.5673828125, 'score': 0.5673828125, 'examples_seen': 60660, 'step': 3900, 'algorithm': 'heapsort'}
{'pred': 0.5439453125, 'score': 0.5439453125, 'examples_seen': 61426, 'step': 3950, 'algorithm': 'heapsort'}
{'pred': 0.5361328125, 'score': 0.5361328125, 'examples_seen': 62192, 'step': 4000, 'algorithm': 'heapsort'}
{'pred': 0.4912109375, 'score': 0.4912109375, 'examples_seen': 62969, 'step': 4050, 'algorithm': 'heapsort'}
{'pred': 0.52734375, 'score': 0.52734375, 'examples_seen': 63730, 'step': 4100, 'algorithm': 'heapsort'}
{'pred': 0.5322265625, 'score': 0.5322265625, 'examples_seen': 64533, 'step': 4150, 'algorithm': 'heapsort'}
{'pred': 0.36328125, 'score': 0.36328125, 'examples_seen': 65327, 'step': 4200, 'algorithm': 'heapsort'}
