{'pi': 0.87890625, 'score': 0.87890625, 'examples_seen': 288177, 'step': 2600, 'algorithm': 'bellman_ford'}
{'pi': 0.8671875, 'score': 0.8671875, 'examples_seen': 293701, 'step': 2650, 'algorithm': 'bellman_ford'}
{'pi': 0.890625, 'score': 0.890625, 'examples_seen': 299203, 'step': 2700, 'algorithm': 'bellman_ford'}
{'pi': 0.8974609375, 'score': 0.8974609375, 'examples_seen': 304830, 'step': 2750, 'algorithm': 'bellman_ford'}
{'pi': 0.9521484375, 'score': 0.9521484375, 'examples_seen': 310344, 'step': 2800, 'algorithm': 'bellman_ford'}
{'pi': 0.947265625, 'score': 0.947265625, 'examples_seen': 315834, 'step': 2850, 'algorithm': 'bellman_ford'}
{'pi': 0.8525390625, 'score': 0.8525390625, 'examples_seen': 321402, 'step': 2900, 'algorithm': 'bellman_ford'}
{'pi': 0.93359375, 'score': 0.93359375, 'examples_seen': 326918, 'step': 2950, 'algorithm': 'bellman_ford'}
{'pi': 0.9140625, 'score': 0.9140625, 'examples_seen': 332466, 'step': 3000, 'algorithm': 'bellman_ford'}
{'pi': 0.9599609375, 'score': 0.9599609375, 'examples_seen': 338063, 'step': 3050, 'algorithm': 'bellman_ford'}
{'pi': 0.9052734375, 'score': 0.9052734375, 'examples_seen': 343709, 'step': 3100, 'algorithm': 'bellman_ford'}
{'pi': 0.9580078125, 'score': 0.9580078125, 'examples_seen': 349282, 'step': 3150, 'algorithm': 'bellman_ford'}
{'pi': 0.91796875, 'score': 0.91796875, 'examples_seen': 354813, 'step': 3200, 'algorithm': 'bellman_ford'}
{'pi': 0.8896484375, 'score': 0.8896484375, 'examples_seen': 360359, 'step': 3250, 'algorithm': 'bellman_ford'}
{'pi': 0.94140625, 'score': 0.94140625, 'examples_seen': 365832, 'step': 3300, 'algorithm': 'bellman_ford'}
{'pi': 0.9375, 'score': 0.9375, 'examples_seen': 371362, 'step': 3350, 'algorithm': 'bellman_ford'}
{'pi': 0.9658203125, 'score': 0.9658203125, 'examples_seen': 376863, 'step': 3400, 'algorithm': 'bellman_ford'}
{'pi': 0.978515625, 'score': 0.978515625, 'examples_seen': 382492, 'step': 3450, 'algorithm': 'bellman_ford'}
{'pi': 0.9716796875, 'score': 0.9716796875, 'examples_seen': 388134, 'step': 3500, 'algorithm': 'bellman_ford'}
