I0716 07:02:40.406759 123331353363968 run.py:722] (val) algo bfs step 1650: {'pi': 0.998046875, 'score': 0.998046875, 'examples_seen': 197064, 'step': 1650, 'algorithm': 'bfs'}
I0716 07:02:43.030257 123331353363968 run.py:722] (val) algo bfs step 1700: {'pi': 0.998046875, 'score': 0.998046875, 'examples_seen': 203152, 'step': 1700, 'algorithm': 'bfs'}
I0716 07:02:45.644049 123331353363968 run.py:722] (val) algo bfs step 1750: {'pi': 1.0, 'score': 1.0, 'examples_seen': 209170, 'step': 1750, 'algorithm': 'bfs'}
I0716 07:02:48.421233 123331353363968 run.py:722] (val) algo bfs step 1800: {'pi': 0.9970703125, 'score': 0.9970703125, 'examples_seen': 215146, 'step': 1800, 'algorithm': 'bfs'}
I0716 07:02:51.089794 123331353363968 run.py:722] (val) algo bfs step 1850: {'pi': 0.9970703125, 'score': 0.9970703125, 'examples_seen': 221156, 'step': 1850, 'algorithm': 'bfs'}
I0716 07:02:53.761782 123331353363968 run.py:722] (val) algo bfs step 1900: {'pi': 0.99609375, 'score': 0.99609375, 'examples_seen': 227154, 'step': 1900, 'algorithm': 'bfs'}
I0716 07:02:56.390639 123331353363968 run.py:722] (val) algo bfs step 1950: {'pi': 0.998046875, 'score': 0.998046875, 'examples_seen': 233027, 'step': 1950, 'algorithm': 'bfs'}
I0716 07:02:58.999010 123331353363968 run.py:722] (val) algo bfs step 2000: {'pi': 0.998046875, 'score': 0.998046875, 'examples_seen': 238942, 'step': 2000, 'algorithm': 'bfs'}
I0716 07:03:01.688939 123331353363968 run.py:722] (val) algo bfs step 2050: {'pi': 0.99609375, 'score': 0.99609375, 'examples_seen': 245016, 'step': 2050, 'algorithm': 'bfs'}
I0716 07:03:04.414216 123331353363968 run.py:722] (val) algo bfs step 2100: {'pi': 0.9990234375, 'score': 0.9990234375, 'examples_seen': 250993, 'step': 2100, 'algorithm': 'bfs'}
I0716 07:03:07.069012 123331353363968 run.py:722] (val) algo bfs step 2150: {'pi': 0.9990234375, 'score': 0.9990234375, 'examples_seen': 256997, 'step': 2150, 'algorithm': 'bfs'}
I0716 07:03:09.693416 123331353363968 run.py:722] (val) algo bfs step 2200: {'pi': 0.998046875, 'score': 0.998046875, 'examples_seen': 262904, 'step': 2200, 'algorithm': 'bfs'}
I0716 07:03:12.331798 123331353363968 run.py:722] (val) algo bfs step 2250: {'pi': 0.99609375, 'score': 0.99609375, 'examples_seen': 268867, 'step': 2250, 'algorithm': 'bfs'}
I0716 07:03:15.053314 123331353363968 run.py:722] (val) algo bfs step 2300: {'pi': 0.9970703125, 'score': 0.9970703125, 'examples_seen': 274815, 'step': 2300, 'algorithm': 'bfs'}
I0716 07:03:17.743115 123331353363968 run.py:722] (val) algo bfs step 2350: {'pi': 0.9970703125, 'score': 0.9970703125, 'examples_seen': 280754, 'step': 2350, 'algorithm': 'bfs'}
I0716 07:03:20.462398 123331353363968 run.py:722] (val) algo bfs step 2400: {'pi': 0.998046875, 'score': 0.998046875, 'examples_seen': 286844, 'step': 2400, 'algorithm': 'bfs'}
I0716 07:03:23.130544 123331353363968 run.py:722] (val) algo bfs step 2450: {'pi': 0.9990234375, 'score': 0.9990234375, 'examples_seen': 292875, 'step': 2450, 'algorithm': 'bfs'}
I0716 07:03:25.831488 123331353363968 run.py:722] (val) algo bfs step 2500: {'pi': 0.998046875, 'score': 0.998046875, 'examples_seen': 298865, 'step': 2500, 'algorithm': 'bfs'}
I0716 07:03:28.460530 123331353363968 run.py:722] (val) algo bfs step 2550: {'pi': 0.99609375, 'score': 0.99609375, 'examples_seen': 304830, 'step': 2550, 'algorithm': 'bfs'}
I0716 07:03:31.149458 123331353363968 run.py:722] (val) algo bfs step 2600: {'pi': 0.994140625, 'score': 0.994140625, 'examples_seen': 310780, 'step': 2600, 'algorithm': 'bfs'}
I0716 07:03:33.813413 123331353363968 run.py:722] (val) algo bfs step 2650: {'pi': 1.0, 'score': 1.0, 'examples_seen': 316660, 'step': 2650, 'algorithm': 'bfs'}
I0716 07:03:36.555132 123331353363968 run.py:722] (val) algo bfs step 2700: {'pi': 0.9970703125, 'score': 0.9970703125, 'examples_seen': 322588, 'step': 2700, 'algorithm': 'bfs'}
I0716 07:03:39.312744 123331353363968 run.py:722] (val) algo bfs step 2750: {'pi': 0.998046875, 'score': 0.998046875, 'examples_seen': 328602, 'step': 2750, 'algorithm': 'bfs'}
I0716 07:03:41.938786 123331353363968 run.py:722] (val) algo bfs step 2800: {'pi': 0.998046875, 'score': 0.998046875, 'examples_seen': 334613, 'step': 2800, 'algorithm': 'bfs'}
I0716 07:03:44.640050 123331353363968 run.py:722] (val) algo bfs step 2850: {'pi': 0.9970703125, 'score': 0.9970703125, 'examples_seen': 340593, 'step': 2850, 'algorithm': 'bfs'}
I0716 07:03:47.212703 123331353363968 run.py:722] (val) algo bfs step 2900: {'pi': 0.998046875, 'score': 0.998046875, 'examples_seen': 346562, 'step': 2900, 'algorithm': 'bfs'}
I0716 07:03:49.849128 123331353363968 run.py:722] (val) algo bfs step 2950: {'pi': 0.9970703125, 'score': 0.9970703125, 'examples_seen': 352493, 'step': 2950, 'algorithm': 'bfs'}
I0716 07:03:52.522155 123331353363968 run.py:722] (val) algo bfs step 3000: {'pi': 0.9951171875, 'score': 0.9951171875, 'examples_seen': 358374, 'step': 3000, 'algorithm': 'bfs'}
I0716 07:03:55.214104 123331353363968 run.py:722] (val) algo bfs step 3050: {'pi': 0.9951171875, 'score': 0.9951171875, 'examples_seen': 364271, 'step': 3050, 'algorithm': 'bfs'}
I0716 07:03:57.950783 123331353363968 run.py:722] (val) algo bfs step 3100: {'pi': 0.9970703125, 'score': 0.9970703125, 'examples_seen': 370336, 'step': 3100, 'algorithm': 'bfs'}
I0716 07:04:00.636863 123331353363968 run.py:722] (val) algo bfs step 3150: {'pi': 0.9990234375, 'score': 0.9990234375, 'examples_seen': 376325, 'step': 3150, 'algorithm': 'bfs'}
I0716 07:04:03.307553 123331353363968 run.py:722] (val) algo bfs step 3200: {'pi': 0.99609375, 'score': 0.99609375, 'examples_seen': 382314, 'step': 3200, 'algorithm': 'bfs'}
I0716 07:04:06.005967 123331353363968 run.py:722] (val) algo bfs step 3250: {'pi': 0.9990234375, 'score': 0.9990234375, 'examples_seen': 388274, 'step': 3250, 'algorithm': 'bfs'}
I0716 07:04:08.696944 123331353363968 run.py:722] (val) algo bfs step 3300: {'pi': 0.998046875, 'score': 0.998046875, 'examples_seen': 394205, 'step': 3300, 'algorithm': 'bfs'}
I0716 07:04:11.403805 123331353363968 run.py:722] (val) algo bfs step 3350: {'pi': 0.99609375, 'score': 0.99609375, 'examples_seen': 400138, 'step': 3350, 'algorithm': 'bfs'}
I0716 07:04:14.101626 123331353363968 run.py:722] (val) algo bfs step 3400: {'pi': 0.9990234375, 'score': 0.9990234375, 'examples_seen': 406028, 'step': 3400, 'algorithm': 'bfs'}
I0716 07:04:16.755591 123331353363968 run.py:722] (val) algo bfs step 3450: {'pi': 0.998046875, 'score': 0.998046875, 'examples_seen': 412088, 'step': 3450, 'algorithm': 'bfs'}
I0716 07:04:19.520277 123331353363968 run.py:722] (val) algo bfs step 3500: {'pi': 1.0, 'score': 1.0, 'examples_seen': 418140, 'step': 3500, 'algorithm': 'bfs'}
I0716 07:04:22.305169 123331353363968 run.py:722] (val) algo bfs step 3550: {'pi': 0.9990234375, 'score': 0.9990234375, 'examples_seen': 424145, 'step': 3550, 'algorithm': 'bfs'}
