I0716 10:40:34.116457 128058109416960 run.py:722] (val) algo naive_string_matcher step 1500: {'match': 0.906005859375, 'score': 0.906005859375, 'examples_seen': 34484, 'step': 1500, 'algorithm': 'naive_string_matcher'}
I0716 10:40:36.054013 128058109416960 run.py:722] (val) algo naive_string_matcher step 1550: {'match': 0.970458984375, 'score': 0.970458984375, 'examples_seen': 35639, 'step': 1550, 'algorithm': 'naive_string_matcher'}
I0716 10:40:38.025240 128058109416960 run.py:722] (val) algo naive_string_matcher step 1600: {'match': 0.942138671875, 'score': 0.942138671875, 'examples_seen': 36789, 'step': 1600, 'algorithm': 'naive_string_matcher'}
I0716 10:40:39.991837 128058109416960 run.py:722] (val) algo naive_string_matcher step 1650: {'match': 0.965576171875, 'score': 0.965576171875, 'examples_seen': 37934, 'step': 1650, 'algorithm': 'naive_string_matcher'}
I0716 10:40:41.948844 128058109416960 run.py:722] (val) algo naive_string_matcher step 1700: {'match': 0.97119140625, 'score': 0.97119140625, 'examples_seen': 39077, 'step': 1700, 'algorithm': 'naive_string_matcher'}
I0716 10:40:43.947703 128058109416960 run.py:722] (val) algo naive_string_matcher step 1750: {'match': 0.97412109375, 'score': 0.97412109375, 'examples_seen': 40229, 'step': 1750, 'algorithm': 'naive_string_matcher'}
I0716 10:40:45.915024 128058109416960 run.py:722] (val) algo naive_string_matcher step 1800: {'match': 0.9794921875, 'score': 0.9794921875, 'examples_seen': 41362, 'step': 1800, 'algorithm': 'naive_string_matcher'}
I0716 10:40:47.945723 128058109416960 run.py:722] (val) algo naive_string_matcher step 1850: {'match': 0.944091796875, 'score': 0.944091796875, 'examples_seen': 42500, 'step': 1850, 'algorithm': 'naive_string_matcher'}
I0716 10:40:49.899838 128058109416960 run.py:722] (val) algo naive_string_matcher step 1900: {'match': 0.96826171875, 'score': 0.96826171875, 'examples_seen': 43646, 'step': 1900, 'algorithm': 'naive_string_matcher'}
I0716 10:40:51.876022 128058109416960 run.py:722] (val) algo naive_string_matcher step 1950: {'match': 0.97216796875, 'score': 0.97216796875, 'examples_seen': 44795, 'step': 1950, 'algorithm': 'naive_string_matcher'}
I0716 10:40:53.861939 128058109416960 run.py:722] (val) algo naive_string_matcher step 2000: {'match': 0.969970703125, 'score': 0.969970703125, 'examples_seen': 45955, 'step': 2000, 'algorithm': 'naive_string_matcher'}
I0716 10:40:55.818053 128058109416960 run.py:722] (val) algo naive_string_matcher step 2050: {'match': 0.991455078125, 'score': 0.991455078125, 'examples_seen': 47112, 'step': 2050, 'algorithm': 'naive_string_matcher'}
I0716 10:40:57.788717 128058109416960 run.py:722] (val) algo naive_string_matcher step 2100: {'match': 0.969970703125, 'score': 0.969970703125, 'examples_seen': 48251, 'step': 2100, 'algorithm': 'naive_string_matcher'}
I0716 10:40:59.895195 128058109416960 run.py:722] (val) algo naive_string_matcher step 2150: {'match': 0.9716796875, 'score': 0.9716796875, 'examples_seen': 49409, 'step': 2150, 'algorithm': 'naive_string_matcher'}
I0716 10:41:01.858685 128058109416960 run.py:722] (val) algo naive_string_matcher step 2200: {'match': 0.932373046875, 'score': 0.932373046875, 'examples_seen': 50569, 'step': 2200, 'algorithm': 'naive_string_matcher'}
I0716 10:41:03.826685 128058109416960 run.py:722] (val) algo naive_string_matcher step 2250: {'match': 0.9384765625, 'score': 0.9384765625, 'examples_seen': 51698, 'step': 2250, 'algorithm': 'naive_string_matcher'}
I0716 10:41:05.769835 128058109416960 run.py:722] (val) algo naive_string_matcher step 2300: {'match': 0.98046875, 'score': 0.98046875, 'examples_seen': 52834, 'step': 2300, 'algorithm': 'naive_string_matcher'}
I0716 10:41:07.782435 128058109416960 run.py:722] (val) algo naive_string_matcher step 2350: {'match': 0.97705078125, 'score': 0.97705078125, 'examples_seen': 54001, 'step': 2350, 'algorithm': 'naive_string_matcher'}
I0716 10:41:09.735924 128058109416960 run.py:722] (val) algo naive_string_matcher step 2400: {'match': 0.989501953125, 'score': 0.989501953125, 'examples_seen': 55159, 'step': 2400, 'algorithm': 'naive_string_matcher'}
I0716 10:41:11.742700 128058109416960 run.py:722] (val) algo naive_string_matcher step 2450: {'match': 0.981201171875, 'score': 0.981201171875, 'examples_seen': 56306, 'step': 2450, 'algorithm': 'naive_string_matcher'}
I0716 10:41:13.696891 128058109416960 run.py:722] (val) algo naive_string_matcher step 2500: {'match': 0.989013671875, 'score': 0.989013671875, 'examples_seen': 57477, 'step': 2500, 'algorithm': 'naive_string_matcher'}
I0716 10:41:15.729767 128058109416960 run.py:722] (val) algo naive_string_matcher step 2550: {'match': 0.991943359375, 'score': 0.991943359375, 'examples_seen': 58672, 'step': 2550, 'algorithm': 'naive_string_matcher'}
I0716 10:41:17.712719 128058109416960 run.py:722] (val) algo naive_string_matcher step 2600: {'match': 0.969970703125, 'score': 0.969970703125, 'examples_seen': 59811, 'step': 2600, 'algorithm': 'naive_string_matcher'}
I0716 10:41:19.677654 128058109416960 run.py:722] (val) algo naive_string_matcher step 2650: {'match': 0.9873046875, 'score': 0.9873046875, 'examples_seen': 60965, 'step': 2650, 'algorithm': 'naive_string_matcher'}
I0716 10:41:21.657960 128058109416960 run.py:722] (val) algo naive_string_matcher step 2700: {'match': 0.97900390625, 'score': 0.97900390625, 'examples_seen': 62117, 'step': 2700, 'algorithm': 'naive_string_matcher'}
I0716 10:41:23.616709 128058109416960 run.py:722] (val) algo naive_string_matcher step 2750: {'match': 0.97607421875, 'score': 0.97607421875, 'examples_seen': 63250, 'step': 2750, 'algorithm': 'naive_string_matcher'}
I0716 10:41:25.539203 128058109416960 run.py:722] (val) algo naive_string_matcher step 2800: {'match': 0.980224609375, 'score': 0.980224609375, 'examples_seen': 64401, 'step': 2800, 'algorithm': 'naive_string_matcher'}
I0716 10:41:27.503485 128058109416960 run.py:722] (val) algo naive_string_matcher step 2850: {'match': 0.9736328125, 'score': 0.9736328125, 'examples_seen': 65562, 'step': 2850, 'algorithm': 'naive_string_matcher'}
I0716 10:41:29.520319 128058109416960 run.py:722] (val) algo naive_string_matcher step 2900: {'match': 0.982421875, 'score': 0.982421875, 'examples_seen': 66702, 'step': 2900, 'algorithm': 'naive_string_matcher'}
I0716 10:41:31.501958 128058109416960 run.py:722] (val) algo naive_string_matcher step 2950: {'match': 0.974609375, 'score': 0.974609375, 'examples_seen': 67815, 'step': 2950, 'algorithm': 'naive_string_matcher'}
I0716 10:41:33.439716 128058109416960 run.py:722] (val) algo naive_string_matcher step 3000: {'match': 0.960693359375, 'score': 0.960693359375, 'examples_seen': 68967, 'step': 3000, 'algorithm': 'naive_string_matcher'}
I0716 10:41:35.394169 128058109416960 run.py:722] (val) algo naive_string_matcher step 3050: {'match': 0.978515625, 'score': 0.978515625, 'examples_seen': 70122, 'step': 3050, 'algorithm': 'naive_string_matcher'}
I0716 10:41:37.354243 128058109416960 run.py:722] (val) algo naive_string_matcher step 3100: {'match': 0.98291015625, 'score': 0.98291015625, 'examples_seen': 71263, 'step': 3100, 'algorithm': 'naive_string_matcher'}
I0716 10:41:39.335690 128058109416960 run.py:722] (val) algo naive_string_matcher step 3150: {'match': 0.97119140625, 'score': 0.97119140625, 'examples_seen': 72401, 'step': 3150, 'algorithm': 'naive_string_matcher'}
I0716 10:41:41.270571 128058109416960 run.py:722] (val) algo naive_string_matcher step 3200: {'match': 0.977783203125, 'score': 0.977783203125, 'examples_seen': 73527, 'step': 3200, 'algorithm': 'naive_string_matcher'}
I0716 10:41:43.235336 128058109416960 run.py:722] (val) algo naive_string_matcher step 3250: {'match': 0.990966796875, 'score': 0.990966796875, 'examples_seen': 74695, 'step': 3250, 'algorithm': 'naive_string_matcher'}
I0716 10:41:45.220016 128058109416960 run.py:722] (val) algo naive_string_matcher step 3300: {'match': 0.970947265625, 'score': 0.970947265625, 'examples_seen': 75833, 'step': 3300, 'algorithm': 'naive_string_matcher'}
I0716 10:41:47.219664 128058109416960 run.py:722] (val) algo naive_string_matcher step 3350: {'match': 0.985107421875, 'score': 0.985107421875, 'examples_seen': 76992, 'step': 3350, 'algorithm': 'naive_string_matcher'}
I0716 10:41:49.226114 128058109416960 run.py:722] (val) algo naive_string_matcher step 3400: {'match': 0.987060546875, 'score': 0.987060546875, 'examples_seen': 78154, 'step': 3400, 'algorithm': 'naive_string_matcher'}
I0716 10:41:51.206356 128058109416960 run.py:722] (val) algo naive_string_matcher step 3450: {'match': 0.991943359375, 'score': 0.991943359375, 'examples_seen': 79315, 'step': 3450, 'algorithm': 'naive_string_matcher'}
I0716 10:41:53.177200 128058109416960 run.py:722] (val) algo naive_string_matcher step 3500: {'match': 0.992919921875, 'score': 0.992919921875, 'examples_seen': 80459, 'step': 3500, 'algorithm': 'naive_string_matcher'}
I0716 10:41:55.158828 128058109416960 run.py:722] (val) algo naive_string_matcher step 3550: {'match': 0.982666015625, 'score': 0.982666015625, 'examples_seen': 81619, 'step': 3550, 'algorithm': 'naive_string_matcher'}
I0716 10:41:57.141757 128058109416960 run.py:722] (val) algo naive_string_matcher step 3600: {'match': 0.981689453125, 'score': 0.981689453125, 'examples_seen': 82754, 'step': 3600, 'algorithm': 'naive_string_matcher'}
I0716 10:41:59.104738 128058109416960 run.py:722] (val) algo naive_string_matcher step 3650: {'match': 0.987548828125, 'score': 0.987548828125, 'examples_seen': 83899, 'step': 3650, 'algorithm': 'naive_string_matcher'}
