I0716 11:57:51.139090 134131846411776 run.py:722] (val) algo segments_intersect step 0: {'intersect': 0.3954036535061874, 'score': 0.3954036535061874, 'examples_seen': 48, 'step': 0, 'algorithm': 'segments_intersect'}
I0716 11:57:52.953279 134131846411776 run.py:722] (val) algo segments_intersect step 50: {'intersect': 0.3226675648366454, 'score': 0.3226675648366454, 'examples_seen': 2560, 'step': 50, 'algorithm': 'segments_intersect'}
I0716 11:57:54.751464 134131846411776 run.py:722] (val) algo segments_intersect step 100: {'intersect': 0.6587637595258256, 'score': 0.6587637595258256, 'examples_seen': 5184, 'step': 100, 'algorithm': 'segments_intersect'}
I0716 11:57:56.569634 134131846411776 run.py:722] (val) algo segments_intersect step 150: {'intersect': 0.10767946577629382, 'score': 0.10767946577629382, 'examples_seen': 7696, 'step': 150, 'algorithm': 'segments_intersect'}
I0716 11:57:58.367398 134131846411776 run.py:722] (val) algo segments_intersect step 200: {'intersect': 0.5699714402284781, 'score': 0.5699714402284781, 'examples_seen': 10304, 'step': 200, 'algorithm': 'segments_intersect'}
I0716 11:58:00.197064 134131846411776 run.py:722] (val) algo segments_intersect step 250: {'intersect': 0.5494309305958491, 'score': 0.5494309305958491, 'examples_seen': 12832, 'step': 250, 'algorithm': 'segments_intersect'}
I0716 11:58:01.954592 134131846411776 run.py:722] (val) algo segments_intersect step 300: {'intersect': 0.6544744318181819, 'score': 0.6544744318181819, 'examples_seen': 15360, 'step': 300, 'algorithm': 'segments_intersect'}
I0716 11:58:03.789952 134131846411776 run.py:722] (val) algo segments_intersect step 350: {'intersect': 0.2876761835923383, 'score': 0.2876761835923383, 'examples_seen': 17968, 'step': 350, 'algorithm': 'segments_intersect'}
I0716 11:58:05.583541 134131846411776 run.py:722] (val) algo segments_intersect step 400: {'intersect': 0.6006811409110259, 'score': 0.6006811409110259, 'examples_seen': 20480, 'step': 400, 'algorithm': 'segments_intersect'}
I0716 11:58:07.396820 134131846411776 run.py:722] (val) algo segments_intersect step 450: {'intersect': 0.6736876215165263, 'score': 0.6736876215165263, 'examples_seen': 23104, 'step': 450, 'algorithm': 'segments_intersect'}
I0716 11:58:09.217821 134131846411776 run.py:722] (val) algo segments_intersect step 500: {'intersect': 0.671304347826087, 'score': 0.671304347826087, 'examples_seen': 25616, 'step': 500, 'algorithm': 'segments_intersect'}
I0716 11:58:10.999321 134131846411776 run.py:722] (val) algo segments_intersect step 550: {'intersect': 0.5467741935483871, 'score': 0.5467741935483871, 'examples_seen': 28224, 'step': 550, 'algorithm': 'segments_intersect'}
I0716 11:58:12.806199 134131846411776 run.py:722] (val) algo segments_intersect step 600: {'intersect': 0.65937302756154, 'score': 0.65937302756154, 'examples_seen': 30752, 'step': 600, 'algorithm': 'segments_intersect'}
I0716 11:58:14.570525 134131846411776 run.py:722] (val) algo segments_intersect step 650: {'intersect': 0.46470588235294125, 'score': 0.46470588235294125, 'examples_seen': 33280, 'step': 650, 'algorithm': 'segments_intersect'}
